,date,open,high,low,close,volume,120,180,240
0,2018-11-12,2.25,2.34,2.22,2.34,81401271.0,,,
1,2018-11-13,2.36,2.57,2.32,2.51,166642625.0,,,
2,2018-11-14,2.48,2.48,2.36,2.39,109733394.0,,,
3,2018-11-15,2.38,2.41,2.34,2.38,55873841.0,,,
4,2018-11-16,2.38,2.44,2.35,2.41,60621640.0,,,
5,2018-11-19,2.39,2.41,2.3,2.34,54213835.0,,,
6,2018-11-20,2.32,2.37,2.29,2.29,38120945.0,,,
7,2018-11-21,2.25,2.31,2.25,2.31,29951052.0,,,
8,2018-11-22,2.32,2.35,2.29,2.34,29664100.0,,,
9,2018-11-23,2.33,2.33,2.12,2.14,51953316.0,,,
10,2018-11-26,2.15,2.26,2.15,2.22,41382580.0,,,
11,2018-11-27,2.25,2.27,2.19,2.22,28700160.0,,,
12,2018-11-28,2.22,2.28,2.18,2.26,29523898.0,,,
13,2018-11-29,2.27,2.31,2.18,2.19,28268821.0,,,
14,2018-11-30,2.19,2.22,2.15,2.2,25032815.0,,,
15,2018-12-03,2.26,2.33,2.23,2.29,35024816.0,,,
16,2018-12-04,2.3,2.31,2.27,2.3,22353576.0,,,
17,2018-12-05,2.25,2.29,2.23,2.26,25071002.0,,,
18,2018-12-06,2.25,2.25,2.2,2.2,22804620.0,,,
19,2018-12-07,2.2,2.22,2.18,2.19,12835732.0,,,
20,2018-12-10,2.16,2.18,2.15,2.16,15972154.0,,,
21,2018-12-11,2.17,2.18,2.16,2.17,10959863.0,,,
22,2018-12-12,2.17,2.18,2.15,2.17,10575836.0,,,
23,2018-12-13,2.18,2.2,2.14,2.19,17952430.0,,,
24,2018-12-14,2.15,2.15,1.97,1.97,96308120.0,,,
25,2018-12-17,1.83,1.9,1.83,1.88,58015643.0,,,
26,2018-12-18,1.86,1.91,1.85,1.88,34061385.0,,,
27,2018-12-19,1.88,1.89,1.85,1.85,20064592.0,,,
28,2018-12-20,1.85,1.87,1.84,1.85,18536543.0,,,
29,2018-12-21,1.84,1.85,1.82,1.83,17040194.0,,,
30,2018-12-24,1.83,1.85,1.81,1.83,16318915.0,,,
31,2018-12-25,1.81,1.81,1.71,1.78,29596420.0,,,
32,2018-12-26,1.79,1.96,1.79,1.96,56751245.0,,,
33,2018-12-27,2.01,2.04,1.87,1.87,65291007.0,,,
34,2018-12-28,1.87,1.91,1.85,1.87,38896606.0,,,
35,2019-01-02,1.89,1.89,1.82,1.82,24534461.0,,,
36,2019-01-03,1.83,1.87,1.8,1.84,27004714.0,,,
37,2019-01-04,1.81,1.91,1.8,1.9,39970152.0,,,
38,2019-01-07,1.91,1.96,1.89,1.95,41932087.0,,,
39,2019-01-08,1.96,2.01,1.93,1.95,52608954.0,,,
40,2019-01-09,1.96,1.99,1.93,1.96,43558836.0,,,
41,2019-01-10,1.94,1.98,1.91,1.92,32897021.0,,,
42,2019-01-11,1.93,2.11,1.92,2.11,111482431.0,,,
43,2019-01-14,2.1,2.11,2.01,2.05,69574920.0,,,
44,2019-01-15,2.03,2.05,1.99,2.03,55922740.0,,,
45,2019-01-16,2.02,2.07,2.01,2.02,40245189.0,,,
46,2019-01-17,2.02,2.13,2.0,2.07,82529491.0,,,
47,2019-01-18,2.06,2.16,2.04,2.08,68258548.0,,,
48,2019-01-21,2.08,2.12,2.06,2.08,41315223.0,,,
49,2019-01-22,2.08,2.19,2.03,2.12,73702855.0,,,
50,2019-01-23,2.09,2.12,2.06,2.09,38337824.0,,,
51,2019-01-24,2.08,2.09,2.01,2.04,43233490.0,,,
52,2019-01-25,2.04,2.05,1.97,1.97,35162616.0,,,
53,2019-01-28,1.98,2.02,1.93,1.97,36706008.0,,,
54,2019-01-29,1.96,1.96,1.8,1.87,46101924.0,,,
55,2019-01-30,1.86,1.88,1.82,1.84,27155221.0,,,
56,2019-01-31,1.67,1.73,1.66,1.68,90186037.0,,,
57,2019-02-01,1.67,1.81,1.66,1.79,48748194.0,,,
58,2019-02-11,1.81,1.87,1.8,1.86,33765996.0,,,
59,2019-02-12,1.86,2.05,1.86,2.0,88568884.0,,,
60,2019-02-13,2.08,2.2,2.02,2.2,69466722.0,,,
61,2019-02-14,2.42,2.42,2.26,2.42,306668112.0,,,
62,2019-02-15,2.28,2.38,2.22,2.28,268167963.0,,,
63,2019-02-18,2.29,2.39,2.2,2.36,235155939.0,,,
64,2019-02-19,2.32,2.6,2.24,2.6,235638278.0,,,
65,2019-02-20,2.56,2.86,2.47,2.86,352377924.0,,,
66,2019-02-21,3.01,3.15,3.01,3.15,162794410.0,,,
67,2019-02-22,3.33,3.47,3.27,3.47,135421933.0,,,
68,2019-02-25,3.82,3.82,3.82,3.82,7900976.0,,,
69,2019-02-26,4.2,4.2,3.82,3.96,480202154.0,,,
70,2019-02-27,3.56,3.75,3.56,3.56,273833229.0,,,
71,2019-02-28,3.28,3.64,3.2,3.45,244621665.0,,,
72,2019-03-01,3.4,3.8,3.36,3.8,291995202.0,,,
73,2019-03-04,3.87,4.13,3.65,3.92,343017637.0,,,
74,2019-03-05,3.77,4.3,3.71,4.18,320359717.0,,,
75,2019-03-06,4.18,4.56,4.04,4.43,346461492.0,,,
76,2019-03-07,4.3,4.68,4.21,4.46,292479429.0,,,
77,2019-03-08,4.1,4.3,4.01,4.01,224622188.0,,,
78,2019-03-11,3.91,4.06,3.65,3.92,155499412.0,,,
79,2019-03-12,3.99,4.05,3.8,3.87,160276067.0,,,
80,2019-03-13,3.8,3.81,3.53,3.59,140610357.0,,,
81,2019-03-14,3.56,3.73,3.54,3.66,114717064.0,,,
82,2019-03-15,3.69,3.72,3.37,3.51,115469550.0,,,
83,2019-03-18,3.51,3.58,3.3,3.57,118206430.0,,,
84,2019-03-19,3.55,3.63,3.49,3.55,93973812.0,,,
85,2019-03-20,3.55,3.69,3.41,3.67,130806119.0,,,
86,2019-03-21,3.61,3.75,3.57,3.67,149026040.0,,,
87,2019-03-22,3.72,3.72,3.54,3.67,93161588.0,,,
88,2019-03-25,3.55,3.65,3.52,3.52,69175270.0,,,
89,2019-03-26,3.53,3.56,3.36,3.37,74469716.0,,,
90,2019-03-27,3.41,3.43,3.21,3.28,78786731.0,,,
91,2019-03-28,3.3,3.44,3.28,3.29,75080720.0,,,
92,2019-03-29,3.29,3.43,3.23,3.39,78883941.0,,,
93,2019-04-01,3.44,3.6,3.44,3.58,102209211.0,,,
94,2019-04-02,3.58,3.7,3.49,3.6,144493972.0,,,
95,2019-04-03,3.53,3.56,3.4,3.46,111352229.0,,,
96,2019-04-04,3.46,3.49,3.37,3.41,77331684.0,,,
97,2019-04-08,3.42,3.48,3.26,3.3,80375697.0,,,
98,2019-04-09,3.35,3.43,3.31,3.38,78122531.0,,,
99,2019-04-10,3.37,3.43,3.27,3.34,66716607.0,,,
