,date,open,high,low,close,volume,120,180,240
0,2018-10-15,5.48,5.72,5.48,5.48,937900.0,,,
1,2018-10-16,5.47,5.58,5.32,5.43,784700.0,,,
2,2018-10-17,5.47,5.53,5.36,5.47,671900.0,,,
3,2018-10-18,5.45,5.45,5.18,5.19,931319.0,,,
4,2018-10-19,5.1,5.31,5.03,5.26,1434200.0,,,
5,2018-10-22,5.79,5.79,5.79,5.79,1051710.0,,,
6,2018-10-23,6.37,6.37,6.22,6.37,4996462.0,,,
7,2018-10-24,6.4,6.66,6.17,6.3,10568891.0,,,
8,2018-10-25,5.88,6.08,5.75,5.92,7234224.0,,,
9,2018-10-26,6.0,6.3,5.92,5.96,4722923.0,,,
10,2018-10-29,5.88,6.05,5.87,6.0,2220523.0,,,
11,2018-10-30,5.92,6.28,5.84,6.14,3499700.0,,,
12,2018-10-31,6.13,6.75,6.11,6.75,5526019.0,,,
13,2018-11-01,6.89,6.98,6.51,6.53,7618648.0,,,
14,2018-11-02,6.66,6.77,6.54,6.67,4947900.0,,,
15,2018-11-05,6.75,7.14,6.66,6.94,6998869.0,,,
16,2018-11-06,6.66,6.78,6.45,6.66,4430200.0,,,
17,2018-11-07,6.61,6.72,6.52,6.55,2653400.0,,,
18,2018-11-08,6.64,6.95,6.62,6.7,3656701.0,,,
19,2018-11-09,6.65,6.95,6.55,6.85,4901000.0,,,
20,2018-11-12,6.77,7.54,6.58,7.31,9516566.0,,,
21,2018-11-13,7.12,7.77,7.08,7.35,8026987.0,,,
22,2018-11-14,7.36,7.65,7.16,7.44,6958371.0,,,
23,2018-11-15,7.32,7.37,7.16,7.36,3793097.0,,,
24,2018-11-16,7.34,7.66,7.2,7.45,4886264.0,,,
25,2018-11-19,7.4,8.06,7.31,8.0,6618868.0,,,
26,2018-11-20,7.7,8.3,7.68,8.08,5688275.0,,,
27,2018-11-21,7.89,8.15,7.72,7.91,2796382.0,,,
28,2018-11-22,7.85,7.98,7.74,7.78,2275983.0,,,
29,2018-11-23,7.76,7.84,7.15,7.2,2755101.0,,,
30,2018-11-26,7.06,7.32,6.96,7.02,1862000.0,,,
31,2018-11-27,7.08,7.22,7.06,7.2,1498621.0,,,
32,2018-11-28,7.26,7.4,7.15,7.4,1346900.0,,,
33,2018-11-29,7.37,7.46,6.9,6.99,1571400.0,,,
34,2018-11-30,7.05,7.16,6.9,7.08,1196200.0,,,
35,2018-12-03,7.2,7.44,7.2,7.34,1669301.0,,,
36,2018-12-04,7.32,7.44,7.32,7.38,1634400.0,,,
37,2018-12-05,7.24,7.37,7.15,7.22,1739300.0,,,
38,2018-12-06,7.21,7.39,7.04,7.1,1756300.0,,,
39,2018-12-07,7.07,7.17,6.93,7.12,1297900.0,,,
40,2018-12-10,7.06,7.08,6.94,6.95,1041500.0,,,
41,2018-12-11,6.95,7.14,6.95,7.14,664900.0,,,
42,2018-12-12,7.17,7.23,7.08,7.15,522100.0,,,
43,2018-12-13,7.18,7.22,7.06,7.17,1086400.0,,,
44,2018-12-14,7.13,7.15,6.76,6.82,1526000.0,,,
45,2018-12-17,6.81,6.92,6.71,6.9,1094500.0,,,
46,2018-12-18,6.81,7.39,6.76,7.33,4036301.0,,,
47,2018-12-19,7.33,7.37,7.07,7.13,1745501.0,,,
48,2018-12-20,7.11,7.18,6.97,7.07,1267600.0,,,
49,2018-12-21,7.03,7.1,6.84,7.02,1343420.0,,,
50,2018-12-24,6.97,7.04,6.92,6.92,1002720.0,,,
51,2018-12-25,6.92,6.92,6.48,6.71,1794720.0,,,
52,2018-12-26,6.72,6.83,6.67,6.73,858520.0,,,
53,2018-12-27,6.81,6.87,6.43,6.48,822110.0,,,
54,2018-12-28,6.54,6.64,6.3,6.36,2057500.0,,,
55,2019-01-02,6.42,6.58,6.39,6.44,1065026.0,,,
56,2019-01-03,6.51,6.57,6.44,6.5,1070000.0,,,
57,2019-01-04,6.44,6.68,6.4,6.63,1202100.0,,,
58,2019-01-07,6.68,6.8,6.65,6.75,1409801.0,,,
59,2019-01-08,6.77,6.85,6.69,6.77,1016000.0,,,
60,2019-01-09,6.75,6.9,6.65,6.75,1466651.0,,,
61,2019-01-10,6.68,6.94,6.68,6.78,1497510.0,,,
62,2019-01-11,6.8,6.87,6.67,6.73,1059049.0,,,
63,2019-01-14,6.76,6.76,6.59,6.61,870727.0,,,
64,2019-01-15,6.65,6.7,6.6,6.68,737126.0,,,
65,2019-01-16,6.68,6.82,6.67,6.76,1162410.0,,,
66,2019-01-17,6.76,6.84,6.55,6.65,716000.0,,,
67,2019-01-18,6.67,6.74,6.5,6.72,790451.0,,,
68,2019-01-21,6.7,6.76,6.63,6.74,899924.0,,,
69,2019-01-22,6.73,6.76,6.53,6.56,943558.0,,,
70,2019-01-23,6.59,6.62,6.44,6.48,1089900.0,,,
71,2019-01-24,6.51,6.55,6.47,6.49,1177900.0,,,
72,2019-01-25,6.49,7.14,6.49,6.79,7096621.0,,,
73,2019-01-28,6.79,6.79,6.46,6.67,5485322.0,,,
74,2019-01-29,6.49,6.77,6.15,6.23,4503222.0,,,
75,2019-01-30,6.05,6.12,5.75,5.79,3209969.0,,,
76,2019-01-31,5.7,5.81,5.42,5.59,2105086.0,,,
77,2019-02-01,5.59,5.75,5.52,5.74,1317601.0,,,
78,2019-02-11,5.74,5.94,5.73,5.92,1274000.0,,,
79,2019-02-12,5.93,6.12,5.91,6.05,1474701.0,,,
80,2019-02-13,6.09,6.16,6.01,6.13,1327853.0,,,
81,2019-02-14,6.14,6.32,6.12,6.28,1773378.0,,,
82,2019-02-15,6.28,6.29,6.16,6.2,1169600.0,,,
83,2019-02-18,6.21,6.44,6.21,6.44,2384338.0,,,
84,2019-02-19,6.48,6.5,6.27,6.42,1457202.0,,,
85,2019-02-20,6.42,6.57,6.39,6.48,1410203.0,,,
86,2019-02-21,6.48,6.63,6.45,6.49,1432871.0,,,
87,2019-02-22,6.48,6.7,6.45,6.62,2008652.0,,,
88,2019-02-25,6.64,7.05,6.64,6.92,3267455.0,,,
89,2019-02-26,6.92,7.14,6.92,6.99,3448154.0,,,
90,2019-02-27,6.97,7.12,6.85,7.0,2297736.0,,,
91,2019-02-28,7.03,7.07,6.92,7.03,1349510.0,,,
92,2019-03-01,7.17,7.25,7.05,7.05,2917270.0,,,
93,2019-03-04,7.05,7.15,7.01,7.07,3087110.0,,,
94,2019-03-05,7.1,7.18,7.02,7.15,2287022.0,,,
95,2019-03-06,7.32,7.32,7.15,7.23,3776859.0,,,
96,2019-03-07,7.32,7.64,7.27,7.48,5262601.0,,,
97,2019-03-08,7.38,7.4,6.95,6.95,4181600.0,,,
98,2019-03-11,7.04,7.32,7.04,7.31,2906206.0,,,
99,2019-03-12,7.45,7.55,7.31,7.39,3509766.0,,,
100,2019-03-13,7.48,7.56,7.2,7.3,3335702.0,,,
101,2019-03-14,7.35,7.38,6.94,7.02,2590099.0,,,
102,2019-03-15,7.1,7.32,7.02,7.29,2534804.0,,,
103,2019-03-18,7.28,7.48,7.23,7.44,2652555.0,,,
104,2019-03-19,7.5,7.56,7.36,7.49,2494602.0,,,
105,2019-03-20,7.49,7.56,7.2,7.44,2905500.0,,,
106,2019-03-21,7.49,7.67,7.39,7.65,3996086.0,,,
107,2019-03-22,7.65,7.73,7.51,7.72,2601208.0,,,
