,date,open,high,low,close,volume,120,180,240
0,2018-11-12,11.07,11.44,11.02,11.23,4052498.0,,,
1,2018-11-13,10.95,12.02,10.95,11.47,4925782.0,,,
2,2018-11-14,11.22,12.17,11.11,11.66,4908152.0,,,
3,2018-11-15,11.49,12.47,11.48,12.16,5569711.0,,,
4,2018-11-16,11.99,13.38,11.76,13.38,6915006.0,,,
5,2018-11-19,13.69,14.72,13.5,14.72,9425836.0,,,
6,2018-11-20,14.72,16.19,14.01,16.19,9829394.0,,,
7,2018-11-21,17.81,17.81,14.57,14.65,15980519.0,,,
8,2018-11-22,14.3,14.72,13.67,13.89,9870696.0,,,
9,2018-11-23,13.44,13.58,12.5,12.57,8187894.0,,,
10,2018-11-26,12.71,13.0,12.35,12.66,4465104.0,,,
11,2018-11-27,12.78,12.85,12.27,12.6,4162155.0,,,
12,2018-11-28,12.6,12.6,11.85,12.18,4608426.0,,,
13,2018-11-29,12.17,12.24,11.65,11.68,3343340.0,,,
14,2018-11-30,11.74,11.86,11.3,11.81,2937721.0,,,
15,2018-12-03,12.17,12.17,11.85,11.85,4564653.0,,,
16,2018-12-04,11.88,12.33,11.69,12.22,5869272.0,,,
17,2018-12-05,11.41,11.72,11.19,11.47,4745659.0,,,
18,2018-12-06,11.54,11.74,11.32,11.38,2639484.0,,,
19,2018-12-07,11.37,11.56,11.28,11.33,1684500.0,,,
20,2018-12-10,11.33,11.46,11.09,11.19,1498548.0,,,
21,2018-12-11,11.29,11.49,11.16,11.47,1596800.0,,,
22,2018-12-12,11.42,11.61,11.35,11.56,2255000.0,,,
23,2018-12-13,11.6,11.74,11.45,11.51,2573000.0,,,
24,2018-12-14,11.41,11.59,11.04,11.04,2048000.0,,,
25,2018-12-17,11.04,11.69,10.82,11.57,2864500.0,,,
26,2018-12-18,11.59,11.84,11.4,11.79,3669000.0,,,
27,2018-12-19,11.83,11.83,11.35,11.56,2442000.0,,,
28,2018-12-20,11.57,12.72,11.4,12.72,8149784.0,,,
29,2018-12-21,12.52,13.56,12.52,12.74,10194596.0,,,
30,2018-12-24,12.77,12.9,12.12,12.31,6044596.0,,,
31,2018-12-25,12.11,12.37,11.41,12.37,5734206.0,,,
32,2018-12-26,12.19,13.61,12.09,13.61,8426375.0,,,
33,2018-12-27,13.99,14.16,12.91,12.91,10135926.0,,,
34,2018-12-28,13.1,13.17,12.53,12.85,4780006.0,,,
35,2019-01-02,13.02,13.48,13.02,13.32,6038661.0,,,
36,2019-01-03,13.19,13.2,12.19,12.25,5337674.0,,,
37,2019-01-04,12.03,12.98,12.03,12.57,4707749.0,,,
38,2019-01-07,12.99,12.99,12.59,12.68,3927984.0,,,
39,2019-01-08,12.89,13.65,12.75,13.17,7118991.0,,,
40,2019-01-09,12.99,13.37,12.69,13.05,5842965.0,,,
41,2019-01-10,12.96,13.16,12.56,12.59,3972686.0,,,
42,2019-01-11,12.64,12.84,12.43,12.5,3037948.0,,,
43,2019-01-14,12.35,12.77,12.35,12.41,2292702.0,,,
44,2019-01-15,12.41,12.98,12.04,12.95,3993483.0,,,
45,2019-01-16,12.81,13.18,12.66,12.74,3098351.0,,,
46,2019-01-17,12.63,13.07,12.49,12.9,3469160.0,,,
47,2019-01-18,12.9,13.04,12.33,12.42,3383160.0,,,
48,2019-01-21,12.31,12.38,12.12,12.22,1865561.0,,,
49,2019-01-22,12.21,12.92,12.12,12.52,3712561.0,,,
50,2019-01-23,12.35,12.48,12.17,12.26,2050827.0,,,
51,2019-01-24,12.34,12.69,12.21,12.29,2020501.0,,,
52,2019-01-25,12.2,12.31,11.44,11.53,2966201.0,,,
53,2019-01-28,11.75,11.75,11.39,11.66,1794800.0,,,
54,2019-01-29,11.7,11.73,10.59,11.2,1517022.0,,,
55,2019-01-30,11.07,11.48,10.89,10.89,1491600.0,,,
56,2019-01-31,11.03,11.17,10.07,10.29,2087900.0,,,
57,2019-02-01,10.78,11.14,10.39,11.08,2102200.0,,,
58,2019-02-11,10.96,11.48,10.95,11.37,1634674.0,,,
59,2019-02-12,11.53,11.54,11.23,11.45,1431490.0,,,
60,2019-02-13,11.69,11.81,11.5,11.79,1873702.0,,,
61,2019-02-14,11.79,12.3,11.66,11.98,2948301.0,,,
62,2019-02-15,11.87,11.97,11.64,11.74,1863100.0,,,
63,2019-02-18,11.74,12.12,11.74,12.1,1912992.0,,,
64,2019-02-19,12.23,12.38,11.88,12.06,2588000.0,,,
65,2019-02-20,12.18,12.53,12.11,12.35,2685729.0,,,
66,2019-02-21,12.44,12.95,12.21,12.29,3539709.0,,,
67,2019-02-22,12.28,12.82,12.07,12.76,4316687.0,,,
68,2019-02-25,12.81,13.34,12.7,13.26,6208648.0,,,
69,2019-02-26,13.18,13.89,12.78,13.42,6831976.0,,,
70,2019-02-27,13.24,13.55,13.0,13.29,4608965.0,,,
71,2019-02-28,13.27,13.27,12.83,12.95,2942356.0,,,
72,2019-03-01,12.95,13.14,12.95,13.08,1957063.0,,,
73,2019-03-04,13.17,13.41,13.06,13.19,3574496.0,,,
74,2019-03-05,13.25,14.41,13.08,14.02,5190475.0,,,
75,2019-03-06,13.95,14.15,13.43,13.89,6184720.0,,,
76,2019-03-07,13.81,14.16,13.62,13.9,4900740.0,,,
77,2019-03-08,13.56,13.76,12.67,12.73,3720695.0,,,
78,2019-03-11,12.84,14.0,12.84,14.0,5880942.0,,,
79,2019-03-12,14.45,14.61,13.9,14.13,8154698.0,,,
80,2019-03-13,14.35,14.97,14.17,14.54,6855344.0,,,
81,2019-03-14,14.19,14.34,13.12,13.46,4471645.0,,,
82,2019-03-15,13.52,13.98,13.41,13.9,3264771.0,,,
83,2019-03-18,13.99,14.55,13.71,14.44,4707108.0,,,
84,2019-03-19,14.95,15.45,14.06,14.2,5390259.0,,,
85,2019-03-20,14.25,14.59,13.7,14.37,4372556.0,,,
86,2019-03-21,14.28,14.62,14.11,14.31,4428001.0,,,
87,2019-03-22,14.39,14.99,14.14,14.99,5438733.0,,,
88,2019-03-25,14.95,15.27,14.56,14.59,4723701.0,,,
89,2019-03-26,14.52,14.89,13.87,14.03,3655737.0,,,
90,2019-03-27,14.17,14.23,13.46,13.68,2422925.0,,,
91,2019-03-28,13.49,13.77,13.02,13.24,2210688.0,,,
92,2019-03-29,13.22,13.63,13.1,13.62,2084255.0,,,
93,2019-04-01,13.59,14.19,13.49,14.15,2449964.0,,,
94,2019-04-02,14.29,14.52,14.05,14.33,3025228.0,,,
95,2019-04-03,14.39,14.47,14.12,14.37,2405461.0,,,
96,2019-04-04,14.53,14.54,14.16,14.32,2283980.0,,,
97,2019-04-08,14.36,14.5,13.74,13.94,2154267.0,,,
98,2019-04-09,13.94,15.18,13.88,14.63,6876878.0,,,
99,2019-04-10,14.37,14.55,14.15,14.29,3643953.0,,,
100,2019-04-11,14.29,14.41,13.67,13.72,2476311.0,,,
101,2019-04-12,13.72,13.99,13.59,13.77,1619116.0,,,
102,2019-04-15,13.98,14.15,13.74,13.78,1451900.0,,,
103,2019-04-16,13.7,13.88,13.32,13.8,1721900.0,,,
104,2019-04-17,13.87,14.04,13.8,14.04,1724599.0,,,
105,2019-04-18,14.04,14.19,13.79,13.87,1685100.0,,,
106,2019-04-19,13.98,13.99,13.79,13.99,1309700.0,,,
107,2019-04-22,14.01,14.27,13.94,14.01,2557556.0,,,
108,2019-04-23,14.08,14.08,13.67,13.73,2052800.0,,,
109,2019-04-24,13.73,14.26,13.57,14.22,1750435.0,,,
110,2019-04-25,14.18,14.18,13.34,13.39,1934015.0,,,
111,2019-04-26,13.39,13.4,12.99,13.02,1418660.0,,,
112,2019-04-29,13.09,13.09,11.99,12.16,1724329.0,,,
113,2019-04-30,12.29,12.52,12.01,12.23,1137831.0,,,
114,2019-05-06,11.8,11.8,11.01,11.01,1899603.0,,,
115,2019-05-07,11.01,11.39,10.73,11.19,1230422.0,,,
116,2019-05-08,11.04,11.34,10.99,11.17,1145300.0,,,
117,2019-05-09,11.1,11.67,10.88,11.14,867802.0,,,
118,2019-05-10,11.39,11.53,10.88,11.48,1037338.0,,,
119,2019-05-13,11.44,11.8,11.33,11.71,1143808.0,12.803083333333335,,
120,2019-05-14,11.65,11.81,11.37,11.59,908329.0,12.806083333333333,,
121,2019-05-15,11.91,11.95,11.62,11.91,888809.0,12.809750000000001,,
