,date,open,high,low,close,volume,120,180,240
0,2018-11-12,6.48,6.72,6.46,6.7,16034182.0,,,
1,2018-11-13,6.59,6.81,6.55,6.72,23494372.0,,,
2,2018-11-14,6.69,6.91,6.62,6.72,24010207.0,,,
3,2018-11-15,6.74,6.86,6.69,6.84,22616634.0,,,
4,2018-11-16,6.9,6.91,6.72,6.75,20420940.0,,,
5,2018-11-19,6.72,6.75,6.61,6.71,12901168.0,,,
6,2018-11-20,6.75,7.24,6.71,6.85,45950576.0,,,
7,2018-11-21,6.62,6.73,6.35,6.71,26821388.0,,,
8,2018-11-22,6.69,7.07,6.67,6.9,27379759.0,,,
9,2018-11-23,6.84,7.0,6.45,6.47,22921691.0,,,
10,2018-11-26,6.4,6.58,6.4,6.5,10062310.0,,,
11,2018-11-27,6.56,6.61,6.42,6.48,10170980.0,,,
12,2018-11-28,6.44,6.59,6.33,6.57,14106789.0,,,
13,2018-11-29,6.59,6.66,6.23,6.23,14640491.0,,,
14,2018-11-30,6.19,6.27,6.05,6.22,10862950.0,,,
15,2018-12-03,6.44,6.54,6.38,6.45,12803489.0,,,
16,2018-12-04,6.42,6.51,6.39,6.51,7487567.0,,,
17,2018-12-05,6.37,6.47,6.31,6.41,8599750.0,,,
18,2018-12-06,6.38,6.4,6.15,6.19,10016226.0,,,
19,2018-12-07,6.23,6.24,6.17,6.21,4166527.0,,,
20,2018-12-10,6.18,6.19,6.02,6.04,6680040.0,,,
21,2018-12-11,6.07,6.16,6.05,6.11,4153638.0,,,
22,2018-12-12,6.13,6.17,6.06,6.08,4609910.0,,,
23,2018-12-13,6.12,6.22,6.05,6.17,7048447.0,,,
24,2018-12-14,6.16,6.27,6.05,6.06,8035421.0,,,
25,2018-12-17,6.04,6.09,5.89,6.09,5475900.0,,,
26,2018-12-18,6.02,6.12,5.97,6.05,4260770.0,,,
27,2018-12-19,6.07,6.07,5.96,5.97,3488320.0,,,
28,2018-12-20,5.93,6.06,5.93,6.04,4042980.0,,,
29,2018-12-21,6.03,6.15,5.98,6.14,6758940.0,,,
30,2018-12-24,6.19,6.32,6.17,6.24,10505000.0,,,
31,2018-12-25,6.14,6.2,5.95,6.16,9129493.0,,,
32,2018-12-26,6.18,6.31,6.13,6.28,12268217.0,,,
33,2018-12-27,6.34,6.38,6.05,6.05,11402790.0,,,
34,2018-12-28,6.05,6.09,5.96,6.04,6577140.0,,,
35,2019-01-02,6.14,6.28,6.06,6.15,9112781.0,,,
36,2019-01-03,6.15,6.25,6.09,6.19,8116621.0,,,
37,2019-01-04,6.1,6.5,6.06,6.47,18259037.0,,,
38,2019-01-07,6.47,6.72,6.39,6.61,22933101.0,,,
39,2019-01-08,6.56,6.63,6.46,6.51,12554310.0,,,
40,2019-01-09,6.53,6.67,6.44,6.45,16340210.0,,,
41,2019-01-10,6.35,6.56,6.32,6.41,13042669.0,,,
42,2019-01-11,6.39,6.84,6.34,6.71,29693458.0,,,
43,2019-01-14,6.65,6.83,6.49,6.54,16137389.0,,,
44,2019-01-15,6.55,7.07,6.54,6.89,38839786.0,,,
45,2019-01-16,6.83,6.96,6.76,6.91,24936825.0,,,
46,2019-01-17,6.86,6.9,6.66,6.71,16522756.0,,,
47,2019-01-18,6.73,6.78,6.52,6.68,14596437.0,,,
48,2019-01-21,6.68,6.74,6.58,6.68,11570649.0,,,
49,2019-01-22,6.67,6.69,6.48,6.51,10673141.0,,,
50,2019-01-23,6.5,6.59,6.46,6.57,5600498.0,,,
51,2019-01-24,6.6,6.79,6.51,6.76,15910017.0,,,
52,2019-01-25,6.71,6.74,6.61,6.61,9661500.0,,,
53,2019-01-28,6.65,6.7,6.39,6.42,11379046.0,,,
54,2019-01-29,6.37,6.38,6.01,6.16,12876199.0,,,
55,2019-01-30,6.12,6.17,5.99,6.04,8115175.0,,,
56,2019-01-31,6.08,6.14,6.01,6.04,6970810.0,,,
57,2019-02-01,6.05,6.24,6.05,6.23,6266983.0,,,
58,2019-02-11,6.24,6.41,6.23,6.4,8789480.0,,,
59,2019-02-12,6.39,6.46,6.36,6.43,11347174.0,,,
60,2019-02-13,6.43,6.66,6.39,6.61,19727171.0,,,
61,2019-02-14,6.58,6.78,6.57,6.63,17491954.0,,,
62,2019-02-15,6.59,7.29,6.59,7.29,31721849.0,,,
63,2019-02-18,7.61,7.97,7.57,7.76,94737558.0,,,
64,2019-02-19,7.69,8.29,7.62,7.94,81521953.0,,,
65,2019-02-20,7.69,7.77,7.56,7.73,46268729.0,,,
66,2019-02-21,7.66,7.83,7.39,7.49,50673641.0,,,
67,2019-02-22,7.46,7.7,7.46,7.65,33056975.0,,,
68,2019-02-25,7.74,8.09,7.73,8.04,57784800.0,,,
69,2019-02-26,7.99,8.82,7.69,8.14,71562105.0,,,
70,2019-02-27,8.01,8.45,7.94,8.24,53228961.0,,,
71,2019-02-28,8.09,8.23,7.92,8.02,29570436.0,,,
72,2019-03-01,8.1,8.43,8.01,8.32,43731431.0,,,
73,2019-03-04,8.49,8.67,8.29,8.33,57459726.0,,,
74,2019-03-05,8.36,8.78,8.36,8.77,63831943.0,,,
75,2019-03-06,8.77,9.23,8.5,9.02,68622316.0,,,
76,2019-03-07,8.91,9.37,8.7,9.14,62429982.0,,,
77,2019-03-08,8.77,9.27,8.5,8.5,50696654.0,,,
78,2019-03-11,8.65,8.97,8.56,8.97,43578116.0,,,
79,2019-03-12,9.12,9.25,8.89,9.24,56680921.0,,,
80,2019-03-13,9.31,9.37,8.69,8.8,43073437.0,,,
81,2019-03-14,8.67,8.74,8.14,8.28,30464960.0,,,
82,2019-03-15,8.37,8.48,8.13,8.34,19940621.0,,,
83,2019-03-18,8.26,8.49,8.09,8.49,19860958.0,,,
84,2019-03-19,8.44,8.92,8.36,8.85,40677873.0,,,
85,2019-03-20,8.89,8.89,8.42,8.61,33831106.0,,,
86,2019-03-21,8.61,8.85,8.55,8.64,28029122.0,,,
87,2019-03-22,8.61,8.67,8.3,8.49,21834217.0,,,
88,2019-03-25,8.29,8.44,8.22,8.3,16891960.0,,,
89,2019-03-26,8.3,8.49,8.1,8.11,20972892.0,,,
90,2019-03-27,8.18,8.22,7.83,8.03,17866527.0,,,
91,2019-03-28,8.01,8.18,7.85,7.88,16682134.0,,,
92,2019-03-29,7.89,8.17,7.77,8.17,17700450.0,,,
