,date,open,high,low,close,volume,120,180,240
0,2018-11-08,10.47,10.7,10.38,10.41,2525612.0,,,
1,2018-11-09,10.23,10.42,10.13,10.15,1722391.0,,,
2,2018-11-12,10.12,10.55,9.92,10.52,2325276.0,,,
3,2018-11-13,10.34,11.1,10.34,10.73,5363896.0,,,
4,2018-11-14,10.58,10.73,10.49,10.61,2236365.0,,,
5,2018-11-15,10.63,11.0,10.6,10.76,2351693.0,,,
6,2018-11-16,10.66,11.16,10.42,10.96,3674315.0,,,
7,2018-11-19,10.98,11.39,10.8,11.3,4489523.0,,,
8,2018-11-20,11.29,11.98,11.02,11.24,6239469.0,,,
9,2018-11-21,11.03,11.73,10.98,11.45,4403789.0,,,
10,2018-11-22,11.28,11.49,10.91,11.01,3029447.0,,,
11,2018-11-23,11.05,11.05,10.42,10.42,2614500.0,,,
12,2018-11-26,10.4,10.68,10.25,10.45,1451400.0,,,
13,2018-11-27,10.73,10.76,10.45,10.65,1239600.0,,,
14,2018-11-28,10.35,10.7,10.35,10.58,921798.0,,,
15,2018-11-29,10.78,11.25,10.51,11.18,2982531.0,,,
16,2018-11-30,11.0,11.05,10.62,10.7,2316331.0,,,
17,2018-12-03,10.75,11.03,10.45,10.99,2264002.0,,,
18,2018-12-04,10.92,11.06,10.81,10.9,1215000.0,,,
19,2018-12-05,10.89,10.89,10.61,10.66,1340192.0,,,
20,2018-12-06,10.66,11.02,10.56,10.69,1690627.0,,,
21,2018-12-07,10.59,10.64,10.37,10.44,1142265.0,,,
22,2018-12-10,10.49,10.67,10.39,10.43,506711.0,,,
23,2018-12-11,10.4,10.53,10.39,10.47,506267.0,,,
24,2018-12-12,10.46,10.7,10.39,10.48,359567.0,,,
25,2018-12-13,10.62,10.62,10.35,10.41,471157.0,,,
26,2018-12-14,10.35,10.46,10.08,10.1,692100.0,,,
27,2018-12-17,10.1,10.1,9.77,9.91,787900.0,,,
28,2018-12-18,9.89,10.2,9.88,10.1,903827.0,,,
29,2018-12-19,10.08,10.19,9.8,9.85,658501.0,,,
30,2018-12-20,9.85,10.07,9.73,9.95,655400.0,,,
31,2018-12-21,10.02,10.58,10.0,10.04,791388.0,,,
32,2018-12-24,10.0,10.0,9.73,9.92,517449.0,,,
33,2018-12-25,10.08,10.14,9.8,9.93,634322.0,,,
34,2018-12-26,9.93,10.0,9.81,9.99,547531.0,,,
35,2018-12-27,9.96,10.14,9.11,9.48,600883.0,,,
36,2018-12-28,9.5,9.92,9.35,9.62,766802.0,,,
37,2019-01-02,9.64,9.84,9.45,9.7,458985.0,,,
38,2019-01-03,9.7,10.55,9.56,10.38,1358675.0,,,
39,2019-01-04,10.27,10.45,10.02,10.31,1264579.0,,,
40,2019-01-07,10.11,10.42,10.11,10.38,962049.0,,,
41,2019-01-08,10.38,10.38,10.02,10.11,621510.0,,,
42,2019-01-09,10.11,10.22,10.05,10.11,730404.0,,,
43,2019-01-10,10.0,10.35,10.0,10.25,825572.0,,,
44,2019-01-11,10.11,10.15,10.0,10.12,499800.0,,,
45,2019-01-14,10.2,10.35,9.98,10.12,601856.0,,,
46,2019-01-15,10.03,10.15,9.99,10.1,581867.0,,,
47,2019-01-16,10.03,10.28,10.01,10.19,722300.0,,,
48,2019-01-17,10.31,10.31,10.05,10.09,454300.0,,,
49,2019-01-18,10.1,10.15,9.7,9.88,903140.0,,,
50,2019-01-21,9.9,10.04,9.74,10.04,561386.0,,,
