,date,open,high,low,close,volume,120,180,240
0,2018-11-12,8.26,8.5,8.12,8.16,50618120.0,,,
1,2018-11-13,8.09,8.29,8.04,8.17,44107124.0,,,
2,2018-11-14,8.25,8.3,7.9,7.93,39653400.0,,,
3,2018-11-15,8.12,8.28,7.94,8.13,43763040.0,,,
4,2018-11-16,7.82,8.05,7.71,7.96,40217838.0,,,
5,2018-11-19,7.96,7.98,7.78,7.86,23304480.0,,,
6,2018-11-20,7.83,7.9,7.71,7.71,21930165.0,,,
7,2018-11-21,7.57,7.58,7.11,7.38,30262538.0,,,
8,2018-11-22,7.44,7.67,7.34,7.48,25106222.0,,,
9,2018-11-23,7.45,7.45,6.82,6.97,25221578.0,,,
10,2018-11-26,6.93,7.05,6.56,6.68,20730109.0,,,
11,2018-11-27,6.82,6.84,6.54,6.64,14277547.0,,,
12,2018-11-28,6.66,6.84,6.42,6.8,18868243.0,,,
13,2018-11-29,6.86,6.95,6.55,6.56,17552033.0,,,
14,2018-11-30,6.5,6.57,6.25,6.47,17292431.0,,,
15,2018-12-03,6.7,6.8,6.6,6.67,17687345.0,,,
16,2018-12-04,6.65,7.34,6.62,7.34,32161267.0,,,
17,2018-12-05,7.46,7.64,7.2,7.35,54911143.0,,,
18,2018-12-06,7.3,7.55,7.2,7.39,35701392.0,,,
19,2018-12-07,7.35,7.48,7.23,7.28,21642517.0,,,
20,2018-12-10,7.29,7.87,7.29,7.48,34439560.0,,,
21,2018-12-11,7.3,7.43,7.24,7.37,22535426.0,,,
22,2018-12-12,7.33,7.36,7.17,7.21,20191460.0,,,
23,2018-12-13,7.35,7.53,7.27,7.29,33688840.0,,,
24,2018-12-14,7.28,7.42,7.11,7.15,23515680.0,,,
25,2018-12-17,6.99,6.99,6.6,6.79,23788570.0,,,
26,2018-12-18,6.74,6.87,6.68,6.77,13694360.0,,,
27,2018-12-19,6.63,6.9,6.6,6.61,12837741.0,,,
28,2018-12-20,6.62,6.7,6.55,6.65,11795592.0,,,
29,2018-12-21,6.59,6.62,6.19,6.36,16948725.0,,,
30,2018-12-24,6.35,6.49,6.23,6.42,15187729.0,,,
31,2018-12-25,6.29,6.29,5.95,6.16,17738294.0,,,
32,2018-12-26,6.16,6.19,6.06,6.12,12113020.0,,,
33,2018-12-27,6.32,6.44,6.01,6.01,19083992.0,,,
34,2018-12-28,6.01,6.08,5.75,5.85,15355692.0,,,
35,2019-01-02,5.88,5.91,5.58,5.65,13944180.0,,,
36,2019-01-03,5.68,6.08,5.61,5.82,23149092.0,,,
37,2019-01-04,5.7,6.13,5.46,6.01,26161511.0,,,
38,2019-01-07,6.02,6.13,5.89,6.12,21104871.0,,,
39,2019-01-08,6.1,6.6,6.03,6.33,37024162.0,,,
40,2019-01-09,6.39,6.47,6.16,6.21,28179930.0,,,
41,2019-01-10,6.16,6.26,6.06,6.1,15773551.0,,,
42,2019-01-11,6.1,6.22,5.98,6.11,14080007.0,,,
43,2019-01-14,6.14,6.39,6.08,6.33,27245142.0,,,
44,2019-01-15,6.5,6.59,6.31,6.34,31661025.0,,,
45,2019-01-16,5.71,5.98,5.71,5.8,36279155.0,,,
46,2019-01-17,5.76,5.85,5.68,5.73,14282735.0,,,
47,2019-01-18,5.75,5.79,5.58,5.65,14967973.0,,,
48,2019-01-21,5.67,5.69,5.6,5.65,9527009.0,,,
49,2019-01-22,5.63,5.64,5.48,5.5,12685737.0,,,
50,2019-01-23,5.49,5.49,5.32,5.42,12430610.0,,,
51,2019-01-24,5.43,5.43,5.31,5.37,8702440.0,,,
52,2019-01-25,5.44,5.44,5.2,5.22,10867860.0,,,
53,2019-01-28,5.27,5.29,5.17,5.23,8658450.0,,,
54,2019-01-29,5.21,5.23,4.86,5.01,10812337.0,,,
55,2019-01-30,5.06,5.06,4.94,4.95,5894126.0,,,
56,2019-01-31,4.99,4.99,4.46,4.46,23717267.0,,,
57,2019-02-01,4.29,4.55,4.29,4.5,12757380.0,,,
58,2019-02-11,4.6,4.82,4.53,4.67,12884736.0,,,
59,2019-02-12,4.72,5.01,4.72,4.83,20608920.0,,,
60,2019-02-13,4.9,4.93,4.76,4.89,16699440.0,,,
61,2019-02-14,4.9,5.15,4.82,4.99,20642739.0,,,
62,2019-02-15,5.01,5.1,4.92,5.02,18151340.0,,,
63,2019-02-18,4.92,5.13,4.92,5.12,20484830.0,,,
64,2019-02-19,5.14,5.24,5.08,5.18,27686350.0,,,
65,2019-02-20,5.19,5.43,5.18,5.32,26228645.0,,,
66,2019-02-21,5.31,5.38,5.22,5.24,19367642.0,,,
67,2019-02-22,5.26,5.39,5.21,5.33,18846482.0,,,
68,2019-02-25,5.38,5.65,5.37,5.59,35169797.0,,,
69,2019-02-26,5.63,5.95,5.48,5.6,37890966.0,,,
70,2019-02-27,5.58,5.76,5.5,5.63,24035542.0,,,
71,2019-02-28,5.63,5.7,5.53,5.64,17812095.0,,,
72,2019-03-01,5.66,5.8,5.52,5.72,29534888.0,,,
73,2019-03-04,5.7,5.86,5.61,5.79,35338637.0,,,
74,2019-03-05,5.73,5.88,5.69,5.87,27461290.0,,,
75,2019-03-06,5.9,6.16,5.83,6.12,39241877.0,,,
76,2019-03-07,6.15,6.45,6.02,6.36,39844699.0,,,
77,2019-03-08,6.25,6.25,5.72,5.72,34227396.0,,,
78,2019-03-11,5.71,6.19,5.71,6.18,28423245.0,,,
79,2019-03-12,6.31,6.8,6.25,6.8,72020989.0,,,
80,2019-03-13,6.82,6.82,6.26,6.36,63576240.0,,,
81,2019-03-14,6.36,6.64,6.08,6.44,40428520.0,,,
82,2019-03-15,6.66,7.08,6.55,6.82,58034204.0,,,
83,2019-03-18,7.4,7.4,6.6,6.7,52728046.0,,,
84,2019-03-19,6.59,7.1,6.42,7.05,53574351.0,,,
85,2019-03-20,6.95,6.95,6.71,6.81,33003571.0,,,
86,2019-03-21,6.8,6.81,6.63,6.69,27913246.0,,,
87,2019-03-22,6.64,6.68,6.41,6.53,22214945.0,,,
88,2019-03-25,6.35,6.62,6.18,6.53,18891851.0,,,
89,2019-03-26,6.53,6.72,6.46,6.47,22401222.0,,,
90,2019-03-27,6.65,6.84,6.52,6.7,27642774.0,,,
91,2019-03-28,6.56,6.61,6.3,6.34,21147077.0,,,
92,2019-03-29,6.31,6.46,6.17,6.43,21081286.0,,,
93,2019-04-01,6.21,6.73,6.21,6.69,37593760.0,,,
94,2019-04-02,6.69,6.81,6.56,6.64,33692237.0,,,
