,date,open,high,low,close,volume,10,60,250
0,2020-03-18,4.9,4.96,4.8,4.81,2884700.0,,,
1,2020-03-19,4.76,4.86,4.71,4.84,2665700.0,,,
2,2020-03-20,4.87,4.89,4.81,4.85,1857100.0,,,
3,2020-03-23,4.75,4.84,4.74,4.78,2701109.0,,,
4,2020-03-24,4.82,4.88,4.74,4.82,2560411.0,,,
5,2020-03-25,4.87,4.92,4.84,4.91,3085418.0,,,
6,2020-03-26,4.88,4.92,4.85,4.87,1918700.0,,,
7,2020-03-27,4.9,4.96,4.86,4.88,2616702.0,,,
8,2020-03-30,4.74,4.82,4.7,4.8,2161010.0,,,
9,2020-03-31,4.82,4.84,4.79,4.81,1551000.0,4.837,,
10,2020-04-01,4.78,4.83,4.78,4.79,1751700.0,4.834999999999999,,
11,2020-04-02,4.77,4.91,4.76,4.9,2353401.0,4.840999999999999,,
12,2020-04-03,4.89,5.11,4.86,5.06,3141001.0,4.862,,
13,2020-04-07,5.05,5.1,5.04,5.05,2971700.0,4.888999999999999,,
14,2020-04-08,5.01,5.25,5.0,5.15,3197900.0,4.921999999999999,,
15,2020-04-09,5.15,5.24,5.11,5.22,2486746.0,4.9529999999999985,,
16,2020-04-10,5.22,5.48,5.17,5.34,5555401.0,4.999999999999999,,
17,2020-04-13,5.31,5.43,5.22,5.3,2313580.0,5.041999999999999,,
18,2020-04-14,5.3,5.49,5.27,5.38,3009999.0,5.1,,
19,2020-04-15,5.36,5.39,5.27,5.3,2748801.0,5.148999999999999,,
20,2020-04-16,5.26,5.32,5.23,5.25,2414398.0,5.1949999999999985,,
21,2020-04-17,5.24,5.29,5.21,5.25,1898978.0,5.229999999999999,,
22,2020-04-20,5.25,5.25,5.15,5.17,1756101.0,5.240999999999999,,
23,2020-04-21,5.16,5.16,5.09,5.12,1639101.0,5.247999999999999,,
24,2020-04-22,5.1,5.22,5.06,5.17,1579601.0,5.249999999999999,,
25,2020-04-23,5.12,5.43,5.12,5.4,4314910.0,5.267999999999999,,
26,2020-04-24,5.4,5.43,5.24,5.26,2906201.0,5.26,,
27,2020-04-27,5.26,5.52,5.26,5.49,5299773.0,5.279,,
28,2020-04-28,5.4,5.64,5.26,5.41,4479563.0,5.282,,
29,2020-04-29,5.36,5.56,5.28,5.29,3404213.0,5.281000000000001,,
30,2020-04-30,5.34,5.37,5.03,5.12,5180794.0,5.268,,
31,2020-05-06,5.06,5.15,5.06,5.14,2085285.0,5.257,,
32,2020-05-07,5.15,5.17,5.1,5.11,1578300.0,5.2509999999999994,,
33,2020-05-08,5.12,5.14,5.09,5.11,1740812.0,5.25,,
34,2020-05-11,5.1,5.18,5.06,5.12,2188997.0,5.244999999999999,,
35,2020-05-12,5.11,5.12,5.07,5.08,1213300.0,5.212999999999999,,
36,2020-05-13,5.08,5.12,5.07,5.08,1712301.0,5.194999999999999,,
37,2020-05-14,5.07,5.08,5.0,5.0,2226300.0,5.145999999999999,,
38,2020-05-15,5.0,5.1,5.0,5.05,1729002.0,5.109999999999999,,
39,2020-05-18,5.03,5.06,4.92,4.93,2498210.0,5.074,,
40,2020-05-19,4.96,4.98,4.93,4.94,1050000.0,5.055999999999999,,
41,2020-05-20,4.94,4.95,4.86,4.87,1850700.0,5.028999999999999,,
42,2020-05-21,4.88,4.91,4.73,4.77,3140635.0,4.994999999999999,,
43,2020-05-22,4.75,4.81,4.68,4.8,2377200.0,4.963999999999999,,
44,2020-05-25,4.79,4.82,4.75,4.81,1251100.0,4.932999999999999,,
45,2020-05-26,4.83,4.86,4.81,4.84,948700.0,4.908999999999999,,
46,2020-05-27,4.84,4.88,4.77,4.85,1555301.0,4.885999999999999,,
47,2020-05-28,4.85,4.86,4.79,4.8,1823515.0,4.865999999999999,,
48,2020-05-29,4.81,4.9,4.8,4.84,1579400.0,4.844999999999999,,
