,date,open,high,low,close,volume,120,180,240
0,2018-10-26,10.87,11.23,10.66,10.71,7039271.0,,,
1,2018-10-29,10.23,10.77,10.0,10.15,4633171.0,,,
2,2018-10-30,10.39,10.77,10.22,10.5,5089354.0,,,
3,2018-10-31,10.28,10.64,10.0,10.63,6459019.0,,,
4,2018-11-01,10.56,10.98,10.29,10.6,5922171.0,,,
5,2018-11-02,10.58,10.93,10.56,10.8,5290753.0,,,
6,2018-11-05,10.85,11.49,10.77,11.14,7058747.0,,,
7,2018-11-06,10.79,10.97,10.41,10.8,3824998.0,,,
8,2018-11-07,10.82,11.36,10.61,10.89,3756186.0,,,
9,2018-11-08,10.87,11.77,10.87,11.39,8002074.0,,,
10,2018-11-09,11.27,11.31,11.0,11.0,4463262.0,,,
11,2018-11-12,11.0,11.68,10.85,11.45,6410428.0,,,
12,2018-11-13,11.27,12.59,11.18,12.11,8681461.0,,,
13,2018-11-14,11.95,13.32,11.95,13.32,8156664.0,,,
14,2018-11-15,14.0,14.65,13.01,13.25,14743840.0,,,
15,2018-11-16,13.11,13.46,12.84,13.0,8379628.0,,,
16,2018-11-19,12.76,12.92,12.51,12.82,5686001.0,,,
17,2018-11-20,12.87,13.09,12.26,12.43,4475400.0,,,
18,2018-11-21,12.2,12.7,11.88,12.62,4008603.0,,,
19,2018-11-22,12.65,13.04,12.58,12.7,4000600.0,,,
20,2018-11-23,12.7,12.7,11.43,11.44,4373224.0,,,
21,2018-11-26,11.19,11.64,11.19,11.45,3051680.0,,,
22,2018-11-27,11.65,11.8,11.2,11.36,2797524.0,,,
23,2018-11-28,11.35,11.55,10.93,11.43,2426400.0,,,
24,2018-11-29,11.58,11.61,10.66,10.68,3119924.0,,,
25,2018-11-30,10.69,11.6,10.65,11.29,4691101.0,,,
26,2018-12-03,11.61,11.73,11.32,11.47,4273902.0,,,
27,2018-12-04,11.43,11.57,11.22,11.4,3846238.0,,,
28,2018-12-05,11.11,11.16,10.94,11.06,3501000.0,,,
29,2018-12-06,11.05,11.13,10.66,10.71,2692109.0,,,
30,2018-12-07,10.81,10.81,10.63,10.77,1726700.0,,,
31,2018-12-10,10.77,10.77,10.33,10.51,2360014.0,,,
32,2018-12-11,10.65,11.4,10.64,10.95,4803590.0,,,
33,2018-12-12,10.82,10.86,10.38,10.49,4443174.0,,,
34,2018-12-13,10.41,10.5,10.29,10.3,3525100.0,,,
35,2018-12-14,10.33,10.46,9.93,10.0,2871502.0,,,
36,2018-12-17,10.04,10.2,9.81,10.09,2683856.0,,,
37,2018-12-18,10.02,10.11,9.77,9.89,2840119.0,,,
38,2018-12-19,9.9,10.22,9.9,9.97,3335200.0,,,
