,date,open,high,low,close,volume,10,60,250
0,2020-03-17,4.83,4.93,4.63,4.63,5813002.0,,,
1,2020-03-18,4.68,4.74,4.45,4.5,4308423.0,,,
2,2020-03-19,4.4,4.47,4.28,4.28,2395000.0,,,
3,2020-03-20,4.1,4.43,4.08,4.41,7222238.0,,,
4,2020-03-23,4.26,4.5,4.19,4.19,3785200.0,,,
5,2020-03-24,4.26,4.27,3.98,4.06,5325175.0,,,
6,2020-03-25,4.14,4.17,4.07,4.1,2740000.0,,,
7,2020-03-26,4.07,4.19,4.07,4.18,2009038.0,,,
8,2020-03-27,4.19,4.39,4.19,4.23,3651100.0,,,
9,2020-03-30,4.11,4.21,4.02,4.02,3265600.0,4.26,,
10,2020-03-31,4.0,4.06,3.82,3.82,4111900.0,4.178999999999999,,
11,2020-04-01,3.68,3.93,3.68,3.7,3442900.0,4.098999999999999,,
12,2020-04-02,3.7,3.74,3.52,3.71,6318500.0,4.042,,
13,2020-04-03,3.71,3.9,3.64,3.9,4673200.0,3.9909999999999997,,
14,2020-04-07,4.06,4.07,3.95,4.0,4937900.0,3.972,,
15,2020-04-08,3.98,4.14,3.91,4.03,2377200.0,3.969,,
16,2020-04-09,4.05,4.12,3.98,4.07,2184700.0,3.9659999999999997,,
17,2020-04-10,4.08,4.13,3.92,3.96,2174900.0,3.944,,
18,2020-04-13,4.06,4.15,3.95,4.02,4085700.0,3.922999999999999,,
19,2020-04-14,3.99,4.02,3.91,3.95,2681300.0,3.9159999999999995,,
20,2020-04-15,3.87,3.92,3.75,3.75,4125800.0,3.909,,
21,2020-04-16,3.56,3.74,3.56,3.61,3862300.0,3.8999999999999995,,
22,2020-04-17,3.63,3.79,3.6,3.79,3363100.0,3.907999999999999,,
23,2020-04-20,3.9,3.98,3.79,3.98,2744500.0,3.915999999999999,,
24,2020-04-21,4.11,4.18,4.0,4.06,6109100.0,3.9219999999999993,,
25,2020-04-22,4.0,4.0,3.86,3.98,3185854.0,3.916999999999999,,
26,2020-04-23,4.0,4.15,3.98,4.05,2700954.0,3.9149999999999983,,
27,2020-04-24,3.98,4.08,3.96,3.98,1728600.0,3.916999999999998,,
28,2020-04-27,3.78,3.78,3.78,3.78,1298400.0,3.892999999999998,,
29,2020-04-28,3.59,3.97,3.59,3.97,6777139.0,3.8949999999999974,,
30,2020-04-29,4.06,4.17,3.77,3.79,12211919.0,3.8989999999999974,,
31,2020-04-30,3.6,3.9,3.6,3.8,7098020.0,3.917999999999997,,
32,2020-05-06,3.93,3.95,3.77,3.87,3127400.0,3.925999999999997,,
33,2020-05-07,3.93,3.93,3.69,3.76,2203300.0,3.9039999999999973,,
34,2020-05-08,3.74,3.8,3.65,3.76,2128100.0,3.8739999999999966,,
35,2020-05-11,3.69,3.8,3.68,3.76,1380300.0,3.8519999999999968,,
36,2020-05-12,3.72,3.76,3.69,3.7,764400.0,3.8169999999999975,,
37,2020-05-13,3.66,3.69,3.53,3.68,2889500.0,3.7869999999999977,,
38,2020-05-14,3.62,3.69,3.58,3.6,1148400.0,3.7689999999999975,,
39,2020-05-15,3.6,3.64,3.55,3.56,1657200.0,3.727999999999998,,
40,2020-05-18,3.54,3.54,3.38,3.38,3570700.0,3.6869999999999985,,
41,2020-05-19,3.38,3.41,3.21,3.21,3800600.0,3.627999999999999,,
42,2020-05-20,3.06,3.22,3.05,3.05,4174200.0,3.5459999999999985,,
43,2020-05-21,2.93,3.02,2.9,2.9,3076000.0,3.4599999999999986,,
44,2020-05-22,2.76,3.05,2.76,3.05,6385395.0,3.3889999999999985,,
45,2020-05-25,3.12,3.2,3.1,3.2,3958395.0,3.3329999999999993,,
46,2020-05-26,3.32,3.36,3.3,3.36,973500.0,3.2989999999999986,,
47,2020-05-27,3.53,3.53,3.4,3.42,5857502.0,3.272999999999999,,
48,2020-05-28,3.4,3.43,3.29,3.36,1921900.0,3.2489999999999988,,
49,2020-05-29,3.36,3.53,3.34,3.53,4157504.0,3.2459999999999987,,
50,2020-06-01,3.53,3.62,3.41,3.53,4003580.0,3.2609999999999983,,
51,2020-06-02,3.45,3.52,3.4,3.4,2157400.0,3.2799999999999985,,
52,2020-06-03,3.38,3.49,3.33,3.47,2365700.0,3.3219999999999983,,
53,2020-06-04,3.45,3.47,3.32,3.39,1656700.0,3.3709999999999987,,
54,2020-06-05,3.22,3.43,3.22,3.23,3429900.0,3.3889999999999985,,
55,2020-06-08,3.23,3.23,3.09,3.13,2935275.0,3.381999999999999,,
56,2020-06-09,3.16,3.19,3.07,3.14,1781800.0,3.3599999999999985,,
57,2020-06-10,3.16,3.16,2.98,3.13,2227275.0,3.3309999999999986,,
58,2020-06-11,3.13,3.29,3.11,3.29,2402775.0,3.323999999999999,,
59,2020-06-12,3.29,3.38,3.23,3.33,3519775.0,3.3039999999999985,3.724833333333333,
60,2020-06-15,3.45,3.45,3.26,3.3,2457275.0,3.280999999999998,3.7026666666666666,
61,2020-06-16,3.27,3.33,3.25,3.27,1320875.0,3.2679999999999985,3.682166666666667,
62,2020-06-17,3.25,3.27,3.16,3.2,1732200.0,3.2409999999999988,3.6641666666666666,
63,2020-06-18,3.18,3.24,3.15,3.16,1429675.0,3.217999999999999,3.643333333333333,
64,2020-06-19,3.13,3.17,3.11,3.13,1385600.0,3.2079999999999997,3.6256666666666666,
65,2020-06-22,3.1,3.12,3.06,3.09,1782000.0,3.2039999999999997,3.6094999999999997,
66,2020-06-23,3.09,3.23,3.09,3.17,2456700.0,3.207,3.594,
67,2020-06-24,3.16,3.33,3.16,3.33,6361679.0,3.2269999999999994,3.579833333333333,
68,2020-06-29,3.33,3.38,3.23,3.31,3865950.0,3.229,3.5645000000000002,
69,2020-06-30,3.28,3.36,3.28,3.3,1653700.0,3.226,3.5525,
70,2020-07-01,3.33,3.46,3.3,3.37,2534200.0,3.2329999999999997,3.5450000000000004,
71,2020-07-02,3.36,3.38,3.29,3.35,2332440.0,3.2409999999999997,3.539166666666667,
72,2020-07-03,3.38,3.46,3.33,3.45,2622700.0,3.2659999999999996,3.5348333333333333,
73,2020-07-06,3.38,3.42,3.3,3.34,6090700.0,3.2840000000000003,3.5255,
74,2020-07-07,3.35,3.37,3.3,3.32,4162775.0,3.303,3.5141666666666667,
75,2020-07-08,3.33,3.34,3.17,3.22,4596840.0,3.316,3.5006666666666666,
76,2020-07-09,3.22,3.3,3.21,3.28,3404121.0,3.3269999999999995,3.4875,
77,2020-07-10,3.29,3.3,3.23,3.23,2374823.0,3.3169999999999993,3.475333333333333,
78,2020-07-13,3.2,3.28,3.17,3.24,3186700.0,3.3099999999999996,3.462333333333333,
79,2020-07-14,3.25,3.27,3.21,3.26,3358794.0,3.3059999999999996,3.450833333333333,
80,2020-07-15,3.24,3.26,3.16,3.17,2490600.0,3.286,3.4411666666666663,
81,2020-07-16,3.22,3.22,3.07,3.08,2203802.0,3.2589999999999995,3.432333333333333,
82,2020-07-17,3.08,3.23,3.03,3.23,4061270.0,3.236999999999999,3.4229999999999996,
83,2020-07-20,3.25,3.25,3.15,3.2,3092300.0,3.222999999999999,3.4099999999999993,
84,2020-07-21,3.18,3.22,3.14,3.15,2400500.0,3.2059999999999986,3.3948333333333327,
85,2020-07-22,3.14,3.21,3.12,3.16,1878300.0,3.1999999999999984,3.381166666666666,
86,2020-07-23,3.11,3.32,3.11,3.27,4761800.0,3.198999999999999,3.3681666666666663,
87,2020-07-24,3.24,3.42,3.23,3.31,5187602.0,3.2069999999999994,3.3569999999999998,
88,2020-07-27,3.31,3.44,3.24,3.26,2862702.0,3.2089999999999987,3.348333333333333,
89,2020-07-28,3.18,3.27,3.18,3.25,1275900.0,3.2079999999999993,3.336333333333333,
90,2020-07-29,3.25,3.28,3.21,3.26,1613000.0,3.2169999999999987,3.3274999999999997,
91,2020-07-30,3.17,3.27,3.17,3.24,2182316.0,3.232999999999999,3.318166666666666,
92,2020-07-31,3.24,3.31,3.23,3.26,1728518.0,3.2359999999999993,3.3079999999999994,
93,2020-08-03,3.28,3.34,3.25,3.34,3741900.0,3.2499999999999987,3.3009999999999997,
94,2020-08-04,3.35,3.49,3.31,3.43,6160100.0,3.2779999999999987,3.2954999999999997,
95,2020-08-05,3.47,3.49,3.37,3.4,2984800.0,3.3019999999999983,3.2895,
96,2020-08-06,3.3,3.4,3.3,3.36,2493652.0,3.3109999999999977,3.283833333333334,
97,2020-08-07,3.35,3.36,3.28,3.28,1845100.0,3.3079999999999976,3.277166666666667,
98,2020-08-10,3.31,3.37,3.29,3.3,1804700.0,3.3119999999999976,3.2721666666666676,
99,2020-08-11,3.3,3.33,3.23,3.26,1665200.0,3.3129999999999975,3.267166666666667,
100,2020-08-12,3.24,3.3,3.22,3.26,1342500.0,3.3129999999999975,3.265166666666667,
101,2020-08-13,3.27,3.27,3.23,3.24,1120200.0,3.3129999999999975,3.265666666666667,
102,2020-08-14,3.24,3.26,3.2,3.21,1474700.0,3.3079999999999976,3.2683333333333335,
103,2020-08-17,3.21,3.24,3.14,3.21,2344211.0,3.2949999999999973,3.2735000000000003,
104,2020-08-18,3.2,3.21,3.18,3.19,1612527.0,3.2709999999999972,3.2758333333333334,
105,2020-08-19,3.19,3.19,3.13,3.14,2123400.0,3.2449999999999974,3.2748333333333335,
106,2020-08-20,3.13,3.26,3.09,3.17,1814502.0,3.2259999999999978,3.2716666666666665,
107,2020-08-21,3.23,3.23,3.14,3.15,1343100.0,3.2129999999999974,3.2671666666666668,
108,2020-08-24,3.25,3.31,3.25,3.31,1909102.0,3.2139999999999977,3.2663333333333333,
109,2020-08-25,3.45,3.45,3.3,3.31,4233800.0,3.2189999999999985,3.2626666666666666,
110,2020-08-26,3.27,3.4,3.21,3.32,2912027.0,3.2249999999999988,3.2591666666666663,
111,2020-08-27,3.32,3.36,3.27,3.33,1451523.0,3.233999999999998,3.258,
112,2020-08-28,3.33,3.37,3.27,3.37,1967502.0,3.249999999999998,3.256333333333333,
113,2020-08-31,3.34,3.47,3.32,3.39,3157600.0,3.267999999999998,3.256333333333333,
