,date,open,high,low,close,volume,120,180,240
0,2018-11-13,7.83,7.97,7.81,7.88,58015234.0,,,
1,2018-11-14,7.9,7.96,7.81,7.93,39327072.0,,,
2,2018-11-15,7.92,7.95,7.7,7.93,38471508.0,,,
3,2018-11-16,7.92,7.96,7.83,7.86,56060301.0,,,
4,2018-11-19,7.85,7.89,7.78,7.85,47161177.0,,,
5,2018-11-20,7.82,7.84,7.69,7.69,48621584.0,,,
6,2018-11-21,7.63,7.69,7.58,7.65,45181796.0,,,
7,2018-11-22,7.66,7.69,7.59,7.65,25651360.0,,,
8,2018-11-23,7.66,7.68,7.47,7.5,37396513.0,,,
9,2018-11-26,7.51,7.56,7.43,7.51,22803043.0,,,
10,2018-11-27,7.57,7.62,7.54,7.56,25093953.0,,,
11,2018-11-28,7.56,7.68,7.54,7.67,24969874.0,,,
12,2018-11-29,7.72,7.78,7.63,7.64,33821102.0,,,
13,2018-11-30,7.61,7.75,7.61,7.73,25756898.0,,,
14,2018-12-03,7.86,7.96,7.83,7.95,67165401.0,,,
15,2018-12-04,7.9,7.98,7.9,7.93,33788178.0,,,
16,2018-12-05,7.85,7.96,7.82,7.88,45857250.0,,,
17,2018-12-06,7.84,7.86,7.75,7.79,32920100.0,,,
18,2018-12-07,7.81,7.88,7.79,7.88,33151545.0,,,
19,2018-12-10,7.88,7.9,7.76,7.85,25779714.0,,,
20,2018-12-11,7.9,7.92,7.82,7.9,23709658.0,,,
21,2018-12-12,7.92,8.08,7.88,8.04,45112703.0,,,
22,2018-12-13,8.04,8.3,8.01,8.19,81117007.0,,,
23,2018-12-14,8.19,8.28,8.13,8.14,57539362.0,,,
24,2018-12-17,8.13,8.4,8.11,8.35,70732067.0,,,
25,2018-12-18,8.29,8.37,8.25,8.28,57493435.0,,,
26,2018-12-19,8.28,8.39,8.2,8.25,55461716.0,,,
27,2018-12-20,8.2,8.33,8.12,8.17,67641475.0,,,
28,2018-12-21,8.2,8.25,8.11,8.13,60739368.0,,,
29,2018-12-24,8.13,8.41,8.13,8.24,59758261.0,,,
30,2018-12-25,8.17,8.17,7.99,8.02,42036868.0,,,
31,2018-12-26,8.06,8.2,8.05,8.09,39092074.0,,,
32,2018-12-27,8.18,8.26,8.04,8.09,33950776.0,,,
33,2018-12-28,8.04,8.07,7.82,8.03,60266990.0,,,
34,2019-01-02,8.0,8.0,7.65,7.75,52628289.0,,,
35,2019-01-03,7.69,7.81,7.59,7.63,37870436.0,,,
36,2019-01-04,7.58,7.77,7.48,7.77,38129559.0,,,
37,2019-01-07,7.82,7.86,7.73,7.84,46680785.0,,,
38,2019-01-08,7.83,7.85,7.76,7.8,24808961.0,,,
39,2019-01-09,7.8,7.94,7.77,7.81,42959033.0,,,
40,2019-01-10,7.8,7.81,7.72,7.74,29498990.0,,,
41,2019-01-11,7.85,7.89,7.76,7.88,42042069.0,,,
42,2019-01-14,7.91,8.07,7.85,8.07,48264299.0,,,
43,2019-01-15,8.04,8.23,7.97,8.11,64364819.0,,,
44,2019-01-16,8.16,8.2,8.07,8.15,43662383.0,,,
45,2019-01-17,8.16,8.28,8.13,8.21,39201531.0,,,
46,2019-01-18,8.24,8.37,8.19,8.32,50765488.0,,,
47,2019-01-21,8.35,8.4,8.26,8.29,35661199.0,,,
48,2019-01-22,8.25,8.35,8.2,8.22,40962853.0,,,
49,2019-01-23,8.3,8.39,8.28,8.38,41178880.0,,,
50,2019-01-24,8.41,8.58,8.38,8.53,58685008.0,,,
51,2019-01-25,8.59,8.74,8.53,8.73,64937519.0,,,
52,2019-01-28,8.79,8.83,8.68,8.74,65292630.0,,,
53,2019-01-29,8.68,8.81,8.55,8.8,56262888.0,,,
54,2019-01-30,8.82,8.94,8.76,8.78,55938898.0,,,
55,2019-01-31,8.93,8.99,8.68,8.78,59150754.0,,,
56,2019-02-01,8.87,9.13,8.86,9.13,80555785.0,,,
57,2019-02-11,9.19,9.25,9.06,9.13,55323052.0,,,
58,2019-02-12,9.13,9.41,9.1,9.34,88646147.0,,,
59,2019-02-13,9.31,9.45,9.25,9.4,79246038.0,,,
60,2019-02-14,9.39,9.45,9.32,9.39,57780097.0,,,
61,2019-02-15,9.39,9.39,9.09,9.11,55305744.0,,,
62,2019-02-18,9.16,9.57,9.16,9.54,103124031.0,,,
63,2019-02-19,9.55,9.55,9.21,9.25,86251048.0,,,
64,2019-02-20,9.28,9.51,9.24,9.33,63984098.0,,,
65,2019-02-21,9.27,9.53,9.15,9.39,74423991.0,,,
66,2019-02-22,9.26,10.06,9.26,9.97,130344460.0,,,
67,2019-02-25,10.07,10.74,10.06,10.51,170954210.0,,,
68,2019-02-26,10.46,10.68,10.35,10.4,100476539.0,,,
69,2019-02-27,10.35,10.47,9.97,10.01,114206333.0,,,
70,2019-02-28,10.05,10.17,9.94,10.0,63473650.0,,,
71,2019-03-01,10.17,10.35,9.97,10.32,105814039.0,,,
72,2019-03-04,10.59,11.35,10.52,11.11,268123824.0,,,
73,2019-03-05,11.11,11.28,10.86,11.05,165295538.0,,,
74,2019-03-06,11.05,11.2,10.88,11.14,128454639.0,,,
75,2019-03-07,11.07,11.08,10.65,10.8,127225674.0,,,
76,2019-03-08,10.6,11.12,10.38,10.67,163525875.0,,,
77,2019-03-11,10.67,10.84,10.43,10.76,121487951.0,,,
78,2019-03-12,10.85,11.39,10.85,11.32,193735227.0,,,
79,2019-03-13,11.31,11.46,11.01,11.08,132566117.0,,,
80,2019-03-14,10.98,11.5,10.93,11.22,132866691.0,,,
81,2019-03-15,11.26,12.08,11.26,11.92,188855905.0,,,
82,2019-03-18,11.94,12.61,11.94,12.5,193611576.0,,,
83,2019-03-19,12.38,12.6,12.23,12.32,116880992.0,,,
84,2019-03-20,12.28,12.97,12.19,12.61,147810689.0,,,
85,2019-03-21,12.73,12.99,12.43,12.63,114447337.0,,,
86,2019-03-22,12.83,12.89,12.21,12.39,119934522.0,,,
87,2019-03-25,12.04,12.25,11.8,11.85,168602912.0,,,
88,2019-03-26,11.92,11.99,11.44,11.64,156156885.0,,,
89,2019-03-27,11.7,11.94,11.52,11.84,126666457.0,,,
90,2019-03-28,11.65,11.8,11.56,11.61,101522935.0,,,
91,2019-03-29,11.75,12.35,11.55,12.3,178631098.0,,,
92,2019-04-01,12.53,12.78,12.32,12.47,207263724.0,,,
93,2019-04-02,12.55,12.65,12.05,12.16,170082119.0,,,
94,2019-04-03,12.18,12.49,12.09,12.44,135461620.0,,,
95,2019-04-04,12.49,13.13,12.49,12.86,187551892.0,,,
96,2019-04-08,13.19,13.36,12.87,13.28,189804360.0,,,
97,2019-04-09,13.19,13.24,12.88,13.05,125695793.0,,,
