,date,open,high,low,close,volume,10,60,250
0,2020-03-18,18.19,19.28,17.86,18.29,8361299.0,,,
1,2020-03-19,18.2,18.94,17.67,17.89,7036042.0,,,
2,2020-03-20,18.12,18.47,17.56,18.22,5937841.0,,,
3,2020-03-23,17.65,18.12,17.53,17.64,4377290.0,,,
4,2020-03-24,17.35,18.3,16.27,18.13,16659787.0,,,
5,2020-03-25,18.18,19.25,17.94,18.94,10501089.0,,,
6,2020-03-26,18.83,19.54,18.56,19.3,7591188.0,,,
7,2020-03-27,19.29,19.82,19.03,19.06,5218277.0,,,
8,2020-03-30,18.76,19.37,18.68,19.07,6024659.0,,,
9,2020-03-31,19.07,20.17,18.78,20.14,10073340.0,18.668,,
10,2020-04-01,19.94,20.35,19.45,19.85,8815693.0,18.824,,
11,2020-04-02,19.65,19.94,19.13,19.52,5982679.0,18.987000000000002,,
12,2020-04-03,19.43,20.04,19.1,19.17,4972355.0,19.082,,
13,2020-04-07,19.31,20.49,19.3,20.26,11142095.0,19.344,,
14,2020-04-08,22.24,22.28,21.5,22.28,14154973.0,19.759,,
15,2020-04-09,22.68,23.63,21.88,23.14,21494020.0,20.179000000000002,,
16,2020-04-10,22.94,22.94,21.53,21.64,13445398.0,20.413,,
17,2020-04-13,21.46,22.27,20.98,21.55,8861764.0,20.662,,
18,2020-04-14,21.65,21.82,21.25,21.81,9092582.0,20.936,,
19,2020-04-15,21.76,22.14,21.2,21.92,9186499.0,21.114000000000004,,
20,2020-04-16,21.73,22.09,21.28,21.63,7528138.0,21.292000000000005,,
21,2020-04-17,21.44,21.62,20.57,21.2,12518626.0,21.46,,
22,2020-04-20,21.03,21.62,20.61,21.39,8175383.0,21.682,,
23,2020-04-21,21.39,21.62,20.86,21.11,5908084.0,21.767000000000003,,
24,2020-04-22,21.02,22.41,20.87,22.23,9895127.0,21.762,,
25,2020-04-23,22.24,22.38,21.67,21.75,6966137.0,21.623,,
26,2020-04-24,21.93,22.08,21.1,21.6,5150291.0,21.619,,
27,2020-04-27,21.64,22.32,20.97,22.09,7577670.0,21.673,,
28,2020-04-28,22.09,23.14,21.55,23.02,12184359.0,21.794,,
29,2020-04-29,23.12,23.61,21.82,21.96,12425864.0,21.798000000000002,,
30,2020-04-30,21.66,21.97,20.66,21.4,12490934.0,21.775000000000002,,
31,2020-05-06,21.11,21.83,20.85,21.74,8841344.0,21.829000000000004,,
32,2020-05-07,21.91,22.55,21.45,22.31,9238529.0,21.921000000000003,,
33,2020-05-08,22.33,22.54,21.63,22.26,8120363.0,22.036,,
34,2020-05-11,22.25,22.55,22.0,22.51,6601511.0,22.064,,
35,2020-05-12,22.57,23.28,22.34,23.11,11095639.0,22.2,,
36,2020-05-13,22.97,24.19,22.79,23.82,12275164.0,22.422,,
