,date,open,high,low,close,volume,120,180,240
0,2018-11-13,15.23,15.52,15.07,15.12,6356465.0,,,
1,2018-11-14,15.07,15.17,14.97,15.0,2968200.0,,,
2,2018-11-15,14.96,15.36,14.96,15.35,3483493.0,,,
3,2018-11-16,15.36,15.42,15.12,15.18,3076700.0,,,
4,2018-11-19,15.18,15.25,14.6,14.85,2749400.0,,,
5,2018-11-20,14.74,14.76,14.23,14.23,2052382.0,,,
6,2018-11-21,14.05,14.14,13.9,14.1,2023200.0,,,
7,2018-11-22,14.09,14.34,14.07,14.2,1434400.0,,,
8,2018-11-23,14.23,14.26,13.24,13.27,2275200.0,,,
9,2018-11-26,13.21,13.21,12.93,12.99,1250266.0,,,
10,2018-11-27,13.01,13.18,12.98,13.06,861700.0,,,
11,2018-11-28,13.12,13.33,12.9,13.29,1380766.0,,,
12,2018-11-29,13.33,13.37,12.76,12.76,1351366.0,,,
13,2018-11-30,12.69,12.83,12.43,12.79,1315659.0,,,
14,2018-12-03,13.1,13.73,13.02,13.52,2929485.0,,,
15,2018-12-04,13.42,13.66,13.33,13.45,1455828.0,,,
16,2018-12-05,13.16,13.52,13.04,13.48,1503900.0,,,
17,2018-12-06,13.45,13.45,13.21,13.25,1327393.0,,,
18,2018-12-07,13.17,13.36,13.17,13.31,708365.0,,,
19,2018-12-10,13.21,13.47,13.1,13.45,1426759.0,,,
20,2018-12-11,13.45,13.6,13.41,13.58,1055559.0,,,
21,2018-12-12,13.6,13.63,13.52,13.62,1089159.0,,,
22,2018-12-13,13.6,14.19,13.52,14.13,2759925.0,,,
23,2018-12-14,13.96,14.19,13.92,14.16,1758346.0,,,
24,2018-12-17,14.13,14.28,13.75,14.2,1539071.0,,,
25,2018-12-18,14.17,14.96,14.01,14.88,5028544.0,,,
26,2018-12-19,14.74,14.78,14.41,14.49,2596900.0,,,
27,2018-12-20,14.35,14.47,14.04,14.13,1814755.0,,,
28,2018-12-21,14.01,14.11,13.67,13.79,1635700.0,,,
29,2018-12-24,13.79,14.28,13.64,14.27,2136355.0,,,
30,2018-12-25,14.02,14.67,13.86,14.57,3954146.0,,,
31,2018-12-26,14.57,14.65,14.22,14.47,3472377.0,,,
32,2018-12-27,14.59,14.7,14.26,14.33,2250500.0,,,
33,2018-12-28,14.27,14.35,14.0,14.29,1985251.0,,,
34,2019-01-02,14.32,14.32,14.1,14.13,653958.0,,,
35,2019-01-03,14.23,14.32,13.88,13.97,961300.0,,,
36,2019-01-04,13.89,14.2,13.18,14.05,2400466.0,,,
37,2019-01-07,14.17,14.19,13.95,14.13,956969.0,,,
38,2019-01-08,14.16,14.32,13.73,13.98,2082860.0,,,
39,2019-01-09,13.89,14.15,13.86,13.89,992824.0,,,
40,2019-01-10,13.9,13.9,13.45,13.46,1343700.0,,,
41,2019-01-11,13.45,13.67,13.26,13.62,1129200.0,,,
42,2019-01-14,13.62,13.62,13.35,13.52,729258.0,,,
43,2019-01-15,13.48,13.56,13.37,13.51,742324.0,,,
44,2019-01-16,13.41,13.55,13.34,13.45,764761.0,,,
45,2019-01-17,13.3,13.45,13.17,13.45,906000.0,,,
46,2019-01-18,13.39,13.64,13.3,13.64,1102085.0,,,
47,2019-01-21,13.67,14.26,13.67,14.07,1763461.0,,,
48,2019-01-22,14.17,14.17,13.84,14.02,1091524.0,,,
49,2019-01-23,13.91,14.02,13.83,13.91,613800.0,,,
50,2019-01-24,13.96,13.98,13.71,13.98,1098100.0,,,
51,2019-01-25,13.97,14.04,13.82,13.94,814800.0,,,
52,2019-01-28,14.34,14.85,13.71,13.73,1409078.0,,,
53,2019-01-29,13.64,13.65,13.08,13.11,1304900.0,,,
54,2019-01-30,12.87,13.45,12.85,13.14,1180600.0,,,
55,2019-01-31,13.09,13.22,12.85,13.18,1113400.0,,,
56,2019-02-01,13.31,13.56,13.15,13.36,853531.0,,,
57,2019-02-11,13.45,13.83,13.31,13.75,1158100.0,,,
58,2019-02-12,13.74,13.92,13.68,13.82,1282300.0,,,
59,2019-02-13,13.7,14.24,13.68,14.13,2697500.0,,,
60,2019-02-14,14.13,14.66,14.03,14.59,3648000.0,,,
61,2019-02-15,14.85,14.85,14.37,14.47,2906916.0,,,
62,2019-02-18,14.56,14.95,14.56,14.89,4612400.0,,,
63,2019-02-19,14.9,14.95,14.47,14.58,2707300.0,,,
64,2019-02-20,14.6,14.69,14.19,14.36,1875900.0,,,
65,2019-02-21,14.36,14.63,14.22,14.35,2976800.0,,,
66,2019-02-22,14.27,14.42,13.98,14.36,2750955.0,,,
67,2019-02-25,14.43,15.26,14.35,15.26,4659600.0,,,
68,2019-02-26,15.3,15.65,15.03,15.37,4351860.0,,,
69,2019-02-27,15.4,15.56,15.03,15.17,2185000.0,,,
70,2019-02-28,15.15,15.31,15.04,15.25,1148355.0,,,
71,2019-03-01,15.25,15.3,14.89,15.1,1430030.0,,,
72,2019-03-04,15.1,15.45,15.1,15.16,2761855.0,,,
73,2019-03-05,15.16,15.35,15.03,15.35,2229710.0,,,
