,date,open,high,low,close,volume,120,180,240
0,2018-11-13,19.0,19.44,19.0,19.41,709713.0,,,
1,2018-11-14,19.41,20.9,19.2,20.69,1529015.0,,,
2,2018-11-15,20.35,20.58,19.94,20.52,2085123.0,,,
3,2018-11-16,20.5,20.5,20.01,20.08,1062450.0,,,
4,2018-11-19,20.09,20.27,19.71,20.25,1147947.0,,,
5,2018-11-20,20.08,20.08,19.71,19.88,1033839.0,,,
6,2018-11-21,19.71,20.09,19.68,19.9,582019.0,,,
7,2018-11-22,19.9,20.1,19.82,20.01,499415.0,,,
8,2018-11-23,20.19,20.35,19.75,19.75,794219.0,,,
9,2018-11-26,19.75,19.94,19.61,19.78,514579.0,,,
10,2018-11-27,19.78,19.94,19.51,19.56,526849.0,,,
11,2018-11-28,19.68,20.24,19.43,20.13,1211954.0,,,
12,2018-11-29,20.04,20.08,19.0,19.35,688550.0,,,
13,2018-11-30,19.34,19.5,18.77,19.23,770475.0,,,
14,2018-12-03,19.3,19.79,19.27,19.47,1195867.0,,,
15,2018-12-04,19.47,19.87,19.44,19.84,793400.0,,,
16,2018-12-05,19.7,20.12,19.55,19.99,1192800.0,,,
17,2018-12-06,19.81,21.35,18.81,20.0,1907800.0,,,
18,2018-12-07,19.85,19.86,19.19,19.69,2314064.0,,,
19,2018-12-10,19.43,19.43,18.45,18.7,1725931.0,,,
20,2018-12-11,18.64,18.66,18.02,18.49,1024654.0,,,
21,2018-12-12,18.62,18.68,18.41,18.6,574172.0,,,
22,2018-12-13,18.6,18.74,18.22,18.49,1295714.0,,,
23,2018-12-14,18.4,18.53,18.11,18.22,613807.0,,,
24,2018-12-17,18.0,18.36,17.9,18.22,572700.0,,,
25,2018-12-18,18.21,18.32,18.0,18.18,415415.0,,,
26,2018-12-19,18.22,18.22,17.98,17.98,350819.0,,,
27,2018-12-20,17.79,18.04,17.66,17.75,574700.0,,,
28,2018-12-21,17.75,17.88,17.59,17.88,501615.0,,,
29,2018-12-24,17.88,18.14,17.59,18.09,427482.0,,,
30,2018-12-25,18.0,18.0,17.47,17.8,760970.0,,,
31,2018-12-26,17.82,17.95,17.71,17.8,524315.0,,,
32,2018-12-27,17.99,18.02,17.44,17.53,527631.0,,,
33,2018-12-28,17.45,17.73,17.11,17.58,405800.0,,,
34,2019-01-02,17.76,17.88,17.52,17.68,477100.0,,,
35,2019-01-03,17.79,17.8,17.3,17.41,423679.0,,,
36,2019-01-04,17.41,17.68,17.22,17.65,535206.0,,,
37,2019-01-07,17.66,18.0,17.66,17.97,803655.0,,,
38,2019-01-08,17.91,18.44,17.81,18.16,695586.0,,,
39,2019-01-09,18.22,18.4,18.0,18.0,805658.0,,,
40,2019-01-10,18.08,18.18,18.0,18.15,550200.0,,,
41,2019-01-11,18.19,18.19,17.94,18.11,506375.0,,,
42,2019-01-14,18.11,18.16,17.66,17.66,447218.0,,,
