,date,open,high,low,close,volume,10,60,250
0,2020-03-18,62.91,64.24,60.96,60.99,3750700.0,,,
1,2020-03-19,62.62,63.28,60.64,62.42,3859830.0,,,
2,2020-03-20,63.36,64.24,61.49,63.03,2268546.0,,,
3,2020-03-23,61.17,62.32,58.32,58.91,2518411.0,,,
4,2020-03-24,60.33,61.23,58.91,60.83,2045158.0,,,
5,2020-03-25,62.41,62.92,60.87,61.68,2342420.0,,,
6,2020-03-26,61.6,62.57,60.77,61.9,2262852.0,,,
7,2020-03-27,62.82,62.82,61.29,61.45,1738203.0,,,
8,2020-03-30,60.32,60.32,56.17,58.09,3303844.0,,,
9,2020-03-31,59.08,59.2,56.54,56.67,2109246.0,60.596999999999994,,
10,2020-04-01,56.29,57.32,55.42,56.26,2372265.0,60.12399999999999,,
11,2020-04-02,56.45,58.33,54.88,58.33,2103669.0,59.714999999999996,,
12,2020-04-03,58.34,61.67,58.34,61.1,4034883.0,59.522000000000006,,
13,2020-04-07,61.74,62.59,61.18,61.66,2407102.0,59.797000000000004,,
14,2020-04-08,61.4,62.4,61.4,62.07,1595016.0,59.92100000000001,,
15,2020-04-09,61.84,65.15,61.84,64.32,2887480.0,60.185,,
16,2020-04-10,64.32,64.32,61.12,62.12,2376155.0,60.20700000000001,,
17,2020-04-13,62.11,62.11,60.08,60.88,1370575.0,60.15,,
18,2020-04-14,61.3,64.32,60.99,64.32,2467408.0,60.77299999999999,,
19,2020-04-15,64.11,65.74,63.48,63.48,1680393.0,61.45399999999999,,
20,2020-04-16,63.76,64.82,63.34,64.07,1324060.0,62.23499999999999,,
21,2020-04-17,64.7,65.73,63.91,63.97,1906701.0,62.79899999999999,,
22,2020-04-20,64.64,65.04,63.71,64.09,1370718.0,63.09799999999999,,
23,2020-04-21,63.9,64.73,62.41,63.41,2167079.0,63.27299999999999,,
24,2020-04-22,62.65,64.49,62.65,64.21,1093467.0,63.48699999999999,,
25,2020-04-23,64.48,64.8,62.95,62.99,1088323.0,63.354,,
26,2020-04-24,63.02,63.32,61.96,62.07,978227.0,63.349000000000004,,
27,2020-04-27,62.75,62.75,61.08,61.18,1485862.0,63.379,,
28,2020-04-28,61.94,63.05,57.42,61.48,2052622.0,63.095000000000006,,
29,2020-04-29,61.29,64.68,61.29,63.73,1989734.0,63.120000000000005,,
30,2020-04-30,63.75,66.55,63.75,64.58,2475445.0,63.17100000000001,,
31,2020-05-06,64.06,67.97,63.66,67.41,2454589.0,63.515,,
32,2020-05-07,67.82,69.52,67.38,67.82,3037017.0,63.888,,
33,2020-05-08,68.16,69.61,68.16,68.58,1725650.0,64.405,,
34,2020-05-11,69.03,69.13,67.38,67.78,1221925.0,64.762,,
35,2020-05-12,67.49,68.26,66.33,67.55,1445726.0,65.21799999999999,,
36,2020-05-13,67.77,69.46,66.56,68.64,1471990.0,65.87499999999999,,
37,2020-05-14,68.65,68.98,67.23,67.81,971267.0,66.538,,
38,2020-05-15,67.82,68.64,67.15,67.67,1364841.0,67.157,,
39,2020-05-18,67.32,69.09,66.76,67.19,1948229.0,67.503,,
40,2020-05-19,67.58,71.88,67.57,70.52,3535409.0,68.097,,
41,2020-05-20,70.82,71.28,69.65,70.2,1913545.0,68.376,,
42,2020-05-21,70.2,71.56,68.13,68.22,1744363.0,68.41600000000001,,
