,date,open,high,low,close,volume,120,180,240
0,2018-10-31,5.06,5.1,5.02,5.06,1343606.0,,,
1,2018-11-01,5.06,5.12,5.01,5.01,2043401.0,,,
2,2018-11-02,5.04,5.17,5.03,5.08,1979991.0,,,
3,2018-11-05,5.09,5.11,5.04,5.07,2118655.0,,,
4,2018-11-06,5.07,5.18,5.04,5.18,2580068.0,,,
5,2018-11-07,5.13,5.31,5.13,5.25,3240953.0,,,
6,2018-11-08,5.26,5.29,5.2,5.21,1708201.0,,,
7,2018-11-09,5.27,5.27,5.06,5.11,2779641.0,,,
8,2018-11-12,5.1,5.45,5.1,5.35,5064625.0,,,
9,2018-11-13,5.35,5.4,5.29,5.37,2754822.0,,,
10,2018-11-14,5.36,5.44,5.32,5.36,2334263.0,,,
11,2018-11-15,5.36,5.48,5.36,5.46,4294714.0,,,
12,2018-11-16,5.45,5.51,5.44,5.49,3921713.0,,,
13,2018-11-19,5.45,5.53,5.39,5.51,2443800.0,,,
14,2018-11-20,5.5,5.53,5.43,5.48,2509662.0,,,
15,2018-11-21,5.45,5.5,5.32,5.47,3035539.0,,,
16,2018-11-22,5.45,5.77,5.36,5.64,5806932.0,,,
17,2018-11-23,5.54,5.61,5.37,5.41,4260401.0,,,
18,2018-11-26,5.4,5.46,5.34,5.38,1840236.0,,,
19,2018-11-27,5.26,5.36,5.05,5.21,5295684.0,,,
20,2018-11-28,5.21,5.22,5.07,5.21,1787700.0,,,
21,2018-11-29,5.21,5.27,5.18,5.21,1984990.0,,,
22,2018-11-30,5.22,5.26,5.1,5.14,1497192.0,,,
23,2018-12-03,5.31,5.34,5.18,5.25,3013578.0,,,
24,2018-12-04,5.22,5.28,5.22,5.27,1794216.0,,,
25,2018-12-05,5.21,5.26,5.13,5.22,1397479.0,,,
26,2018-12-06,5.18,5.27,5.1,5.13,2020392.0,,,
27,2018-12-07,5.16,5.16,5.0,5.04,2034300.0,,,
28,2018-12-10,5.02,5.18,5.0,5.13,2180154.0,,,
29,2018-12-11,5.09,5.18,4.92,5.05,3749338.0,,,
