,date,open,high,low,close,volume,120,180,240
0,2018-11-06,9.18,9.2,8.84,8.87,70123196.0,,,
1,2018-11-07,9.09,9.18,8.85,8.9,59573862.0,,,
2,2018-11-08,8.97,9.02,8.65,8.67,49502716.0,,,
3,2018-11-09,8.57,9.03,8.57,8.97,58628395.0,,,
4,2018-11-12,9.12,9.77,8.98,9.77,101542157.0,,,
5,2018-11-13,9.56,10.05,9.44,9.7,95641648.0,,,
6,2018-11-14,9.64,10.05,9.55,9.94,75767265.0,,,
7,2018-11-15,9.87,9.95,9.69,9.9,51415184.0,,,
8,2018-11-16,9.87,9.9,9.72,9.73,49280999.0,,,
9,2018-11-19,9.66,9.7,9.29,9.54,67217621.0,,,
10,2018-11-20,9.38,9.57,9.2,9.21,43806314.0,,,
11,2018-11-21,9.09,9.3,9.07,9.26,30511369.0,,,
12,2018-11-22,9.31,9.49,9.18,9.39,38037169.0,,,
13,2018-11-23,9.42,9.45,8.75,8.84,44453015.0,,,
14,2018-11-26,8.84,8.84,8.24,8.4,53700322.0,,,
15,2018-11-27,8.45,8.52,8.21,8.32,38741675.0,,,
16,2018-11-28,8.32,8.48,8.25,8.44,36724027.0,,,
17,2018-11-29,8.48,8.61,8.09,8.1,42563159.0,,,
18,2018-11-30,8.1,8.21,7.9,8.16,36207874.0,,,
19,2018-12-03,8.4,8.56,8.29,8.49,47876673.0,,,
20,2018-12-04,8.49,8.58,8.4,8.51,33074144.0,,,
21,2018-12-05,8.24,8.34,8.17,8.24,60488706.0,,,
22,2018-12-06,8.15,8.19,7.93,7.94,40854815.0,,,
23,2018-12-07,7.98,8.19,7.96,8.15,31146613.0,,,
24,2018-12-10,8.22,8.28,7.91,7.98,41494627.0,,,
25,2018-12-11,8.02,8.05,7.78,7.92,37259176.0,,,
26,2018-12-12,7.95,8.1,7.9,8.02,32413707.0,,,
27,2018-12-13,8.05,8.28,7.98,8.23,47153193.0,,,
28,2018-12-14,8.19,8.38,8.0,8.04,49269665.0,,,
29,2018-12-17,7.98,8.28,7.94,8.25,40380968.0,,,
30,2018-12-18,8.13,8.2,7.99,8.06,30426363.0,,,
31,2018-12-19,8.07,8.1,7.92,7.95,21109852.0,,,
32,2018-12-20,7.84,7.93,7.78,7.86,25415427.0,,,
33,2018-12-21,7.82,7.85,7.55,7.64,30814151.0,,,
34,2018-12-24,7.6,7.6,7.49,7.57,24829684.0,,,
35,2018-12-25,7.45,7.45,6.94,7.22,51112997.0,,,
36,2018-12-26,7.17,7.2,6.93,6.93,59110479.0,,,
37,2018-12-27,7.02,7.08,6.82,6.83,45118760.0,,,
38,2018-12-28,6.92,6.96,6.81,6.84,31431077.0,,,
39,2019-01-02,6.89,6.93,6.76,6.8,24489570.0,,,
40,2019-01-03,6.83,6.86,6.62,6.79,31834031.0,,,
41,2019-01-04,6.63,7.03,6.59,6.98,46177686.0,,,
42,2019-01-07,7.03,7.05,6.96,7.01,42348494.0,,,
43,2019-01-08,6.97,7.12,6.82,7.04,55882484.0,,,
44,2019-01-09,6.97,7.15,6.95,7.0,61248592.0,,,
45,2019-01-10,6.99,7.03,6.85,6.87,47925258.0,,,
46,2019-01-11,6.86,6.91,6.79,6.87,35158500.0,,,
47,2019-01-14,6.86,6.9,6.64,6.68,44344618.0,,,
48,2019-01-15,6.64,6.76,6.62,6.73,44022962.0,,,
49,2019-01-16,6.74,6.93,6.74,6.77,50301059.0,,,
50,2019-01-17,6.77,6.81,6.65,6.66,36351434.0,,,
51,2019-01-18,6.67,6.85,6.67,6.83,47826357.0,,,
52,2019-01-21,6.9,6.94,6.8,6.84,46628526.0,,,
53,2019-01-22,6.83,7.12,6.73,6.96,79903341.0,,,
54,2019-01-23,6.95,7.08,6.74,6.82,63847142.0,,,
55,2019-01-24,6.8,6.82,6.65,6.72,42473784.0,,,
56,2019-01-25,6.74,6.75,6.56,6.58,49285366.0,,,
57,2019-01-28,6.59,6.62,6.01,6.03,87591137.0,,,
58,2019-01-29,5.96,6.05,5.75,5.86,50004145.0,,,
59,2019-01-30,5.82,6.04,5.82,5.88,38026843.0,,,
60,2019-01-31,5.88,6.02,5.82,5.89,36530362.0,,,
61,2019-02-01,5.95,6.22,5.93,6.21,53900625.0,,,
62,2019-02-11,6.2,6.41,6.17,6.38,43556606.0,,,
63,2019-02-12,6.39,6.81,6.35,6.7,72483252.0,,,
64,2019-02-13,6.59,6.81,6.46,6.75,99597029.0,,,
65,2019-02-14,6.72,6.79,6.61,6.72,51396392.0,,,
66,2019-02-15,6.82,7.39,6.82,7.21,179613344.0,,,
67,2019-02-18,7.3,7.44,7.1,7.41,131755139.0,,,
68,2019-02-19,7.51,7.68,7.37,7.49,117817941.0,,,
69,2019-02-20,7.44,7.46,7.24,7.35,73693243.0,,,
70,2019-02-21,7.3,7.48,7.25,7.26,85542958.0,,,
71,2019-02-22,7.32,7.42,7.23,7.36,74962324.0,,,
72,2019-02-25,7.49,8.09,7.42,8.06,162198811.0,,,
73,2019-02-26,8.09,8.55,7.87,8.22,171291789.0,,,
74,2019-02-27,8.24,8.52,7.99,8.16,126731303.0,,,
75,2019-02-28,8.26,8.4,8.16,8.29,77175481.0,,,
76,2019-03-01,8.35,8.41,8.08,8.24,74095111.0,,,
77,2019-03-04,8.34,8.92,8.27,8.59,164769519.0,,,
78,2019-03-05,8.48,8.69,8.4,8.66,106745212.0,,,
79,2019-03-06,8.77,8.83,8.49,8.69,111190535.0,,,
80,2019-03-07,8.65,8.66,8.42,8.55,113041260.0,,,
81,2019-03-08,8.32,8.39,7.89,7.93,122280485.0,,,
82,2019-03-11,7.92,8.19,7.92,8.18,79554039.0,,,
83,2019-03-12,8.2,8.63,8.18,8.45,128722869.0,,,
84,2019-03-13,8.49,8.49,8.17,8.26,80082088.0,,,
85,2019-03-14,8.22,8.36,7.94,8.04,61280734.0,,,
86,2019-03-15,8.08,8.19,7.99,8.06,43409940.0,,,
87,2019-03-18,8.06,8.36,8.06,8.34,66646808.0,,,
88,2019-03-19,8.39,8.49,8.29,8.49,79562910.0,,,
89,2019-03-20,8.49,8.49,8.21,8.37,66243387.0,,,
90,2019-03-21,8.39,8.45,8.28,8.33,65258172.0,,,
91,2019-03-22,8.28,8.34,8.08,8.25,59550308.0,,,
92,2019-03-25,8.01,8.19,7.98,8.03,48924868.0,,,
93,2019-03-26,8.06,8.11,7.6,7.73,54181176.0,,,
94,2019-03-27,7.73,7.79,7.43,7.59,61119650.0,,,
95,2019-03-28,7.57,7.68,7.48,7.51,37970085.0,,,
96,2019-03-29,7.51,7.8,7.46,7.79,64387189.0,,,
97,2019-04-01,7.56,7.94,7.51,7.92,112315573.0,,,
98,2019-04-02,7.92,8.09,7.84,7.88,79670426.0,,,
99,2019-04-03,7.82,8.06,7.78,8.06,75050499.0,,,
100,2019-04-04,8.19,8.23,7.94,8.09,84853495.0,,,
101,2019-04-08,8.09,8.41,8.06,8.24,107324556.0,,,
102,2019-04-09,8.23,8.26,8.08,8.2,59717539.0,,,
103,2019-04-10,8.09,8.13,7.99,8.02,58475053.0,,,
104,2019-04-11,8.02,8.03,7.66,7.68,78114361.0,,,
105,2019-04-12,7.68,7.81,7.66,7.74,38239886.0,,,
106,2019-04-15,7.86,7.91,7.67,7.71,42900029.0,,,
107,2019-04-16,7.69,7.9,7.56,7.9,57395964.0,,,
108,2019-04-17,7.89,8.1,7.79,8.09,81268473.0,,,
109,2019-04-18,8.08,8.13,7.95,7.97,60605472.0,,,
110,2019-04-19,8.05,8.72,7.97,8.37,167310151.0,,,
111,2019-04-22,8.18,8.25,7.94,7.95,124470422.0,,,
112,2019-04-23,7.85,7.85,7.63,7.65,72282780.0,,,
113,2019-04-24,7.52,7.53,6.89,7.11,118271387.0,,,
114,2019-04-25,7.05,7.22,6.91,6.94,61981728.0,,,
115,2019-04-26,6.94,7.13,6.91,7.03,42800383.0,,,
116,2019-04-29,7.09,7.1,6.48,6.6,60068932.0,,,
117,2019-04-30,6.32,6.62,6.24,6.46,46352626.0,,,
118,2019-05-06,6.23,6.24,5.82,5.82,76825556.0,,,
119,2019-05-07,5.85,5.91,5.75,5.83,37484134.0,7.7525,,
120,2019-05-08,5.73,5.89,5.52,5.79,33452567.0,7.726833333333333,,
121,2019-05-09,5.73,5.87,5.68,5.78,25059725.0,7.700833333333334,,
122,2019-05-10,5.86,5.92,5.7,5.88,37769542.0,7.677583333333334,,
123,2019-05-13,5.89,6.02,5.84,5.9,30467491.0,7.652,,
124,2019-05-14,5.81,5.91,5.76,5.82,23511937.0,7.619083333333334,,
125,2019-05-15,5.87,5.92,5.84,5.87,26605393.0,7.587166666666667,,
126,2019-05-16,5.86,5.89,5.82,5.88,27618780.0,7.553333333333333,,
127,2019-05-17,5.89,5.9,5.58,5.6,38994234.0,7.5175,,
128,2019-05-20,5.57,5.57,5.17,5.4,35151889.0,7.481416666666666,,
129,2019-05-21,5.41,5.62,5.39,5.54,29067282.0,7.448083333333333,,
130,2019-05-22,5.54,5.59,5.42,5.47,23164674.0,7.416916666666666,,
131,2019-05-23,5.45,5.46,5.27,5.3,23289720.0,7.383916666666666,,
132,2019-05-24,5.28,5.4,5.25,5.28,21570186.0,7.349666666666666,,
133,2019-05-27,5.32,5.39,5.24,5.38,21293195.0,7.320833333333332,,
134,2019-05-28,5.3,5.43,5.28,5.29,34567452.0,7.294916666666666,,
135,2019-05-29,5.25,5.31,5.24,5.26,22680604.0,7.2694166666666655,,
136,2019-05-30,5.24,5.24,4.9,4.97,62268417.0,7.240499999999998,,
137,2019-05-31,4.99,5.47,4.98,5.47,52663894.0,7.218583333333331,,
138,2019-06-03,5.79,5.96,5.59,5.84,150486207.0,7.199249999999998,,
139,2019-06-04,5.69,5.74,5.46,5.61,64219502.0,7.175249999999999,,
140,2019-06-05,5.62,5.74,5.51,5.63,55632667.0,7.151249999999999,,
141,2019-06-06,5.57,5.58,5.19,5.24,51512359.0,7.126249999999999,,
142,2019-06-10,5.16,5.29,5.16,5.18,30413009.0,7.103249999999998,,
143,2019-06-11,5.23,5.7,5.23,5.7,21545837.0,7.0828333333333315,,
144,2019-06-12,6.05,6.09,5.75,5.75,109667773.0,7.064249999999999,,
145,2019-06-13,5.82,6.07,5.77,5.97,93485831.0,7.047999999999999,,
146,2019-06-14,5.89,5.92,5.77,5.84,56008004.0,7.0298333333333325,,
147,2019-06-17,5.85,5.88,5.7,5.84,34970888.0,7.009916666666666,,
148,2019-06-18,5.84,5.94,5.75,5.8,31884562.0,6.991249999999999,,
149,2019-06-19,5.92,5.96,5.81,5.82,53063038.0,6.971,,
150,2019-06-20,5.81,6.03,5.78,6.03,73529618.0,6.954083333333333,,
151,2019-06-21,6.07,6.34,5.98,6.12,83847809.0,6.938833333333333,,
152,2019-06-24,6.15,6.24,5.95,5.98,54306804.0,6.923166666666666,,
153,2019-06-25,6.01,6.01,5.83,5.94,38354192.0,6.909000000000001,,
154,2019-06-26,5.96,5.97,5.86,5.94,23076022.0,6.895416666666667,,
155,2019-06-27,5.92,5.99,5.88,5.96,37881180.0,6.884916666666667,,
156,2019-06-28,5.97,5.98,5.84,5.89,26484908.0,6.876250000000001,,
