,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.3,6.59,6.29,6.51,13977645.0,,,
1,2018-11-14,6.53,6.66,6.45,6.54,10550047.0,,,
2,2018-11-15,6.55,6.66,6.44,6.61,9474723.0,,,
3,2018-11-16,6.59,6.81,6.51,6.63,8789272.0,,,
4,2018-11-19,6.56,6.72,6.53,6.61,6543766.0,,,
5,2018-11-20,6.6,6.6,6.29,6.29,9497202.0,,,
6,2018-11-21,6.12,6.67,6.12,6.67,13724956.0,,,
7,2018-11-22,6.83,6.88,6.43,6.49,12083985.0,,,
8,2018-11-23,6.54,6.56,6.11,6.17,8559846.0,,,
9,2018-11-26,6.16,6.28,6.0,6.06,6456204.0,,,
10,2018-11-27,6.08,6.17,6.01,6.05,4985225.0,,,
11,2018-11-28,6.05,6.22,5.95,6.19,6133290.0,,,
12,2018-11-29,6.22,6.24,5.98,5.99,4989615.0,,,
13,2018-11-30,5.93,6.06,5.87,6.01,5447114.0,,,
14,2018-12-03,6.1,6.26,6.1,6.22,5659322.0,,,
15,2018-12-04,6.22,6.24,6.09,6.21,5633825.0,,,
16,2018-12-05,6.07,6.32,6.04,6.28,9222677.0,,,
17,2018-12-06,6.24,6.27,6.05,6.09,10015416.0,,,
18,2018-12-07,6.09,6.2,6.06,6.15,5405558.0,,,
19,2018-12-10,6.07,6.17,6.04,6.05,3130664.0,,,
20,2018-12-11,6.11,6.13,6.01,6.03,3851456.0,,,
21,2018-12-12,6.06,6.09,5.99,6.04,3350308.0,,,
22,2018-12-13,6.05,6.12,5.98,6.05,3532278.0,,,
23,2018-12-14,6.07,6.09,5.86,5.89,4319988.0,,,
24,2018-12-17,5.84,5.84,5.69,5.82,4650892.0,,,
25,2018-12-18,5.75,5.9,5.75,5.88,4166259.0,,,
26,2018-12-19,5.85,5.89,5.71,5.72,3919840.0,,,
27,2018-12-20,5.74,5.85,5.7,5.82,3838792.0,,,
28,2018-12-21,5.83,5.88,5.75,5.87,3220815.0,,,
29,2018-12-24,5.83,5.9,5.79,5.84,2873100.0,,,
30,2018-12-25,5.79,5.87,5.65,5.83,3627488.0,,,
31,2018-12-26,5.83,5.85,5.77,5.77,2089722.0,,,
32,2018-12-27,5.85,5.89,5.67,5.69,2418391.0,,,
33,2018-12-28,5.69,5.73,5.56,5.59,3044681.0,,,
34,2019-01-02,5.59,5.65,5.54,5.62,3195735.0,,,
35,2019-01-03,5.62,5.68,5.55,5.55,2648088.0,,,
36,2019-01-04,5.51,5.72,5.47,5.69,6295402.0,,,
37,2019-01-07,5.74,6.05,5.71,5.95,6920214.0,,,
38,2019-01-08,6.02,6.05,5.96,6.04,4906619.0,,,
39,2019-01-09,6.08,6.09,5.98,6.0,5010953.0,,,
40,2019-01-10,6.0,6.6,6.0,6.28,16510915.0,,,
41,2019-01-11,6.23,6.36,6.19,6.28,9256647.0,,,
42,2019-01-14,6.23,6.37,6.2,6.22,6730533.0,,,
43,2019-01-15,6.24,6.27,6.15,6.23,5865341.0,,,
44,2019-01-16,6.26,6.48,6.2,6.2,6526735.0,,,
45,2019-01-17,6.24,6.53,6.19,6.36,9577738.0,,,
46,2019-01-18,6.3,6.44,6.27,6.33,5782745.0,,,
47,2019-01-21,6.33,6.37,6.28,6.32,4597634.0,,,
48,2019-01-22,6.36,6.36,6.16,6.19,5699059.0,,,
49,2019-01-23,6.18,6.33,6.18,6.31,5418810.0,,,
50,2019-01-24,6.33,6.47,6.24,6.47,8669369.0,,,
51,2019-01-25,6.49,6.53,6.33,6.36,7009258.0,,,
52,2019-01-28,6.46,7.0,6.46,7.0,27447069.0,,,
53,2019-01-29,7.29,7.7,7.12,7.7,56469375.0,,,
54,2019-01-30,7.41,8.46,7.41,7.89,72705859.0,,,
55,2019-01-31,7.66,8.68,7.66,8.36,68327512.0,,,
56,2019-02-01,8.1,8.49,7.86,8.2,43281062.0,,,
57,2019-02-11,8.35,8.45,8.08,8.45,37652320.0,,,
58,2019-02-12,8.4,8.62,8.1,8.23,41020033.0,,,
