,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.02,7.11,6.89,6.9,4443107.0,,,
1,2020-03-19,6.9,6.96,6.72,6.81,3916731.0,,,
2,2020-03-20,6.89,6.9,6.79,6.87,2735330.0,,,
3,2020-03-23,6.76,6.76,6.57,6.62,4050524.0,,,
4,2020-03-24,6.68,6.74,6.62,6.71,2475694.0,,,
5,2020-03-25,6.82,6.86,6.77,6.84,2879276.0,,,
6,2020-03-26,6.84,6.84,6.75,6.76,1935135.0,,,
7,2020-03-27,6.81,6.87,6.79,6.8,1820421.0,,,
8,2020-03-30,6.76,6.76,6.64,6.69,2125500.0,,,
9,2020-03-31,6.74,6.76,6.64,6.67,2306162.0,6.766999999999999,,
10,2020-04-01,6.68,6.71,6.62,6.62,2127685.0,6.738999999999999,,
11,2020-04-02,6.58,6.66,6.58,6.66,2045516.0,6.723999999999998,,
12,2020-04-03,6.66,6.66,6.59,6.61,2347242.0,6.697999999999998,,
13,2020-04-07,6.69,6.73,6.66,6.7,3094977.0,6.705999999999998,,
14,2020-04-08,6.7,6.76,6.67,6.74,3456548.0,6.708999999999998,,
15,2020-04-09,6.77,6.78,6.72,6.74,2630223.0,6.698999999999996,,
16,2020-04-10,6.75,6.77,6.63,6.67,2610030.0,6.689999999999996,,
17,2020-04-13,6.66,6.67,6.61,6.63,1536050.0,6.6729999999999965,,
18,2020-04-14,6.63,6.7,6.62,6.7,1803300.0,6.673999999999997,,
19,2020-04-15,6.69,6.71,6.64,6.68,1873400.0,6.674999999999995,,
20,2020-04-16,6.68,6.68,6.63,6.63,1918200.0,6.675999999999995,,
21,2020-04-17,6.65,6.68,6.63,6.66,2523354.0,6.675999999999995,,
22,2020-04-20,6.67,6.72,6.64,6.72,2524584.0,6.686999999999995,,
23,2020-04-21,6.69,6.71,6.63,6.68,2118192.0,6.684999999999995,,
24,2020-04-22,6.67,6.76,6.65,6.74,2554176.0,6.684999999999995,,
25,2020-04-23,6.74,6.83,6.71,6.78,2500501.0,6.688999999999996,,
26,2020-04-24,6.8,6.94,6.76,6.82,4679865.0,6.703999999999995,,
27,2020-04-27,6.91,7.08,6.82,6.87,6925193.0,6.727999999999996,,
28,2020-04-28,6.79,6.88,6.63,6.81,4592296.0,6.738999999999995,,
