,date,open,high,low,close,volume,120,180,240
0,2018-10-29,20.48,20.9,20.28,20.35,1955813.0,,,
1,2018-10-30,20.46,20.74,20.15,20.61,1898669.0,,,
2,2018-10-31,20.63,20.9,20.51,20.8,1435313.0,,,
3,2018-11-01,20.81,21.97,20.74,21.65,4090406.0,,,
4,2018-11-02,21.97,22.23,21.78,22.1,4448808.0,,,
5,2018-11-05,22.3,22.96,21.93,22.87,4925968.0,,,
6,2018-11-06,22.88,22.96,22.67,22.81,2705517.0,,,
7,2018-11-07,22.81,23.11,22.45,22.56,4791879.0,,,
8,2018-11-08,22.8,23.38,22.6,22.74,3985528.0,,,
9,2018-11-09,22.56,22.91,22.3,22.55,2782687.0,,,
10,2018-11-12,22.7,23.25,22.55,22.9,3585991.0,,,
11,2018-11-13,22.56,22.99,22.56,22.9,2532557.0,,,
12,2018-11-14,22.94,22.94,22.12,22.62,2931042.0,,,
13,2018-11-15,22.48,22.9,22.46,22.79,3551202.0,,,
14,2018-11-16,23.09,23.1,22.49,22.6,4462192.0,,,
15,2018-11-19,22.75,22.97,22.56,22.82,4179956.0,,,
16,2018-11-20,22.82,22.95,22.15,22.33,4396188.0,,,
17,2018-11-21,22.15,22.49,21.85,22.25,2487316.0,,,
18,2018-11-22,22.34,22.57,22.0,22.4,2153602.0,,,
19,2018-11-23,22.38,22.39,21.6,21.95,3444442.0,,,
20,2018-11-26,21.84,22.0,21.66,21.8,1484403.0,,,
21,2018-11-27,21.85,22.57,21.82,22.5,2544631.0,,,
22,2018-11-28,22.5,22.76,22.31,22.45,1923048.0,,,
23,2018-11-29,22.52,22.8,22.4,22.45,2056206.0,,,
24,2018-11-30,22.33,22.95,22.3,22.84,2513361.0,,,
25,2018-12-03,22.96,23.29,22.9,23.15,3787550.0,,,
26,2018-12-04,23.08,23.12,22.77,22.99,2962510.0,,,
27,2018-12-05,22.66,22.92,22.45,22.68,2686149.0,,,
28,2018-12-06,22.68,22.94,22.39,22.62,2571342.0,,,
29,2018-12-07,22.52,22.9,22.11,22.46,3521110.0,,,
30,2018-12-10,22.41,22.99,22.2,22.46,3560484.0,,,
31,2018-12-11,22.68,22.7,21.64,22.25,5232394.0,,,
32,2018-12-12,22.3,22.39,21.78,21.94,4086027.0,,,
33,2018-12-13,22.2,22.2,21.84,22.07,3600857.0,,,
34,2018-12-28,21.16,22.33,19.86,22.27,12729076.0,,,
35,2019-01-02,21.91,22.56,21.16,21.99,6702729.0,,,
36,2019-01-03,21.84,22.04,21.44,21.87,2970808.0,,,
37,2019-01-04,21.65,22.22,21.61,22.0,2150703.0,,,
38,2019-01-07,22.07,22.49,21.77,21.9,4388018.0,,,
39,2019-01-08,21.9,22.35,21.89,22.04,3495610.0,,,
40,2019-01-09,22.26,22.38,22.0,22.0,2430610.0,,,
41,2019-01-10,22.01,22.18,21.81,21.92,2144640.0,,,
42,2019-01-11,22.07,22.33,21.99,22.3,2004240.0,,,
43,2019-01-14,22.16,22.35,21.9,21.93,2966348.0,,,
44,2019-01-15,21.91,22.07,21.81,21.99,2675284.0,,,
45,2019-01-16,22.15,22.2,21.82,21.93,2589863.0,,,
46,2019-01-17,21.99,23.05,21.87,22.29,4088880.0,,,
47,2019-01-18,22.22,22.68,22.02,22.36,2631334.0,,,
48,2019-01-21,22.35,22.7,22.25,22.61,2114062.0,,,
49,2019-01-22,22.44,22.88,22.44,22.78,2145930.0,,,
50,2019-01-23,22.87,22.96,22.55,22.7,1967829.0,,,
51,2019-01-24,22.83,22.89,22.44,22.61,2287901.0,,,
52,2019-01-25,22.76,22.98,22.64,22.78,1986798.0,,,
53,2019-01-28,22.81,23.1,22.81,22.85,2218917.0,,,
54,2019-01-29,22.81,22.96,22.42,22.78,1957674.0,,,
55,2019-01-30,22.9,22.9,22.54,22.6,1198288.0,,,
56,2019-01-31,22.77,22.77,22.05,22.09,1613726.0,,,
57,2019-02-01,22.4,22.4,21.85,22.17,1510074.0,,,
58,2019-02-11,22.18,22.4,22.1,22.23,1921669.0,,,
59,2019-02-12,22.16,22.44,22.16,22.44,2459788.0,,,
60,2019-02-13,22.44,22.8,22.35,22.77,2827741.0,,,
61,2019-02-14,22.76,23.49,22.72,23.47,5735401.0,,,
62,2019-02-15,23.47,23.47,23.18,23.25,2690578.0,,,
63,2019-02-18,23.32,24.65,23.19,24.05,5555970.0,,,
64,2019-02-19,24.06,24.25,23.71,23.88,4036244.0,,,
65,2019-02-20,23.9,24.16,23.58,23.87,3561983.0,,,
66,2019-02-21,23.87,24.05,23.25,23.3,4181442.0,,,
67,2019-02-22,23.23,23.88,23.15,23.63,3391983.0,,,
68,2019-02-25,23.81,25.23,23.81,24.93,7623617.0,,,
69,2019-02-26,24.98,25.48,24.5,24.52,6041814.0,,,
70,2019-02-27,24.54,26.15,24.5,25.56,10002041.0,,,
71,2019-02-28,25.8,26.01,25.0,25.0,4666045.0,,,
72,2019-03-01,25.3,25.51,24.71,25.34,3962268.0,,,
73,2019-03-04,25.49,25.88,25.01,25.55,6613589.0,,,
74,2019-03-05,25.57,25.69,25.32,25.6,4593295.0,,,
75,2019-03-06,25.59,25.99,25.28,25.55,5438026.0,,,
76,2019-03-07,25.65,26.36,25.51,25.55,10000905.0,,,
77,2019-03-08,25.02,25.3,24.05,24.06,8495451.0,,,
78,2019-03-11,24.16,24.62,23.88,24.1,11324883.0,,,
79,2019-03-12,24.34,25.4,23.98,25.11,16690939.0,,,
80,2019-03-13,25.0,25.2,23.92,24.26,13477934.0,,,
81,2019-03-14,24.01,24.03,23.31,23.85,7161235.0,,,
82,2019-03-15,23.98,23.98,23.52,23.76,5266880.0,,,
83,2019-03-18,24.24,24.39,23.86,24.29,7846954.0,,,
84,2019-03-19,24.28,24.49,24.03,24.4,6572009.0,,,
85,2019-03-20,24.39,24.39,23.68,23.92,5753717.0,,,
86,2019-03-21,23.99,24.4,23.87,24.21,5739644.0,,,
