,date,open,high,low,close,volume,120,180,240
0,2019-08-26,2.92,3.51,2.92,3.51,6879920.0,,,
1,2019-08-27,3.86,3.86,3.86,3.86,3499337.0,,,
2,2019-08-28,4.25,4.25,4.25,4.25,6936108.0,,,
3,2019-08-29,4.68,4.68,4.68,4.68,12316022.0,,,
4,2019-08-30,5.1,5.13,4.69,5.06,1263079795.0,,,
5,2019-09-02,4.8,4.85,4.6,4.74,607334280.0,,,
6,2019-09-03,4.68,4.83,4.59,4.74,440670783.0,,,
7,2019-09-04,4.69,4.71,4.61,4.65,352130098.0,,,
8,2019-09-05,4.66,4.83,4.6,4.74,543308740.0,,,
9,2019-09-06,4.69,4.7,4.61,4.64,320436641.0,,,
10,2019-09-09,4.67,4.68,4.62,4.66,224416567.0,,,
11,2019-09-10,4.64,4.65,4.6,4.61,204260973.0,,,
12,2019-09-11,4.61,4.63,4.49,4.5,291312675.0,,,
13,2019-09-12,4.5,4.5,4.41,4.44,178461143.0,,,
14,2019-09-16,4.44,4.52,4.43,4.47,138106658.0,,,
15,2019-09-17,4.44,4.45,4.34,4.35,157252707.0,,,
16,2019-09-18,4.35,4.37,4.26,4.27,133889453.0,,,
17,2019-09-19,4.26,4.3,4.24,4.28,82992246.0,,,
18,2019-09-20,4.28,4.29,4.25,4.26,76214931.0,,,
19,2019-09-23,4.25,4.25,4.11,4.13,120165612.0,,,
20,2019-09-24,4.13,4.53,4.12,4.37,298493929.0,,,
21,2019-09-25,4.3,4.3,4.2,4.21,139227380.0,,,
22,2019-09-26,4.2,4.25,4.11,4.12,98897938.0,,,
23,2019-09-27,4.14,4.16,4.11,4.13,63641814.0,,,
24,2019-09-30,4.13,4.15,4.1,4.1,50696980.0,,,
25,2019-10-08,4.1,4.12,4.03,4.04,73728526.0,,,
26,2019-10-09,4.02,4.05,3.97,4.02,68590495.0,,,
27,2019-10-10,4.02,4.17,4.01,4.09,95113550.0,,,
28,2019-10-11,4.07,4.11,4.06,4.09,65329444.0,,,
29,2019-10-14,4.12,4.14,4.09,4.12,75330751.0,,,
30,2019-10-15,4.11,4.12,4.05,4.06,61814233.0,,,
31,2019-10-16,4.07,4.09,4.02,4.02,49628719.0,,,
32,2019-10-17,4.02,4.03,3.99,4.0,47577886.0,,,
33,2019-10-18,4.01,4.02,3.95,3.96,53127561.0,,,
34,2019-10-21,3.96,3.97,3.86,3.9,68160808.0,,,
35,2019-10-22,3.89,3.9,3.86,3.9,41995321.0,,,
36,2019-10-23,3.9,3.9,3.86,3.87,39683853.0,,,
37,2019-10-24,3.88,4.01,3.85,3.91,91287957.0,,,
38,2019-10-25,3.89,3.9,3.86,3.89,46627011.0,,,
39,2019-10-28,3.89,3.96,3.88,3.93,54634857.0,,,
40,2019-10-29,3.93,3.93,3.87,3.87,49632932.0,,,
41,2019-10-30,3.86,3.87,3.77,3.77,72691605.0,,,
42,2019-10-31,3.79,3.82,3.77,3.78,45566945.0,,,
43,2019-11-01,3.77,3.78,3.72,3.77,48826589.0,,,
44,2019-11-04,3.76,3.79,3.75,3.76,40276725.0,,,
45,2019-11-05,3.76,3.77,3.73,3.75,42382722.0,,,
46,2019-11-06,3.75,3.75,3.67,3.69,57706712.0,,,
47,2019-11-07,3.68,3.69,3.65,3.66,45655296.0,,,
48,2019-11-08,3.68,3.69,3.66,3.67,42462539.0,,,
49,2019-11-11,3.65,3.66,3.54,3.55,71125927.0,,,
50,2019-11-12,3.56,3.57,3.45,3.49,58784262.0,,,
51,2019-11-13,3.48,3.48,3.39,3.4,68006510.0,,,
52,2019-11-14,3.39,3.59,3.35,3.49,118518997.0,,,
53,2019-11-15,3.45,3.47,3.39,3.39,58327374.0,,,
54,2019-11-18,3.39,3.42,3.36,3.39,33994964.0,,,
55,2019-11-19,3.39,3.48,3.37,3.44,53062913.0,,,
56,2019-11-20,3.43,3.48,3.42,3.45,43409857.0,,,
57,2019-11-21,3.44,3.56,3.42,3.52,82237342.0,,,
58,2019-11-22,3.52,3.58,3.5,3.53,71880055.0,,,
59,2019-11-25,3.53,3.58,3.5,3.56,58004951.0,,,
60,2019-11-26,3.56,3.57,3.48,3.49,51947200.0,,,
61,2019-11-27,3.47,3.5,3.46,3.46,38087122.0,,,
62,2019-11-28,3.47,3.48,3.41,3.42,39932075.0,,,
63,2019-11-29,3.4,3.42,3.38,3.41,30243558.0,,,
64,2019-12-02,3.42,3.43,3.38,3.39,27387072.0,,,
65,2019-12-03,3.37,3.46,3.37,3.43,33665109.0,,,
66,2019-12-04,3.42,3.45,3.4,3.43,27257559.0,,,
67,2019-12-05,3.43,3.45,3.42,3.44,35910872.0,,,
68,2019-12-06,3.44,3.46,3.43,3.45,27778556.0,,,
69,2019-12-09,3.46,3.47,3.44,3.44,32880744.0,,,
70,2019-12-10,3.45,3.51,3.43,3.5,75361788.0,,,
71,2019-12-11,3.5,3.5,3.47,3.48,38984448.0,,,
72,2019-12-12,3.48,3.49,3.45,3.45,33431472.0,,,
73,2019-12-13,3.44,3.48,3.44,3.48,40781129.0,,,
74,2019-12-16,3.48,3.53,3.47,3.52,62976199.0,,,
75,2019-12-17,3.53,3.64,3.52,3.61,134921804.0,,,
76,2019-12-18,3.6,3.63,3.59,3.59,79296906.0,,,
77,2019-12-19,3.61,3.62,3.59,3.6,48232199.0,,,
78,2019-12-20,3.6,3.67,3.59,3.6,60020629.0,,,
79,2019-12-23,3.6,3.61,3.51,3.51,59802401.0,,,
80,2019-12-24,3.51,3.55,3.5,3.53,32273478.0,,,
81,2019-12-25,3.53,3.53,3.5,3.5,36657781.0,,,
82,2019-12-26,3.5,3.54,3.5,3.52,29477934.0,,,
83,2019-12-27,3.53,3.54,3.51,3.51,42170409.0,,,
84,2019-12-30,3.5,3.52,3.46,3.52,44174774.0,,,
85,2019-12-31,3.52,3.52,3.49,3.52,33889368.0,,,
86,2020-01-02,3.54,3.59,3.53,3.57,80605263.0,,,
87,2020-01-03,3.58,3.59,3.55,3.59,65144833.0,,,
88,2020-01-06,3.57,3.6,3.56,3.59,69797283.0,,,
89,2020-01-07,3.58,3.63,3.58,3.61,64709272.0,,,
90,2020-01-08,3.6,3.6,3.55,3.55,69048626.0,,,
91,2020-01-09,3.59,3.65,3.57,3.63,122164173.0,,,
92,2020-01-10,3.63,3.63,3.58,3.59,59672645.0,,,
93,2020-01-13,3.59,3.6,3.58,3.6,37486254.0,,,
94,2020-01-14,3.59,3.63,3.59,3.61,57033846.0,,,
95,2020-01-15,3.61,3.61,3.58,3.59,34953288.0,,,
96,2020-01-16,3.59,3.59,3.55,3.56,33676900.0,,,
97,2020-01-17,3.56,3.58,3.55,3.55,24834861.0,,,
98,2020-01-20,3.55,3.59,3.55,3.59,35437216.0,,,
99,2020-01-21,3.59,3.67,3.55,3.6,83876101.0,,,
100,2020-01-22,3.59,3.59,3.55,3.58,46153676.0,,,
101,2020-01-23,3.56,3.57,3.43,3.49,74227884.0,,,
102,2020-02-03,3.14,3.14,3.14,3.14,26783100.0,,,
103,2020-02-04,2.88,3.12,2.88,3.08,90058687.0,,,
104,2020-02-05,3.08,3.16,3.08,3.13,59779020.0,,,
105,2020-02-06,3.13,3.17,3.1,3.17,67988759.0,,,
106,2020-02-07,3.15,3.17,3.13,3.16,54471578.0,,,
107,2020-02-10,3.15,3.18,3.13,3.18,47687544.0,,,
108,2020-02-11,3.18,3.28,3.17,3.2,67368657.0,,,
109,2020-02-12,3.18,3.22,3.18,3.22,46769389.0,,,
110,2020-02-13,3.21,3.21,3.17,3.18,43016140.0,,,
111,2020-02-14,3.18,3.19,3.17,3.17,33058607.0,,,
112,2020-02-17,3.18,3.23,3.17,3.22,68917076.0,,,
113,2020-02-18,3.22,3.25,3.21,3.24,62522744.0,,,
114,2020-02-19,3.24,3.24,3.22,3.22,47681076.0,,,
115,2020-02-20,3.22,3.36,3.21,3.32,113334372.0,,,
116,2020-02-21,3.3,3.31,3.28,3.29,86475726.0,,,
117,2020-02-24,3.3,3.37,3.3,3.33,75491234.0,,,
118,2020-02-25,3.28,3.29,3.23,3.27,85321065.0,,,
119,2020-02-26,3.26,3.31,3.22,3.27,79712547.0,3.72825,,
120,2020-02-27,3.11,3.2,3.08,3.16,362537652.0,3.7253333333333334,,
121,2020-02-28,3.07,3.1,3.01,3.02,162235742.0,3.7183333333333333,,
122,2020-03-02,3.02,3.1,3.02,3.1,106138377.0,3.70875,,
123,2020-03-03,3.13,3.15,3.1,3.12,112450399.0,3.69575,,
124,2020-03-04,3.1,3.12,3.08,3.12,81860332.0,3.6795833333333334,,
125,2020-03-05,3.13,3.17,3.12,3.17,138488554.0,3.6665,,
126,2020-03-06,3.14,3.17,3.12,3.15,102737406.0,3.65325,,
127,2020-03-09,3.09,3.12,3.07,3.08,100262234.0,3.6401666666666666,,
128,2020-03-10,3.04,3.1,3.02,3.09,89703540.0,3.626416666666666,,
129,2020-03-11,3.09,3.1,3.06,3.06,63081293.0,3.61325,,
130,2020-03-12,3.05,3.05,3.01,3.02,60263546.0,3.599583333333333,,
131,2020-03-13,2.93,3.0,2.89,2.97,81639762.0,3.5859166666666664,,
132,2020-03-16,3.0,3.01,2.92,2.93,65152054.0,3.572833333333333,,
133,2020-03-17,2.93,2.96,2.85,2.91,63651129.0,3.560083333333333,,
134,2020-03-18,2.92,2.94,2.88,2.88,53644041.0,3.546833333333333,,
135,2020-03-19,2.87,2.89,2.83,2.86,63437796.0,3.534416666666666,,
136,2020-03-20,2.87,2.89,2.85,2.87,50454544.0,3.52275,,
137,2020-03-23,2.84,2.86,2.82,2.83,46052182.0,3.5106666666666664,,
138,2020-03-24,2.85,2.86,2.82,2.85,39798077.0,3.4989166666666667,,
139,2020-03-25,2.88,2.89,2.87,2.89,46875647.0,3.488583333333333,,
140,2020-03-26,2.89,2.89,2.84,2.86,48805509.0,3.476,,
141,2020-03-27,2.87,2.9,2.85,2.87,42813371.0,3.4648333333333334,,
142,2020-03-30,2.85,2.86,2.83,2.85,47397836.0,3.4542500000000005,,
143,2020-03-31,2.86,2.87,2.83,2.84,27387171.0,3.4435000000000002,,
144,2020-04-01,2.83,2.85,2.83,2.84,27159947.0,3.433,,
145,2020-04-02,2.82,2.86,2.81,2.85,39555992.0,3.423083333333333,,
146,2020-04-03,2.85,2.85,2.82,2.83,27206000.0,3.4131666666666667,,
147,2020-04-07,2.85,2.89,2.84,2.88,58327815.0,3.4030833333333335,,
148,2020-04-08,2.86,2.87,2.85,2.86,36061676.0,3.392833333333334,,
149,2020-04-09,2.87,2.87,2.86,2.86,28483305.0,3.382333333333334,,
150,2020-04-10,2.87,2.87,2.83,2.84,33576888.0,3.3721666666666668,,
151,2020-04-13,2.84,2.84,2.82,2.83,26428549.0,3.3622500000000004,,
152,2020-04-14,2.83,2.85,2.82,2.85,25330533.0,3.352666666666667,,
153,2020-04-15,2.85,2.85,2.83,2.83,23565683.0,3.3432500000000003,,
154,2020-04-16,2.83,2.89,2.82,2.86,63962496.0,3.334583333333334,,
155,2020-04-17,2.86,2.87,2.84,2.85,41152200.0,3.3258333333333345,,
156,2020-04-20,2.84,2.85,2.84,2.85,19261207.0,3.317333333333335,,
157,2020-04-21,2.84,2.85,2.82,2.83,36351324.0,3.3083333333333345,,
158,2020-04-22,2.82,2.84,2.81,2.84,24614729.0,3.299583333333334,,
159,2020-04-23,2.84,2.84,2.82,2.83,26444743.0,3.290416666666667,,
160,2020-04-24,2.83,2.84,2.81,2.81,29594024.0,3.281583333333334,,
161,2020-04-27,2.81,2.83,2.81,2.82,22313229.0,3.2736666666666676,,
162,2020-04-28,2.82,2.83,2.74,2.77,47051026.0,3.265250000000001,,
163,2020-04-29,2.76,2.78,2.75,2.76,26891151.0,3.256833333333334,,
164,2020-04-30,2.77,2.79,2.76,2.78,34586548.0,3.2486666666666673,,
165,2020-05-06,2.76,2.8,2.75,2.79,34593525.0,3.2406666666666677,,
166,2020-05-07,2.79,2.79,2.77,2.78,26372043.0,3.233083333333334,,
167,2020-05-08,2.78,2.9,2.77,2.85,104874542.0,3.226333333333334,,
168,2020-05-11,2.83,2.87,2.83,2.84,53108775.0,3.219416666666667,,
169,2020-05-12,2.85,2.85,2.81,2.83,34087309.0,3.213416666666667,,
170,2020-05-13,2.82,2.83,2.81,2.83,24263855.0,3.2079166666666667,,
171,2020-05-14,2.82,2.82,2.79,2.79,31633429.0,3.2028333333333334,,
172,2020-05-15,2.81,2.81,2.78,2.8,22024381.0,3.1970833333333335,,
