,date,open,high,low,close,volume,120,180,240
0,2018-11-13,15.94,16.16,15.69,16.16,6049632.0,,,
1,2018-11-14,16.29,16.29,15.91,16.15,4980937.0,,,
2,2018-11-15,16.16,16.27,15.93,16.26,5434335.0,,,
3,2018-11-16,16.31,16.54,15.8,15.91,5871700.0,,,
4,2018-11-19,15.91,15.91,15.53,15.87,3771745.0,,,
5,2018-11-20,15.72,16.03,15.39,15.44,2900300.0,,,
6,2018-11-21,15.17,15.44,15.13,15.31,2293300.0,,,
7,2018-11-22,15.31,15.47,15.24,15.27,1561350.0,,,
8,2018-11-23,15.27,15.36,13.82,13.9,3509450.0,,,
9,2018-11-26,13.9,14.35,13.9,14.06,1860100.0,,,
10,2018-11-27,14.34,14.56,14.15,14.26,1447600.0,,,
11,2018-11-28,14.26,14.53,14.12,14.5,2153750.0,,,
12,2018-11-29,14.6,14.78,14.06,14.06,2462350.0,,,
13,2018-11-30,13.93,14.26,13.72,14.26,1865138.0,,,
14,2018-12-03,14.51,14.8,14.38,14.66,2601938.0,,,
15,2018-12-04,14.77,14.77,14.47,14.65,1706288.0,,,
16,2018-12-05,14.3,15.78,14.17,14.87,3377197.0,,,
17,2018-12-06,14.61,14.71,14.25,14.27,2079050.0,,,
18,2018-12-07,14.32,14.47,14.12,14.28,1174131.0,,,
19,2018-12-10,14.26,14.26,13.93,13.98,1281000.0,,,
20,2018-12-11,13.92,14.2,13.92,14.08,828038.0,,,
21,2018-12-12,14.23,14.27,14.05,14.06,840800.0,,,
22,2018-12-13,14.08,14.23,13.93,14.19,1156510.0,,,
23,2018-12-14,14.21,14.77,14.0,14.07,3406114.0,,,
24,2018-12-17,13.73,13.99,13.04,13.92,2089498.0,,,
25,2018-12-18,13.72,13.94,13.5,13.63,1251297.0,,,
26,2018-12-19,13.66,13.88,13.18,13.2,1298000.0,,,
27,2018-12-20,13.23,13.45,13.23,13.39,1204800.0,,,
28,2018-12-21,13.38,13.58,13.14,13.34,1052050.0,,,
29,2018-12-24,13.39,13.7,13.37,13.6,1150398.0,,,
30,2018-12-25,13.19,13.4,12.93,13.34,1687502.0,,,
31,2018-12-26,13.4,13.75,13.21,13.45,1506148.0,,,
32,2018-12-27,13.67,13.72,12.99,13.07,1488100.0,,,
33,2018-12-28,13.11,13.28,13.03,13.06,758750.0,,,
34,2019-01-02,13.2,13.37,13.14,13.2,974600.0,,,
35,2019-01-03,13.2,13.24,12.79,12.8,1340800.0,,,
36,2019-01-04,12.62,13.3,12.51,13.11,2028961.0,,,
37,2019-01-07,13.15,13.46,13.13,13.38,1353564.0,,,
38,2019-01-08,13.31,13.49,13.26,13.49,1453450.0,,,
39,2019-01-09,13.5,13.6,13.31,13.35,1906000.0,,,
40,2019-01-10,13.3,13.49,13.09,13.13,1546438.0,,,
41,2019-01-11,13.13,13.39,13.11,13.37,1239661.0,,,
42,2019-01-14,13.31,13.58,13.09,13.15,1393750.0,,,
43,2019-01-15,13.06,13.5,12.9,13.5,1781042.0,,,
44,2019-01-16,13.46,13.47,13.21,13.39,1574160.0,,,
45,2019-01-17,13.19,13.32,12.79,12.83,2349510.0,,,
46,2019-01-18,13.0,13.0,12.74,12.96,1179287.0,,,
47,2019-01-21,12.96,13.16,12.96,13.14,1175300.0,,,
48,2019-01-22,13.01,13.16,12.86,12.93,915138.0,,,
49,2019-01-23,13.04,13.07,12.88,12.88,934410.0,,,
50,2019-01-24,12.86,13.1,12.84,13.03,982290.0,,,
51,2019-01-25,13.06,13.26,12.83,12.83,1689750.0,,,
52,2019-01-28,12.83,13.04,12.31,12.39,1667370.0,,,
53,2019-01-29,12.31,12.67,12.06,12.49,1451298.0,,,
54,2019-01-30,12.65,12.67,12.14,12.14,865500.0,,,
55,2019-01-31,12.16,12.3,11.03,11.26,1876209.0,,,
