,date,open,high,low,close,volume,120,180,240
0,2019-09-09,19.27,23.12,19.27,23.12,39354.0,,,
1,2019-09-10,25.43,25.43,25.43,25.43,10828.0,,,
2,2019-09-11,27.98,27.98,27.98,27.98,16191.0,,,
3,2019-09-12,30.77,30.77,30.77,30.77,32400.0,,,
4,2019-09-16,33.85,33.85,33.85,33.85,85991.0,,,
5,2019-09-17,37.23,37.23,37.23,37.23,147089.0,,,
6,2019-09-18,40.96,40.96,40.96,40.96,126759.0,,,
7,2019-09-19,45.05,45.05,45.05,45.05,99307.0,,,
8,2019-09-20,49.56,49.56,49.56,49.56,260475.0,,,
9,2019-09-23,54.51,54.51,54.51,54.51,277744.0,,,
10,2019-09-24,59.96,59.96,59.96,59.96,140551.0,,,
11,2019-09-25,65.95,65.95,65.95,65.95,198337.0,,,
12,2019-09-26,72.55,72.55,72.55,72.55,265674.0,,,
13,2019-09-27,79.81,79.81,79.81,79.81,1529069.0,,,
14,2019-09-30,87.79,87.79,87.79,87.79,12184570.0,,,
15,2019-10-08,88.22,88.32,79.0,79.0,22513497.0,,,
16,2019-10-09,75.12,85.74,75.12,83.91,20347403.0,,,
17,2019-10-10,83.68,92.3,82.4,92.3,20627207.0,,,
18,2019-10-11,94.82,98.24,88.82,90.16,21198149.0,,,
19,2019-10-14,89.15,95.97,89.15,92.27,16427078.0,,,
20,2019-10-15,89.31,89.31,84.13,85.26,14741885.0,,,
21,2019-10-16,85.94,89.02,84.96,87.69,11709039.0,,,
22,2019-10-17,85.35,85.35,80.68,82.58,13232096.0,,,
23,2019-10-18,81.88,83.74,80.04,82.55,9504251.0,,,
24,2019-10-21,81.18,81.18,77.51,79.39,8074255.0,,,
25,2019-10-22,79.69,87.33,79.19,87.33,13226762.0,,,
26,2019-10-23,86.34,89.99,84.69,85.06,14174840.0,,,
27,2019-10-24,83.89,87.27,83.89,87.03,10593394.0,,,
28,2019-10-25,86.65,93.47,85.94,89.23,15016528.0,,,
29,2019-10-28,98.05,98.15,93.56,98.15,11155282.0,,,
30,2019-10-29,104.2,107.96,88.82,89.07,23601190.0,,,
31,2019-10-30,86.34,88.31,82.89,84.35,13661701.0,,,
32,2019-10-31,82.39,85.34,79.94,80.53,10713834.0,,,
33,2019-11-01,79.39,83.77,78.9,83.63,8889731.0,,,
34,2019-11-04,83.25,85.54,81.14,83.65,8701691.0,,,
35,2019-11-05,83.37,84.47,81.87,83.85,7019085.0,,,
36,2019-11-06,83.31,89.21,82.86,87.24,12279127.0,,,
37,2019-11-07,86.34,88.02,85.15,87.53,8200945.0,,,
38,2019-11-08,87.8,92.67,82.27,84.55,11751129.0,,,
39,2019-11-11,81.46,82.05,79.16,80.5,9126277.0,,,
40,2019-11-12,80.76,82.65,79.39,82.65,6560073.0,,,
41,2019-11-13,81.67,82.35,80.89,81.75,5231926.0,,,
42,2019-11-14,81.63,86.93,81.32,85.17,8910220.0,,,
43,2019-11-15,84.87,87.73,83.36,83.89,8717903.0,,,
