,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.84,7.91,7.47,7.51,18553370.0,,,
1,2020-03-19,7.52,7.6,7.29,7.47,17700971.0,,,
2,2020-03-20,7.55,7.58,7.38,7.53,10166095.0,,,
3,2020-03-23,7.34,7.86,7.31,7.63,21254876.0,,,
4,2020-03-24,7.68,7.75,7.61,7.72,14513265.0,,,
5,2020-03-25,7.88,7.99,7.76,7.89,16679823.0,,,
6,2020-03-26,7.98,8.44,7.95,8.25,40484351.0,,,
7,2020-03-27,8.22,8.38,8.07,8.16,26228769.0,,,
8,2020-03-30,8.16,8.62,8.14,8.45,35186125.0,,,
9,2020-03-31,8.32,9.03,8.31,9.0,67844385.0,7.961,,
10,2020-04-01,8.87,8.93,8.54,8.56,52036304.0,8.065999999999999,,
11,2020-04-02,8.36,8.4,8.14,8.28,40372607.0,8.147,,
12,2020-04-03,8.23,8.6,8.16,8.5,35412357.0,8.244,,
13,2020-04-07,8.63,9.34,8.53,9.34,74685001.0,8.415000000000001,,
14,2020-04-08,9.65,9.79,9.12,9.35,118876785.0,8.578,,
15,2020-04-09,9.25,9.33,8.92,9.05,70278622.0,8.693999999999999,,
16,2020-04-10,8.99,9.16,8.66,8.67,54262251.0,8.736,,
17,2020-04-13,8.57,8.64,8.38,8.41,34746226.0,8.761,,
18,2020-04-14,8.43,8.74,8.37,8.69,43668613.0,8.785,,
19,2020-04-15,8.58,8.7,8.46,8.48,31687279.0,8.733,,
20,2020-04-16,8.42,8.58,8.37,8.43,23180474.0,8.719999999999999,,
21,2020-04-17,8.44,8.47,8.17,8.26,36550005.0,8.718,,
22,2020-04-20,8.25,8.39,8.17,8.28,23190723.0,8.696,,
23,2020-04-21,8.23,8.35,8.01,8.17,30092915.0,8.578999999999999,,
24,2020-04-22,8.04,8.47,8.01,8.44,41782266.0,8.488,,
25,2020-04-23,8.39,8.65,8.33,8.45,48488538.0,8.428,,
26,2020-04-24,8.44,8.45,8.03,8.08,32730619.0,8.369,,
27,2020-04-27,8.01,8.14,7.92,8.02,18296634.0,8.33,,
28,2020-04-28,8.05,8.05,7.69,7.96,22457890.0,8.257,,
29,2020-04-29,7.93,8.1,7.91,7.97,11953625.0,8.206,,
30,2020-04-30,7.97,8.08,7.96,8.03,16929544.0,8.166,,
31,2020-05-06,8.04,8.2,8.0,8.14,18779937.0,8.154,,
32,2020-05-07,8.09,8.45,8.05,8.32,35980055.0,8.157999999999998,,
33,2020-05-08,8.25,8.36,8.19,8.31,21629945.0,8.171999999999999,,
34,2020-05-11,8.37,8.44,8.18,8.24,23649870.0,8.151999999999997,,
35,2020-05-12,8.18,8.28,8.09,8.18,17053108.0,8.124999999999998,,
36,2020-05-13,8.17,8.2,8.06,8.17,13429871.0,8.133999999999999,,
37,2020-05-14,8.09,8.12,7.94,7.95,19429487.0,8.126999999999999,,
38,2020-05-15,7.99,8.05,7.93,7.96,10855938.0,8.126999999999999,,
39,2020-05-18,7.96,8.11,7.9,8.07,17401185.0,8.137,,
40,2020-05-19,8.13,8.15,8.02,8.06,12196463.0,8.14,,
41,2020-05-20,8.07,8.1,7.89,7.91,17076324.0,8.117,,
42,2020-05-21,7.96,8.06,7.91,7.92,13772348.0,8.077000000000002,,
43,2020-05-22,7.88,7.96,7.71,7.75,15768299.0,8.021,,
44,2020-05-25,7.75,7.81,7.7,7.79,7739000.0,7.976000000000002,,
45,2020-05-26,7.78,7.82,7.73,7.82,9888838.0,7.94,,
46,2020-05-27,7.82,7.92,7.76,7.82,11235624.0,7.904999999999999,,
47,2020-05-28,7.82,7.9,7.68,7.71,11666042.0,7.8809999999999985,,
48,2020-05-29,7.71,7.76,7.63,7.64,13256332.0,7.848999999999999,,
49,2020-06-01,7.65,7.75,7.65,7.73,19041910.0,7.815,,
50,2020-06-02,7.73,7.8,7.71,7.8,13522716.0,7.789,,
51,2020-06-03,7.83,7.87,7.79,7.83,12758855.0,7.781000000000001,,
52,2020-06-04,7.86,7.99,7.85,7.86,15910903.0,7.775,,
53,2020-06-05,7.87,7.9,7.74,7.77,12598520.0,7.776999999999999,,
54,2020-06-08,7.83,7.96,7.82,7.94,17360173.0,7.791999999999999,,
55,2020-06-09,7.91,7.94,7.81,7.88,11678011.0,7.797999999999999,,
56,2020-06-10,7.92,7.99,7.83,7.87,13661292.0,7.803,,
57,2020-06-11,7.83,7.86,7.72,7.76,15951857.0,7.808000000000002,,
58,2020-06-12,7.65,7.67,7.6,7.64,15258298.0,7.808000000000002,,
59,2020-06-15,7.63,7.67,7.53,7.56,15307848.0,7.791000000000001,8.107166666666666,
60,2020-06-16,7.58,7.61,7.54,7.61,9950871.0,7.772000000000001,8.108833333333333,
61,2020-06-17,7.62,7.71,7.56,7.68,13288771.0,7.757000000000001,8.112333333333332,
62,2020-06-18,7.64,7.66,7.59,7.63,8465366.0,7.734,8.113999999999999,
63,2020-06-19,7.65,7.66,7.58,7.65,11095351.0,7.722000000000001,8.114333333333333,
64,2020-06-22,7.63,7.66,7.6,7.61,11392431.0,7.689000000000002,8.112499999999999,
65,2020-06-23,7.61,7.61,7.49,7.51,13954985.0,7.652000000000003,8.106166666666665,
66,2020-06-24,7.55,7.55,7.48,7.51,8775854.0,7.616000000000002,8.093833333333333,
67,2020-06-29,7.53,7.72,7.48,7.67,22855339.0,7.607000000000002,8.085666666666665,
68,2020-06-30,7.74,7.75,7.62,7.66,11964690.0,7.609000000000002,8.0725,
69,2020-07-01,7.66,7.67,7.59,7.64,12003031.0,7.617000000000002,8.049833333333332,
70,2020-07-02,7.65,7.76,7.64,7.74,19232447.0,7.630000000000001,8.036166666666666,
71,2020-07-03,7.76,7.91,7.75,7.85,19907153.0,7.647,8.029,
72,2020-07-06,7.85,8.17,7.85,8.14,38694098.0,7.698,8.023,
73,2020-07-07,8.18,8.3,8.03,8.09,36444928.0,7.742,8.002166666666666,
74,2020-07-08,8.12,8.28,8.12,8.28,33178510.0,7.809,7.984333333333333,
75,2020-07-09,8.33,8.42,8.23,8.42,44618175.0,7.9,7.973833333333332,
76,2020-07-10,8.33,8.33,8.16,8.19,33210245.0,7.967999999999999,7.965833333333332,
77,2020-07-13,8.18,8.7,8.17,8.6,52306395.0,8.060999999999998,7.9689999999999985,
78,2020-07-14,8.65,8.73,8.3,8.55,42540221.0,8.149999999999999,7.966666666666666,
79,2020-07-15,8.65,8.67,8.31,8.37,27922928.0,8.222999999999999,7.964833333333332,
80,2020-07-16,8.38,8.42,7.99,8.02,30454883.0,8.251,7.957999999999998,
81,2020-07-17,8.02,8.12,7.93,8.03,17197102.0,8.269,7.954166666666665,
82,2020-07-20,8.06,8.24,8.05,8.23,18661372.0,8.278,7.953333333333332,
83,2020-07-21,8.25,8.32,8.19,8.27,19065736.0,8.296,7.954999999999998,
84,2020-07-22,8.21,8.33,8.16,8.28,20908605.0,8.296,7.952333333333331,
85,2020-07-23,8.21,8.26,8.01,8.17,18312893.0,8.270999999999999,7.947666666666665,
86,2020-07-24,8.15,8.32,7.95,7.98,24897289.0,8.25,7.945999999999999,
87,2020-07-27,7.99,8.12,7.91,7.99,13471256.0,8.189,7.945499999999999,
88,2020-07-28,8.08,8.4,8.01,8.37,36823327.0,8.171000000000001,7.952333333333333,
89,2020-07-29,8.23,8.33,8.15,8.32,25664428.0,8.166,7.958166666666666,
90,2020-07-30,8.28,8.34,8.17,8.19,22569071.0,8.183,7.9608333333333325,
91,2020-07-31,8.18,8.27,8.07,8.27,22783295.0,8.206999999999999,7.962999999999999,
92,2020-08-03,8.35,8.45,8.27,8.42,33234095.0,8.225999999999999,7.964666666666667,
93,2020-08-04,8.44,8.75,8.41,8.57,56405477.0,8.255999999999998,7.968999999999999,
94,2020-08-05,8.66,9.43,8.6,9.43,134441469.0,8.370999999999999,7.988833333333333,
95,2020-08-06,9.22,9.41,8.97,9.21,98637541.0,8.474999999999998,8.005999999999998,
96,2020-08-07,9.35,9.98,9.21,9.47,116388072.0,8.623999999999999,8.027666666666667,
97,2020-08-10,9.32,9.79,9.26,9.28,70019933.0,8.752999999999998,8.049833333333332,
98,2020-08-11,9.39,10.15,9.28,9.8,110865982.0,8.895999999999997,8.080499999999999,
99,2020-08-12,9.79,9.94,9.27,9.5,64197761.0,9.014,8.104333333333333,
100,2020-08-13,9.56,9.85,9.4,9.65,58597347.0,9.16,8.130833333333333,
101,2020-08-14,9.61,9.68,9.31,9.55,39415350.0,9.288,8.158166666666666,
102,2020-08-17,9.6,9.76,9.46,9.61,45933480.0,9.407,8.186333333333332,
103,2020-08-18,9.59,10.09,9.49,9.88,73478319.0,9.538,8.221833333333333,
104,2020-08-19,9.83,9.98,9.55,9.6,54910212.0,9.554999999999998,8.251999999999999,
105,2020-08-20,9.62,9.78,9.23,9.27,46981626.0,9.560999999999998,8.276166666666665,
106,2020-08-21,9.38,9.59,9.25,9.45,39622929.0,9.559,8.303333333333333,
107,2020-08-24,9.48,9.93,9.47,9.8,55683746.0,9.610999999999999,8.338166666666666,
108,2020-08-25,9.8,9.83,9.35,9.43,43254844.0,9.574,8.368,
109,2020-08-26,9.45,10.26,9.45,9.93,86347888.0,9.616999999999999,8.404666666666666,
110,2020-08-27,9.97,10.18,9.68,10.18,73473443.0,9.669999999999998,8.444333333333331,
111,2020-08-28,9.8,9.9,9.16,9.51,97866109.0,9.666,8.472333333333333,
112,2020-08-31,9.43,10.36,9.36,10.08,94508721.0,9.713,8.509333333333332,
113,2020-09-01,10.01,10.16,9.76,9.95,47089466.0,9.72,8.545666666666667,
114,2020-09-02,10.18,10.47,10.05,10.33,82405892.0,9.793000000000001,8.5855,
115,2020-09-03,10.26,10.44,9.95,10.11,58465723.0,9.877,8.622666666666667,
116,2020-09-04,9.83,10.36,9.7,10.17,53987213.0,9.949000000000002,8.661,
117,2020-09-07,10.24,10.34,9.81,9.98,37054803.0,9.967000000000002,8.698,
118,2020-09-08,10.1,10.25,9.9,10.06,40650762.0,10.030000000000001,8.738333333333333,
119,2020-09-09,9.85,9.94,9.3,9.47,54509601.0,9.984,8.770166666666666,
120,2020-09-10,9.53,9.55,9.02,9.1,45228651.0,9.876,8.795,
121,2020-09-11,9.1,9.25,8.95,9.15,20564674.0,9.84,8.819500000000001,
122,2020-09-14,9.23,9.28,8.95,9.11,21514673.0,9.742999999999999,8.844166666666668,
123,2020-09-15,9.13,9.14,8.9,9.1,20240859.0,9.657999999999998,8.868333333333336,
124,2020-09-16,9.13,9.39,9.06,9.16,32199481.0,9.540999999999999,8.894166666666669,
125,2020-09-17,9.19,9.47,9.05,9.32,33431556.0,9.462,8.924333333333335,
126,2020-09-18,9.35,9.76,9.3,9.56,42165554.0,9.401,8.958500000000003,
127,2020-09-21,9.64,9.75,9.5,9.64,28358222.0,9.366999999999999,8.991333333333335,
128,2020-09-22,9.47,9.48,9.15,9.22,24863467.0,9.282999999999998,9.017333333333337,
129,2020-09-23,9.3,9.42,9.19,9.24,15123395.0,9.259999999999998,9.044000000000004,
130,2020-09-24,9.15,9.35,9.09,9.13,19880282.0,9.262999999999998,9.06716666666667,
131,2020-09-25,9.13,9.19,8.75,8.84,24340049.0,9.231999999999998,9.08366666666667,
132,2020-09-28,8.85,8.93,8.66,8.68,13789234.0,9.188999999999997,9.09266666666667,
133,2020-09-29,8.71,8.85,8.65,8.79,13482360.0,9.157999999999998,9.104333333333335,
134,2020-09-30,8.8,8.82,8.5,8.55,18372226.0,9.096999999999998,9.108833333333335,
135,2020-10-09,8.76,9.02,8.68,8.92,19406064.0,9.056999999999999,9.117166666666668,
136,2020-10-12,8.98,9.27,8.95,9.25,24494164.0,9.026,9.134833333333335,
137,2020-10-13,9.24,9.31,9.14,9.19,13703287.0,8.980999999999998,9.144666666666668,
138,2020-10-14,9.28,9.28,9.09,9.18,13658448.0,8.976999999999999,9.155166666666668,
139,2020-10-15,9.19,9.26,9.0,9.06,14458965.0,8.959,9.166666666666666,
140,2020-10-16,9.05,9.13,8.91,9.03,12805230.0,8.949,9.1835,
141,2020-10-19,9.13,9.33,9.01,9.07,22719005.0,8.972,9.200833333333334,
142,2020-10-20,9.11,9.24,9.07,9.23,15096340.0,9.027000000000001,9.217500000000001,
143,2020-10-21,9.19,9.21,9.0,9.05,14604638.0,9.053,9.230500000000001,
144,2020-10-22,9.0,9.0,8.77,8.84,13327922.0,9.082,9.239833333333335,
145,2020-10-23,8.89,9.1,8.8,8.81,16951474.0,9.071000000000002,9.2505,
146,2020-10-26,8.74,8.78,8.57,8.67,14658802.0,9.013000000000002,9.262,
147,2020-10-27,8.61,8.7,8.51,8.57,15051091.0,8.951000000000002,9.271666666666668,
148,2020-10-28,8.58,8.61,8.33,8.5,15874617.0,8.883000000000001,9.273833333333334,
149,2020-10-29,8.4,8.49,8.34,8.42,13272670.0,8.819,9.2755,
150,2020-10-30,8.45,8.56,8.2,8.25,17814778.0,8.741000000000001,9.276499999999999,
151,2020-11-02,8.26,8.35,8.12,8.21,15082632.0,8.655000000000001,9.2755,
152,2020-11-03,8.29,8.54,8.25,8.54,17766976.0,8.586,9.2775,
153,2020-11-04,8.46,8.49,8.35,8.45,12129117.0,8.526,9.2755,
154,2020-11-05,8.49,8.55,8.38,8.49,15960338.0,8.491,9.259833333333335,
155,2020-11-06,8.5,8.52,8.31,8.43,17191673.0,8.453,9.246833333333333,
156,2020-11-09,8.47,8.57,8.41,8.44,44960428.0,8.43,9.229666666666667,
157,2020-11-10,8.47,8.47,8.26,8.31,22654595.0,8.404,9.2135,
158,2020-11-11,8.3,8.41,8.25,8.29,15792046.0,8.383,9.188333333333333,
159,2020-11-12,8.36,8.37,8.27,8.3,11300219.0,8.370999999999999,9.168333333333331,
160,2020-11-13,8.26,8.3,8.18,8.24,11807442.0,8.369999999999997,9.144833333333333,
161,2020-11-16,8.2,8.4,8.19,8.38,17522582.0,8.386999999999997,9.125333333333334,
162,2020-11-17,8.45,9.07,8.42,8.9,78249776.0,8.422999999999998,9.113499999999998,
163,2020-11-18,8.88,8.98,8.76,8.87,42074761.0,8.465,9.096666666666666,
164,2020-11-19,8.9,8.96,8.76,8.89,25369628.0,8.504999999999999,9.084833333333332,
165,2020-11-20,8.83,8.9,8.7,8.86,22296017.0,8.547999999999998,9.078,
166,2020-11-23,8.88,9.05,8.78,8.95,48664997.0,8.599,9.069666666666667,
167,2020-11-24,8.95,9.32,8.95,9.07,47714473.0,8.675,9.057500000000001,
168,2020-11-25,9.04,9.06,8.77,8.78,28371381.0,8.724,9.046666666666669,
169,2020-11-26,8.72,8.83,8.61,8.73,18404310.0,8.767000000000001,9.026666666666669,
170,2020-11-27,8.76,8.83,8.67,8.8,14959829.0,8.823000000000002,9.00366666666667,
171,2020-11-30,8.98,9.11,8.78,8.78,44260640.0,8.863000000000003,8.991500000000002,
172,2020-12-01,8.7,8.82,8.66,8.78,28983397.0,8.851000000000003,8.969833333333334,
173,2020-12-02,8.78,8.98,8.75,8.94,31328001.0,8.858,8.953000000000001,
174,2020-12-03,8.89,9.04,8.78,8.99,29087136.0,8.868,8.930666666666667,
175,2020-12-04,8.99,9.08,8.86,8.99,24709122.0,8.881,8.912,
176,2020-12-07,8.95,9.15,8.91,9.03,27413238.0,8.889,8.893,
177,2020-12-08,9.06,9.08,8.91,8.93,19955420.0,8.875,8.875499999999999,
178,2020-12-09,8.88,8.92,8.58,8.64,32980197.0,8.861,8.851833333333333,
179,2020-12-10,8.6,8.72,8.47,8.6,24522368.0,8.847999999999999,8.837333333333333,
180,2020-12-11,8.63,8.66,8.49,8.6,20837300.0,8.828,8.829,
181,2020-12-14,8.6,8.71,8.48,8.69,19292075.0,8.818999999999999,8.821333333333335,
182,2020-12-15,8.6,8.69,8.56,8.62,13352609.0,8.802999999999999,8.813166666666667,
183,2020-12-16,8.62,8.95,8.59,8.86,34059722.0,8.794999999999998,8.809166666666668,
184,2020-12-17,8.95,9.07,8.87,9.03,41749383.0,8.799,8.807,
185,2020-12-18,9.15,9.2,8.97,9.02,42386960.0,8.802,8.802,
186,2020-12-21,9.19,9.92,9.1,9.87,128362988.0,8.886,8.807166666666667,
187,2020-12-22,9.85,10.13,9.75,9.82,103838211.0,8.975,8.81016666666667,
188,2020-12-23,9.75,10.18,9.73,10.11,68735317.0,9.122,8.825000000000001,
189,2020-12-24,10.0,10.03,9.81,9.91,42896797.0,9.253,8.836166666666667,
190,2020-12-25,9.86,9.9,9.6,9.72,43414266.0,9.365,8.846000000000002,
191,2020-12-28,9.73,10.08,9.73,9.98,56363127.0,9.494000000000002,8.865000000000002,
192,2020-12-29,10.08,10.13,9.62,9.71,45450737.0,9.603,8.88216666666667,
193,2020-12-30,9.71,9.83,9.6,9.7,32339485.0,9.687000000000001,8.897333333333338,
194,2020-12-31,9.7,9.82,9.5,9.68,35928631.0,9.752,8.91616666666667,
195,2021-01-04,9.67,9.95,9.63,9.85,55058149.0,9.835,8.931666666666672,
196,2021-01-05,9.85,9.85,9.58,9.71,51758092.0,9.818999999999999,8.93933333333334,
197,2021-01-06,9.75,10.36,9.67,10.09,89789423.0,9.846,8.95433333333334,
198,2021-01-07,9.93,10.99,9.71,10.6,107694321.0,9.895,8.978000000000007,
199,2021-01-08,10.55,10.75,10.33,10.39,63844714.0,9.943000000000001,9.000166666666674,
