,date,open,high,low,close,volume,120,180,240
0,2021-01-18,90.0,92.88,73.28,74.88,27335807.0,,,
1,2021-01-19,74.88,75.79,69.75,69.99,13890009.0,,,
2,2021-01-20,70.1,72.45,67.5,70.8,8741425.0,,,
3,2021-01-21,78.0,79.8,73.7,73.82,12606602.0,,,
4,2021-01-22,72.5,86.72,72.02,84.26,15532726.0,,,
5,2021-01-25,87.23,93.8,83.0,89.41,14477895.0,,,
6,2021-01-26,86.96,89.38,81.72,81.81,10126928.0,,,
7,2021-01-27,82.9,85.8,81.53,82.32,6144388.0,,,
8,2021-01-28,83.67,89.0,82.75,83.96,8335617.0,,,
9,2021-01-29,83.88,86.0,77.31,78.81,8258368.0,,,
10,2021-02-01,77.99,80.66,75.1,79.14,5572020.0,,,
11,2021-02-02,78.6,81.38,75.5,75.84,5666161.0,,,
12,2021-02-03,75.19,75.2,71.0,71.3,5734818.0,,,
13,2021-02-04,70.9,74.29,69.44,73.01,5572249.0,,,
14,2021-02-05,72.58,73.88,68.1,68.5,4075819.0,,,
15,2021-02-08,68.5,68.85,65.0,65.3,3596713.0,,,
16,2021-02-09,65.0,67.28,64.83,66.26,2835102.0,,,
17,2021-02-10,66.27,71.05,66.27,70.72,3867885.0,,,
18,2021-02-18,71.88,71.88,67.01,68.13,3326856.0,,,
19,2021-02-19,68.08,68.09,66.17,68.0,2545000.0,,,
20,2021-02-22,67.85,67.87,66.66,66.88,2640252.0,,,
21,2021-02-23,66.97,67.66,66.66,67.3,1961168.0,,,
22,2021-02-24,67.3,67.97,65.5,65.89,2593433.0,,,
23,2021-02-25,68.29,71.5,67.5,68.61,5130634.0,,,
24,2021-02-26,67.7,68.56,66.66,67.47,2384963.0,,,
25,2021-03-01,67.15,68.75,67.0,67.84,2107286.0,,,
26,2021-03-02,68.49,68.5,66.45,66.65,2063333.0,,,
27,2021-03-03,66.4,67.03,65.81,66.98,1852713.0,,,
28,2021-03-04,66.5,66.88,65.01,65.06,2193867.0,,,
29,2021-03-05,64.9,65.65,64.28,65.28,1485211.0,,,
30,2021-03-08,65.37,65.69,63.8,63.88,1892780.0,,,
31,2021-03-09,64.0,64.0,59.52,59.64,2444154.0,,,
32,2021-03-10,60.15,60.3,56.69,57.04,2227363.0,,,
33,2021-03-11,57.01,57.89,56.7,57.34,1309330.0,,,
34,2021-03-12,57.51,57.83,55.03,55.5,2000245.0,,,
35,2021-03-15,55.0,55.32,53.29,53.51,1559329.0,,,
36,2021-03-16,53.51,54.27,53.33,53.7,1121388.0,,,
37,2021-03-17,53.7,55.73,53.51,55.32,1660985.0,,,
38,2021-03-18,54.91,56.39,54.91,55.65,1547084.0,,,
39,2021-03-19,55.38,56.61,54.7,55.97,1270997.0,,,
40,2021-03-22,56.61,57.53,56.0,57.25,1384085.0,,,
41,2021-03-23,57.0,57.0,55.77,56.08,1164899.0,,,
42,2021-03-24,55.78,56.43,54.62,55.07,946867.0,,,
43,2021-03-25,54.88,55.53,54.72,55.08,841432.0,,,
44,2021-03-26,54.94,55.44,54.7,54.98,758034.0,,,
45,2021-03-29,54.98,54.99,53.83,54.13,909525.0,,,
46,2021-03-30,54.13,54.91,53.37,54.51,946870.0,,,
47,2021-03-31,54.53,55.49,54.37,54.53,795492.0,,,
48,2021-04-01,54.56,54.75,53.7,54.03,693621.0,,,
49,2021-04-02,54.04,56.09,53.71,55.25,1390010.0,,,
50,2021-04-06,55.3,56.68,54.86,56.57,1482482.0,,,
51,2021-04-07,56.09,56.58,55.55,56.0,989820.0,,,
52,2021-04-08,55.97,57.66,55.58,56.82,1584271.0,,,
53,2021-04-09,56.99,57.3,55.7,55.92,1059205.0,,,
54,2021-04-12,55.95,56.4,54.51,54.75,834292.0,,,
55,2021-04-13,54.74,58.66,54.74,57.88,2799597.0,,,
56,2021-04-14,57.98,58.58,56.9,58.15,1773787.0,,,
57,2021-04-15,58.15,66.52,57.8,64.29,6602466.0,,,
58,2021-04-16,64.0,68.95,62.31,66.06,6781802.0,,,
59,2021-04-19,66.3,72.37,65.6,70.02,6894282.0,,,
60,2021-04-20,69.5,71.47,65.08,67.99,7428668.0,,,
61,2021-04-21,66.8,73.1,66.8,71.88,6299962.0,,,
62,2021-04-22,70.92,71.86,69.2,70.5,4327919.0,,,
63,2021-04-23,70.1,75.32,70.1,71.92,5680964.0,,,
64,2021-04-26,73.08,86.3,73.03,86.3,11267501.0,,,
65,2021-04-27,86.5,92.69,84.5,85.25,9958214.0,,,
66,2021-04-28,84.81,90.65,79.06,89.05,9800210.0,,,
67,2021-04-29,82.32,82.97,71.77,72.23,11261033.0,,,
68,2021-04-30,73.15,77.49,72.58,73.83,6098716.0,,,
