,date,open,high,low,close,volume,10,60,250
0,2020-03-18,17.54,18.03,17.34,17.34,938389.0,,,
1,2020-03-19,17.39,17.72,17.14,17.67,780654.0,,,
2,2020-03-20,17.69,17.98,17.61,17.94,753628.0,,,
3,2020-03-23,17.61,17.87,17.16,17.31,717200.0,,,
4,2020-03-24,17.59,17.71,17.08,17.51,671352.0,,,
5,2020-03-25,17.74,18.06,17.73,17.92,770950.0,,,
6,2020-03-26,17.92,17.92,17.48,17.65,742489.0,,,
7,2020-03-27,17.77,17.94,17.4,17.4,698056.0,,,
8,2020-03-30,16.3,17.07,15.66,15.66,2054300.0,,,
9,2020-03-31,15.18,15.45,14.66,14.66,3538218.0,17.106,,
10,2020-04-01,14.44,16.12,14.22,16.12,3488653.0,16.984,,
11,2020-04-02,16.42,17.72,16.1,16.75,6234516.0,16.892000000000003,,
12,2020-04-03,16.42,18.42,16.26,18.28,8279382.0,16.926000000000002,,
13,2020-04-07,17.78,19.64,17.67,18.55,7839345.0,17.050000000000004,,
14,2020-04-08,18.12,18.25,17.48,17.6,4954035.0,17.059000000000005,,
15,2020-04-09,17.47,17.71,17.12,17.5,2933356.0,17.017000000000003,,
16,2020-04-10,17.49,17.49,16.5,16.64,2554245.0,16.916,,
17,2020-04-13,16.45,16.62,15.87,16.06,1659709.0,16.782,,
18,2020-04-14,16.34,16.62,16.17,16.45,1617042.0,16.860999999999997,,
19,2020-04-15,16.54,16.75,16.27,16.29,1634124.0,17.023999999999997,,
20,2020-04-16,16.03,16.34,15.83,16.13,1430967.0,17.025,,
21,2020-04-17,16.2,16.29,15.79,15.82,1708585.0,16.931999999999995,,
22,2020-04-20,15.79,16.19,15.57,16.06,1656803.0,16.709999999999997,,
23,2020-04-21,16.03,16.03,15.5,15.67,1656243.0,16.421999999999993,,
24,2020-04-22,15.51,16.94,15.51,16.53,3250749.0,16.314999999999994,,
25,2020-04-23,16.52,16.66,15.87,15.89,2143294.0,16.153999999999996,,
26,2020-04-24,15.8,16.14,15.61,16.01,1545224.0,16.090999999999998,,
27,2020-04-27,16.1,16.41,15.54,15.59,1709182.0,16.043999999999997,,
28,2020-04-28,15.3,15.53,14.22,14.99,1721658.0,15.898,,
29,2020-04-29,14.9,15.29,14.87,15.13,905041.0,15.782,,
30,2020-04-30,15.13,15.66,15.04,15.62,1422562.0,15.731,,
31,2020-05-06,15.76,16.91,15.62,16.44,2351197.0,15.793000000000001,,
32,2020-05-07,16.45,16.65,15.96,16.18,1726995.0,15.805000000000001,,
33,2020-05-08,16.25,16.66,16.18,16.47,1891349.0,15.885000000000002,,
34,2020-05-11,16.67,16.73,16.24,16.39,1425704.0,15.871,,
35,2020-05-12,16.42,16.42,15.92,16.35,1398474.0,15.917000000000002,,
36,2020-05-13,16.22,16.55,16.11,16.48,1290348.0,15.964000000000002,,
37,2020-05-14,16.41,16.58,16.26,16.33,1044972.0,16.038000000000004,,
38,2020-05-15,16.46,16.6,16.29,16.43,1203467.0,16.182000000000002,,
39,2020-05-18,16.62,16.62,16.23,16.35,1105576.0,16.304000000000002,,
40,2020-05-19,16.32,16.86,16.32,16.85,1758755.0,16.427,,
41,2020-05-20,16.73,16.84,16.48,16.53,1314631.0,16.436,,
42,2020-05-21,16.67,16.67,15.97,16.09,1215320.0,16.427,,
43,2020-05-22,15.95,16.03,15.45,15.67,903585.0,16.347,,
44,2020-05-25,15.52,15.92,15.52,15.8,583370.0,16.288,,
45,2020-05-26,15.77,16.62,15.77,16.56,1501326.0,16.309,,
46,2020-05-27,16.75,16.85,16.37,16.73,1784597.0,16.334,,
47,2020-05-28,16.72,16.91,16.35,16.58,1311243.0,16.359,,
48,2020-05-29,16.75,16.85,16.43,16.77,1214160.0,16.393000000000004,,
49,2020-06-01,16.79,17.3,16.79,17.19,2133857.0,16.477000000000004,,
50,2020-06-02,17.2,17.64,17.2,17.4,2518218.0,16.532000000000004,,
51,2020-06-03,17.5,17.84,17.24,17.27,1973395.0,16.606000000000005,,
52,2020-06-04,17.2,17.27,16.74,16.82,2504259.0,16.679000000000006,,
53,2020-06-05,17.0,17.04,16.57,16.73,1960182.0,16.785000000000004,,
54,2020-06-08,16.8,18.4,16.8,18.4,3874976.0,17.045000000000005,,
55,2020-06-09,18.6,19.7,18.4,18.9,12270075.0,17.279000000000003,,
56,2020-06-10,18.13,18.9,18.1,18.38,6511915.0,17.444000000000006,,
57,2020-06-11,18.31,18.7,17.66,17.82,6032783.0,17.568000000000005,,
58,2020-06-12,17.24,17.58,17.11,17.45,3521679.0,17.636000000000003,,
59,2020-06-15,17.53,17.77,17.15,17.19,2994993.0,17.636000000000003,16.721500000000002,
60,2020-06-16,17.2,17.66,17.2,17.61,2771641.0,17.657000000000004,16.726000000000003,
