,date,open,high,low,close,volume,120,180,240
0,2019-10-21,7.36,7.36,7.36,7.36,136151.0,,,
1,2019-10-22,8.1,8.1,8.1,8.1,50933.0,,,
2,2019-10-23,8.91,8.91,8.91,8.91,84568.0,,,
3,2019-10-24,9.8,9.8,9.8,9.8,145651.0,,,
4,2019-10-25,10.79,10.79,10.79,10.79,551535.0,,,
5,2019-10-28,11.86,11.86,11.86,11.86,1504566.0,,,
6,2019-10-29,13.05,13.05,13.05,13.05,959573.0,,,
7,2019-10-30,14.35,14.35,14.35,14.35,661678.0,,,
8,2019-10-31,15.78,15.78,15.78,15.78,1261535.0,,,
9,2019-11-01,17.37,17.37,16.69,17.37,23634596.0,,,
10,2019-11-04,18.49,19.11,17.72,19.01,30311880.0,,,
11,2019-11-05,17.72,19.11,17.51,19.1,31973101.0,,,
12,2019-11-06,19.02,19.83,17.57,18.36,26970475.0,,,
13,2019-11-07,17.73,18.37,17.45,18.14,19459219.0,,,
14,2019-11-08,18.23,19.96,17.93,19.96,23519714.0,,,
15,2019-11-11,18.92,19.66,18.41,19.14,26395812.0,,,
16,2019-11-12,18.94,21.05,18.75,19.99,30286587.0,,,
17,2019-11-13,19.7,22.0,19.56,22.0,16329266.0,,,
18,2019-11-14,23.67,24.19,21.6,21.67,42009280.0,,,
19,2019-11-15,19.91,20.5,19.5,19.5,26448746.0,,,
20,2019-11-18,18.91,19.88,18.17,19.79,23115718.0,,,
21,2019-11-19,19.26,20.57,19.13,20.24,24722286.0,,,
22,2019-11-20,19.98,20.67,19.27,19.43,18190884.0,,,
23,2019-11-21,19.38,21.2,18.79,20.6,21688617.0,,,
24,2019-11-22,20.42,22.29,19.94,21.65,26323851.0,,,
25,2019-11-25,21.03,23.29,20.6,22.48,27406551.0,,,
26,2019-11-26,21.76,21.9,20.23,20.23,18310647.0,,,
27,2019-11-27,19.36,21.36,18.81,20.71,21695902.0,,,
28,2019-11-28,20.88,22.0,20.58,21.13,23753274.0,,,
29,2019-11-29,20.51,21.89,20.23,21.58,22973725.0,,,
30,2019-12-02,21.7,22.09,20.8,21.29,17230088.0,,,
31,2019-12-03,20.59,22.64,20.59,22.19,24869194.0,,,
32,2019-12-04,22.39,22.69,21.76,21.78,20440581.0,,,
33,2019-12-05,21.66,22.57,21.35,22.15,20679628.0,,,
34,2019-12-06,22.15,22.46,21.49,21.5,19988299.0,,,
35,2019-12-09,21.11,21.64,20.59,21.15,15824653.0,,,
36,2019-12-10,21.25,21.38,20.34,20.65,17092278.0,,,
37,2019-12-11,20.49,21.01,20.17,20.17,16030209.0,,,
38,2019-12-12,19.85,19.85,19.04,19.19,15923972.0,,,
39,2019-12-13,19.41,19.44,18.97,19.26,9789098.0,,,
40,2019-12-16,19.21,19.46,18.99,19.42,9424687.0,,,
41,2019-12-17,19.3,19.9,19.21,19.57,12822324.0,,,
42,2019-12-18,19.47,19.69,19.25,19.3,10048877.0,,,
43,2019-12-19,19.31,19.61,19.12,19.31,9867034.0,,,
44,2019-12-20,19.13,19.3,18.22,18.28,12909891.0,,,
45,2019-12-23,18.28,18.64,17.89,17.96,6825454.0,,,
46,2019-12-24,18.16,18.17,17.67,18.14,7682105.0,,,
47,2019-12-25,18.11,18.16,17.75,17.88,4992264.0,,,
48,2019-12-26,17.98,18.39,17.96,18.15,7408990.0,,,
49,2019-12-27,18.12,18.79,17.97,18.36,9981751.0,,,
50,2019-12-30,17.97,18.16,16.53,17.22,8470481.0,,,
51,2019-12-31,17.32,17.6,16.82,17.29,7658068.0,,,
52,2020-01-02,17.32,18.01,17.25,17.91,9486667.0,,,
53,2020-01-03,17.83,17.83,17.48,17.59,7682592.0,,,
54,2020-01-06,17.27,17.48,17.02,17.39,5889479.0,,,
