,date,open,high,low,close,volume,120,180,240
0,2020-05-07,30.42,33.18,30.42,33.18,172155.0,,,
1,2020-05-08,36.5,36.5,36.5,36.5,56935.0,,,
2,2020-05-11,40.15,40.15,40.15,40.15,134568.0,,,
3,2020-05-12,44.17,44.17,44.17,44.17,1560644.0,,,
4,2020-05-13,48.59,48.59,48.59,48.59,434229.0,,,
5,2020-05-14,53.45,53.45,53.45,53.45,675965.0,,,
6,2020-05-15,58.8,58.8,58.8,58.8,276707.0,,,
7,2020-05-18,64.68,64.68,59.63,62.6,26633436.0,,,
8,2020-05-19,60.17,62.49,58.83,61.32,16917191.0,,,
9,2020-05-20,59.9,60.6,56.7,58.14,14229866.0,,,
10,2020-05-21,57.56,61.37,57.56,60.0,13150507.0,,,
11,2020-05-22,58.85,59.68,54.6,55.78,11564697.0,,,
12,2020-05-25,55.0,55.0,50.53,51.79,10045238.0,,,
13,2020-05-26,51.85,53.82,51.85,52.56,7419150.0,,,
14,2020-05-27,52.0,55.55,51.93,54.44,8661712.0,,,
15,2020-05-28,53.9,54.3,50.0,50.82,8129877.0,,,
16,2020-05-29,50.0,51.49,49.02,49.82,5776398.0,,,
17,2020-06-01,50.5,53.78,50.0,52.64,7797087.0,,,
18,2020-06-02,52.63,55.18,52.02,53.65,8983358.0,,,
19,2020-06-03,54.1,54.8,51.86,52.17,6179418.0,,,
20,2020-06-04,51.62,52.59,50.56,51.08,4781945.0,,,
21,2020-06-05,51.08,52.36,50.17,52.33,4618518.0,,,
22,2020-06-08,52.8,53.38,51.35,52.56,5482968.0,,,
23,2020-06-09,51.9,52.02,50.6,51.25,4092783.0,,,
24,2020-06-10,50.83,51.85,50.83,51.05,3297762.0,,,
25,2020-06-11,51.4,56.16,51.4,55.03,14189717.0,,,
26,2020-06-12,52.9,58.6,52.63,56.47,13222145.0,,,
27,2020-06-15,56.0,57.49,54.35,54.66,8619707.0,,,
28,2020-06-16,55.4,58.18,54.41,57.45,9879731.0,,,
29,2020-06-17,56.66,57.55,54.8,56.78,8390669.0,,,
30,2020-06-18,56.0,56.48,55.0,55.3,4883399.0,,,
31,2020-06-19,55.35,55.49,53.51,54.71,5563858.0,,,
32,2020-06-22,54.1,57.87,54.02,55.62,7133662.0,,,
33,2020-06-23,55.48,55.76,54.51,54.63,4639776.0,,,
34,2020-06-24,54.8,55.2,53.54,53.54,4246985.0,,,
35,2020-06-29,54.51,56.97,53.43,56.58,8179245.0,,,
36,2020-06-30,56.39,61.5,56.02,59.55,12302879.0,,,
37,2020-07-01,59.01,59.3,56.56,57.99,9600748.0,,,
38,2020-07-02,57.75,59.47,57.0,58.51,8193283.0,,,
39,2020-07-03,59.03,60.89,58.51,58.86,8445524.0,,,
40,2020-07-06,61.21,64.75,59.75,64.75,11418524.0,,,
41,2020-07-07,65.46,68.59,62.59,63.73,12451875.0,,,
42,2020-07-08,63.01,70.1,63.01,70.1,12291204.0,,,
43,2020-07-09,72.9,77.11,70.7,77.11,10035923.0,,,
44,2020-07-10,80.0,83.99,74.95,76.31,13109052.0,,,
45,2020-07-13,74.21,78.35,73.3,75.06,9880036.0,,,
46,2020-07-14,76.5,79.51,70.62,71.86,11350574.0,,,
47,2020-07-15,71.86,72.95,66.61,67.4,8587610.0,,,
48,2020-07-16,68.02,69.24,65.02,66.0,6687000.0,,,
49,2020-07-17,66.39,68.15,65.66,67.0,4730092.0,,,
50,2020-07-20,68.48,69.27,66.79,69.02,4969985.0,,,
51,2020-07-21,70.99,72.98,69.17,69.37,5749313.0,,,
52,2020-07-22,67.97,71.8,66.77,69.04,6107918.0,,,
53,2020-07-23,67.6,68.7,65.18,66.88,5371094.0,,,
54,2020-07-24,65.94,67.27,60.32,60.6,5658738.0,,,
55,2020-07-27,61.5,61.6,58.31,59.4,3759729.0,,,
56,2020-07-28,60.01,62.31,59.63,61.4,3649669.0,,,
57,2020-07-29,60.8,63.38,60.51,63.06,3632259.0,,,
58,2020-07-30,62.8,63.01,61.21,61.37,3149900.0,,,
59,2020-07-31,61.15,62.97,60.81,62.1,2927075.0,,,
60,2020-08-03,62.93,66.9,62.3,66.1,5385024.0,,,
61,2020-08-04,66.4,70.5,65.15,66.92,5693805.0,,,
62,2020-08-05,68.89,69.88,66.4,66.6,3857603.0,,,
63,2020-08-06,67.1,69.8,67.07,68.12,4975694.0,,,
64,2020-08-07,67.15,67.47,64.66,65.95,4156634.0,,,
65,2020-08-10,65.19,68.5,64.55,68.48,3628580.0,,,
66,2020-08-11,68.46,68.8,65.6,65.88,2849529.0,,,
67,2020-08-12,65.0,66.55,61.88,63.11,3661924.0,,,
68,2020-08-13,63.5,63.86,62.01,62.54,1717834.0,,,
69,2020-08-14,62.3,64.07,62.2,63.59,1869110.0,,,
70,2020-08-17,64.3,66.04,63.8,66.0,2725738.0,,,
71,2020-08-18,68.47,68.47,66.15,66.39,3929988.0,,,
72,2020-08-19,65.52,66.28,63.65,63.76,3211387.0,,,
73,2020-08-20,63.25,65.85,62.8,63.35,2600344.0,,,
74,2020-08-21,63.13,64.29,62.41,63.38,1928656.0,,,
75,2020-08-24,63.37,65.31,62.08,64.61,2537852.0,,,
76,2020-08-25,64.78,66.48,64.19,65.0,3019963.0,,,
77,2020-08-26,64.82,64.83,61.9,62.2,2927417.0,,,
78,2020-08-27,62.0,62.4,59.0,60.78,2609164.0,,,
79,2020-08-28,60.65,60.83,59.09,60.7,2130681.0,,,
80,2020-08-31,61.87,63.44,61.2,61.67,2852841.0,,,
81,2020-09-01,61.0,61.79,60.36,60.98,1636985.0,,,
82,2020-09-02,61.2,61.4,59.77,60.29,1763212.0,,,
83,2020-09-03,60.3,60.3,58.9,59.27,1522388.0,,,
84,2020-09-04,58.41,58.41,57.2,58.16,1733956.0,,,
85,2020-09-07,58.18,59.56,57.85,58.11,1448859.0,,,
86,2020-09-08,58.38,58.51,56.5,57.77,1125620.0,,,
87,2020-09-09,56.99,57.33,54.19,54.4,1950696.0,,,
88,2020-09-10,54.75,55.49,51.51,52.1,1780545.0,,,
89,2020-09-11,52.1,53.53,51.8,53.51,1498212.0,,,
90,2020-09-14,54.2,55.08,53.6,54.21,1446133.0,,,
91,2020-09-15,54.18,55.73,53.47,54.72,1239500.0,,,
92,2020-09-16,54.38,54.75,53.58,54.09,1052779.0,,,
93,2020-09-17,54.07,57.54,53.72,57.13,2810640.0,,,
94,2020-09-18,56.52,59.03,56.52,58.74,2231626.0,,,
95,2020-09-21,58.91,59.9,58.45,58.8,1559830.0,,,
96,2020-09-22,58.3,59.3,57.76,57.76,1191856.0,,,
97,2020-09-23,57.98,58.9,57.61,58.69,1150700.0,,,
98,2020-09-24,57.7,58.21,56.98,57.19,885470.0,,,
99,2020-09-25,57.66,58.2,56.16,56.16,774958.0,,,
100,2020-09-28,57.17,57.17,54.54,54.69,801894.0,,,
101,2020-09-29,54.97,55.87,54.67,55.03,755579.0,,,
102,2020-09-30,55.27,57.13,54.9,56.0,809970.0,,,
103,2020-10-09,57.11,57.6,56.83,57.09,811907.0,,,
104,2020-10-12,61.1,62.8,59.19,62.8,4745609.0,,,
105,2020-10-13,62.91,63.88,62.01,63.28,4374337.0,,,
106,2020-10-14,63.19,64.2,62.86,63.29,2276127.0,,,
107,2020-10-15,63.28,64.0,61.8,61.9,1657929.0,,,
108,2020-10-16,61.5,61.85,60.12,61.27,1754100.0,,,
109,2020-10-19,61.27,61.77,59.4,59.76,1297515.0,,,
110,2020-10-20,59.37,60.88,58.9,60.85,1223179.0,,,
111,2020-10-21,60.6,60.75,59.1,59.63,988688.0,,,
112,2020-10-22,59.28,60.39,59.06,60.1,1069625.0,,,
113,2020-10-23,60.6,60.75,56.86,57.11,2561500.0,,,
114,2020-10-26,57.11,57.89,56.1,57.73,943825.0,,,
115,2020-10-27,57.36,60.2,57.0,59.1,1592335.0,,,
116,2020-10-28,59.79,59.97,58.65,59.73,1186198.0,,,
117,2020-10-29,58.8,59.73,58.51,59.36,1122848.0,,,
118,2020-10-30,59.02,60.0,56.8,56.8,1744700.0,,,
119,2020-11-02,56.6,56.63,54.5,55.02,1500249.0,59.115249999999996,,
120,2020-11-03,55.38,57.48,55.02,57.09,1351858.0,59.314499999999995,,
121,2020-11-04,57.15,57.17,54.8,55.21,1783849.0,59.470416666666665,,
122,2020-11-05,55.39,56.26,55.2,55.8,1317470.0,59.600833333333334,,
123,2020-11-06,55.8,56.29,54.06,54.36,1659728.0,59.68575,,
124,2020-11-09,54.76,57.68,54.76,57.24,2340766.0,59.75783333333333,,
125,2020-11-10,57.45,57.65,55.93,56.03,1513179.0,59.77933333333333,,
126,2020-11-11,56.03,56.67,55.2,55.31,1219286.0,59.75025,,
127,2020-11-12,55.88,55.88,54.51,54.94,948097.0,59.68641666666666,,
128,2020-11-13,54.69,55.12,53.81,55.08,969758.0,59.63441666666666,,
