,date,open,high,low,close,volume,120,180,240
0,2018-11-13,9.89,10.19,9.84,10.08,4843065.0,,,
1,2018-11-14,10.13,10.51,10.06,10.5,7930652.0,,,
2,2018-11-15,10.29,11.27,10.26,11.15,9261473.0,,,
3,2018-11-16,11.04,11.33,10.89,11.18,6048387.0,,,
4,2018-11-19,11.19,11.19,10.8,10.9,3376659.0,,,
5,2018-11-20,10.82,11.39,10.82,10.91,5423827.0,,,
6,2018-11-21,10.75,11.87,10.6,11.42,7134385.0,,,
7,2018-11-22,11.44,11.68,10.91,10.91,5180225.0,,,
8,2018-11-23,10.91,11.06,10.14,10.22,5166432.0,,,
9,2018-11-26,10.08,10.4,9.84,9.94,2729552.0,,,
10,2018-11-27,10.0,10.2,9.91,10.03,1755839.0,,,
11,2018-11-28,10.07,10.27,9.83,10.22,1851860.0,,,
12,2018-11-29,10.38,10.38,9.85,9.86,2180522.0,,,
13,2018-11-30,9.87,10.01,9.62,10.0,2095171.0,,,
14,2018-12-03,10.11,10.45,10.11,10.29,2515842.0,,,
15,2018-12-04,10.3,10.43,10.23,10.4,1893868.0,,,
16,2018-12-05,10.21,10.35,10.12,10.28,1801380.0,,,
17,2018-12-06,10.13,10.23,9.89,9.98,2166097.0,,,
18,2018-12-07,9.98,10.68,9.98,10.56,4362126.0,,,
19,2018-12-10,10.39,10.6,10.3,10.39,2130534.0,,,
20,2018-12-11,10.45,10.59,10.35,10.47,1862520.0,,,
21,2018-12-12,10.43,10.51,10.38,10.47,1460564.0,,,
22,2018-12-13,10.46,10.91,10.46,10.49,8341075.0,,,
23,2018-12-14,10.53,10.76,10.2,10.37,4990750.0,,,
24,2018-12-17,10.21,10.3,9.92,10.23,1923720.0,,,
25,2018-12-18,10.18,10.29,10.12,10.22,1513600.0,,,
26,2018-12-19,10.3,10.3,9.91,9.95,1066800.0,,,
27,2018-12-20,9.95,10.07,9.92,9.98,872232.0,,,
28,2018-12-21,10.0,10.06,9.93,10.01,1086256.0,,,
