,date,open,high,low,close,volume,10,60,250
0,2020-03-18,11.06,11.97,11.03,11.31,43275240.0,,,
1,2020-03-19,11.57,11.65,11.04,11.41,31069692.0,,,
2,2020-03-20,11.56,12.56,11.45,12.56,49714558.0,,,
3,2020-03-23,12.42,13.21,12.29,12.39,63078958.0,,,
4,2020-03-24,12.42,13.01,12.16,13.01,44730469.0,,,
5,2020-03-25,12.91,13.55,12.65,13.22,39984157.0,,,
6,2020-03-26,12.9,13.53,12.72,12.73,35121533.0,,,
7,2020-03-27,13.01,13.47,12.82,13.05,39622711.0,,,
8,2020-03-30,12.88,14.1,12.8,13.56,46360789.0,,,
9,2020-03-31,13.59,13.97,13.11,13.87,34390065.0,12.711000000000002,,
10,2020-04-01,13.81,13.87,13.12,13.23,31378796.0,12.903,,
11,2020-04-02,13.11,13.28,12.39,12.93,40069494.0,13.055000000000001,,
12,2020-04-03,12.74,13.31,12.68,12.86,20790120.0,13.085000000000003,,
13,2020-04-07,12.97,13.79,12.81,13.56,30300764.0,13.202000000000004,,
14,2020-04-08,13.5,14.37,13.32,13.94,31641366.0,13.295000000000005,,
15,2020-04-09,14.07,15.33,13.83,15.33,47449959.0,13.506000000000006,,
16,2020-04-10,15.5,16.05,14.22,14.58,53307752.0,13.691000000000008,,
17,2020-04-13,14.61,15.28,14.4,14.79,32249369.0,13.865000000000006,,
18,2020-04-14,14.64,15.32,14.13,14.99,33997430.0,14.008000000000006,,
19,2020-04-15,14.77,15.66,14.7,15.02,26578741.0,14.123000000000008,,
20,2020-04-16,14.9,14.9,14.23,14.41,32569443.0,14.241000000000009,,
21,2020-04-17,14.42,14.42,13.79,14.21,39539947.0,14.369000000000009,,
22,2020-04-20,14.15,14.51,14.06,14.2,24739143.0,14.503000000000009,,
23,2020-04-21,14.2,14.6,14.01,14.38,23835640.0,14.585000000000008,,
24,2020-04-22,14.2,14.51,13.96,14.43,18412381.0,14.63400000000001,,
25,2020-04-23,14.54,14.98,13.71,13.87,30890488.0,14.488000000000008,,
26,2020-04-24,13.81,14.05,13.19,13.33,33273109.0,14.363000000000008,,
27,2020-04-27,13.3,13.95,12.72,13.76,35623101.0,14.260000000000009,,
28,2020-04-28,13.71,13.89,13.26,13.62,21426598.0,14.123000000000008,,
29,2020-04-29,13.61,13.64,13.14,13.46,23308503.0,13.967000000000008,,
30,2020-04-30,13.51,13.53,13.16,13.29,22755134.0,13.855000000000008,,
31,2020-05-06,13.34,13.98,12.93,13.93,27206131.0,13.827000000000007,,
32,2020-05-07,13.84,14.16,13.68,14.0,17639878.0,13.807000000000007,,
33,2020-05-08,14.34,14.34,13.73,13.82,22161807.0,13.751000000000008,,
34,2020-05-11,13.78,13.85,13.29,13.53,23973822.0,13.661000000000007,,
35,2020-05-12,13.48,13.86,13.29,13.85,13503284.0,13.659000000000006,,
36,2020-05-13,13.92,15.05,13.81,14.92,35688104.0,13.818000000000003,,
37,2020-05-14,14.85,14.94,14.32,14.4,29994807.0,13.882000000000005,,
38,2020-05-15,14.42,14.72,14.31,14.55,17799073.0,13.975000000000005,,
39,2020-05-18,14.6,15.18,14.38,15.13,23022641.0,14.142000000000005,,
40,2020-05-19,15.1,15.28,14.85,15.13,15122243.0,14.326000000000004,,
41,2020-05-20,14.99,15.22,14.5,14.66,16285845.0,14.399000000000004,,
42,2020-05-21,14.75,14.82,14.06,14.07,13669102.0,14.406000000000002,,
43,2020-05-22,14.13,14.17,13.18,13.91,15634540.0,14.415000000000003,,
44,2020-05-25,13.77,14.21,13.6,14.13,12414435.0,14.475000000000003,,
45,2020-05-26,14.12,14.88,14.03,14.72,17280103.0,14.562000000000003,,
46,2020-05-27,14.6,14.7,13.93,14.1,15777904.0,14.480000000000004,,
47,2020-05-28,14.09,14.16,13.77,14.04,12826181.0,14.444000000000003,,
48,2020-05-29,14.04,15.23,14.0,15.08,30779684.0,14.497000000000003,,
49,2020-06-01,15.59,16.1,15.23,15.88,36450925.0,14.572000000000003,,
50,2020-06-02,15.99,16.16,15.5,15.56,20166836.0,14.615000000000004,,
51,2020-06-03,15.63,15.83,15.32,15.41,12626793.0,14.690000000000003,,
52,2020-06-04,15.5,15.7,15.13,15.53,12534195.0,14.836000000000004,,
53,2020-06-05,15.51,16.85,15.51,16.75,27796886.0,15.120000000000005,,
54,2020-06-08,16.66,16.89,16.32,16.46,18201524.0,15.353000000000005,,
55,2020-06-09,16.52,17.15,16.36,17.01,21203298.0,15.582000000000004,,
56,2020-06-10,16.83,18.34,16.82,17.75,26072503.0,15.947000000000006,,
57,2020-06-11,17.58,18.06,17.33,17.6,22547199.0,16.303000000000004,,
58,2020-06-12,17.1,17.73,16.99,17.45,17737808.0,16.540000000000003,,
59,2020-06-15,17.6,18.18,17.25,18.01,21769578.0,16.753000000000004,14.377999999999998,
60,2020-06-16,18.05,18.11,17.29,17.82,23533509.0,16.979000000000003,14.486500000000001,
61,2020-06-17,18.3,18.93,17.33,17.85,27791186.0,17.223000000000003,14.593833333333334,
62,2020-06-18,17.92,18.16,16.58,16.7,37343186.0,17.34,14.662833333333337,
63,2020-06-19,16.5,16.96,16.45,16.68,20916573.0,17.333000000000002,14.734333333333336,
64,2020-06-22,16.69,16.9,16.2,16.7,29531046.0,17.357,14.795833333333338,
65,2020-06-23,16.61,16.93,16.4,16.83,20114692.0,17.339,14.856000000000003,
66,2020-06-24,16.7,16.9,16.1,16.33,22313440.0,17.196999999999996,14.916000000000004,
67,2020-06-29,16.34,16.58,16.09,16.45,11188018.0,17.081999999999997,14.972666666666672,
68,2020-06-30,16.45,17.07,16.39,16.84,18821211.0,17.020999999999997,15.02733333333334,
69,2020-07-01,16.83,17.31,15.8,16.06,25966054.0,16.826,15.06383333333334,
70,2020-07-02,16.16,17.54,16.16,16.5,36043397.0,16.694,15.11833333333334,
71,2020-07-03,16.4,16.55,15.81,16.33,26325905.0,16.541999999999998,15.175000000000008,
72,2020-07-06,16.35,16.58,15.74,16.23,36908445.0,16.494999999999997,15.231166666666674,
73,2020-07-07,16.16,16.68,15.9,16.46,44343190.0,16.473,15.27950000000001,
74,2020-07-08,16.39,16.74,16.16,16.44,35468545.0,16.447,15.321166666666675,
75,2020-07-09,16.5,17.24,16.29,17.1,36624503.0,16.474,15.350666666666676,
76,2020-07-10,16.96,17.68,16.88,17.29,37748601.0,16.57,15.395833333333341,
77,2020-07-13,17.4,17.75,17.2,17.64,28880118.0,16.689,15.44333333333334,
78,2020-07-14,17.65,17.81,16.8,17.01,23777279.0,16.705999999999996,15.477000000000007,
79,2020-07-15,17.09,17.57,16.58,16.59,25797746.0,16.758999999999997,15.503166666666676,
80,2020-07-16,16.63,16.73,14.93,15.21,29460070.0,16.63,15.51650000000001,
81,2020-07-17,15.1,15.46,14.75,15.22,21293361.0,16.519,15.533333333333342,
82,2020-07-20,15.36,15.7,14.71,15.15,25789408.0,16.411,15.549166666666675,
83,2020-07-21,15.11,15.5,14.94,15.28,21195583.0,16.293,15.564166666666674,
84,2020-07-22,15.39,15.76,15.22,15.44,18346485.0,16.193,15.58100000000001,
85,2020-07-23,15.37,15.75,14.91,15.24,19330411.0,16.007,15.603833333333343,
86,2020-07-24,15.26,15.28,14.01,14.13,27795276.0,15.691000000000003,15.617166666666675,
87,2020-07-27,14.27,14.93,14.26,14.73,22695019.0,15.4,15.633333333333344,
88,2020-07-28,14.89,14.95,14.3,14.62,16483746.0,15.161000000000001,15.65000000000001,
89,2020-07-29,14.63,15.28,14.54,15.15,18442664.0,15.017000000000001,15.678166666666675,
90,2020-07-30,15.18,15.6,14.95,15.28,22124455.0,15.024000000000001,15.711333333333341,
91,2020-07-31,15.16,15.38,14.76,15.11,17349495.0,15.013000000000002,15.73100000000001,
92,2020-08-03,15.13,15.6,15.03,15.58,19949852.0,15.056000000000003,15.757333333333344,
93,2020-08-04,15.58,15.72,15.1,15.35,17556256.0,15.063000000000002,15.782833333333343,
94,2020-08-05,15.27,15.52,15.12,15.4,14218665.0,15.059000000000003,15.81400000000001,
95,2020-08-06,15.41,16.65,15.41,15.79,39094360.0,15.114,15.846333333333343,
96,2020-08-07,15.8,15.91,14.85,15.2,26563287.0,15.221,15.85100000000001,
97,2020-08-10,15.17,15.3,14.92,15.23,11520092.0,15.271,15.864833333333344,
98,2020-08-11,15.15,15.3,14.69,14.71,14897006.0,15.280000000000001,15.867500000000012,
99,2020-08-12,14.72,14.72,14.12,14.36,13596978.0,15.201000000000002,15.85466666666668,
100,2020-08-13,14.42,14.5,14.12,14.19,10058818.0,15.092000000000002,15.839000000000015,
101,2020-08-14,14.23,14.37,13.88,14.14,14328141.0,14.995,15.830333333333348,
102,2020-08-17,14.15,14.67,14.13,14.45,17811070.0,14.881999999999996,15.83666666666668,
103,2020-08-18,14.46,14.74,14.41,14.7,17065001.0,14.816999999999997,15.849833333333349,
104,2020-08-19,14.71,15.8,14.59,15.08,29177271.0,14.784999999999997,15.865666666666682,
105,2020-08-20,15.01,15.03,14.34,14.4,14435513.0,14.645999999999997,15.86033333333335,
106,2020-08-21,14.5,14.77,14.19,14.39,11551899.0,14.564999999999998,15.865166666666681,
107,2020-08-24,14.39,15.08,14.28,15.03,13173953.0,14.544999999999998,15.881666666666682,
108,2020-08-25,15.02,15.05,14.61,14.73,8793653.0,14.546999999999997,15.875833333333349,
109,2020-08-26,14.82,15.01,14.53,14.78,7829955.0,14.588999999999999,15.857500000000014,
110,2020-08-27,14.78,14.8,14.18,14.43,10512695.0,14.613,15.83866666666668,
111,2020-08-28,15.0,15.87,15.0,15.87,49798468.0,14.786000000000001,15.846333333333348,
112,2020-08-31,16.12,16.56,16.1,16.21,42114672.0,14.962000000000003,15.857666666666683,
113,2020-09-01,16.2,16.38,15.98,16.31,20076378.0,15.123000000000005,15.850333333333348,
114,2020-09-02,16.33,16.45,16.05,16.4,17263957.0,15.255000000000004,15.849333333333346,
115,2020-09-03,16.4,16.58,15.99,16.16,15775225.0,15.431000000000003,15.83516666666668,
116,2020-09-04,15.99,16.15,15.58,16.09,15322749.0,15.601000000000004,15.807500000000013,
117,2020-09-07,16.1,16.59,15.6,15.62,19340766.0,15.660000000000005,15.774500000000014,
118,2020-09-08,15.62,16.65,15.62,16.36,32998049.0,15.823000000000004,15.756333333333346,
119,2020-09-09,16.0,16.61,15.73,16.32,26756848.0,15.977000000000004,15.72816666666668,
120,2020-09-10,16.38,16.96,15.81,15.97,21688941.0,16.131000000000004,15.697333333333347,
121,2020-09-11,16.02,16.86,16.02,16.8,22395607.0,16.224000000000004,15.679833333333345,
122,2020-09-14,16.8,17.36,16.34,17.09,26611912.0,16.312000000000005,15.686333333333346,
123,2020-09-15,17.18,17.27,16.6,16.95,14293977.0,16.376,15.690833333333348,
124,2020-09-16,16.81,16.94,16.4,16.66,12217346.0,16.402,15.690166666666679,
125,2020-09-17,16.55,16.57,15.54,16.15,18731501.0,16.401000000000003,15.678833333333346,
126,2020-09-18,16.25,16.37,15.9,16.18,8820276.0,16.410000000000004,15.676333333333343,
127,2020-09-21,16.15,16.45,15.85,16.01,9765318.0,16.449,15.66900000000001,
128,2020-09-22,15.88,16.57,15.8,15.99,13848186.0,16.412,15.654833333333341,
129,2020-09-23,16.0,16.43,15.81,16.25,15998388.0,16.405,15.65800000000001,
130,2020-09-24,16.05,16.29,15.64,15.73,9155295.0,16.381,15.645166666666677,
131,2020-09-25,15.76,15.88,15.36,15.58,10989883.0,16.259,15.632666666666676,
132,2020-09-28,15.51,15.6,14.9,15.48,13538865.0,16.098,15.620166666666677,
133,2020-09-29,15.39,15.87,15.3,15.73,9001657.0,15.975999999999999,15.60800000000001,
134,2020-09-30,15.74,15.8,15.28,15.33,14587400.0,15.843,15.58950000000001,
135,2020-10-09,15.47,16.12,15.35,15.95,14351299.0,15.822999999999999,15.570333333333343,
136,2020-10-12,15.91,16.3,15.83,16.02,18562997.0,15.806999999999999,15.549166666666677,
137,2020-10-13,16.03,16.76,15.97,16.61,17801185.0,15.867,15.53200000000001,
138,2020-10-14,16.55,16.85,16.41,16.62,10538295.0,15.930000000000001,15.525500000000012,
139,2020-10-15,16.63,16.91,16.36,16.4,11035167.0,15.945000000000002,15.522333333333343,
140,2020-10-16,16.51,16.74,16.21,16.5,11933812.0,16.022000000000002,15.543833333333342,
141,2020-10-19,16.77,17.33,16.4,16.5,22956949.0,16.114,15.565166666666675,
142,2020-10-20,16.28,16.65,16.0,16.17,12872258.0,16.183,15.582166666666675,
143,2020-10-21,16.14,16.28,15.58,15.79,14030984.0,16.189,15.590666666666674,
144,2020-10-22,15.71,15.71,15.21,15.39,10432282.0,16.195,15.58983333333334,
145,2020-10-23,15.39,15.6,14.89,15.04,11610672.0,16.104000000000003,15.586500000000006,
146,2020-10-26,14.95,15.45,14.9,15.04,8251938.0,16.006,15.601666666666672,
147,2020-10-27,15.05,15.3,14.9,15.23,10828089.0,15.868,15.610000000000007,
148,2020-10-28,15.21,15.35,14.66,15.15,13844508.0,15.721,15.618833333333338,
149,2020-10-29,15.15,15.78,15.1,15.48,20315661.0,15.629,15.62433333333334,
150,2020-10-30,15.48,15.85,15.3,15.35,12397218.0,15.514,15.625500000000008,
151,2020-11-02,15.53,15.53,14.83,15.16,12722863.0,15.379999999999999,15.62633333333334,
152,2020-11-03,15.17,15.38,14.87,15.31,8881058.0,15.294,15.621833333333338,
153,2020-11-04,15.35,15.54,14.95,15.06,7502851.0,15.221,15.617000000000003,
154,2020-11-05,15.12,15.33,14.63,14.75,17511903.0,15.157,15.60616666666667,
155,2020-11-06,14.75,14.9,13.94,14.04,27442593.0,15.056999999999999,15.577000000000004,
156,2020-11-09,14.1,14.25,13.98,14.09,18359076.0,14.962,15.558500000000004,
157,2020-11-10,14.14,14.32,13.92,14.1,12843951.0,14.849,15.53966666666667,
158,2020-11-11,14.15,14.15,13.73,13.87,11125232.0,14.721,15.52566666666667,
159,2020-11-12,13.94,14.03,13.82,13.94,7162472.0,14.567000000000002,15.51866666666667,
160,2020-11-13,13.98,14.07,13.78,14.06,7378919.0,14.438000000000002,15.516500000000002,
161,2020-11-16,13.97,14.19,13.87,14.11,8190080.0,14.333000000000002,15.516000000000002,
162,2020-11-17,14.1,14.12,13.81,13.88,9935527.0,14.190000000000001,15.5065,
163,2020-11-18,13.98,14.44,13.86,14.06,11946919.0,14.09,15.495833333333334,
164,2020-11-19,14.06,14.17,13.95,14.06,7977988.0,14.021,15.478833333333332,
165,2020-11-20,14.07,14.13,13.92,14.02,7485300.0,14.019000000000002,15.472499999999998,
166,2020-11-23,14.03,14.07,13.91,14.0,6353063.0,14.010000000000002,15.466,
167,2020-11-24,13.99,13.99,13.46,13.51,20634620.0,13.951000000000002,15.440666666666665,
168,2020-11-25,13.79,14.04,13.08,13.27,23145693.0,13.891000000000002,15.416333333333332,
169,2020-11-26,13.2,13.3,12.79,13.25,17904286.0,13.822000000000003,15.390833333333331,
170,2020-11-27,13.19,13.55,13.07,13.35,11083869.0,13.751000000000001,15.372833333333334,
171,2020-11-30,13.35,13.51,12.98,13.39,9583768.0,13.679000000000002,15.3315,
172,2020-12-01,13.3,14.25,13.3,13.92,26125848.0,13.683000000000002,15.293333333333331,
