,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.64,7.86,7.54,7.55,2627968.0,,,
1,2020-03-19,7.51,7.68,7.37,7.56,2359008.0,,,
2,2020-03-20,7.6,7.78,7.56,7.76,2896120.0,,,
3,2020-03-23,7.63,7.8,7.49,7.52,2791752.0,,,
4,2020-03-24,7.61,7.7,7.5,7.68,2366456.0,,,
5,2020-03-25,7.78,7.9,7.71,7.83,2948864.0,,,
6,2020-03-26,7.8,7.9,7.76,7.83,2600600.0,,,
7,2020-03-27,7.89,7.91,7.73,7.75,2047260.0,,,
8,2020-03-30,7.74,7.74,7.53,7.58,1656471.0,,,
9,2020-03-31,7.61,7.65,7.48,7.5,1793000.0,7.655999999999999,,
10,2020-04-01,7.5,7.61,7.45,7.49,1345889.0,7.649999999999999,,
11,2020-04-02,7.45,7.59,7.45,7.59,1026388.0,7.652999999999999,,
12,2020-04-03,7.6,7.64,7.49,7.54,1700081.0,7.6309999999999985,,
13,2020-04-07,7.65,7.75,7.59,7.74,2396019.0,7.652999999999999,,
14,2020-04-08,7.7,7.88,7.69,7.84,2835260.0,7.669,,
15,2020-04-09,7.85,8.04,7.8,7.88,4879735.0,7.6739999999999995,,
16,2020-04-10,7.8,7.88,7.61,7.62,4631220.0,7.6530000000000005,,
17,2020-04-13,7.62,7.66,7.41,7.6,3220960.0,7.638,,
18,2020-04-14,7.61,7.85,7.51,7.84,4169555.0,7.664,,
19,2020-04-15,7.8,7.99,7.76,7.98,7170133.0,7.712000000000001,,
20,2020-04-16,7.89,7.89,7.64,7.82,4964457.0,7.745,,
21,2020-04-17,8.0,8.05,7.67,7.67,4867561.0,7.753,,
22,2020-04-20,7.62,7.75,7.61,7.64,3380976.0,7.763,,
23,2020-04-21,7.6,7.75,7.55,7.62,2686507.0,7.751,,
24,2020-04-22,7.53,7.68,7.48,7.62,2974645.0,7.729000000000001,,
25,2020-04-23,7.6,7.71,7.54,7.54,2384869.0,7.695000000000002,,
26,2020-04-24,7.54,7.54,7.18,7.2,4530718.0,7.653000000000001,,
27,2020-04-27,7.25,7.26,7.08,7.1,1819233.0,7.6030000000000015,,
28,2020-04-28,7.13,7.13,6.51,6.7,3292300.0,7.489000000000002,,
29,2020-04-29,6.71,6.85,6.6,6.61,1615488.0,7.352000000000001,,
30,2020-04-30,6.63,6.77,6.56,6.72,1508364.0,7.242000000000002,,
31,2020-05-06,6.75,6.95,6.7,6.88,1869463.0,7.163000000000001,,
32,2020-05-07,6.89,6.93,6.73,6.73,2439473.0,7.072000000000001,,
33,2020-05-08,6.75,6.85,6.73,6.75,2528308.0,6.985000000000001,,
34,2020-05-11,6.77,6.85,6.59,6.67,2800193.0,6.890000000000001,,
35,2020-05-12,6.68,6.78,6.6,6.68,1946332.0,6.804,,
36,2020-05-13,6.68,6.69,6.58,6.67,1841753.0,6.751,,
37,2020-05-14,6.65,6.65,6.53,6.53,2117101.0,6.694000000000001,,
38,2020-05-15,6.56,6.78,6.52,6.59,2170183.0,6.683000000000002,,
39,2020-05-18,6.59,6.59,6.4,6.4,2683629.0,6.662000000000002,,
40,2020-05-19,6.44,6.46,6.34,6.42,2044761.0,6.632000000000002,,
41,2020-05-20,6.41,6.45,6.29,6.35,2224352.0,6.579000000000002,,
42,2020-05-21,6.35,6.5,6.33,6.4,2523640.0,6.546000000000002,,
43,2020-05-22,6.42,6.43,6.25,6.32,1785700.0,6.503000000000003,,
44,2020-05-25,6.32,6.37,6.22,6.26,1193337.0,6.462000000000003,,
45,2020-05-26,6.26,6.46,6.24,6.46,2259247.0,6.440000000000003,,
46,2020-05-27,6.45,6.54,6.44,6.53,2222631.0,6.426000000000004,,
47,2020-05-28,6.58,6.61,6.33,6.4,1668987.0,6.413000000000004,,
48,2020-05-29,6.38,6.49,6.38,6.45,1184083.0,6.399000000000004,,
49,2020-06-01,6.47,6.62,6.47,6.57,1972240.0,6.416000000000002,,
50,2020-06-02,6.58,6.68,6.57,6.66,1805320.0,6.440000000000002,,
51,2020-06-03,6.69,6.74,6.64,6.65,2133292.0,6.470000000000003,,
52,2020-06-04,6.65,6.73,6.61,6.7,1508000.0,6.500000000000003,,
53,2020-06-05,6.67,6.73,6.59,6.63,1550401.0,6.531000000000003,,
54,2020-06-08,6.68,6.71,6.6,6.6,1424260.0,6.565000000000002,,
55,2020-06-09,6.64,6.7,6.62,6.68,1547601.0,6.5870000000000015,,
56,2020-06-10,6.74,6.74,6.58,6.61,1648579.0,6.5950000000000015,,
57,2020-06-11,6.63,6.68,6.51,6.59,2096980.0,6.614000000000002,,
58,2020-06-12,6.51,6.63,6.43,6.58,1288840.0,6.627000000000001,,
59,2020-06-15,6.58,6.77,6.58,6.77,3466829.0,6.647,7.074166666666662,
60,2020-06-16,6.76,6.89,6.69,6.83,3402513.0,6.664,7.062166666666662,
61,2020-06-17,6.83,7.12,6.76,7.02,5727437.0,6.700999999999999,7.0531666666666615,
62,2020-06-18,7.13,7.24,6.9,6.93,6028722.0,6.723999999999999,7.039333333333329,
63,2020-06-19,6.86,6.96,6.8,6.8,3045639.0,6.741,7.027333333333329,
64,2020-06-22,6.78,6.82,6.7,6.73,2480464.0,6.7540000000000004,7.011499999999996,
65,2020-06-23,6.75,6.83,6.69,6.8,2009452.0,6.766,6.99433333333333,
66,2020-06-24,6.79,6.85,6.67,6.68,1730351.0,6.773000000000001,6.975166666666664,
67,2020-06-29,6.68,6.75,6.59,6.61,1493685.0,6.775,6.956166666666664,
68,2020-06-30,6.64,6.78,6.62,6.75,1893793.0,6.792,6.942333333333331,
69,2020-07-01,6.77,6.81,6.64,6.71,1398300.0,6.786,6.929166666666664,
70,2020-07-02,6.73,6.8,6.69,6.78,1822500.0,6.781000000000001,6.91733333333333,
71,2020-07-03,6.79,6.88,6.75,6.84,2064984.0,6.763000000000001,6.90483333333333,
72,2020-07-06,6.86,7.09,6.86,7.07,3325240.0,6.777000000000001,6.896999999999996,
73,2020-07-07,7.11,7.26,7.07,7.08,4599296.0,6.8050000000000015,6.885999999999996,
74,2020-07-08,7.08,7.2,7.05,7.18,3338000.0,6.850000000000001,6.8749999999999964,
75,2020-07-09,7.18,7.37,7.12,7.35,4548513.0,6.905000000000001,6.866166666666663,
76,2020-07-10,7.33,7.41,7.14,7.2,4637904.0,6.9570000000000025,6.859166666666663,
77,2020-07-13,7.21,7.55,7.21,7.51,5094125.0,7.047000000000002,6.857666666666662,
78,2020-07-14,7.51,8.19,7.4,8.16,17254351.0,7.188000000000002,6.862999999999997,
79,2020-07-15,7.91,8.12,7.43,7.44,15373105.0,7.261000000000003,6.8539999999999965,
80,2020-07-16,7.36,7.45,6.99,7.02,8521964.0,7.285000000000002,6.840666666666663,
81,2020-07-17,7.01,7.08,6.9,6.96,3111501.0,7.2970000000000015,6.828833333333329,
82,2020-07-20,6.98,7.17,6.98,7.16,3080100.0,7.306,6.820833333333329,
83,2020-07-21,7.2,7.26,7.1,7.24,3520912.0,7.322,6.814499999999996,
84,2020-07-22,7.18,7.29,7.11,7.18,3319458.0,7.322,6.807166666666663,
85,2020-07-23,7.19,7.45,7.14,7.36,6834058.0,7.323,6.804166666666663,
86,2020-07-24,7.28,7.43,7.0,7.05,6007815.0,7.308,6.801666666666663,
87,2020-07-27,7.01,7.12,6.9,7.09,3278425.0,7.266,6.801499999999995,
88,2020-07-28,7.13,7.2,7.02,7.1,2987208.0,7.159999999999999,6.808166666666663,
89,2020-07-29,7.11,7.3,7.0,7.3,3726963.0,7.145999999999999,6.819666666666663,
90,2020-07-30,7.28,7.55,7.25,7.33,5346878.0,7.177,6.829833333333329,
91,2020-07-31,7.31,7.57,7.27,7.55,5888033.0,7.236,6.840999999999996,
92,2020-08-03,7.6,7.71,7.48,7.67,5189030.0,7.287000000000001,6.856666666666663,
93,2020-08-04,7.66,7.71,7.49,7.53,4405944.0,7.316000000000001,6.869666666666662,
94,2020-08-05,7.53,7.67,7.44,7.62,3532840.0,7.360000000000002,6.885499999999995,
95,2020-08-06,7.62,8.13,7.6,8.0,13197189.0,7.424000000000002,6.907499999999995,
96,2020-08-07,7.81,7.86,7.47,7.58,10054341.0,7.477000000000002,6.922666666666661,
97,2020-08-10,7.58,7.98,7.53,7.78,6176090.0,7.546000000000002,6.943499999999995,
98,2020-08-11,7.88,8.56,7.7,8.08,21881474.0,7.644000000000003,6.968333333333328,
99,2020-08-12,7.91,7.97,7.44,7.59,14251838.0,7.673000000000004,6.988166666666661,
100,2020-08-13,7.68,7.83,7.51,7.52,8380841.0,7.692000000000003,7.006499999999994,
101,2020-08-14,7.52,7.59,7.35,7.57,6274289.0,7.694000000000004,7.026833333333327,
102,2020-08-17,7.57,7.64,7.46,7.6,4169200.0,7.687000000000003,7.0468333333333275,
103,2020-08-18,7.6,7.77,7.56,7.69,4480949.0,7.703000000000003,7.069666666666661,
104,2020-08-19,7.7,7.74,7.51,7.52,3216841.0,7.693000000000002,7.090666666666661,
105,2020-08-20,8.0,8.27,7.75,8.27,14895831.0,7.7200000000000015,7.120833333333327,
106,2020-08-21,8.9,9.1,8.61,9.1,9000754.0,7.872000000000002,7.1636666666666615,
107,2020-08-24,9.14,9.34,8.34,8.81,31152168.0,7.975000000000001,7.203833333333329,
108,2020-08-25,8.6,9.48,8.51,8.97,29818790.0,8.064000000000002,7.245833333333329,
109,2020-08-26,8.7,8.7,8.08,8.36,20303837.0,8.141000000000002,7.275666666666663,
110,2020-08-27,8.16,8.6,8.11,8.46,13832980.0,8.235000000000001,7.305666666666663,
111,2020-08-28,8.5,8.94,8.24,8.52,13920724.0,8.330000000000002,7.336833333333329,
112,2020-08-31,8.46,8.76,8.28,8.28,10669609.0,8.398000000000001,7.363166666666662,
113,2020-09-01,8.27,8.59,8.21,8.56,9401441.0,8.485000000000003,7.395333333333329,
114,2020-09-02,8.54,9.43,8.53,9.17,22178267.0,8.650000000000002,7.438166666666662,
115,2020-09-03,9.16,9.97,9.0,9.34,24448307.0,8.757000000000003,7.4824999999999955,
116,2020-09-04,8.94,9.67,8.94,9.42,19554225.0,8.789000000000005,7.529333333333328,
117,2020-09-07,9.41,9.98,9.27,9.48,21036776.0,8.856000000000005,7.577499999999996,
118,2020-09-08,9.58,9.78,9.18,9.75,18694024.0,8.934000000000005,7.630333333333329,
119,2020-09-09,9.57,10.5,9.48,9.68,28498002.0,9.066000000000004,7.67883333333333,
120,2020-09-10,9.42,9.54,8.08,8.13,21959686.0,9.033000000000005,7.700499999999996,
121,2020-09-11,7.83,8.6,7.68,8.45,15058053.0,9.026000000000005,7.72433333333333,
122,2020-09-14,8.51,9.67,8.31,9.47,17345506.0,9.145000000000005,7.766666666666664,
123,2020-09-15,9.61,9.74,9.04,9.2,10165400.0,9.209000000000005,7.806666666666663,
124,2020-09-16,9.15,9.32,8.63,8.83,10103583.0,9.175000000000004,7.841666666666663,
125,2020-09-17,8.91,9.1,8.66,8.79,7754566.0,9.120000000000005,7.87483333333333,
