,date,open,high,low,close,volume,10,60,250
0,2020-03-18,4.97,5.01,4.67,4.69,52954449.0,,,
1,2020-03-19,4.7,4.77,4.52,4.73,37854934.0,,,
2,2020-03-20,4.83,4.93,4.73,4.83,42607872.0,,,
3,2020-03-23,4.67,4.71,4.52,4.53,33716556.0,,,
4,2020-03-24,4.64,4.65,4.41,4.62,26664069.0,,,
5,2020-03-25,4.73,4.85,4.68,4.79,33857880.0,,,
6,2020-03-26,4.72,4.74,4.64,4.66,26179899.0,,,
7,2020-03-27,4.71,4.72,4.57,4.57,21948903.0,,,
8,2020-03-30,4.51,4.52,4.36,4.42,21196063.0,,,
9,2020-03-31,4.48,4.5,4.37,4.38,15806798.0,4.622000000000001,,
10,2020-04-01,4.39,4.51,4.37,4.39,17153788.0,4.5920000000000005,,
11,2020-04-02,4.36,4.53,4.33,4.53,18600615.0,4.572000000000001,,
12,2020-04-03,4.53,4.66,4.49,4.56,23725819.0,4.545000000000002,,
13,2020-04-07,4.64,4.7,4.61,4.69,23757447.0,4.561000000000002,,
14,2020-04-08,4.67,4.71,4.63,4.65,18093731.0,4.564000000000002,,
15,2020-04-09,4.69,4.72,4.66,4.67,17570282.0,4.552000000000001,,
16,2020-04-10,4.7,4.7,4.48,4.5,18420033.0,4.536000000000001,,
17,2020-04-13,4.54,4.67,4.45,4.62,19606450.0,4.541000000000001,,
18,2020-04-14,4.63,4.91,4.56,4.79,33183271.0,4.578000000000001,,
19,2020-04-15,4.74,4.84,4.67,4.68,24233967.0,4.6080000000000005,,
20,2020-04-16,4.63,4.7,4.59,4.66,14905343.0,4.635000000000001,,
21,2020-04-17,4.72,4.73,4.6,4.63,15941833.0,4.645000000000001,,
22,2020-04-20,4.64,4.66,4.58,4.6,12603229.0,4.649000000000001,,
23,2020-04-21,4.59,4.59,4.45,4.5,16335630.0,4.630000000000001,,
24,2020-04-22,4.48,4.53,4.43,4.53,12150890.0,4.618000000000001,,
25,2020-04-23,4.56,4.69,4.51,4.56,19652043.0,4.607000000000001,,
26,2020-04-24,4.52,4.54,4.4,4.43,15592450.0,4.600000000000001,,
27,2020-04-27,4.43,4.43,4.35,4.35,9213457.0,4.573000000000002,,
28,2020-04-28,4.37,4.37,4.04,4.15,15621297.0,4.509000000000002,,
29,2020-04-29,4.16,4.23,4.12,4.14,7952100.0,4.455000000000002,,
30,2020-04-30,4.1,4.28,4.1,4.26,13814981.0,4.415000000000002,,
31,2020-05-06,4.18,4.35,4.18,4.34,10695028.0,4.386000000000002,,
32,2020-05-07,4.34,4.47,4.3,4.34,14437303.0,4.360000000000001,,
33,2020-05-08,4.36,4.45,4.34,4.4,13658117.0,4.350000000000001,,
34,2020-05-11,4.42,4.45,4.3,4.34,11608600.0,4.331000000000001,,
35,2020-05-12,4.34,4.37,4.22,4.29,9345114.0,4.304000000000001,,
36,2020-05-13,4.29,4.72,4.25,4.72,46471493.0,4.333000000000001,,
37,2020-05-14,4.65,4.83,4.58,4.64,54693530.0,4.362000000000001,,
38,2020-05-15,4.69,4.84,4.56,4.74,42418432.0,4.421000000000001,,
39,2020-05-18,5.01,5.18,4.74,4.77,52968627.0,4.484000000000002,,
40,2020-05-19,4.83,4.89,4.65,4.75,31482005.0,4.533000000000002,,
41,2020-05-20,4.69,4.91,4.68,4.79,30005698.0,4.578000000000001,,
42,2020-05-21,4.75,4.75,4.55,4.57,26284736.0,4.601000000000002,,
43,2020-05-22,4.58,4.58,4.37,4.41,18282472.0,4.602000000000002,,
44,2020-05-25,4.37,4.41,4.31,4.36,10139534.0,4.604000000000002,,
45,2020-05-26,4.39,4.5,4.37,4.48,10728212.0,4.623000000000003,,
46,2020-05-27,4.46,4.61,4.43,4.58,21808800.0,4.609000000000003,,
47,2020-05-28,4.55,4.59,4.37,4.45,17665909.0,4.5900000000000025,,
48,2020-05-29,4.44,4.62,4.42,4.56,16888889.0,4.572000000000003,,
49,2020-06-01,4.61,4.69,4.55,4.65,20924631.0,4.560000000000002,,
50,2020-06-02,4.66,4.75,4.63,4.67,19869467.0,4.552000000000002,,
51,2020-06-03,4.7,4.7,4.6,4.6,15332561.0,4.533000000000003,,
52,2020-06-04,4.62,4.71,4.58,4.67,18243696.0,4.543000000000003,,
53,2020-06-05,4.68,4.7,4.55,4.61,14752701.0,4.563000000000002,,
54,2020-06-08,4.61,4.98,4.61,4.88,50693961.0,4.615000000000003,,
55,2020-06-09,4.86,4.9,4.77,4.8,24879285.0,4.647000000000003,,
56,2020-06-10,4.79,4.96,4.73,4.89,30843259.0,4.678000000000003,,
57,2020-06-11,4.84,5.13,4.84,4.95,45100475.0,4.728000000000003,,
58,2020-06-12,4.82,5.04,4.77,4.96,26253608.0,4.7680000000000025,,
59,2020-06-15,4.96,5.05,4.89,4.93,29877350.0,4.796000000000003,4.5875,
60,2020-06-16,4.96,5.01,4.85,4.92,25139047.0,4.821000000000003,4.591333333333334,
61,2020-06-17,4.88,4.89,4.72,4.77,26967918.0,4.838000000000003,4.592,
62,2020-06-18,4.77,4.84,4.72,4.78,15458370.0,4.849000000000003,4.591166666666666,
63,2020-06-19,4.79,4.85,4.73,4.83,16495810.0,4.871000000000003,4.596166666666666,
64,2020-06-22,4.82,4.89,4.78,4.8,18273550.0,4.863000000000002,4.599166666666666,
65,2020-06-23,4.84,4.86,4.67,4.68,18869301.0,4.851000000000003,4.597333333333333,
66,2020-06-24,4.65,4.77,4.64,4.64,11255137.0,4.826000000000002,4.596999999999999,
67,2020-06-29,4.61,4.63,4.52,4.55,15161740.0,4.786000000000002,4.596666666666666,
68,2020-06-30,4.57,4.65,4.57,4.64,11354040.0,4.754000000000002,4.6003333333333325,
69,2020-07-01,4.62,4.69,4.59,4.64,11703162.0,4.725000000000002,4.604666666666665,
70,2020-07-02,4.63,4.75,4.61,4.74,17049020.0,4.7070000000000025,4.610499999999999,
71,2020-07-03,4.76,4.82,4.73,4.8,16827912.0,4.710000000000003,4.614999999999999,
72,2020-07-06,4.85,4.99,4.83,4.95,35261687.0,4.727000000000002,4.621499999999999,
73,2020-07-07,4.99,5.21,4.95,5.0,51882151.0,4.744000000000002,4.626666666666666,
74,2020-07-08,5.03,5.15,4.97,5.14,40496792.0,4.778000000000003,4.634833333333333,
75,2020-07-09,5.13,5.24,5.08,5.2,44652445.0,4.830000000000004,4.6436666666666655,
76,2020-07-10,5.19,5.3,5.14,5.15,40718177.0,4.881000000000003,4.654499999999999,
77,2020-07-13,5.16,5.35,5.15,5.33,35810244.0,4.959000000000003,4.6663333333333314,
78,2020-07-14,5.3,5.37,5.1,5.22,41234610.0,5.017000000000003,4.673499999999999,
79,2020-07-15,5.23,5.28,5.02,5.06,32957633.0,5.059000000000003,4.679833333333332,
80,2020-07-16,5.1,5.14,4.83,4.86,28866904.0,5.071000000000003,4.683166666666665,
81,2020-07-17,4.86,4.91,4.72,4.79,22234282.0,5.070000000000003,4.685833333333332,
82,2020-07-20,4.82,5.16,4.82,5.1,30788573.0,5.085000000000003,4.694166666666665,
83,2020-07-21,5.14,5.19,5.04,5.12,20042597.0,5.097000000000003,4.704499999999999,
