,date,open,high,low,close,volume,120,180,240
0,2018-11-13,9.9,10.44,9.88,10.35,3762653.0,,,
1,2018-11-14,10.36,10.77,10.25,10.51,3464558.0,,,
2,2018-11-15,10.44,10.69,10.31,10.67,2153356.0,,,
3,2018-11-16,10.72,11.74,10.72,11.74,4813556.0,,,
4,2018-11-19,12.86,12.86,11.86,12.15,10125982.0,,,
5,2018-11-20,11.89,12.28,11.6,11.86,4414000.0,,,
6,2018-11-21,11.7,11.7,11.11,11.49,3202457.0,,,
7,2018-11-22,11.53,11.73,11.45,11.54,1986900.0,,,
8,2018-11-23,11.62,11.63,10.83,10.88,2550600.0,,,
9,2018-11-26,10.93,11.15,10.86,10.95,1411444.0,,,
10,2018-11-27,11.08,11.09,10.58,10.73,2002700.0,,,
11,2018-11-28,10.65,11.15,10.45,11.08,1780608.0,,,
12,2018-11-29,11.08,11.25,10.5,10.72,2288937.0,,,
13,2018-11-30,10.72,10.82,10.45,10.66,1798937.0,,,
14,2018-12-03,10.98,11.25,10.84,11.0,1729304.0,,,
15,2018-12-04,11.02,11.65,11.0,11.53,2397221.0,,,
16,2018-12-05,11.2,11.65,11.15,11.41,1770127.0,,,
17,2018-12-06,11.41,11.41,10.98,11.04,1416091.0,,,
18,2018-12-07,11.04,11.35,10.84,11.25,930536.0,,,
19,2018-12-10,11.2,11.5,11.07,11.4,1239003.0,,,
20,2018-12-11,11.51,11.6,11.27,11.34,991700.0,,,
21,2018-12-12,11.33,11.44,11.05,11.15,754400.0,,,
22,2018-12-13,11.14,11.5,11.05,11.36,1058200.0,,,
23,2018-12-14,11.33,11.63,11.05,11.08,1646000.0,,,
24,2018-12-17,10.92,11.03,10.75,10.79,837700.0,,,
25,2018-12-18,10.8,11.16,10.7,11.13,1236441.0,,,
26,2018-12-19,11.17,11.18,10.78,10.85,897900.0,,,
27,2018-12-20,10.63,11.0,10.62,10.86,636900.0,,,
28,2018-12-21,10.94,11.34,10.85,11.04,1740000.0,,,
29,2018-12-24,10.88,11.4,10.86,11.17,1303436.0,,,
30,2018-12-25,11.17,11.23,10.8,11.09,1406336.0,,,
31,2018-12-26,11.12,11.24,10.93,10.95,822200.0,,,
32,2018-12-27,11.21,11.41,10.73,10.76,1117339.0,,,
33,2018-12-28,10.73,11.4,10.68,11.22,2064044.0,,,
34,2019-01-02,11.17,11.24,11.03,11.09,1129136.0,,,
35,2019-01-03,11.28,11.31,11.02,11.08,1120300.0,,,
36,2019-01-04,11.02,11.39,10.69,11.3,1876782.0,,,
37,2019-01-07,11.32,11.75,11.25,11.73,2400185.0,,,
38,2019-01-08,11.63,11.77,11.37,11.6,2287604.0,,,
