,date,open,high,low,close,volume,10,60,250
0,2020-03-18,2.1,2.12,2.01,2.01,25049167.0,,,
1,2020-03-19,2.02,2.13,2.02,2.08,36453982.0,,,
2,2020-03-20,2.07,2.14,2.02,2.1,34771985.0,,,
3,2020-03-23,2.06,2.06,1.99,2.0,27869600.0,,,
4,2020-03-24,2.03,2.04,1.99,2.02,15449097.0,,,
5,2020-03-25,2.06,2.08,2.03,2.06,19752201.0,,,
6,2020-03-26,2.05,2.05,2.01,2.02,15951701.0,,,
7,2020-03-27,2.04,2.06,2.02,2.03,16310362.0,,,
8,2020-03-30,2.02,2.02,1.97,1.99,16095470.0,,,
9,2020-03-31,2.02,2.02,1.98,2.0,19358321.0,2.0309999999999997,,
10,2020-04-01,2.0,2.01,1.97,1.98,13116635.0,2.028,,
11,2020-04-02,1.98,2.03,1.97,2.02,13903300.0,2.022,,
12,2020-04-03,2.01,2.02,1.97,1.98,12871900.0,2.01,,
13,2020-04-07,2.01,2.03,2.0,2.02,16651810.0,2.0119999999999996,,
14,2020-04-08,2.01,2.06,2.0,2.05,21024380.0,2.0149999999999997,,
15,2020-04-09,2.06,2.08,2.05,2.06,15871300.0,2.0149999999999997,,
16,2020-04-10,2.07,2.07,2.01,2.02,12749100.0,2.0149999999999997,,
17,2020-04-13,2.02,2.02,1.99,1.99,8385200.0,2.0109999999999997,,
18,2020-04-14,1.99,2.02,1.99,2.02,11737532.0,2.014,,
19,2020-04-15,2.0,2.01,1.95,1.96,17464868.0,2.01,,
20,2020-04-16,1.96,1.96,1.9,1.93,19029388.0,2.005,,
21,2020-04-17,1.93,1.95,1.92,1.93,12728436.0,1.9959999999999998,,
22,2020-04-20,1.93,1.94,1.91,1.92,11256452.0,1.9899999999999995,,
23,2020-04-21,2.11,2.11,2.1,2.11,34805236.0,1.9989999999999994,,
24,2020-04-22,2.32,2.32,2.32,2.32,14947533.0,2.0259999999999994,,
25,2020-04-23,2.55,2.55,2.55,2.55,12923344.0,2.0749999999999997,,
26,2020-04-24,2.81,2.81,2.81,2.81,47151330.0,2.1539999999999995,,
27,2020-04-27,2.95,3.09,2.9,3.09,295126677.0,2.264,,
28,2020-04-28,2.89,3.39,2.78,3.23,444816679.0,2.385,,
29,2020-04-29,3.3,3.5,2.91,2.92,435916136.0,2.4809999999999994,,
30,2020-04-30,2.73,2.79,2.63,2.63,360421657.0,2.5509999999999993,,
31,2020-05-06,2.51,2.57,2.42,2.48,247259762.0,2.6059999999999994,,
32,2020-05-07,2.5,2.63,2.46,2.53,250635219.0,2.6669999999999994,,
33,2020-05-08,2.5,2.68,2.42,2.62,257812054.0,2.7179999999999995,,
34,2020-05-11,2.57,2.73,2.54,2.61,177795000.0,2.7469999999999994,,
35,2020-05-12,2.63,2.77,2.53,2.72,213498474.0,2.7639999999999993,,
36,2020-05-13,2.74,2.99,2.65,2.99,203908731.0,2.7819999999999996,,
