,date,open,high,low,close,volume,120,180,240
0,2018-11-13,11.04,11.37,11.03,11.34,36053038.0,,,
1,2018-11-14,11.46,11.74,11.42,11.47,70583300.0,,,
2,2018-11-15,11.46,11.63,11.38,11.62,29894209.0,,,
3,2018-11-16,11.55,11.96,11.45,11.83,60604325.0,,,
4,2018-11-19,11.83,12.35,11.83,12.3,86988585.0,,,
5,2018-11-20,12.18,12.44,11.93,12.09,62512671.0,,,
6,2018-11-21,11.98,12.44,11.94,12.21,53021495.0,,,
7,2018-11-22,12.21,12.24,11.85,12.03,39241189.0,,,
8,2018-11-23,11.99,12.04,11.61,11.83,37793854.0,,,
9,2018-11-26,11.91,12.24,11.65,11.87,48361542.0,,,
10,2018-11-27,11.86,11.91,11.6,11.64,33139363.0,,,
11,2018-11-28,11.65,12.15,11.64,12.15,46293298.0,,,
12,2018-11-29,12.24,12.35,11.72,11.74,56648188.0,,,
13,2018-11-30,11.74,11.94,11.59,11.92,34080181.0,,,
14,2018-12-03,12.15,12.24,11.53,11.92,118389313.0,,,
15,2018-12-04,11.82,11.82,11.34,11.54,110553233.0,,,
16,2018-12-05,11.38,11.71,11.34,11.58,61213010.0,,,
17,2018-12-06,11.4,11.63,11.4,11.54,42810219.0,,,
18,2018-12-07,11.49,11.74,11.47,11.54,43437257.0,,,
19,2018-12-10,11.49,11.64,11.22,11.32,45170873.0,,,
20,2018-12-11,11.36,11.68,11.34,11.64,58344355.0,,,
21,2018-12-12,11.81,12.03,11.67,11.73,71541726.0,,,
22,2018-12-13,11.92,12.24,11.87,12.13,79902349.0,,,
23,2018-12-14,12.1,12.14,11.81,11.83,46271532.0,,,
24,2018-12-17,11.78,11.88,11.65,11.83,43234950.0,,,
25,2018-12-18,11.67,11.78,11.36,11.4,60321410.0,,,
26,2018-12-19,11.54,11.67,11.32,11.34,44080037.0,,,
27,2018-12-20,11.4,11.52,11.11,11.25,59302062.0,,,
28,2018-12-21,11.16,11.23,10.49,10.87,97176797.0,,,
29,2018-12-24,10.69,10.92,10.56,10.89,66742638.0,,,
30,2018-12-25,10.69,10.92,10.62,10.85,53547184.0,,,
31,2018-12-26,10.8,10.88,10.57,10.74,42974156.0,,,
32,2018-12-27,10.89,11.04,10.69,10.69,43913777.0,,,
33,2018-12-28,10.75,10.87,10.64,10.73,47249288.0,,,
34,2019-01-02,10.68,10.76,10.48,10.65,37972902.0,,,
35,2019-01-03,10.62,10.92,10.56,10.83,55001421.0,,,
36,2019-01-04,10.73,11.17,10.69,11.13,56734219.0,,,
37,2019-01-07,11.28,11.34,10.97,11.06,53357622.0,,,
38,2019-01-08,11.08,11.09,10.66,10.91,43213590.0,,,
39,2019-01-09,10.95,11.23,10.84,11.04,64084406.0,,,
40,2019-01-10,10.98,11.01,10.86,10.92,38889983.0,,,
