,date,open,high,low,close,volume,120,180,240
0,2018-11-13,14.89,15.35,14.88,15.2,1802008.0,,,
1,2018-11-14,15.21,15.47,15.08,15.37,1628093.0,,,
2,2018-11-15,15.32,15.33,14.95,15.24,1971963.0,,,
3,2018-11-16,15.25,15.99,15.25,15.74,1899097.0,,,
4,2018-11-19,15.42,15.96,15.39,15.64,1449025.0,,,
5,2018-11-20,15.64,16.01,15.55,15.61,1602148.0,,,
6,2018-11-21,15.0,15.66,14.85,15.41,1377357.0,,,
7,2018-11-22,15.43,15.62,15.3,15.37,916481.0,,,
8,2018-11-23,15.32,15.9,14.83,15.1,1493808.0,,,
9,2018-11-26,15.37,15.61,14.98,15.23,1456224.0,,,
10,2018-11-27,15.28,15.88,15.28,15.83,1430730.0,,,
11,2018-11-28,15.85,15.92,15.47,15.64,1846891.0,,,
12,2018-11-29,15.74,16.19,15.59,15.61,1564092.0,,,
13,2018-11-30,15.66,15.89,15.48,15.77,1013358.0,,,
14,2018-12-03,16.02,16.11,15.82,15.94,1354711.0,,,
15,2018-12-04,15.93,16.2,15.85,16.1,1281535.0,,,
16,2018-12-05,15.93,16.32,15.87,16.15,1551250.0,,,
17,2018-12-06,16.0,16.16,15.76,16.0,954024.0,,,
18,2018-12-07,15.96,16.07,15.59,15.93,1171324.0,,,
19,2018-12-10,15.98,16.16,15.83,15.93,917893.0,,,
20,2018-12-11,16.07,16.32,15.99,16.23,1221927.0,,,
21,2018-12-12,16.25,16.63,16.11,16.27,1327580.0,,,
22,2018-12-13,16.32,16.62,16.27,16.6,1454502.0,,,
23,2018-12-14,16.57,16.61,16.14,16.25,778237.0,,,
24,2018-12-17,16.21,16.36,15.67,15.93,1198800.0,,,
25,2018-12-18,15.85,16.49,15.85,16.39,1746998.0,,,
26,2018-12-19,16.37,16.37,15.4,15.89,2359914.0,,,
27,2018-12-20,15.89,15.89,15.42,15.78,845112.0,,,
28,2018-12-21,15.74,15.9,15.39,15.44,740746.0,,,
29,2018-12-24,15.64,16.15,15.2,16.02,1257702.0,,,
30,2018-12-25,15.91,16.1,15.59,15.92,956562.0,,,
31,2018-12-26,16.02,16.12,15.68,15.92,875813.0,,,
32,2018-12-27,16.07,16.07,15.43,15.55,889639.0,,,
33,2018-12-28,15.55,16.12,15.25,15.93,1186308.0,,,
34,2019-01-02,16.16,16.22,15.86,16.07,1496096.0,,,
35,2019-01-03,15.93,16.26,15.62,15.83,1195655.0,,,
36,2019-01-04,15.7,16.06,15.48,16.02,760172.0,,,
37,2019-01-07,15.91,16.15,15.91,16.01,834383.0,,,
38,2019-01-08,16.01,16.1,15.84,16.09,650133.0,,,
39,2019-01-09,15.97,16.29,15.89,16.03,1164995.0,,,
40,2019-01-10,15.92,16.11,15.89,15.91,433266.0,,,
41,2019-01-11,15.98,16.08,15.84,16.05,621088.0,,,
42,2019-01-14,15.98,16.21,15.93,16.02,674014.0,,,
43,2019-01-15,15.89,16.3,15.89,16.24,1255073.0,,,
44,2019-01-16,16.38,17.29,16.18,16.84,2711557.0,,,
45,2019-01-17,16.82,18.19,16.68,17.84,4322131.0,,,
46,2019-01-18,17.75,17.85,17.21,17.62,2777482.0,,,
47,2019-01-21,17.57,17.99,17.19,17.62,2091629.0,,,
48,2019-01-22,17.57,17.69,17.33,17.46,1358780.0,,,
49,2019-01-23,17.52,17.56,17.25,17.53,1428724.0,,,
50,2019-01-24,17.48,17.83,17.33,17.6,1306662.0,,,
51,2019-01-25,17.6,18.16,17.49,17.66,1371049.0,,,
52,2019-01-28,17.63,18.26,17.58,17.93,1784277.0,,,
53,2019-01-29,17.55,17.6,16.16,16.53,3482898.0,,,
54,2019-01-30,16.34,18.03,16.28,17.75,3640455.0,,,
55,2019-01-31,17.74,17.74,17.1,17.12,2304907.0,,,
56,2019-02-01,17.03,18.25,17.03,18.07,2293730.0,,,
57,2019-02-11,18.1,18.76,17.92,18.58,2049825.0,,,
58,2019-02-12,18.48,18.67,18.32,18.53,1323812.0,,,
59,2019-02-13,18.53,18.76,17.83,18.75,4668390.0,,,
60,2019-02-14,18.73,19.07,18.31,19.04,2411939.0,,,
61,2019-02-15,18.5,19.2,18.34,18.94,2853767.0,,,
62,2019-02-18,18.92,19.92,18.67,19.57,2885495.0,,,
63,2019-02-19,19.57,19.71,19.14,19.52,1603341.0,,,
64,2019-02-20,19.57,19.8,19.33,19.67,1503197.0,,,
65,2019-02-21,19.63,20.08,19.32,19.57,2063293.0,,,
66,2019-02-22,19.58,19.94,19.17,19.47,1396529.0,,,
67,2019-02-25,19.47,20.03,19.31,19.87,2658838.0,,,
68,2019-02-26,19.76,19.76,19.13,19.26,2241892.0,,,
69,2019-02-27,19.22,20.08,19.11,19.86,2755463.0,,,
70,2019-02-28,19.76,19.99,19.36,19.36,1311474.0,,,
71,2019-03-01,19.34,19.82,19.1,19.71,1084585.0,,,
72,2019-03-04,19.68,20.39,19.49,19.69,1900863.0,,,
73,2019-03-05,19.58,20.59,19.55,20.35,1797632.0,,,
74,2019-03-06,20.58,20.59,20.13,20.3,927930.0,,,
75,2019-03-07,20.32,20.46,19.09,19.87,1482572.0,,,
76,2019-03-08,20.04,20.39,19.36,19.54,1565848.0,,,
77,2019-03-11,19.21,19.93,19.14,19.85,1515583.0,,,
78,2019-03-12,19.85,20.3,19.57,19.85,1059563.0,,,
79,2019-03-13,20.01,20.23,19.58,19.85,1066192.0,,,
80,2019-03-14,19.85,20.03,19.08,19.67,1652515.0,,,
81,2019-03-15,19.67,20.3,19.27,20.05,2348443.0,,,
82,2019-03-18,20.13,21.51,20.13,21.23,4023528.0,,,
83,2019-03-19,21.23,21.54,20.75,21.44,2062106.0,,,
84,2019-03-20,21.53,22.19,21.09,21.76,1719061.0,,,
85,2019-03-21,21.69,22.02,21.54,21.9,1175383.0,,,
86,2019-03-22,21.91,22.25,21.35,21.63,1159615.0,,,
87,2019-03-25,21.49,21.57,21.01,21.22,1717187.0,,,
88,2019-03-26,21.26,21.56,20.73,20.9,1267063.0,,,
89,2019-03-27,20.9,21.4,20.56,21.25,1861020.0,,,
90,2019-03-28,21.17,21.49,20.79,20.94,1049652.0,,,
91,2019-03-29,21.12,22.22,20.78,21.66,2416987.0,,,
92,2019-04-01,21.67,22.18,21.67,22.17,1637574.0,,,
93,2019-04-02,22.22,22.22,20.95,21.41,3482339.0,,,
94,2019-04-03,21.4,21.48,20.97,21.27,2173244.0,,,
95,2019-04-04,21.35,21.41,20.9,21.2,1870396.0,,,
96,2019-04-08,21.15,21.44,20.55,21.19,2012237.0,,,
97,2019-04-09,20.94,21.3,20.69,21.3,1291093.0,,,
98,2019-04-10,21.29,21.31,20.59,20.7,1689654.0,,,
99,2019-04-11,20.71,20.84,19.49,20.26,2645119.0,,,
100,2019-04-12,20.03,20.27,19.73,19.86,1485582.0,,,
101,2019-04-15,20.26,20.62,19.9,19.97,1678272.0,,,
102,2019-04-16,19.78,20.44,19.67,20.31,1206193.0,,,
103,2019-04-17,20.31,20.5,20.18,20.29,833000.0,,,
104,2019-04-18,20.33,20.8,19.76,20.69,2259982.0,,,
105,2019-04-19,20.68,21.07,19.97,21.03,2842738.0,,,
106,2019-04-22,20.95,22.07,20.72,21.74,4430710.0,,,
107,2019-04-23,21.5,22.12,21.41,22.02,2419703.0,,,
108,2019-04-24,22.14,23.63,22.14,23.12,3751361.0,,,
109,2019-04-25,23.1,23.41,22.63,22.79,1930747.0,,,
110,2019-04-26,22.69,23.85,22.41,23.72,3417457.0,,,
111,2019-04-29,23.71,24.36,21.36,22.83,3707237.0,,,
112,2019-04-30,22.61,24.13,22.07,22.12,1638700.0,,,
113,2019-05-06,21.21,22.32,20.86,21.71,2933359.0,,,
114,2019-05-07,22.03,22.75,21.51,22.13,2392526.0,,,
115,2019-05-08,21.55,22.08,21.23,21.76,1521595.0,,,
116,2019-05-09,21.58,21.89,20.95,21.36,1217311.0,,,
117,2019-05-10,21.36,22.26,21.36,22.04,1569797.0,,,
118,2019-05-13,22.04,22.23,21.45,21.58,1347300.0,,,
119,2019-05-14,21.36,21.82,21.21,21.57,818853.0,18.57966666666667,,
120,2019-05-15,21.74,23.13,21.73,22.9,1716709.0,18.64383333333334,,
121,2019-05-16,22.75,22.9,22.25,22.73,1752031.0,18.705166666666674,,
122,2019-05-17,22.62,22.62,21.85,21.95,1813576.0,18.76108333333334,,
123,2019-05-20,21.95,21.95,20.77,21.77,2062302.0,18.81133333333334,,
124,2019-05-21,21.42,22.73,21.4,22.49,1899479.0,18.868416666666675,,
125,2019-05-22,22.46,22.46,21.4,21.7,948327.0,18.919166666666673,,
126,2019-05-23,21.58,22.56,21.3,21.99,1934311.0,18.974000000000004,,
127,2019-05-24,21.88,21.94,21.09,21.53,1923885.0,19.02533333333334,,
128,2019-05-27,21.53,21.71,20.8,21.41,1764386.0,19.077916666666674,,
129,2019-05-28,21.49,22.19,21.3,22.1,1563999.0,19.135166666666674,,
130,2019-05-29,22.1,22.17,21.67,22.1,794600.0,19.18741666666667,,
131,2019-05-30,21.86,22.23,21.75,22.07,668162.0,19.241000000000007,,
132,2019-05-31,22.02,22.93,21.77,22.67,1275066.0,19.299833333333343,,
133,2019-06-03,22.69,23.13,22.41,22.83,1220556.0,19.358666666666675,,
134,2019-06-04,22.83,22.94,21.99,22.4,850741.0,19.41250000000001,,
