,date,open,high,low,close,volume,120,180,240
0,2018-11-13,53.84,59.49,53.37,56.29,2019711.0,,,
1,2018-11-14,55.13,56.19,54.7,55.17,1001298.0,,,
2,2018-11-15,57.47,60.69,56.68,60.69,1882683.0,,,
3,2018-11-16,63.29,65.81,61.49,61.62,2884054.0,,,
4,2018-11-19,61.13,65.6,60.28,64.26,1893554.0,,,
5,2018-11-20,62.91,64.22,61.21,61.56,1422546.0,,,
6,2018-11-21,60.12,62.69,59.98,61.4,965700.0,,,
7,2018-11-22,63.19,64.21,61.13,61.26,1063449.0,,,
8,2018-11-23,60.84,61.64,58.2,59.31,1226163.0,,,
9,2018-11-26,58.85,59.86,57.05,57.68,1130632.0,,,
10,2018-11-27,58.53,59.32,58.05,58.63,849632.0,,,
11,2018-11-28,59.28,59.46,57.62,59.4,747900.0,,,
12,2018-11-29,59.32,60.45,56.93,56.93,943967.0,,,
13,2018-11-30,56.47,58.57,56.3,58.42,739981.0,,,
14,2018-12-03,60.15,60.95,59.54,60.19,940705.0,,,
15,2018-12-04,59.65,60.37,59.07,59.63,641238.0,,,
16,2018-12-05,58.57,58.57,56.96,57.35,757271.0,,,
17,2018-12-06,56.83,57.34,56.02,56.14,498600.0,,,
18,2018-12-07,56.53,56.77,55.54,56.03,290200.0,,,
19,2018-12-10,55.62,55.73,54.1,54.76,422037.0,,,
20,2018-12-11,55.08,55.42,54.38,54.99,286500.0,,,
21,2018-12-12,55.73,56.87,55.36,55.71,457609.0,,,
22,2018-12-13,56.19,56.77,55.04,56.2,482057.0,,,
23,2018-12-14,56.09,56.09,53.95,53.97,463048.0,,,
24,2018-12-17,53.37,54.69,53.37,54.07,284900.0,,,
25,2018-12-18,53.67,55.26,53.66,55.25,446009.0,,,
26,2018-12-19,54.84,55.16,53.87,53.88,250000.0,,,
27,2018-12-20,53.81,54.86,53.45,54.69,259509.0,,,
28,2018-12-21,54.77,55.73,54.63,55.67,450309.0,,,
29,2018-12-24,54.79,56.22,54.48,55.73,379300.0,,,
30,2018-12-25,55.16,55.17,53.4,54.52,453860.0,,,
31,2018-12-26,54.52,55.26,54.36,54.51,252700.0,,,
32,2018-12-27,55.31,55.63,53.64,53.64,309000.0,,,
33,2018-12-28,53.24,54.25,53.24,53.28,232600.0,,,
34,2019-01-02,53.84,53.89,53.32,53.39,212896.0,,,
35,2019-01-03,52.91,53.52,50.36,50.47,491800.0,,,
36,2019-01-04,49.69,51.78,49.4,51.39,399524.0,,,
37,2019-01-07,52.47,52.78,51.71,52.44,290009.0,,,
38,2019-01-08,51.95,52.29,51.39,51.5,280434.0,,,
39,2019-01-09,51.8,52.99,51.77,52.07,378776.0,,,
40,2019-01-10,51.95,52.28,51.6,51.67,308400.0,,,
41,2019-01-11,51.84,53.01,51.3,52.9,447810.0,,,
42,2019-01-14,53.26,53.26,51.59,51.83,339196.0,,,
43,2019-01-15,52.33,52.33,51.53,52.04,232422.0,,,
44,2019-01-16,52.29,53.5,51.98,53.18,478331.0,,,
45,2019-01-17,52.95,53.93,52.2,53.37,483831.0,,,
46,2019-01-18,53.01,54.19,53.01,54.04,472200.0,,,
47,2019-01-21,54.06,54.35,53.56,53.86,353506.0,,,
48,2019-01-22,53.86,55.15,53.49,53.85,595876.0,,,
49,2019-01-23,53.35,54.06,53.12,53.65,322217.0,,,
50,2019-01-24,53.3,54.86,53.3,54.86,491896.0,,,
51,2019-01-25,54.82,54.96,53.84,54.16,412480.0,,,
52,2019-01-28,54.46,55.92,53.95,55.38,524820.0,,,
53,2019-01-29,55.16,55.4,51.96,53.43,589600.0,,,
54,2019-01-30,51.95,53.47,51.76,51.76,421024.0,,,
55,2019-01-31,51.95,52.44,48.82,49.01,520420.0,,,
56,2019-02-01,49.67,50.73,49.31,50.35,224930.0,,,
57,2019-02-11,50.4,52.1,50.4,51.78,264696.0,,,
58,2019-02-12,51.78,53.46,51.61,52.61,365300.0,,,
59,2019-02-13,53.09,53.71,52.14,53.49,450200.0,,,
60,2019-02-14,53.18,54.36,53.18,53.44,324500.0,,,
61,2019-02-15,53.93,53.93,53.14,53.19,330000.0,,,
62,2019-02-18,53.19,54.6,53.19,54.58,582102.0,,,
63,2019-02-19,54.5,54.99,53.59,54.03,535600.0,,,
64,2019-02-20,54.08,54.16,53.16,53.93,399768.0,,,
65,2019-02-21,53.99,54.73,53.54,53.73,492472.0,,,
66,2019-02-22,53.49,54.72,53.49,54.69,422983.0,,,
67,2019-02-25,54.79,57.01,54.79,56.82,845200.0,,,
68,2019-02-26,56.82,59.05,56.69,56.82,967312.0,,,
69,2019-02-27,58.79,62.4,58.57,58.93,1234572.0,,,
70,2019-02-28,58.59,58.6,57.24,58.47,756600.0,,,
71,2019-03-01,58.97,60.28,58.32,59.52,613372.0,,,
72,2019-03-04,60.93,60.93,59.42,59.77,895072.0,,,
73,2019-03-05,59.52,60.18,59.04,59.89,635677.0,,,
74,2019-03-06,59.96,60.91,59.51,60.57,861660.0,,,
75,2019-03-07,60.57,62.33,59.89,61.68,862283.0,,,
76,2019-03-08,60.63,61.4,58.1,58.29,934083.0,,,
77,2019-03-11,58.76,60.15,58.64,60.11,623552.0,,,
