,date,open,high,low,close,volume,10,60,250
0,2020-03-18,3.49,3.52,3.42,3.42,106880870.0,,,
1,2020-03-19,3.41,3.42,3.3,3.32,187192824.0,,,
2,2020-03-20,3.33,3.41,3.31,3.37,121717453.0,,,
3,2020-03-23,3.32,3.33,3.28,3.3,84422162.0,,,
4,2020-03-24,3.33,3.38,3.32,3.37,106280155.0,,,
5,2020-03-25,3.41,3.45,3.39,3.43,110519429.0,,,
6,2020-03-26,3.41,3.49,3.41,3.46,87195842.0,,,
7,2020-03-27,3.48,3.5,3.45,3.46,79478712.0,,,
8,2020-03-30,3.44,3.5,3.43,3.48,93760905.0,,,
9,2020-03-31,3.5,3.5,3.41,3.41,104892789.0,3.402,,
10,2020-04-01,3.41,3.45,3.39,3.4,75320804.0,3.4,,
11,2020-04-02,3.39,3.42,3.37,3.42,62394554.0,3.41,,
12,2020-04-03,3.41,3.41,3.36,3.39,86155191.0,3.4120000000000004,,
13,2020-04-07,3.42,3.43,3.4,3.42,93289821.0,3.424000000000001,,
14,2020-04-08,3.41,3.42,3.39,3.4,63521625.0,3.427000000000001,,
15,2020-04-09,3.42,3.42,3.39,3.39,62552901.0,3.423000000000001,,
16,2020-04-10,3.4,3.4,3.37,3.38,53894943.0,3.4150000000000014,,
17,2020-04-13,3.37,3.42,3.36,3.42,85060079.0,3.4110000000000014,,
18,2020-04-14,3.42,3.45,3.41,3.42,89019944.0,3.405000000000002,,
19,2020-04-15,3.42,3.42,3.4,3.4,50676336.0,3.404000000000002,,
20,2020-04-16,3.39,3.42,3.39,3.41,45419723.0,3.405000000000002,,
21,2020-04-17,3.42,3.43,3.4,3.41,109322232.0,3.404000000000002,,
22,2020-04-20,3.4,3.41,3.38,3.39,80740648.0,3.404000000000002,,
23,2020-04-21,3.38,3.39,3.36,3.36,74935705.0,3.398000000000002,,
24,2020-04-22,3.36,3.4,3.35,3.4,89457197.0,3.398000000000002,,
25,2020-04-23,3.4,3.41,3.35,3.36,93231110.0,3.395000000000002,,
26,2020-04-24,3.36,3.37,3.33,3.34,46386933.0,3.391000000000002,,
27,2020-04-27,3.35,3.42,3.34,3.39,130063437.0,3.3880000000000017,,
28,2020-04-28,3.4,3.44,3.37,3.42,121894741.0,3.3880000000000017,,
29,2020-04-29,3.44,3.53,3.43,3.52,203997343.0,3.400000000000002,,
30,2020-04-30,3.52,3.56,3.5,3.52,118600713.0,3.4110000000000027,,
31,2020-05-06,3.48,3.51,3.46,3.48,115615258.0,3.418000000000002,,
32,2020-05-07,3.48,3.49,3.43,3.45,105376953.0,3.424000000000002,,
33,2020-05-08,3.46,3.5,3.44,3.48,95930552.0,3.436000000000002,,
34,2020-05-11,3.49,3.52,3.48,3.49,84638944.0,3.4450000000000025,,
35,2020-05-12,3.49,3.51,3.47,3.49,64789762.0,3.458000000000003,,
36,2020-05-13,3.48,3.49,3.45,3.47,97556334.0,3.4710000000000023,,
