,date,open,high,low,close,volume,120,180,240
0,2018-11-09,15.83,16.35,15.61,16.24,507107.0,,,
1,2018-11-12,16.24,16.96,15.88,16.75,824371.0,,,
2,2018-11-13,16.47,16.9,16.46,16.86,539211.0,,,
3,2018-11-14,16.73,17.06,16.57,16.78,207933.0,,,
4,2018-11-15,16.48,16.93,16.39,16.78,458856.0,,,
5,2018-11-16,16.84,17.02,16.48,16.89,462891.0,,,
6,2018-11-19,17.0,17.0,16.52,16.88,162620.0,,,
7,2018-11-20,16.79,16.96,16.16,16.19,467462.0,,,
8,2018-11-21,16.19,16.96,16.19,16.94,488499.0,,,
9,2018-11-22,17.4,17.4,16.7,16.88,312763.0,,,
10,2018-11-23,16.73,16.9,15.97,16.27,388709.0,,,
11,2018-11-26,16.27,16.46,15.81,15.93,219599.0,,,
12,2018-11-27,15.79,16.32,15.47,16.32,572189.0,,,
13,2018-11-28,16.29,16.3,15.68,16.18,723552.0,,,
14,2018-11-29,16.13,16.17,15.64,15.74,262435.0,,,
15,2018-11-30,15.68,16.0,15.34,15.84,308107.0,,,
16,2018-12-03,16.23,16.67,16.01,16.61,479908.0,,,
17,2018-12-04,16.78,16.78,16.19,16.34,346381.0,,,
18,2018-12-05,15.97,16.18,15.86,16.04,347128.0,,,
19,2018-12-06,16.02,16.07,15.42,15.49,528518.0,,,
20,2018-12-07,15.51,15.93,15.51,15.69,368453.0,,,
21,2018-12-10,15.83,16.06,15.61,15.86,438930.0,,,
22,2018-12-11,15.58,16.13,15.58,15.95,330730.0,,,
23,2018-12-12,16.25,16.27,15.92,16.14,275499.0,,,
24,2018-12-13,16.29,16.4,16.13,16.19,410872.0,,,
25,2018-12-14,16.17,16.5,15.66,15.79,240089.0,,,
26,2018-12-17,15.53,15.9,15.51,15.54,268979.0,,,
27,2018-12-18,15.54,15.8,15.42,15.64,277512.0,,,
28,2018-12-19,15.69,15.69,15.04,15.55,390659.0,,,
29,2018-12-20,15.26,15.46,14.94,15.09,445618.0,,,
