,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.65,5.81,5.5,5.81,9803500.0,,,
1,2020-03-19,5.52,5.76,5.52,5.71,18000790.0,,,
2,2020-03-20,5.71,5.76,5.53,5.66,10696090.0,,,
3,2020-03-23,5.43,5.45,5.21,5.22,9564759.0,,,
4,2020-03-24,5.32,5.38,5.07,5.32,6837500.0,,,
5,2020-03-25,5.42,5.43,5.33,5.4,7262090.0,,,
6,2020-03-26,5.33,5.35,5.28,5.3,5061227.0,,,
7,2020-03-27,5.34,5.62,5.34,5.45,10533744.0,,,
8,2020-03-30,5.38,5.39,5.21,5.33,5543800.0,,,
9,2020-03-31,5.38,5.43,5.3,5.33,3657037.0,5.452999999999999,,
10,2020-04-01,5.27,5.36,5.22,5.24,3565200.0,5.395999999999999,,
11,2020-04-02,5.2,5.35,5.19,5.35,3869700.0,5.359999999999999,,
12,2020-04-03,5.35,5.35,5.21,5.27,3449000.0,5.321,,
13,2020-04-07,5.37,5.46,5.31,5.46,4613000.0,5.345,,
14,2020-04-08,5.43,5.49,5.38,5.47,3933700.0,5.359999999999999,,
15,2020-04-09,5.5,5.52,5.44,5.48,4169500.0,5.368,,
16,2020-04-10,5.48,5.48,5.3,5.33,3836440.0,5.371,,
17,2020-04-13,5.31,5.32,5.2,5.26,2537700.0,5.351999999999999,,
18,2020-04-14,5.26,5.34,5.25,5.33,2165150.0,5.351999999999999,,
19,2020-04-15,5.37,5.38,5.27,5.29,3247100.0,5.348,,
20,2020-04-16,5.32,5.49,5.32,5.48,10184296.0,5.371999999999999,,
21,2020-04-17,5.5,5.6,5.44,5.56,13445044.0,5.392999999999999,,
22,2020-04-20,5.4,5.56,5.35,5.52,10802035.0,5.417999999999999,,
23,2020-04-21,5.43,5.8,5.29,5.56,14594697.0,5.427999999999999,,
24,2020-04-22,5.46,5.5,5.38,5.49,8367701.0,5.43,,
25,2020-04-23,5.49,5.52,5.41,5.47,6172800.0,5.428999999999999,,
26,2020-04-24,5.42,5.46,5.3,5.3,4932100.0,5.425999999999999,,
27,2020-04-27,5.3,5.35,5.24,5.24,3205250.0,5.4239999999999995,,
28,2020-04-28,5.23,5.26,4.89,5.09,5252265.0,5.4,,
29,2020-04-29,5.08,5.09,5.01,5.03,2254897.0,5.3740000000000006,,
30,2020-04-30,5.07,5.14,5.03,5.13,2532218.0,5.339,,
31,2020-05-06,5.12,5.2,5.09,5.18,2294653.0,5.301,,
32,2020-05-07,5.21,5.21,5.12,5.14,2325768.0,5.263,,
