,date,open,high,low,close,volume,120,180,240
0,2018-11-13,22.3,22.87,22.16,22.75,1542089.0,,,
1,2018-11-14,22.61,23.08,22.59,22.96,1722561.0,,,
2,2018-11-15,22.83,23.59,22.77,23.48,1712024.0,,,
3,2018-11-16,23.49,23.71,23.3,23.38,1611025.0,,,
4,2018-11-19,23.28,23.5,23.15,23.41,958796.0,,,
5,2018-11-20,23.19,23.28,22.25,22.28,1968631.0,,,
6,2018-11-21,22.11,22.43,22.0,22.37,999511.0,,,
7,2018-11-22,22.51,22.92,22.5,22.87,1215226.0,,,
8,2018-11-23,22.93,22.95,21.92,22.01,1166154.0,,,
9,2018-11-26,22.02,22.38,21.67,21.81,863961.0,,,
10,2018-11-27,22.01,22.04,21.73,21.88,668151.0,,,
11,2018-11-28,21.88,22.09,21.49,22.05,911104.0,,,
12,2018-11-29,22.1,22.33,21.7,21.7,991400.0,,,
13,2018-11-30,21.7,21.93,21.52,21.88,762602.0,,,
14,2018-12-03,22.3,22.65,22.17,22.59,1440562.0,,,
15,2018-12-04,22.59,22.9,22.41,22.72,1066480.0,,,
16,2018-12-05,22.19,22.61,22.16,22.46,961520.0,,,
17,2018-12-06,22.45,22.45,22.04,22.1,806185.0,,,
18,2018-12-07,22.04,22.29,21.99,22.22,449471.0,,,
19,2018-12-10,22.08,22.4,22.0,22.27,541987.0,,,
20,2018-12-11,22.22,22.44,22.22,22.36,642895.0,,,
21,2018-12-12,22.35,22.85,22.35,22.71,1333568.0,,,
22,2018-12-13,22.71,23.14,22.67,22.98,1457284.0,,,
23,2018-12-14,22.93,23.06,22.56,22.56,1510135.0,,,
24,2018-12-17,22.56,22.97,22.26,22.91,860496.0,,,
25,2018-12-18,22.93,23.14,22.75,22.99,797914.0,,,
26,2018-12-19,23.1,23.55,22.59,22.66,1710000.0,,,
27,2018-12-20,22.35,22.88,22.12,22.66,905922.0,,,
28,2018-12-21,22.66,22.66,22.19,22.34,607340.0,,,
29,2018-12-24,22.34,22.78,22.16,22.73,674169.0,,,
30,2018-12-25,22.51,22.88,22.26,22.87,922982.0,,,
31,2018-12-26,22.87,22.98,22.36,22.5,874041.0,,,
32,2018-12-27,22.72,22.87,22.0,22.0,1022168.0,,,
33,2018-12-28,22.19,22.24,21.7,21.77,812072.0,,,
34,2019-01-02,21.84,21.95,21.75,21.85,449935.0,,,
35,2019-01-03,21.93,21.93,21.56,21.87,718351.0,,,
36,2019-01-04,21.51,22.16,21.48,22.05,662271.0,,,
37,2019-01-07,22.12,22.38,22.0,22.22,754343.0,,,
38,2019-01-08,22.2,22.2,21.99,22.09,380709.0,,,
39,2019-01-09,22.24,22.59,22.09,22.2,1009211.0,,,
40,2019-01-10,22.19,22.25,21.94,22.04,572862.0,,,
41,2019-01-11,22.03,22.21,21.89,22.16,568317.0,,,
42,2019-01-14,22.17,22.24,21.79,21.81,708173.0,,,
43,2019-01-15,21.81,22.1,21.69,22.09,959443.0,,,
44,2019-01-16,22.12,22.12,21.92,22.09,721071.0,,,
45,2019-01-17,22.08,22.11,21.73,21.81,662814.0,,,
46,2019-01-18,21.77,22.09,21.75,22.07,935909.0,,,
47,2019-01-21,22.07,24.01,22.01,23.39,3348023.0,,,
48,2019-01-22,23.18,23.51,22.9,23.02,1383659.0,,,
49,2019-01-23,23.2,23.2,22.66,22.82,815865.0,,,
50,2019-01-24,22.8,23.24,22.8,22.86,940948.0,,,
51,2019-01-25,23.02,23.02,22.68,22.82,838134.0,,,
52,2019-01-28,22.83,23.1,22.55,22.61,833794.0,,,
53,2019-01-29,22.55,22.83,22.38,22.69,945813.0,,,
54,2019-01-30,22.65,22.65,22.25,22.25,680534.0,,,
55,2019-01-31,21.99,22.39,20.03,20.03,3472506.0,,,
56,2019-02-01,20.41,21.52,20.13,21.46,3245048.0,,,
57,2019-02-11,21.46,22.08,21.1,21.96,1599851.0,,,
58,2019-02-12,21.2,22.15,20.42,21.81,10125491.0,,,
59,2019-02-13,21.81,23.54,21.68,23.2,7876965.0,,,
60,2019-02-14,23.19,23.54,22.83,23.26,3585512.0,,,
61,2019-02-15,23.4,24.79,23.35,24.09,4621897.0,,,
62,2019-02-18,24.52,24.73,23.92,24.55,3778289.0,,,
63,2019-02-19,24.55,25.08,23.84,24.13,3689283.0,,,
64,2019-02-20,24.12,24.73,23.82,23.98,2039556.0,,,
65,2019-02-21,24.05,24.27,23.76,23.83,2720106.0,,,
66,2019-02-22,23.85,24.0,23.61,23.96,2200511.0,,,
67,2019-02-25,23.98,24.8,23.83,24.78,4699924.0,,,
68,2019-02-26,24.83,24.83,24.09,24.12,4673127.0,,,
69,2019-02-27,23.95,24.32,23.66,23.79,3138543.0,,,
