,date,open,high,low,close,volume,10,60,250
0,2020-08-17,18.41,22.09,18.41,22.09,136151.0,,,
1,2020-08-18,24.3,24.3,24.3,24.3,56283.0,,,
2,2020-08-19,26.73,26.73,26.73,26.73,158018.0,,,
3,2020-08-20,29.4,29.4,25.73,27.01,21608774.0,,,
4,2020-08-21,25.69,26.38,24.41,24.62,14264812.0,,,
5,2020-08-24,23.84,24.07,22.56,22.65,11512369.0,,,
6,2020-08-25,22.65,23.53,22.25,23.19,8568162.0,,,
7,2020-08-26,23.01,23.02,21.85,21.99,7114226.0,,,
8,2020-08-27,21.8,22.27,21.58,21.81,4580221.0,,,
9,2020-08-28,21.73,21.74,21.14,21.45,5019255.0,23.584,,
10,2020-08-31,21.55,22.19,21.55,21.84,4719070.0,23.559,,
11,2020-09-01,21.67,21.85,21.44,21.58,3302363.0,23.287,,
12,2020-09-02,21.62,21.68,21.21,21.28,3401388.0,22.742,,
13,2020-09-03,21.32,21.52,21.18,21.22,2631475.0,22.163000000000004,,
14,2020-09-04,20.8,21.05,20.69,20.97,2792681.0,21.798000000000002,,
15,2020-09-07,21.01,21.53,20.82,21.26,3595142.0,21.659,,
16,2020-09-08,21.21,21.28,20.57,20.75,3360842.0,21.415,,
17,2020-09-09,20.42,20.43,19.73,19.75,3843749.0,21.191,,
18,2020-09-10,19.78,20.07,18.75,18.83,3180169.0,20.893,,
19,2020-09-11,18.72,19.27,18.61,19.24,2405433.0,20.672000000000004,,
20,2020-09-14,19.32,19.48,19.12,19.22,1912272.0,20.410000000000004,,
21,2020-09-15,19.27,20.31,19.13,19.69,3383146.0,20.221000000000004,,
22,2020-09-16,19.57,20.4,19.44,20.34,3741666.0,20.127000000000002,,
23,2020-09-17,20.33,20.67,19.92,20.37,4150447.0,20.042000000000005,,
24,2020-09-18,20.39,20.43,20.04,20.23,2719993.0,19.968000000000004,,
25,2020-09-21,20.25,20.49,20.06,20.08,1666160.0,19.850000000000005,,
26,2020-09-22,19.81,19.84,19.31,19.39,2310526.0,19.714000000000006,,
27,2020-09-23,19.45,20.81,19.44,20.49,4494195.0,19.788000000000004,,
28,2020-09-24,20.27,20.7,20.23,20.36,3475350.0,19.94100000000001,,
29,2020-09-25,20.55,20.64,19.42,19.71,3071796.0,19.988000000000007,,
