,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.43,5.71,5.37,5.5,44634442.0,,,
1,2018-11-14,5.44,5.59,5.37,5.5,26730798.0,,,
2,2018-11-15,5.44,5.86,5.43,5.77,37928596.0,,,
3,2018-11-16,5.7,6.07,5.55,6.0,36206141.0,,,
4,2018-11-19,5.89,6.38,5.85,5.93,33559786.0,,,
5,2018-11-20,5.87,5.87,5.47,5.63,22487524.0,,,
6,2018-11-21,5.62,5.87,5.59,5.77,18586410.0,,,
7,2018-11-22,5.74,5.76,5.56,5.62,11910756.0,,,
8,2018-11-23,5.58,5.58,5.28,5.39,16100978.0,,,
9,2018-11-26,5.41,5.47,5.31,5.41,6851653.0,,,
10,2018-11-27,5.46,5.5,5.34,5.49,8350113.0,,,
11,2018-11-28,5.44,5.78,5.35,5.68,16574210.0,,,
12,2018-11-29,5.68,5.76,5.35,5.35,11176580.0,,,
13,2018-11-30,5.36,5.41,5.12,5.28,9798118.0,,,
14,2018-12-03,5.41,5.56,5.41,5.47,11897851.0,,,
15,2018-12-04,5.43,5.71,5.43,5.63,13340337.0,,,
16,2018-12-05,5.44,5.54,5.38,5.46,8287910.0,,,
17,2018-12-06,5.41,5.46,5.3,5.31,6381541.0,,,
18,2018-12-07,5.31,5.4,5.31,5.39,3695411.0,,,
19,2018-12-10,5.33,5.38,5.21,5.26,4337275.0,,,
20,2018-12-11,5.27,5.46,5.2,5.41,7260417.0,,,
21,2018-12-12,5.4,5.56,5.37,5.44,7927784.0,,,
22,2018-12-13,5.43,5.51,5.38,5.45,5560441.0,,,
23,2018-12-14,5.43,5.49,5.27,5.29,5702723.0,,,
24,2018-12-17,5.31,5.4,5.23,5.36,3981686.0,,,
25,2018-12-18,5.33,5.49,5.23,5.46,6313740.0,,,
26,2018-12-19,5.41,5.73,5.41,5.54,13141133.0,,,
27,2018-12-20,5.53,5.81,5.44,5.8,22460036.0,,,
28,2018-12-21,5.72,5.78,5.58,5.68,12030396.0,,,
29,2018-12-24,5.65,5.75,5.59,5.63,7820974.0,,,
30,2018-12-25,5.58,5.59,5.16,5.38,13979607.0,,,
31,2018-12-26,5.35,5.43,5.28,5.38,9061311.0,,,
32,2018-12-27,5.44,5.48,5.16,5.16,8916628.0,,,
33,2018-12-28,5.18,5.29,5.07,5.11,5957914.0,,,
34,2019-01-02,5.2,5.22,5.1,5.15,4027170.0,,,
35,2019-01-03,5.13,5.26,5.11,5.15,3599317.0,,,
36,2019-01-04,5.12,5.34,5.04,5.31,7259821.0,,,
37,2019-01-07,5.35,5.41,5.29,5.38,6525685.0,,,
