,date,open,high,low,close,volume,120,180,240
0,2018-11-13,4.92,5.44,4.91,5.37,7868807.0,,,
1,2018-11-14,5.38,5.4,5.15,5.25,6460376.0,,,
2,2018-11-15,5.25,5.32,5.23,5.3,3713810.0,,,
3,2018-11-16,5.32,5.59,5.26,5.55,7812269.0,,,
4,2018-11-19,5.54,5.55,5.36,5.46,4980287.0,,,
5,2018-11-20,5.39,5.45,5.22,5.26,3149930.0,,,
6,2018-11-21,5.16,5.34,5.16,5.3,1886159.0,,,
7,2018-11-22,5.29,5.57,5.25,5.48,6744589.0,,,
8,2018-11-23,5.42,5.43,5.04,5.06,5334692.0,,,
9,2018-11-26,5.06,5.17,5.01,5.09,2290821.0,,,
10,2018-11-27,5.14,5.37,5.12,5.36,4710979.0,,,
11,2018-11-28,5.35,5.68,5.2,5.59,8704421.0,,,
12,2018-11-29,5.6,5.6,5.35,5.39,6255614.0,,,
13,2018-11-30,5.36,5.4,5.15,5.34,3594151.0,,,
14,2018-12-03,5.46,5.53,5.41,5.49,4124704.0,,,
15,2018-12-04,5.49,5.56,5.45,5.51,3142263.0,,,
16,2018-12-05,5.43,5.81,5.34,5.56,5784908.0,,,
17,2018-12-06,5.56,5.59,5.35,5.42,3438941.0,,,
18,2018-12-07,5.37,5.54,5.28,5.35,2136178.0,,,
19,2018-12-10,5.35,5.42,5.26,5.26,1689878.0,,,
20,2018-12-11,5.36,5.36,5.27,5.33,1575927.0,,,
21,2018-12-12,5.33,5.37,5.18,5.24,2149300.0,,,
22,2018-12-13,5.25,5.31,5.22,5.27,2016700.0,,,
23,2018-12-14,5.25,5.3,5.05,5.07,2094872.0,,,
24,2018-12-17,5.08,5.18,5.03,5.15,1373400.0,,,
25,2018-12-18,5.09,5.14,5.01,5.08,1206482.0,,,
26,2018-12-19,5.06,5.08,4.99,5.02,1180787.0,,,
27,2018-12-20,5.02,5.05,4.97,5.04,1125800.0,,,
28,2018-12-21,5.02,5.06,5.0,5.04,1147101.0,,,
29,2018-12-24,5.07,5.07,5.0,5.04,1255900.0,,,
30,2018-12-25,5.02,5.02,4.71,4.89,2383792.0,,,
31,2018-12-26,4.87,5.02,4.87,4.99,1471256.0,,,
32,2018-12-27,5.05,5.11,4.92,4.93,1219600.0,,,
33,2018-12-28,4.93,4.99,4.89,4.92,1255024.0,,,
34,2019-01-02,4.99,4.99,4.87,4.93,634201.0,,,
35,2019-01-03,4.87,4.97,4.87,4.92,779057.0,,,
36,2019-01-04,4.9,5.12,4.84,5.09,1773464.0,,,
37,2019-01-07,5.16,5.22,5.06,5.2,1730494.0,,,
38,2019-01-08,5.24,5.42,5.2,5.32,4688594.0,,,
39,2019-01-09,5.29,5.33,5.25,5.31,2883057.0,,,
40,2019-01-10,5.38,5.38,5.21,5.3,2380428.0,,,
