,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.59,6.17,5.57,5.81,7758100.0,,,
1,2018-11-14,5.78,5.96,5.78,5.88,5086010.0,,,
2,2018-11-15,5.87,5.96,5.83,5.94,4338380.0,,,
3,2018-11-16,5.91,6.04,5.87,6.03,5171902.0,,,
4,2018-11-19,6.06,6.32,6.05,6.18,7932000.0,,,
5,2018-11-20,6.1,6.18,5.87,5.9,6305447.0,,,
6,2018-11-21,5.84,6.07,5.82,6.02,4833014.0,,,
7,2018-11-22,6.06,6.07,5.88,5.91,3739302.0,,,
8,2018-11-23,5.95,5.95,5.58,5.62,4529353.0,,,
9,2018-11-26,5.68,5.8,5.63,5.69,3162704.0,,,
10,2018-11-27,5.72,5.81,5.7,5.72,2398000.0,,,
11,2018-11-28,5.75,5.79,5.62,5.79,2883468.0,,,
12,2018-11-29,5.85,5.85,5.6,5.6,3285610.0,,,
13,2018-11-30,5.62,5.67,5.51,5.66,1994359.0,,,
14,2018-12-03,5.84,6.03,5.83,5.92,5581736.0,,,
15,2018-12-04,5.9,5.96,5.82,5.93,4057519.0,,,
16,2018-12-05,5.85,5.9,5.8,5.85,2953462.0,,,
17,2018-12-06,5.87,5.87,5.72,5.76,2405196.0,,,
18,2018-12-07,5.75,5.84,5.67,5.81,2571048.0,,,
19,2018-12-10,5.76,5.8,5.65,5.66,2404455.0,,,
20,2018-12-11,5.68,5.74,5.68,5.73,1500347.0,,,
21,2018-12-12,5.72,5.82,5.72,5.77,2189600.0,,,
22,2018-12-13,5.8,5.9,5.76,5.85,2189616.0,,,
23,2018-12-14,5.86,5.95,5.74,5.76,3292096.0,,,
24,2018-12-17,5.76,5.89,5.61,5.85,2978901.0,,,
25,2018-12-18,5.82,5.82,5.59,5.72,2945214.0,,,
26,2018-12-19,5.72,5.72,5.55,5.58,1958000.0,,,
27,2018-12-20,5.59,5.65,5.55,5.61,1357696.0,,,
28,2018-12-21,5.58,5.65,5.52,5.55,1212849.0,,,
29,2018-12-24,5.58,5.7,5.58,5.68,1433949.0,,,
30,2018-12-25,5.66,5.8,5.48,5.77,2496803.0,,,
31,2018-12-26,5.76,5.92,5.7,5.78,3144239.0,,,
32,2018-12-27,5.83,5.92,5.79,5.84,2973094.0,,,
33,2018-12-28,5.86,5.86,5.71,5.81,2385857.0,,,
34,2019-01-02,5.85,5.88,5.6,5.65,2413851.0,,,
35,2019-01-03,5.64,5.7,5.51,5.55,2439984.0,,,
36,2019-01-04,5.52,5.92,5.45,5.9,4769060.0,,,
37,2019-01-07,5.9,6.05,5.86,5.99,5948196.0,,,
38,2019-01-08,5.99,6.05,5.94,6.0,3193874.0,,,
39,2019-01-09,5.98,6.09,5.95,5.99,5586279.0,,,
40,2019-01-10,5.98,6.59,5.96,6.39,12543716.0,,,
41,2019-01-11,6.36,6.4,6.15,6.29,8845553.0,,,
42,2019-01-14,6.25,6.28,6.12,6.16,3966435.0,,,
43,2019-01-15,6.13,6.3,6.12,6.27,4949188.0,,,
44,2019-01-16,6.23,6.35,6.17,6.18,3225565.0,,,
45,2019-01-17,6.21,6.24,6.13,6.15,2194201.0,,,
46,2019-01-18,6.14,6.23,5.96,6.03,4715858.0,,,
47,2019-01-21,6.11,6.12,5.99,6.03,4372506.0,,,
48,2019-01-22,6.06,6.08,5.96,5.98,2294253.0,,,
49,2019-01-23,5.98,6.05,5.94,6.02,1728181.0,,,
50,2019-01-24,6.01,6.3,6.01,6.12,4392600.0,,,
51,2019-01-25,6.14,6.19,5.96,5.97,3404900.0,,,
52,2019-01-28,6.01,6.02,5.84,5.89,1976867.0,,,
53,2019-01-29,5.89,5.91,5.68,5.77,1984701.0,,,
54,2019-01-30,5.74,5.86,5.7,5.78,1740433.0,,,
55,2019-01-31,5.8,6.02,5.7,5.72,2299225.0,,,
56,2019-02-01,5.75,5.95,5.73,5.89,2231429.0,,,
57,2019-02-11,5.91,6.06,5.89,6.05,2023174.0,,,
58,2019-02-12,6.05,6.13,6.02,6.08,2668079.0,,,
59,2019-02-13,6.08,6.22,6.08,6.21,3451461.0,,,
60,2019-02-14,6.17,6.23,6.15,6.2,3041138.0,,,
61,2019-02-15,6.19,6.48,6.16,6.28,6629128.0,,,
62,2019-02-18,6.28,6.43,6.24,6.42,5661547.0,,,
63,2019-02-19,6.43,6.45,6.31,6.39,4744844.0,,,
64,2019-02-20,6.39,6.43,6.33,6.41,3341136.0,,,
65,2019-02-21,6.4,6.56,6.36,6.4,4462002.0,,,
66,2019-02-22,6.4,6.58,6.33,6.51,5220178.0,,,
67,2019-02-25,6.52,6.78,6.52,6.76,9933650.0,,,
68,2019-02-26,6.71,6.9,6.68,6.7,9060923.0,,,
69,2019-02-27,6.7,6.87,6.65,6.72,6122450.0,,,
70,2019-02-28,6.7,6.86,6.7,6.76,4547651.0,,,
71,2019-03-01,6.78,6.82,6.7,6.79,4142255.0,,,
72,2019-03-04,6.85,6.95,6.82,6.84,8428374.0,,,
73,2019-03-05,6.82,7.0,6.81,6.98,6055015.0,,,
74,2019-03-06,7.02,7.1,6.94,7.05,6731211.0,,,
75,2019-03-07,7.49,7.49,7.12,7.2,10866763.0,,,
76,2019-03-08,7.1,7.15,6.85,6.86,9915682.0,,,
77,2019-03-11,6.88,7.42,6.88,7.39,10983503.0,,,
78,2019-03-12,7.37,7.51,7.22,7.32,12388661.0,,,
79,2019-03-13,7.32,7.41,7.12,7.16,8362400.0,,,
80,2019-03-14,7.04,7.16,6.76,6.9,6811274.0,,,
81,2019-03-15,6.92,7.1,6.9,7.05,5665387.0,,,
82,2019-03-18,7.14,7.23,7.07,7.22,4998633.0,,,
83,2019-03-19,7.25,7.28,7.15,7.26,4963751.0,,,
84,2019-03-20,7.28,7.31,7.09,7.2,6298230.0,,,
85,2019-03-21,7.17,7.42,7.17,7.36,7573777.0,,,
86,2019-03-22,7.39,7.92,7.3,7.65,11244201.0,,,
87,2019-03-25,7.52,7.88,7.48,7.55,9969391.0,,,
88,2019-03-26,7.68,7.68,7.29,7.3,6014788.0,,,
89,2019-03-27,7.38,7.41,7.15,7.36,5268487.0,,,
90,2019-03-28,7.34,7.44,7.24,7.25,3902314.0,,,
91,2019-03-29,7.24,7.49,7.15,7.43,5837927.0,,,
92,2019-04-01,7.45,7.7,7.4,7.65,7870356.0,,,
93,2019-04-02,7.72,7.77,7.62,7.77,7569285.0,,,
94,2019-04-03,7.77,7.81,7.6,7.77,6395158.0,,,
95,2019-04-04,7.77,7.88,7.73,7.75,6602580.0,,,
96,2019-04-08,7.8,7.89,7.5,7.8,7980726.0,,,
97,2019-04-09,7.76,8.04,7.66,8.01,9567540.0,,,
98,2019-04-10,7.98,8.45,7.87,8.29,14924246.0,,,
99,2019-04-11,8.43,8.6,8.08,8.16,12896067.0,,,
100,2019-04-12,8.12,8.14,7.83,7.92,6752011.0,,,
101,2019-04-15,8.0,8.07,7.82,7.83,5037950.0,,,
102,2019-04-16,7.76,7.96,7.7,7.96,5048764.0,,,
103,2019-04-17,7.96,8.16,7.9,8.01,5831507.0,,,
104,2019-04-18,8.01,8.06,7.85,7.88,4192194.0,,,
105,2019-04-19,7.85,8.05,7.78,8.05,4773147.0,,,
106,2019-04-22,8.78,8.86,8.78,8.86,9702828.0,,,
107,2019-04-23,8.92,9.48,8.51,8.61,46374476.0,,,
108,2019-04-24,8.11,9.2,8.01,9.02,32648486.0,,,
109,2019-04-25,8.75,8.93,8.12,8.23,22609661.0,,,
110,2019-04-26,8.14,8.69,8.1,8.37,17777089.0,,,
111,2019-04-29,8.42,8.45,7.53,7.53,19961109.0,,,
112,2019-04-30,7.41,7.71,7.33,7.44,9953275.0,,,
113,2019-05-06,7.22,7.25,6.7,6.7,9699400.0,,,
114,2019-05-07,6.68,6.86,6.5,6.74,7994599.0,,,
