,date,open,high,low,close,volume,10,60,250
0,2020-03-18,6.82,6.9,6.6,6.61,15172507.0,,,
1,2020-03-19,6.55,6.64,6.45,6.62,15060466.0,,,
2,2020-03-20,6.66,6.71,6.56,6.65,12715288.0,,,
3,2020-03-23,6.51,6.58,6.26,6.33,13530501.0,,,
4,2020-03-24,6.43,6.49,6.22,6.41,13100812.0,,,
5,2020-03-25,6.52,6.63,6.5,6.58,14843450.0,,,
6,2020-03-26,6.54,6.6,6.42,6.45,11450140.0,,,
7,2020-03-27,6.52,6.53,6.41,6.41,10388900.0,,,
8,2020-03-30,6.33,6.33,6.15,6.2,13253887.0,,,
9,2020-03-31,6.3,6.3,6.2,6.2,7478142.0,6.446000000000001,,
10,2020-04-01,6.18,6.27,6.15,6.21,7474972.0,6.406000000000001,,
11,2020-04-02,6.18,6.83,6.17,6.83,17765412.0,6.427,,
12,2020-04-03,7.12,7.48,7.01,7.17,67662528.0,6.478999999999999,,
13,2020-04-07,7.28,7.41,7.05,7.33,48718811.0,6.578999999999999,,
14,2020-04-08,7.24,7.26,7.11,7.17,26867799.0,6.654999999999999,,
15,2020-04-09,7.16,7.26,7.09,7.11,23299584.0,6.708,,
16,2020-04-10,7.17,7.82,7.11,7.36,55149803.0,6.7989999999999995,,
17,2020-04-13,7.26,7.76,7.26,7.62,48342467.0,6.92,,
18,2020-04-14,7.62,7.62,7.43,7.53,30722255.0,7.053,,
19,2020-04-15,7.52,7.8,7.41,7.52,30791544.0,7.185,,
20,2020-04-16,7.45,7.45,7.17,7.27,27137964.0,7.2909999999999995,,
21,2020-04-17,7.31,7.37,7.13,7.13,21205737.0,7.321,,
22,2020-04-20,7.16,7.31,7.05,7.28,16564881.0,7.331999999999999,,
23,2020-04-21,7.22,7.23,7.01,7.1,16737436.0,7.308999999999999,,
24,2020-04-22,7.04,7.12,6.97,7.1,11799758.0,7.301999999999998,,
25,2020-04-23,7.07,7.13,6.91,6.92,16634898.0,7.282999999999999,,
26,2020-04-24,6.9,6.9,6.56,6.58,22947830.0,7.204999999999998,,
27,2020-04-27,6.58,6.64,6.46,6.48,11356698.0,7.090999999999998,,
28,2020-04-28,6.56,6.57,6.15,6.41,15064912.0,6.978999999999997,,
29,2020-04-29,6.43,7.05,6.41,7.05,15388907.0,6.931999999999998,,
30,2020-04-30,7.22,7.22,6.99,7.11,41724520.0,6.915999999999999,,
31,2020-05-06,6.93,7.28,6.89,7.26,29193743.0,6.928999999999999,,
32,2020-05-07,7.26,7.39,7.15,7.16,22658194.0,6.916999999999999,,
33,2020-05-08,7.2,7.33,7.15,7.32,22285321.0,6.938999999999998,,
34,2020-05-11,7.33,7.37,7.15,7.24,17460613.0,6.9529999999999985,,
35,2020-05-12,7.24,7.43,7.18,7.3,20579815.0,6.990999999999998,,
36,2020-05-13,7.24,7.25,7.11,7.17,15017774.0,7.049999999999999,,
37,2020-05-14,7.17,7.17,6.94,6.95,17667760.0,7.096999999999999,,
38,2020-05-15,7.0,7.04,6.89,6.89,10575305.0,7.144999999999999,,
39,2020-05-18,6.91,6.94,6.71,6.77,12180059.0,7.116999999999999,,
40,2020-05-19,6.85,7.43,6.83,7.26,40502516.0,7.132,,
41,2020-05-20,7.21,7.34,7.09,7.14,22634899.0,7.119999999999999,,
42,2020-05-21,7.18,7.23,6.89,6.89,19285560.0,7.092999999999999,,
43,2020-05-22,6.94,6.94,6.68,6.71,15838458.0,7.031999999999999,,
44,2020-05-25,6.68,6.79,6.68,6.76,9010877.0,6.984,,
45,2020-05-26,6.78,7.11,6.78,6.95,14571828.0,6.949000000000001,,
46,2020-05-27,6.9,7.0,6.79,6.81,10096237.0,6.913000000000001,,
47,2020-05-28,6.81,6.95,6.71,6.95,12349707.0,6.913000000000001,,
48,2020-05-29,6.93,6.97,6.88,6.88,9408912.0,6.912000000000001,,
49,2020-06-01,6.94,7.09,6.9,7.09,15594696.0,6.944000000000001,,
50,2020-06-02,7.15,7.21,7.03,7.09,13993046.0,6.927000000000001,,
51,2020-06-03,7.1,7.14,7.01,7.02,12088765.0,6.915000000000001,,
52,2020-06-04,7.06,7.27,7.0,7.19,20650864.0,6.945,,
53,2020-06-05,7.18,7.18,7.04,7.07,12097003.0,6.981000000000002,,
54,2020-06-08,7.09,7.14,7.03,7.09,8050909.0,7.014000000000001,,
55,2020-06-09,7.09,7.31,7.04,7.19,17289365.0,7.038000000000001,,
56,2020-06-10,7.18,7.18,7.04,7.06,10642300.0,7.063000000000001,,
57,2020-06-11,7.08,7.22,7.02,7.06,11659000.0,7.074000000000001,,
58,2020-06-12,6.92,7.07,6.74,7.02,10084657.0,7.088000000000001,,
59,2020-06-15,6.99,7.06,6.95,6.95,8204151.0,7.074000000000001,6.949666666666662,
60,2020-06-16,7.07,7.19,7.0,7.11,11123500.0,7.0760000000000005,6.957999999999996,
61,2020-06-17,7.1,7.18,7.07,7.14,9839716.0,7.088000000000001,6.966666666666662,
62,2020-06-18,7.12,7.25,7.06,7.19,14952325.0,7.088000000000001,6.975666666666663,
63,2020-06-19,7.2,7.2,7.12,7.16,8389200.0,7.0969999999999995,6.989499999999996,
64,2020-06-22,7.17,7.25,7.12,7.14,11668868.0,7.101999999999999,7.0016666666666625,
65,2020-06-23,7.17,7.18,7.06,7.07,9451200.0,7.090000000000001,7.009833333333329,
66,2020-06-24,7.09,7.12,6.95,7.08,11994376.0,7.0920000000000005,7.020333333333329,
67,2020-06-29,7.02,7.14,7.01,7.02,7204937.0,7.087999999999999,7.030499999999995,
68,2020-06-30,7.06,7.17,7.03,7.13,11380790.0,7.098999999999999,7.045999999999995,
69,2020-07-01,7.14,7.19,7.1,7.16,10630401.0,7.119999999999999,7.061999999999996,
70,2020-07-02,7.19,7.88,7.15,7.88,39272587.0,7.196999999999998,7.089833333333329,
71,2020-07-03,8.12,8.46,7.9,7.93,95513752.0,7.275999999999998,7.108166666666663,
72,2020-07-06,7.84,8.38,7.84,8.24,67026805.0,7.380999999999998,7.125999999999996,
73,2020-07-07,8.2,8.65,8.06,8.4,70765965.0,7.504999999999998,7.14383333333333,
74,2020-07-08,8.3,8.54,8.21,8.5,48642743.0,7.640999999999998,7.165999999999996,
75,2020-07-09,8.51,8.64,8.38,8.53,50560402.0,7.786999999999997,7.189666666666662,
76,2020-07-10,8.46,8.47,8.16,8.19,42457183.0,7.897999999999998,7.203499999999995,
77,2020-07-13,8.18,8.44,8.17,8.43,36389803.0,8.038999999999998,7.216999999999995,
78,2020-07-14,8.45,9.09,8.41,8.89,64831037.0,8.214999999999998,7.239666666666662,
79,2020-07-15,8.76,8.83,8.45,8.47,36190548.0,8.345999999999998,7.255499999999996,
80,2020-07-16,8.56,8.64,7.88,7.89,32259572.0,8.346999999999998,7.26583333333333,
81,2020-07-17,7.98,8.09,7.86,8.09,20251093.0,8.363,7.281833333333329,
82,2020-07-20,8.17,8.44,8.16,8.43,25029193.0,8.382000000000001,7.300999999999997,
83,2020-07-21,8.43,8.49,8.21,8.28,19812811.0,8.370000000000001,7.320666666666662,
84,2020-07-22,8.42,8.46,8.17,8.2,18808254.0,8.34,7.338999999999995,
85,2020-07-23,8.12,8.2,7.86,8.02,21888994.0,8.289,7.357333333333328,
86,2020-07-24,8.03,8.08,7.51,7.58,24758374.0,8.228,7.373999999999994,
87,2020-07-27,7.61,7.73,7.46,7.73,13459511.0,8.158000000000001,7.394833333333327,
88,2020-07-28,7.8,7.8,7.63,7.7,10458736.0,8.039000000000001,7.416333333333327,
89,2020-07-29,7.7,7.9,7.56,7.87,13876592.0,7.979000000000002,7.4299999999999935,
90,2020-07-30,7.86,7.97,7.78,7.79,13135294.0,7.969000000000003,7.441333333333327,
91,2020-07-31,7.75,7.86,7.69,7.77,12846509.0,7.937000000000002,7.449833333333327,
92,2020-08-03,7.81,8.06,7.8,8.02,19178746.0,7.896000000000001,7.464166666666659,
93,2020-08-04,8.02,8.1,7.91,7.96,16438100.0,7.864,7.474833333333326,
94,2020-08-05,7.99,7.99,7.86,7.93,11641806.0,7.836999999999999,7.4863333333333255,
95,2020-08-06,7.9,7.95,7.75,7.86,13661321.0,7.821,7.49566666666666,
96,2020-08-07,7.83,7.87,7.58,7.67,16103457.0,7.83,7.5039999999999925,
97,2020-08-10,7.63,7.82,7.63,7.78,10109383.0,7.834999999999999,7.517833333333326,
98,2020-08-11,7.78,7.82,7.61,7.62,11235667.0,7.827,7.529999999999992,
99,2020-08-12,7.6,7.66,7.44,7.63,11734058.0,7.802999999999999,7.544333333333326,
100,2020-08-13,7.66,8.07,7.66,8.0,28918346.0,7.823999999999998,7.5566666666666595,
101,2020-08-14,8.03,8.05,7.85,7.97,14563908.0,7.8439999999999985,7.570499999999994,
102,2020-08-17,8.04,8.28,8.0,8.18,23412452.0,7.859999999999998,7.591999999999994,
103,2020-08-18,8.2,8.25,8.09,8.18,15930728.0,7.881999999999998,7.616499999999994,
104,2020-08-19,8.19,8.19,8.02,8.03,13092646.0,7.891999999999999,7.637666666666661,
105,2020-08-20,7.97,8.13,7.91,8.03,10486044.0,7.908999999999999,7.655666666666661,
106,2020-08-21,8.09,8.09,7.92,7.96,9561537.0,7.937999999999998,7.674833333333327,
107,2020-08-24,7.96,8.01,7.86,7.91,7982494.0,7.950999999999998,7.690833333333328,
108,2020-08-25,7.92,8.08,7.88,8.08,13367033.0,7.996999999999997,7.710833333333327,
109,2020-08-26,8.1,8.33,8.03,8.13,27325716.0,8.046999999999997,7.728166666666661,
110,2020-08-27,8.28,8.38,8.13,8.18,22162598.0,8.064999999999998,7.746333333333328,
111,2020-08-28,8.17,8.18,7.92,8.16,18480309.0,8.083999999999998,7.765333333333329,
112,2020-08-31,8.2,8.32,8.16,8.2,16789540.0,8.085999999999999,7.7821666666666625,
113,2020-09-01,8.25,8.25,8.11,8.16,12824076.0,8.083999999999998,7.800333333333329,
114,2020-09-02,8.15,8.15,7.99,8.05,16276907.0,8.085999999999997,7.81633333333333,
115,2020-09-03,8.11,8.13,7.95,7.97,12073443.0,8.079999999999997,7.82933333333333,
116,2020-09-04,7.85,8.03,7.74,8.0,13066973.0,8.083999999999998,7.844999999999997,
117,2020-09-07,7.98,8.24,7.96,8.08,23477416.0,8.100999999999997,7.8619999999999965,
118,2020-09-08,8.08,8.19,8.05,8.17,15667901.0,8.109999999999998,7.8811666666666635,
119,2020-09-09,8.12,8.33,8.08,8.2,30324424.0,8.116999999999999,7.9019999999999975,
120,2020-09-10,8.3,8.32,7.88,7.95,23006518.0,8.094,7.915999999999997,
121,2020-09-11,7.84,7.99,7.79,7.95,11455060.0,8.073,7.929499999999996,
122,2020-09-14,7.95,8.07,7.86,7.93,10317966.0,8.046,7.941833333333331,
123,2020-09-15,7.94,7.96,7.81,7.88,8735200.0,8.017999999999999,7.95383333333333,
124,2020-09-16,7.83,7.86,7.62,7.67,11603460.0,7.9799999999999995,7.962666666666664,
125,2020-09-17,7.63,7.78,7.63,7.72,7695776.0,7.955,7.973499999999998,
126,2020-09-18,7.71,7.83,7.69,7.82,8097200.0,7.937,7.985833333333331,
127,2020-09-21,7.81,7.88,7.78,7.84,6767689.0,7.913000000000001,7.999499999999998,
128,2020-09-22,7.74,7.8,7.68,7.71,7088788.0,7.867,8.009166666666664,
129,2020-09-23,7.78,7.78,7.67,7.72,4327728.0,7.819,8.018499999999998,
130,2020-09-24,7.67,7.71,7.5,7.52,7432006.0,7.775999999999999,8.012499999999998,
131,2020-09-25,7.54,7.57,7.31,7.32,7278806.0,7.712999999999998,8.00233333333333,
132,2020-09-28,7.33,7.55,7.33,7.4,6826998.0,7.659999999999999,7.98833333333333,
133,2020-09-29,7.45,7.46,7.33,7.39,4316370.0,7.611,7.971499999999996,
134,2020-09-30,7.39,7.43,7.32,7.35,3896015.0,7.578999999999999,7.95233333333333,
135,2020-10-09,7.41,7.51,7.4,7.49,4737074.0,7.555999999999999,7.934999999999998,
136,2020-10-12,7.51,7.71,7.5,7.69,9126771.0,7.5429999999999975,7.926666666666664,
137,2020-10-13,7.7,7.72,7.6,7.63,5457673.0,7.521999999999997,7.91333333333333,
138,2020-10-14,7.65,7.65,7.55,7.59,4970071.0,7.509999999999998,7.891666666666664,
139,2020-10-15,7.61,7.63,7.52,7.53,4983100.0,7.490999999999998,7.875999999999996,
140,2020-10-16,7.51,7.57,7.47,7.51,5190200.0,7.489999999999999,7.869666666666663,
141,2020-10-19,7.53,7.6,7.5,7.52,4436956.0,7.51,7.860166666666663,
142,2020-10-20,7.51,7.53,7.4,7.53,5176279.0,7.522999999999999,7.845166666666662,
143,2020-10-21,7.5,7.53,7.35,7.37,5927200.0,7.520999999999999,7.8299999999999965,
144,2020-10-22,7.37,7.37,7.26,7.31,5603400.0,7.517,7.815166666666664,
145,2020-10-23,7.33,7.38,7.24,7.25,4365799.0,7.493,7.802333333333331,
146,2020-10-26,7.22,7.28,7.16,7.28,3476304.0,7.452000000000001,7.79733333333333,
147,2020-10-27,7.26,7.32,7.21,7.32,3759069.0,7.421000000000001,7.790499999999996,
148,2020-10-28,7.26,7.34,7.23,7.28,5292262.0,7.390000000000001,7.783499999999996,
149,2020-10-29,7.19,7.19,7.08,7.15,7876781.0,7.352000000000001,7.771499999999995,
150,2020-10-30,7.16,7.45,7.15,7.21,12806130.0,7.322,7.761833333333328,
151,2020-11-02,7.22,7.24,7.03,7.1,8442646.0,7.279999999999999,7.750666666666662,
152,2020-11-03,7.2,7.42,7.2,7.35,11764073.0,7.261999999999999,7.739499999999996,
153,2020-11-04,7.37,7.38,7.27,7.34,6423410.0,7.258999999999999,7.7291666666666625,
154,2020-11-05,7.37,7.42,7.33,7.39,7979998.0,7.266999999999999,7.720166666666662,
155,2020-11-06,7.4,7.41,7.31,7.33,5460246.0,7.274999999999999,7.711333333333329,
156,2020-11-09,7.37,7.49,7.34,7.46,9295505.0,7.2929999999999975,7.707833333333328,
157,2020-11-10,7.48,7.51,7.32,7.36,9492803.0,7.296999999999997,7.700833333333329,
158,2020-11-11,7.33,7.39,7.23,7.25,6512100.0,7.293999999999997,7.694666666666662,
159,2020-11-12,7.25,7.3,7.22,7.26,3908262.0,7.304999999999997,7.688499999999995,
160,2020-11-13,7.25,7.28,7.19,7.25,3749110.0,7.3089999999999975,7.675999999999996,
161,2020-11-16,7.3,7.35,7.24,7.34,4728107.0,7.332999999999998,7.665499999999994,
162,2020-11-17,7.34,7.43,7.32,7.38,6995319.0,7.3359999999999985,7.652166666666661,
163,2020-11-18,7.38,7.4,7.34,7.38,5112497.0,7.339999999999998,7.638833333333327,
164,2020-11-19,7.38,7.5,7.33,7.47,6538291.0,7.347999999999997,7.629499999999995,
165,2020-11-20,7.44,7.44,7.33,7.38,7980278.0,7.352999999999997,7.618666666666662,
166,2020-11-23,7.38,7.47,7.34,7.4,6150047.0,7.346999999999999,7.609333333333328,
167,2020-11-24,7.4,7.45,7.38,7.41,5096468.0,7.3519999999999985,7.6009999999999955,
168,2020-11-25,7.41,7.43,7.34,7.35,6088586.0,7.361999999999997,7.588833333333329,
169,2020-11-26,7.35,7.35,7.19,7.24,6649963.0,7.359999999999997,7.573999999999996,
170,2020-11-27,7.25,7.25,7.12,7.2,5400243.0,7.354999999999997,7.5576666666666625,
171,2020-11-30,7.18,7.27,7.18,7.18,4315600.0,7.338999999999996,7.541333333333329,
172,2020-12-01,7.2,7.29,7.13,7.29,5184839.0,7.3299999999999965,7.526166666666663,
173,2020-12-02,7.29,7.31,7.22,7.3,4795036.0,7.321999999999997,7.511833333333329,
174,2020-12-03,7.32,7.32,7.23,7.24,3941889.0,7.298999999999997,7.4983333333333295,
175,2020-12-04,7.24,7.28,7.21,7.25,2853824.0,7.285999999999997,7.486333333333329,
176,2020-12-07,7.24,7.25,7.14,7.15,4863051.0,7.2609999999999975,7.472166666666662,
177,2020-12-08,7.15,7.17,7.1,7.11,3575367.0,7.230999999999997,7.455999999999995,
178,2020-12-09,7.1,7.14,6.97,6.97,6819427.0,7.192999999999998,7.4359999999999955,
179,2020-12-10,6.95,7.03,6.94,6.97,4074421.0,7.165999999999999,7.415499999999996,
180,2020-12-11,7.01,7.01,6.74,6.82,7371765.0,7.127999999999998,7.396666666666663,
181,2020-12-14,6.8,6.82,6.74,6.77,4981870.0,7.086999999999998,7.376999999999996,
182,2020-12-15,6.77,6.77,6.65,6.67,6400042.0,7.024999999999997,7.355999999999996,
183,2020-12-16,6.66,6.66,6.43,6.44,7956300.0,6.938999999999997,7.331999999999996,
184,2020-12-17,6.39,6.61,6.22,6.53,13176550.0,6.867999999999998,7.312999999999996,
185,2020-12-18,6.47,6.61,6.46,6.48,5412800.0,6.790999999999999,7.292333333333329,
186,2020-12-21,6.49,6.54,6.41,6.5,4269898.0,6.725999999999997,7.270333333333329,
187,2020-12-22,6.5,6.59,6.38,6.4,6798380.0,6.6549999999999985,7.246333333333329,
188,2020-12-23,6.4,6.48,6.36,6.42,4300400.0,6.599999999999999,7.22483333333333,
189,2020-12-24,6.46,6.46,6.21,6.22,6915804.0,6.524999999999999,7.19983333333333,
190,2020-12-25,6.23,6.32,6.21,6.28,4388909.0,6.470999999999998,7.179166666666663,
191,2020-12-28,6.28,6.3,6.16,6.17,5167903.0,6.410999999999999,7.159999999999997,
192,2020-12-29,6.18,6.31,6.17,6.26,4590358.0,6.369999999999999,7.1409999999999965,
193,2020-12-30,6.29,6.45,6.23,6.4,8114438.0,6.366,7.124499999999997,
194,2020-12-31,6.42,6.54,6.41,6.44,6831275.0,6.356999999999999,7.109333333333329,
195,2021-01-04,6.44,6.49,6.41,6.47,4951531.0,6.355999999999999,7.09233333333333,
196,2021-01-05,6.47,6.5,6.38,6.4,5179748.0,6.345999999999999,7.070833333333329,
197,2021-01-06,6.39,6.4,6.26,6.29,5484036.0,6.335,7.048499999999996,
198,2021-01-07,6.29,6.3,6.08,6.1,7421986.0,6.303,7.0236666666666645,
199,2021-01-08,6.1,6.2,5.88,6.15,7433017.0,6.296000000000001,7.000666666666664,
