,date,open,high,low,close,volume,120,180,240
0,2018-11-13,11.39,11.78,11.32,11.68,2230206.0,,,
1,2018-11-14,11.6,11.87,11.6,11.72,1696085.0,,,
2,2018-11-15,11.74,12.5,11.62,12.32,4866186.0,,,
3,2018-11-16,12.4,12.55,12.15,12.34,3187560.0,,,
4,2018-11-19,12.34,12.77,12.19,12.42,3504220.0,,,
5,2018-11-20,12.3,12.53,12.06,12.12,2004193.0,,,
6,2018-11-21,12.03,12.7,12.02,12.19,3037014.0,,,
7,2018-11-22,12.34,12.38,12.1,12.11,1441100.0,,,
8,2018-11-23,12.2,12.23,11.52,11.68,1942699.0,,,
9,2018-11-26,11.74,11.86,11.52,11.56,1434256.0,,,
10,2018-11-27,11.61,12.21,11.58,11.93,3035100.0,,,
11,2018-11-28,11.93,12.95,11.86,12.63,5758552.0,,,
12,2018-11-29,12.68,12.68,11.95,11.96,4694066.0,,,
13,2018-11-30,11.86,12.17,11.59,12.17,2512798.0,,,
14,2018-12-03,12.55,12.7,12.25,12.47,4395202.0,,,
15,2018-12-04,12.39,12.49,12.23,12.41,2440469.0,,,
16,2018-12-05,12.1,12.65,12.01,12.59,3488869.0,,,
17,2018-12-06,12.51,12.51,11.91,11.92,3457983.0,,,
18,2018-12-07,12.08,12.25,11.97,12.15,1763114.0,,,
19,2018-12-10,12.01,12.34,11.9,12.07,1684533.0,,,
20,2018-12-11,12.15,12.34,12.05,12.3,2267588.0,,,
21,2018-12-12,12.25,12.33,11.8,11.9,4036888.0,,,
22,2018-12-13,11.88,12.08,11.86,12.05,3247178.0,,,
23,2018-12-14,12.0,12.0,11.5,11.52,3061300.0,,,
24,2018-12-17,11.3,11.5,11.18,11.28,1888600.0,,,
25,2018-12-18,11.23,11.3,10.96,11.12,2101400.0,,,
26,2018-12-19,11.13,11.23,10.86,10.98,1754536.0,,,
27,2018-12-20,10.89,11.13,10.89,11.06,1139211.0,,,
28,2018-12-21,10.97,11.14,10.94,11.06,1349100.0,,,
29,2018-12-24,11.0,11.37,10.91,11.28,2053510.0,,,
30,2018-12-25,11.14,11.54,10.85,11.47,3179100.0,,,
31,2018-12-26,11.43,11.75,11.32,11.44,4299585.0,,,
32,2018-12-27,11.55,11.67,11.33,11.34,3152710.0,,,
33,2018-12-28,11.31,11.38,10.92,11.1,2441008.0,,,
34,2019-01-02,11.0,11.3,11.0,11.29,3229989.0,,,
35,2019-01-03,11.31,11.55,11.0,11.06,3372410.0,,,
36,2019-01-04,10.8,11.22,9.95,11.16,3305281.0,,,
37,2019-01-07,11.2,11.45,11.06,11.4,4393474.0,,,
38,2019-01-08,11.41,11.44,11.06,11.19,3036470.0,,,
39,2019-01-09,11.17,11.9,11.15,11.57,6217758.0,,,
40,2019-01-10,11.49,11.71,11.39,11.67,4469145.0,,,
41,2019-01-11,11.63,12.09,11.6,11.83,5573130.0,,,
42,2019-01-14,11.71,11.75,11.44,11.65,3434347.0,,,
43,2019-01-15,11.52,12.05,11.52,11.99,4891064.0,,,
44,2019-01-16,11.96,12.18,11.74,11.74,4247084.0,,,
45,2019-01-17,11.68,11.93,11.6,11.65,3267436.0,,,
46,2019-01-18,11.62,11.76,11.12,11.42,3793687.0,,,
47,2019-01-21,11.5,11.9,11.39,11.81,3438346.0,,,
48,2019-01-22,11.83,11.89,11.62,11.78,2903100.0,,,
49,2019-01-23,11.75,11.75,11.42,11.55,2520850.0,,,
50,2019-01-24,11.5,11.82,11.49,11.79,3137379.0,,,
51,2019-01-25,11.78,11.78,11.21,11.21,3678765.0,,,
52,2019-01-28,11.36,11.44,11.14,11.17,2058344.0,,,
53,2019-01-29,11.17,11.17,10.63,10.92,2001061.0,,,
54,2019-01-30,9.83,9.83,9.83,9.83,964500.0,,,
55,2019-01-31,10.81,10.81,10.42,10.81,15200855.0,,,
56,2019-02-01,11.2,11.89,10.73,11.89,17235849.0,,,
57,2019-02-11,12.4,13.08,12.03,13.08,15511551.0,,,
58,2019-02-12,14.0,14.39,13.79,14.39,15741788.0,,,
59,2019-02-13,14.53,14.99,13.41,14.22,34264847.0,,,
60,2019-02-14,13.86,15.64,13.8,15.64,28076677.0,,,
61,2019-02-15,14.7,17.2,14.6,16.1,36337908.0,,,
62,2019-02-18,15.5,16.85,15.32,16.12,30428851.0,,,
63,2019-02-19,15.68,15.95,15.0,15.38,24338422.0,,,
64,2019-02-20,15.15,15.5,14.7,15.24,17200403.0,,,
65,2019-02-21,14.97,16.68,14.92,15.59,27928310.0,,,
66,2019-02-22,15.0,16.28,14.75,15.78,22119156.0,,,
67,2019-02-25,15.93,16.94,15.61,16.53,24940552.0,,,
68,2019-02-26,16.49,16.5,15.7,15.79,21670529.0,,,
69,2019-02-27,15.16,15.48,14.7,14.95,15818207.0,,,
70,2019-02-28,14.95,15.3,14.77,15.06,9020595.0,,,
71,2019-03-01,14.62,15.02,14.31,15.0,11350392.0,,,
72,2019-03-04,15.64,16.3,15.15,15.38,18513592.0,,,
73,2019-03-05,15.64,16.92,15.39,16.92,24918307.0,,,
74,2019-03-06,18.0,18.3,16.72,17.35,30071056.0,,,
75,2019-03-07,16.91,17.4,16.56,17.02,20184396.0,,,
76,2019-03-08,15.93,16.75,15.62,15.71,15684061.0,,,
77,2019-03-11,15.87,16.5,15.77,16.37,10587271.0,,,
78,2019-03-12,16.37,17.64,16.21,17.22,19981669.0,,,
79,2019-03-13,17.28,17.9,16.7,17.01,21163818.0,,,
80,2019-03-14,16.78,16.8,15.31,15.51,12272893.0,,,
81,2019-03-15,15.63,15.88,15.38,15.48,6231027.0,,,
82,2019-03-18,15.55,16.26,15.55,16.18,7427304.0,,,
83,2019-03-19,16.1,16.48,15.83,15.99,7166048.0,,,
84,2019-03-20,15.73,16.66,15.51,16.66,9751422.0,,,
85,2019-03-21,16.67,17.38,16.41,16.68,12417314.0,,,
86,2019-03-22,16.6,18.35,16.55,18.35,17765255.0,,,
87,2019-03-25,18.86,20.19,18.3,18.33,33595496.0,,,
88,2019-03-26,17.74,17.84,16.6,16.88,20320658.0,,,
89,2019-03-27,16.97,16.99,16.0,16.61,11961862.0,,,
90,2019-03-28,16.3,17.31,16.26,16.36,11316805.0,,,
91,2019-03-29,16.36,16.8,15.33,16.74,13467049.0,,,
92,2019-04-01,16.84,17.6,16.82,17.27,12380612.0,,,
93,2019-04-02,17.31,18.15,17.0,17.55,14447311.0,,,
94,2019-04-03,17.36,17.53,17.05,17.36,8849592.0,,,
95,2019-04-04,17.51,19.1,17.18,19.1,17599951.0,,,
96,2019-04-08,19.46,19.46,17.8,18.12,17336331.0,,,
97,2019-04-09,18.17,19.93,17.8,19.93,29574792.0,,,
98,2019-04-10,20.0,21.92,19.4,20.46,35896290.0,,,
99,2019-04-11,19.61,19.87,18.6,19.07,21730242.0,,,
