,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.61,6.88,6.58,6.83,7351653.0,,,
1,2018-11-14,6.81,6.92,6.79,6.85,5482454.0,,,
2,2018-11-15,6.82,6.96,6.81,6.96,6728901.0,,,
3,2018-11-16,6.97,7.07,6.93,6.97,6604643.0,,,
4,2018-11-19,6.97,7.02,6.88,6.97,5087528.0,,,
5,2018-11-20,6.93,6.94,6.83,6.83,4587749.0,,,
6,2018-11-21,6.76,6.87,6.76,6.87,3959778.0,,,
7,2018-11-22,6.9,6.94,6.84,6.89,3832174.0,,,
8,2018-11-23,6.89,6.89,6.59,6.59,5773067.0,,,
9,2018-11-26,6.52,6.62,6.52,6.55,2713167.0,,,
10,2018-11-27,6.58,6.61,6.53,6.56,2156100.0,,,
11,2018-11-28,6.58,6.61,6.47,6.6,3329734.0,,,
12,2018-11-29,6.62,6.64,6.45,6.45,3448699.0,,,
13,2018-11-30,6.45,6.51,6.39,6.5,2101840.0,,,
14,2018-12-03,6.62,6.68,6.55,6.64,4832198.0,,,
15,2018-12-04,6.63,6.65,6.59,6.63,3373903.0,,,
16,2018-12-05,6.51,6.6,6.48,6.56,2449700.0,,,
17,2018-12-06,6.56,6.61,6.5,6.51,2766526.0,,,
18,2018-12-07,6.49,6.55,6.48,6.52,1898981.0,,,
19,2018-12-10,6.48,6.51,6.43,6.45,1622065.0,,,
20,2018-12-11,6.46,6.49,6.44,6.47,1418065.0,,,
21,2018-12-12,6.49,6.51,6.44,6.46,1366551.0,,,
22,2018-12-13,6.48,6.56,6.43,6.52,2931551.0,,,
23,2018-12-14,6.51,6.51,6.38,6.4,2351783.0,,,
24,2018-12-17,6.38,6.42,6.31,6.38,1622376.0,,,
25,2018-12-18,6.39,6.42,6.3,6.37,1986455.0,,,
26,2018-12-19,6.36,6.38,6.3,6.31,1572000.0,,,
27,2018-12-20,6.31,6.35,6.28,6.35,1455500.0,,,
28,2018-12-21,6.33,6.33,6.26,6.3,1774300.0,,,
29,2018-12-24,6.28,6.34,6.26,6.34,1600395.0,,,
30,2018-12-25,6.27,6.27,6.13,6.21,2744638.0,,,
31,2018-12-26,6.2,6.25,6.17,6.18,1205300.0,,,
32,2018-12-27,6.26,6.28,6.12,6.12,1796565.0,,,
33,2018-12-28,6.13,6.18,6.11,6.13,1237495.0,,,
34,2019-01-02,6.15,6.15,6.09,6.11,1311000.0,,,
35,2019-01-03,6.12,6.16,6.1,6.14,1662300.0,,,
36,2019-01-04,6.1,6.29,6.07,6.27,2975700.0,,,
37,2019-01-07,6.29,6.33,6.25,6.31,2782892.0,,,
38,2019-01-08,6.29,6.31,6.25,6.26,1802700.0,,,
39,2019-01-09,6.26,6.36,6.26,6.27,3193100.0,,,
40,2019-01-10,6.27,6.32,6.26,6.27,1877000.0,,,
41,2019-01-11,6.26,6.33,6.26,6.33,2179953.0,,,
42,2019-01-14,6.33,6.47,6.31,6.36,2931978.0,,,
43,2019-01-15,6.32,6.39,6.3,6.38,2242543.0,,,
44,2019-01-16,6.39,6.61,6.35,6.46,5919974.0,,,
45,2019-01-17,6.44,6.44,6.32,6.33,3192800.0,,,
46,2019-01-18,6.33,6.38,6.3,6.36,1991528.0,,,
47,2019-01-21,6.35,6.42,6.35,6.38,2116100.0,,,
48,2019-01-22,6.38,6.39,6.25,6.26,2431650.0,,,
49,2019-01-23,6.26,6.27,6.23,6.25,1847600.0,,,
50,2019-01-24,6.21,6.24,6.1,6.16,4760132.0,,,
51,2019-01-25,6.15,6.19,6.09,6.1,2813265.0,,,
52,2019-01-28,6.15,6.17,6.09,6.12,2815700.0,,,
53,2019-01-29,6.12,6.51,5.98,6.27,9235125.0,,,
54,2019-01-30,6.2,6.23,5.99,6.02,5860728.0,,,
55,2019-01-31,6.02,6.04,5.62,5.69,9221790.0,,,
56,2019-02-01,5.7,5.79,5.69,5.78,3074253.0,,,
57,2019-02-11,5.79,5.89,5.79,5.88,3025013.0,,,
58,2019-02-12,5.89,5.96,5.85,5.94,3256605.0,,,
59,2019-02-13,5.95,6.03,5.91,6.01,4011776.0,,,
60,2019-02-14,6.02,6.03,5.98,6.0,2808455.0,,,
61,2019-02-15,6.0,6.04,5.98,5.99,3299855.0,,,
62,2019-02-18,6.01,6.13,6.01,6.13,4395786.0,,,
63,2019-02-19,6.13,6.18,6.08,6.14,5200103.0,,,
64,2019-02-20,6.14,6.27,6.08,6.25,6735909.0,,,
65,2019-02-21,6.24,6.25,6.1,6.15,6572600.0,,,
66,2019-02-22,6.15,6.22,6.11,6.22,3912084.0,,,
67,2019-02-25,6.25,6.49,6.25,6.47,11003589.0,,,
68,2019-02-26,6.5,6.6,6.44,6.47,11579748.0,,,
69,2019-02-27,6.45,6.55,6.38,6.43,10196321.0,,,
70,2019-02-28,6.44,6.5,6.39,6.44,9389800.0,,,
71,2019-03-01,6.45,6.47,6.32,6.4,11434488.0,,,
72,2019-03-04,6.44,6.57,6.42,6.46,16130291.0,,,
73,2019-03-05,6.46,6.65,6.44,6.64,15119095.0,,,
74,2019-03-06,6.68,6.84,6.58,6.82,19953976.0,,,
75,2019-03-07,6.81,7.08,6.75,6.99,23187498.0,,,
76,2019-03-08,6.95,6.95,6.61,6.62,17869105.0,,,
77,2019-03-11,6.63,6.84,6.63,6.83,10407673.0,,,
78,2019-03-12,6.89,7.05,6.84,7.05,17147032.0,,,
79,2019-03-13,7.05,7.05,6.86,6.88,10924638.0,,,
80,2019-03-14,6.81,6.91,6.62,6.68,7954105.0,,,
81,2019-03-15,6.69,6.83,6.67,6.74,6403783.0,,,
82,2019-03-18,6.75,6.89,6.72,6.87,7198100.0,,,
83,2019-03-19,6.85,7.56,6.82,7.3,25159009.0,,,
84,2019-03-20,7.23,7.42,7.11,7.41,18756711.0,,,
85,2019-03-21,7.38,7.69,7.35,7.63,25785272.0,,,
86,2019-03-22,7.6,7.67,7.47,7.62,15241607.0,,,
87,2019-03-25,7.53,7.54,7.32,7.36,11472700.0,,,
88,2019-03-26,7.36,7.43,7.03,7.05,9416661.0,,,
89,2019-03-27,7.13,7.17,6.95,7.08,5592113.0,,,
90,2019-03-28,7.07,7.14,6.95,6.96,6402561.0,,,
91,2019-03-29,6.96,7.5,6.87,7.38,18016790.0,,,
92,2019-04-01,7.44,7.59,7.38,7.49,26362192.0,,,
93,2019-04-02,7.5,7.55,7.42,7.49,14281678.0,,,
94,2019-04-03,7.49,7.73,7.44,7.68,22041540.0,,,
