,date,open,high,low,close,volume,120,180,240
0,2018-11-13,7.47,7.84,7.42,7.72,25922680.0,,,
1,2018-11-14,7.69,7.78,7.6,7.63,14275970.0,,,
2,2018-11-15,7.74,7.87,7.67,7.79,20153934.0,,,
3,2018-11-16,7.8,7.9,7.73,7.82,19147541.0,,,
4,2018-11-19,7.85,8.01,7.73,8.0,23524090.0,,,
5,2018-11-20,7.94,8.74,7.89,8.24,54079098.0,,,
6,2018-11-21,8.0,8.2,7.95,8.14,24817199.0,,,
7,2018-11-22,8.14,8.17,8.01,8.04,15093802.0,,,
8,2018-11-23,8.05,8.08,7.5,7.54,22266139.0,,,
9,2018-11-26,7.6,7.73,7.56,7.6,9909828.0,,,
10,2018-11-27,7.7,7.92,7.67,7.8,18371305.0,,,
11,2018-11-28,7.75,7.99,7.72,7.94,14972574.0,,,
12,2018-11-29,7.96,8.02,7.61,7.62,13912958.0,,,
13,2018-11-30,7.55,7.69,7.43,7.66,9531533.0,,,
14,2018-12-03,7.82,7.91,7.77,7.86,14066306.0,,,
15,2018-12-04,7.85,7.95,7.81,7.91,10167519.0,,,
16,2018-12-05,7.77,7.87,7.67,7.79,10241252.0,,,
17,2018-12-06,7.76,7.9,7.71,7.77,12138978.0,,,
18,2018-12-07,7.77,7.81,7.56,7.69,9414951.0,,,
19,2018-12-10,7.67,7.68,7.47,7.55,8426891.0,,,
20,2018-12-11,7.57,7.62,7.5,7.59,5225534.0,,,
21,2018-12-12,7.6,7.62,7.55,7.56,4898777.0,,,
22,2018-12-13,7.58,7.68,7.5,7.62,8404372.0,,,
23,2018-12-14,7.58,7.68,7.34,7.35,11754425.0,,,
24,2018-12-17,7.32,7.43,7.29,7.4,6319354.0,,,
25,2018-12-18,7.34,7.57,7.3,7.5,10635663.0,,,
26,2018-12-19,7.45,7.49,7.31,7.32,5525521.0,,,
27,2018-12-20,7.32,7.37,7.28,7.34,4582936.0,,,
28,2018-12-21,7.36,7.4,7.3,7.33,4859085.0,,,
29,2018-12-24,7.32,7.47,7.31,7.42,6040528.0,,,
30,2018-12-25,7.35,7.4,7.13,7.39,9744302.0,,,
31,2018-12-26,7.38,7.43,7.29,7.32,4452662.0,,,
