,date,open,high,low,close,volume,10,60,250
0,2020-03-19,16.02,16.16,15.31,15.84,3822870.0,,,
1,2020-03-20,16.05,16.56,15.88,16.52,3775575.0,,,
2,2020-03-23,16.09,16.5,15.9,16.29,3109364.0,,,
3,2020-03-24,16.73,17.23,16.3,17.19,6670172.0,,,
4,2020-03-25,17.45,18.3,17.3,17.7,8180972.0,,,
5,2020-03-26,17.58,18.15,17.57,17.98,5070643.0,,,
6,2020-03-27,18.06,18.39,17.78,17.84,3945094.0,,,
7,2020-03-30,17.84,18.01,17.34,17.46,4902630.0,,,
8,2020-03-31,17.64,18.69,17.44,18.47,7456242.0,,,
9,2020-04-01,18.46,18.59,18.0,18.17,5622437.0,17.346000000000004,,
10,2020-04-02,18.3,18.3,17.73,18.03,2762510.0,17.565000000000005,,
11,2020-04-03,17.99,19.54,17.84,19.22,8368803.0,17.835,,
12,2020-04-07,19.58,19.8,19.09,19.51,9488250.0,18.157000000000004,,
13,2020-04-08,19.15,19.47,18.94,19.07,4815633.0,18.345000000000002,,
14,2020-04-09,19.22,19.69,19.03,19.56,6021656.0,18.531000000000002,,
15,2020-04-10,19.55,19.83,18.85,18.99,6876452.0,18.632000000000005,,
16,2020-04-13,18.9,18.97,18.51,18.87,3264601.0,18.735000000000007,,
17,2020-04-14,18.77,19.29,18.67,19.08,3639073.0,18.897000000000006,,
18,2020-04-15,19.08,19.22,18.68,18.78,3283784.0,18.928000000000004,,
19,2020-04-16,18.77,19.33,18.59,19.33,5230091.0,19.044000000000004,,
20,2020-04-17,19.4,20.6,19.4,20.29,10775165.0,19.270000000000003,,
21,2020-04-20,19.93,20.25,19.49,20.08,11534923.0,19.356,,
22,2020-04-21,20.14,21.07,19.88,20.97,8072921.0,19.502000000000002,,
23,2020-04-22,20.84,21.41,20.65,21.19,6719961.0,19.714000000000006,,
24,2020-04-23,21.07,21.61,21.0,21.42,5145045.0,19.900000000000006,,
25,2020-04-24,21.09,21.89,21.07,21.22,7192554.0,20.123000000000005,,
26,2020-04-27,21.98,23.34,21.27,22.36,16295007.0,20.472,,
27,2020-04-28,22.65,23.34,22.35,23.29,11256903.0,20.893,,
28,2020-04-29,23.01,23.12,21.83,22.01,10859740.0,21.216,,
29,2020-04-30,22.03,22.31,21.66,21.84,6184403.0,21.467000000000002,,
30,2020-05-06,21.69,23.32,21.66,23.18,9616038.0,21.756000000000004,,
31,2020-05-07,23.29,24.56,22.92,24.06,8129288.0,22.154000000000003,,
32,2020-05-08,23.96,24.34,23.52,23.86,6498708.0,22.443000000000005,,
33,2020-05-11,23.97,23.98,23.19,23.49,6145114.0,22.673000000000005,,
34,2020-05-12,23.64,24.69,23.57,24.66,8364617.0,22.997000000000003,,
35,2020-05-13,24.21,25.12,24.06,24.66,7909564.0,23.341,,
36,2020-05-14,24.64,24.83,24.25,24.56,5751618.0,23.561,,
37,2020-05-15,24.56,26.27,24.46,26.12,9714698.0,23.844,,
38,2020-05-18,25.98,27.01,25.74,26.65,8883582.0,24.308000000000003,,
39,2020-05-19,26.61,26.85,26.15,26.7,6330866.0,24.794000000000004,,
40,2020-05-20,26.41,26.91,26.1,26.7,7468932.0,25.146000000000004,,
41,2020-05-21,26.52,26.66,25.86,26.27,6480059.0,25.367,,
42,2020-05-22,25.9,26.26,25.28,25.46,7853732.0,25.526999999999997,,
43,2020-05-25,25.71,26.95,25.13,26.48,9849682.0,25.826,,
44,2020-05-26,26.49,27.4,26.34,27.28,8227835.0,26.087999999999994,,
45,2020-05-27,27.12,27.71,26.61,27.08,7031120.0,26.32999999999999,,
46,2020-05-28,26.98,26.98,26.1,26.71,6857373.0,26.544999999999987,,
47,2020-05-29,26.63,27.55,26.48,27.35,6152962.0,26.66799999999999,,
48,2020-06-01,27.4,27.68,26.85,27.11,8605706.0,26.71399999999999,,
49,2020-06-02,26.99,27.1,25.62,25.84,12306967.0,26.627999999999993,,
50,2020-06-03,25.84,26.29,25.32,25.97,6069967.0,26.55499999999999,,
51,2020-06-04,26.1,26.44,25.71,26.25,4818103.0,26.55299999999999,,
52,2020-06-05,26.31,26.31,25.78,26.12,3736552.0,26.618999999999993,,
53,2020-06-08,26.27,26.51,25.33,25.56,7015625.0,26.526999999999994,,
54,2020-06-09,25.84,26.27,25.56,26.2,6035201.0,26.418999999999993,,
55,2020-06-10,26.23,27.98,26.04,27.74,10762930.0,26.484999999999996,,
56,2020-06-11,27.94,28.66,27.18,27.48,10791655.0,26.562,,
57,2020-06-12,26.77,27.78,26.77,27.58,7965474.0,26.584999999999997,,
58,2020-06-15,27.58,28.25,26.65,26.67,9592005.0,26.540999999999997,,
59,2020-06-16,26.87,28.81,26.7,28.59,14641045.0,26.815999999999995,22.682499999999994,
60,2020-06-17,28.59,28.8,28.05,28.6,8470623.0,27.078999999999997,22.89516666666666,
61,2020-06-18,28.58,28.58,27.28,27.7,10051427.0,27.223999999999997,23.081499999999995,
62,2020-06-19,27.96,28.33,27.5,27.89,9017072.0,27.400999999999993,23.27483333333333,
63,2020-06-22,28.18,28.48,27.76,28.12,7084943.0,27.656999999999993,23.456999999999994,
64,2020-06-23,28.2,28.85,27.85,28.46,8990409.0,27.882999999999992,23.636333333333326,
65,2020-06-24,28.51,28.86,27.91,28.18,7385605.0,27.926999999999992,23.806333333333328,
66,2020-06-29,28.19,30.65,27.99,30.63,15551237.0,28.24199999999999,24.019499999999997,
67,2020-06-30,30.6,32.3,30.28,31.58,13307091.0,28.64199999999999,24.25483333333333,
