,date,open,high,low,close,volume,10,60,250
0,2020-03-18,23.76,24.42,23.2,23.33,7344567.0,,,
1,2020-03-19,23.31,24.07,23.05,23.96,6517129.0,,,
2,2020-03-20,24.12,24.53,23.64,24.43,6145345.0,,,
3,2020-03-23,23.54,24.02,23.16,23.4,5640824.0,,,
4,2020-03-24,23.83,24.24,23.16,23.96,6217099.0,,,
5,2020-03-25,24.39,24.43,23.87,24.02,6458583.0,,,
6,2020-03-26,23.82,23.93,23.32,23.36,4694667.0,,,
7,2020-03-27,23.59,23.74,23.03,23.04,4427228.0,,,
8,2020-03-30,22.72,22.72,21.76,21.83,5580281.0,,,
9,2020-03-31,22.16,22.23,21.53,21.6,4019437.0,23.293000000000003,,
10,2020-04-01,21.47,21.91,21.32,21.42,3486585.0,23.102000000000004,,
11,2020-04-02,21.3,22.1,21.21,22.07,3397788.0,22.913000000000004,,
12,2020-04-03,21.98,22.14,21.5,21.65,3244661.0,22.635,,
13,2020-04-07,22.07,22.6,22.07,22.52,4476246.0,22.547000000000004,,
14,2020-04-08,22.29,22.73,22.27,22.66,3232930.0,22.417,,
15,2020-04-09,22.85,23.2,22.7,22.92,3076260.0,22.307000000000002,,
16,2020-04-10,23.05,23.15,22.28,22.44,3276028.0,22.215000000000003,,
17,2020-04-13,22.44,22.44,21.81,21.91,2696313.0,22.102000000000004,,
18,2020-04-14,22.11,22.38,22.04,22.34,2475497.0,22.153000000000002,,
19,2020-04-15,22.44,22.64,22.19,22.22,2383370.0,22.215000000000003,,
20,2020-04-16,21.92,22.44,21.81,22.35,2920514.0,22.308000000000003,,
21,2020-04-17,22.48,22.84,22.31,22.37,3819879.0,22.338000000000005,,
22,2020-04-20,22.42,22.9,22.18,22.9,3523743.0,22.463000000000005,,
23,2020-04-21,22.64,23.35,22.52,23.15,5946748.0,22.526000000000003,,
24,2020-04-22,22.88,22.95,22.64,22.9,3779239.0,22.550000000000004,,
25,2020-04-23,22.91,22.93,22.51,22.51,2876094.0,22.509000000000004,,
26,2020-04-24,22.55,22.66,21.74,21.79,3936456.0,22.444000000000003,,
27,2020-04-27,21.84,21.91,21.32,21.37,3242227.0,22.390000000000004,,
28,2020-04-28,21.37,21.48,20.27,20.8,4631016.0,22.236000000000004,,
29,2020-04-29,20.77,21.09,20.65,20.86,2294143.0,22.1,,
30,2020-04-30,21.02,21.8,21.02,21.66,3631387.0,22.031000000000002,,
31,2020-05-06,21.44,22.63,21.33,22.61,5202646.0,22.055,,
32,2020-05-07,22.67,22.93,22.44,22.57,3759508.0,22.022,,
33,2020-05-08,22.82,23.39,22.82,22.98,4204424.0,22.005,,
34,2020-05-11,23.17,23.36,22.76,22.95,3482886.0,22.009999999999998,,
35,2020-05-12,22.9,23.13,22.45,22.9,2842503.0,22.049,,
36,2020-05-13,22.76,23.05,22.75,23.0,3085591.0,22.169999999999998,,
37,2020-05-14,22.83,23.49,22.83,23.24,5784629.0,22.357,,
38,2020-05-15,22.85,23.42,22.75,23.07,5105473.0,22.583999999999996,,
39,2020-05-18,23.09,23.54,22.42,23.21,6438931.0,22.819,,
40,2020-05-19,23.18,23.51,23.18,23.36,4241665.0,22.989,,
41,2020-05-20,23.54,24.56,23.26,23.45,9994548.0,23.073,,
42,2020-05-21,23.4,23.97,22.41,22.47,9091919.0,23.063000000000002,,
43,2020-05-22,22.48,22.65,21.98,22.31,4824243.0,22.996000000000002,,
44,2020-05-25,22.05,22.35,21.66,22.16,3160698.0,22.917000000000005,,
45,2020-05-26,22.24,22.77,22.23,22.7,2770311.0,22.897000000000002,,
46,2020-05-27,22.77,22.97,22.44,22.71,3087049.0,22.868000000000002,,
47,2020-05-28,22.71,22.78,21.98,22.75,2981497.0,22.819000000000003,,
48,2020-05-29,22.62,22.94,22.45,22.67,2651248.0,22.779000000000003,,
49,2020-06-01,22.84,23.42,22.76,23.4,4667655.0,22.798000000000002,,
50,2020-06-02,23.54,23.84,23.28,23.74,4988892.0,22.836000000000002,,
51,2020-06-03,23.74,23.85,23.37,23.39,3157683.0,22.830000000000002,,
52,2020-06-04,23.41,23.5,23.09,23.15,2261967.0,22.898000000000003,,
53,2020-06-05,23.3,23.52,23.15,23.43,2307387.0,23.01,,
54,2020-06-08,23.64,24.28,23.44,23.57,5942481.0,23.151000000000003,,
55,2020-06-09,23.46,23.99,23.36,23.94,3014238.0,23.275000000000002,,
56,2020-06-10,23.94,23.94,23.46,23.72,3363714.0,23.376,,
57,2020-06-11,23.64,24.13,23.44,23.7,4009782.0,23.471000000000004,,
58,2020-06-12,23.15,23.54,23.07,23.25,4711120.0,23.529000000000003,,
59,2020-06-15,23.14,23.4,22.65,22.72,4704930.0,23.461,22.78100000000001,
60,2020-06-16,22.91,23.09,22.81,23.04,3551492.0,23.391,22.776166666666676,
61,2020-06-17,23.04,23.1,22.44,22.65,4763813.0,23.316999999999997,22.754333333333346,
62,2020-06-18,22.61,22.89,22.5,22.71,3408896.0,23.272999999999996,22.725666666666676,
63,2020-06-19,22.75,22.93,22.69,22.9,3625681.0,23.219999999999995,22.717333333333343,
64,2020-06-22,22.91,23.2,22.86,23.0,3999888.0,23.162999999999997,22.701333333333345,
65,2020-06-23,22.86,23.1,22.73,22.99,3575581.0,23.067999999999998,22.684166666666677,
66,2020-06-24,22.99,23.18,22.79,22.9,3047653.0,22.985999999999997,22.676500000000015,
67,2020-06-29,22.89,22.89,22.05,22.28,3371489.0,22.844,22.663833333333347,
68,2020-06-30,22.4,24.51,22.4,24.51,18218101.0,22.97,22.708500000000015,
69,2020-07-01,24.41,24.86,23.93,24.22,15000792.0,23.119999999999997,22.752166666666685,
70,2020-07-02,24.66,25.39,24.42,25.25,15087108.0,23.341,22.816000000000017,
71,2020-07-03,25.45,25.45,24.76,24.92,9270364.0,23.567999999999998,22.86350000000002,
72,2020-07-06,25.28,26.01,25.01,25.88,12781163.0,23.884999999999998,22.93400000000002,
73,2020-07-07,25.84,27.07,25.63,26.03,13317344.0,24.198,22.992500000000017,
74,2020-07-08,26.16,27.07,25.7,26.82,11559450.0,24.580000000000002,23.06183333333335,
75,2020-07-09,26.8,28.17,26.61,27.8,12636112.0,25.061,23.14316666666668,
76,2020-07-10,27.7,28.55,27.39,27.9,12082358.0,25.561,23.23416666666668,
77,2020-07-13,27.91,28.25,27.68,28.07,11641108.0,26.139999999999997,23.336833333333345,
78,2020-07-14,27.9,28.84,27.55,28.28,13904625.0,26.516999999999996,23.435833333333346,
79,2020-07-15,28.75,28.75,26.98,27.35,11607922.0,26.829999999999995,23.521333333333345,
80,2020-07-16,27.73,28.45,26.71,26.8,15470111.0,26.984999999999996,23.595500000000012,
81,2020-07-17,27.0,27.34,26.0,26.14,11994436.0,27.106999999999992,23.65833333333335,
82,2020-07-20,26.5,26.78,25.96,26.7,10398960.0,27.188999999999993,23.721666666666682,
83,2020-07-21,26.8,27.15,26.02,26.32,8914852.0,27.217999999999996,23.77450000000001,
84,2020-07-22,26.18,28.27,26.08,28.1,15075283.0,27.345999999999997,23.861166666666676,
85,2020-07-23,27.9,28.61,27.28,28.0,13047741.0,27.365999999999996,23.952666666666676,
86,2020-07-24,28.05,28.3,26.0,26.1,11918631.0,27.186,24.024500000000007,
87,2020-07-27,25.88,26.3,25.42,25.73,7365009.0,26.952000000000005,24.097166666666677,
88,2020-07-28,25.85,26.0,25.25,25.55,6471077.0,26.67900000000001,24.176333333333343,
89,2020-07-29,25.71,27.36,25.71,26.78,9533422.0,26.622000000000003,24.275000000000013,
90,2020-07-30,27.16,27.47,26.53,26.71,7147949.0,26.613,24.359166666666678,
91,2020-07-31,26.56,27.37,26.3,27.33,8635790.0,26.732,24.437833333333344,
92,2020-08-03,28.25,29.29,28.1,28.88,16290459.0,26.95,24.543000000000013,
93,2020-08-04,28.77,29.15,28.49,28.91,10401990.0,27.209000000000003,24.64183333333335,
94,2020-08-05,29.28,29.58,28.6,28.89,10153179.0,27.288,24.74083333333335,
95,2020-08-06,28.84,31.78,28.47,31.78,22137582.0,27.665999999999997,24.88883333333335,
96,2020-08-07,31.55,32.54,30.13,31.0,20156094.0,28.155999999999995,25.02216666666668,
97,2020-08-10,30.71,31.7,30.37,30.99,12011679.0,28.681999999999995,25.151333333333348,
98,2020-08-11,30.75,30.85,29.3,29.45,12518928.0,29.071999999999992,25.257666666666683,
99,2020-08-12,29.61,30.1,28.25,28.8,10918317.0,29.27399999999999,25.350833333333348,
100,2020-08-13,29.1,29.36,28.5,28.78,6506155.0,29.480999999999987,25.441166666666682,
101,2020-08-14,28.68,29.09,28.25,29.0,6239457.0,29.64799999999999,25.533666666666683,
102,2020-08-17,29.0,29.5,28.76,29.5,8879054.0,29.70999999999999,25.65083333333335,
103,2020-08-18,29.39,29.75,29.1,29.5,6893077.0,29.768999999999988,25.77066666666668,
104,2020-08-19,29.22,30.33,28.62,30.25,11882177.0,29.90499999999999,25.905500000000014,
105,2020-08-20,29.8,30.82,29.3,29.4,7588083.0,29.666999999999984,26.017166666666682,
106,2020-08-21,29.6,29.8,28.8,29.19,5427296.0,29.485999999999983,26.125166666666683,
107,2020-08-24,29.05,29.48,28.91,29.16,3964274.0,29.302999999999987,26.232000000000017,
108,2020-08-25,29.29,29.99,29.04,29.93,6894521.0,29.35099999999999,26.353000000000016,
109,2020-08-26,29.72,30.18,28.29,28.32,8052990.0,29.302999999999987,26.435000000000013,
110,2020-08-27,28.07,29.05,27.59,29.0,6202903.0,29.32499999999999,26.52266666666668,
111,2020-08-28,28.75,29.25,28.72,28.91,4570256.0,29.315999999999992,26.61466666666668,
112,2020-08-31,28.91,29.2,28.77,28.85,3654523.0,29.250999999999994,26.709666666666678,
113,2020-09-01,28.79,28.79,28.15,28.55,3325855.0,29.155999999999995,26.79500000000001,
114,2020-09-02,28.59,28.98,28.4,28.73,3407445.0,29.003999999999998,26.88100000000001,
115,2020-09-03,28.65,28.72,28.21,28.26,3141104.0,28.889999999999997,26.95300000000001,
116,2020-09-04,27.85,28.05,27.61,27.78,4033804.0,28.748999999999995,27.020666666666674,
117,2020-09-07,27.81,28.23,27.28,27.47,3448517.0,28.57999999999999,27.083500000000008,
118,2020-09-08,27.47,27.79,27.26,27.7,2689290.0,28.35699999999999,27.157666666666675,
119,2020-09-09,27.32,27.34,25.5,25.53,8255424.0,28.077999999999992,27.204500000000007,
120,2020-09-10,25.63,25.83,24.59,24.69,4250248.0,27.64699999999999,27.23200000000001,
121,2020-09-11,24.54,25.19,24.54,25.08,2698624.0,27.26399999999999,27.272500000000004,
122,2020-09-14,25.2,26.32,25.05,25.87,4384525.0,26.965999999999987,27.32516666666667,
123,2020-09-15,25.87,26.01,25.53,25.65,2438667.0,26.67599999999998,27.371000000000002,
124,2020-09-16,25.65,25.85,25.2,25.42,1951205.0,26.34499999999998,27.41133333333334,
