,date,open,high,low,close,volume,10,60,250
0,2020-03-18,16.03,16.23,14.75,14.93,62425877.0,,,
1,2020-03-19,14.85,15.79,14.54,15.36,58765395.0,,,
2,2020-03-20,15.41,15.5,14.85,15.11,38362628.0,,,
3,2020-03-23,14.45,14.74,13.66,13.86,36716267.0,,,
4,2020-03-24,14.15,14.22,13.25,14.01,36577624.0,,,
5,2020-03-25,14.35,14.39,14.0,14.21,33453084.0,,,
6,2020-03-26,14.01,14.14,13.75,13.79,23602086.0,,,
7,2020-03-27,14.06,15.17,14.0,14.53,58144509.0,,,
8,2020-03-30,13.95,14.92,13.87,14.72,45676477.0,,,
9,2020-03-31,14.75,14.89,14.34,14.36,35136602.0,14.488,,
10,2020-04-01,14.18,14.71,14.13,14.18,27063552.0,14.413,,
11,2020-04-02,14.13,14.63,14.07,14.63,27704842.0,14.339999999999998,,
12,2020-04-03,14.45,14.61,14.1,14.16,23760000.0,14.245,,
13,2020-04-07,14.56,14.9,14.35,14.65,39564670.0,14.324000000000002,,
14,2020-04-08,14.55,14.73,14.37,14.54,26415245.0,14.377,,
15,2020-04-09,14.7,15.04,14.64,14.69,35357244.0,14.425,,
16,2020-04-10,14.7,14.79,14.31,14.34,24385161.0,14.48,,
17,2020-04-13,14.2,14.56,14.15,14.49,16111851.0,14.476000000000003,,
18,2020-04-14,14.55,15.04,14.48,14.86,32922657.0,14.49,,
19,2020-04-15,14.74,14.94,14.55,14.56,26552545.0,14.510000000000002,,
20,2020-04-16,14.46,14.9,14.4,14.65,25892461.0,14.557000000000002,,
21,2020-04-17,14.68,14.87,14.51,14.54,29260297.0,14.548000000000002,,
22,2020-04-20,14.55,14.63,14.41,14.55,18628577.0,14.587000000000003,,
23,2020-04-21,14.46,14.47,14.06,14.16,21029481.0,14.538000000000002,,
24,2020-04-22,14.05,14.27,13.98,14.19,13234700.0,14.503000000000004,,
25,2020-04-23,14.2,14.25,13.95,13.96,15366858.0,14.430000000000003,,
26,2020-04-24,13.94,14.19,13.66,13.74,17664581.0,14.370000000000005,,
27,2020-04-27,13.79,13.93,13.55,13.56,12612941.0,14.277000000000005,,
28,2020-04-28,13.88,13.93,13.35,13.73,18659100.0,14.164000000000005,,
29,2020-04-29,13.58,13.82,13.56,13.68,9970564.0,14.076000000000004,,
30,2020-04-30,13.81,14.15,13.73,14.04,19955561.0,14.015000000000004,,
31,2020-05-06,13.79,14.21,13.73,14.19,19585569.0,13.980000000000004,,
32,2020-05-07,14.13,14.34,14.05,14.1,16842280.0,13.935000000000002,,
33,2020-05-08,14.31,14.85,14.16,14.52,35430660.0,13.971000000000004,,
34,2020-05-11,14.6,14.62,14.3,14.42,18714821.0,13.994000000000003,,
35,2020-05-12,14.45,14.5,14.17,14.35,12065853.0,14.033000000000001,,
36,2020-05-13,14.34,14.57,14.24,14.49,15494113.0,14.108,,
37,2020-05-14,14.4,14.42,14.19,14.21,13565347.0,14.173000000000002,,
38,2020-05-15,14.31,14.35,14.11,14.13,12805155.0,14.213000000000003,,
39,2020-05-18,14.08,14.2,13.95,13.96,12816232.0,14.241000000000003,,
40,2020-05-19,14.13,14.18,13.96,14.03,9661674.0,14.240000000000004,,
41,2020-05-20,14.01,14.15,13.89,13.96,11775888.0,14.217000000000004,,
42,2020-05-21,14.0,14.03,13.75,13.75,10596225.0,14.182000000000006,,
43,2020-05-22,13.73,13.89,13.47,13.49,11924085.0,14.079000000000004,,
44,2020-05-25,13.42,13.59,13.33,13.51,7590854.0,13.988000000000005,,
45,2020-05-26,13.57,13.69,13.53,13.69,9042541.0,13.922000000000006,,
46,2020-05-27,13.68,13.76,13.39,13.43,8503600.0,13.816000000000006,,
47,2020-05-28,13.49,13.92,13.45,13.68,14438593.0,13.763000000000005,,
48,2020-05-29,13.53,13.65,13.47,13.55,6883583.0,13.705000000000007,,
49,2020-06-01,13.93,14.3,13.77,14.16,26496368.0,13.725000000000005,,
50,2020-06-02,14.08,14.21,13.97,14.01,17285388.0,13.723000000000004,,
51,2020-06-03,14.06,14.12,13.76,13.79,15842200.0,13.706000000000003,,
52,2020-06-04,13.85,13.93,13.72,13.77,9983500.0,13.708000000000004,,
53,2020-06-05,13.83,13.94,13.66,13.92,13194800.0,13.751000000000001,,
54,2020-06-08,13.92,13.95,13.71,13.78,9998900.0,13.778000000000002,,
55,2020-06-09,13.79,13.99,13.74,13.85,11061500.0,13.794000000000002,,
56,2020-06-10,13.75,13.81,13.63,13.69,9268200.0,13.820000000000002,,
57,2020-06-11,13.65,13.93,13.61,13.66,10789000.0,13.818000000000001,,
58,2020-06-12,13.41,13.73,13.37,13.62,9317453.0,13.825,,
59,2020-06-15,13.71,13.89,13.51,13.51,12693200.0,13.76,14.133333333333333,
60,2020-06-16,13.6,13.72,13.55,13.64,8808705.0,13.723000000000003,14.111833333333333,
61,2020-06-17,13.66,13.72,13.56,13.68,7663061.0,13.712000000000003,14.083833333333333,
62,2020-06-18,13.62,13.83,13.58,13.67,11051052.0,13.702000000000002,14.059833333333332,
63,2020-06-19,13.68,14.14,13.65,13.95,26977227.0,13.705000000000002,14.061333333333332,
64,2020-06-22,13.96,14.65,13.85,14.13,35849707.0,13.74,14.063333333333333,
65,2020-06-23,13.98,14.16,13.9,14.11,17318509.0,13.766,14.061666666666666,
66,2020-06-24,14.16,14.23,13.93,13.94,14144143.0,13.791,14.064166666666667,
67,2020-06-29,13.7,13.75,13.4,13.52,15921987.0,13.777000000000001,14.047333333333334,
68,2020-06-30,13.62,13.89,13.52,13.76,14258414.0,13.791,14.031333333333333,
69,2020-07-01,13.74,13.86,13.66,13.86,14337698.0,13.825999999999999,14.023,
70,2020-07-02,13.86,14.94,13.8,14.72,53345730.0,13.933999999999997,14.032000000000002,
71,2020-07-03,14.77,15.94,14.58,15.64,81169376.0,14.129999999999995,14.048833333333334,
72,2020-07-06,15.98,17.17,15.67,17.01,74511347.0,14.463999999999995,14.096333333333336,
73,2020-07-07,16.77,16.77,15.69,16.08,69669707.0,14.676999999999998,14.12016666666667,
74,2020-07-08,15.99,17.45,15.91,16.8,66877857.0,14.943999999999999,14.157833333333336,
75,2020-07-09,16.49,16.9,16.17,16.6,56490843.0,15.193000000000001,14.18966666666667,
76,2020-07-10,16.25,18.26,16.23,17.2,67614823.0,15.519,14.237333333333336,
77,2020-07-13,17.5,18.24,17.08,17.73,64578674.0,15.939999999999998,14.291333333333336,
78,2020-07-14,17.39,18.25,17.2,18.24,58809221.0,16.387999999999998,14.347666666666669,
79,2020-07-15,18.37,18.59,16.88,16.96,46486718.0,16.698,14.38766666666667,
80,2020-07-16,17.0,17.42,15.94,16.15,41841559.0,16.841,14.41266666666667,
81,2020-07-17,16.17,16.35,15.6,15.81,27799272.0,16.858000000000004,14.433833333333336,
82,2020-07-20,16.19,16.65,16.01,16.39,28496791.0,16.796000000000003,14.464500000000005,
83,2020-07-21,16.33,16.44,15.9,16.07,20474949.0,16.795000000000005,14.496333333333338,
84,2020-07-22,16.09,16.65,16.01,16.09,28981367.0,16.724000000000004,14.528000000000004,
85,2020-07-23,15.85,16.29,15.53,15.96,24345336.0,16.660000000000004,14.561333333333339,
86,2020-07-24,15.86,16.13,15.0,15.14,25348073.0,16.454000000000008,14.58466666666667,
87,2020-07-27,15.23,15.33,14.82,15.2,14780188.0,16.201000000000008,14.612000000000005,
88,2020-07-28,15.35,15.59,15.23,15.44,15792715.0,15.921000000000006,14.640500000000007,
89,2020-07-29,15.28,15.95,15.16,15.82,22248328.0,15.807000000000006,14.676166666666676,
90,2020-07-30,15.8,15.8,15.43,15.47,16978521.0,15.739000000000004,14.70000000000001,
91,2020-07-31,15.51,17.02,15.51,17.02,26667496.0,15.860000000000005,14.747166666666676,
92,2020-08-03,18.18,18.18,17.17,17.35,72958509.0,15.956000000000007,14.801333333333341,
93,2020-08-04,17.36,17.55,16.6,16.73,43900477.0,16.022000000000006,14.838166666666675,
94,2020-08-05,16.5,16.8,16.32,16.63,26776847.0,16.076000000000004,14.875000000000009,
95,2020-08-06,16.68,16.96,16.2,16.85,31939872.0,16.165000000000003,14.916666666666677,
96,2020-08-07,16.55,16.55,15.7,16.13,30600617.0,16.264000000000003,14.94400000000001,
97,2020-08-10,15.99,16.4,15.87,16.17,20036825.0,16.361000000000008,14.976666666666675,
98,2020-08-11,16.2,16.39,15.65,15.7,18351720.0,16.387000000000008,15.002833333333342,
99,2020-08-12,15.74,15.86,15.28,15.57,17304113.0,16.362000000000005,15.029666666666676,
100,2020-08-13,15.65,15.84,15.49,15.64,14250483.0,16.379000000000005,15.056500000000009,
101,2020-08-14,15.58,16.01,15.42,16.0,16925031.0,16.277000000000005,15.09050000000001,
102,2020-08-17,16.18,16.89,16.09,16.49,37483810.0,16.191000000000006,15.136166666666675,
103,2020-08-18,16.39,16.46,16.15,16.24,19698240.0,16.142000000000007,15.18200000000001,
104,2020-08-19,16.25,16.36,16.01,16.03,15302916.0,16.082000000000008,15.224000000000009,
105,2020-08-20,15.97,15.97,15.62,15.66,12002640.0,15.963000000000008,15.25683333333334,
106,2020-08-21,15.75,15.99,15.61,15.77,10433935.0,15.92700000000001,15.295833333333341,
107,2020-08-24,15.98,15.98,15.68,15.79,7812196.0,15.88900000000001,15.331000000000008,
108,2020-08-25,15.82,15.94,15.6,15.63,11406293.0,15.88200000000001,15.365666666666675,
109,2020-08-26,15.5,15.66,15.0,15.08,16411062.0,15.833000000000013,15.381000000000009,
110,2020-08-27,15.15,15.23,14.91,15.11,9824389.0,15.780000000000012,15.399333333333344,
111,2020-08-28,15.12,15.58,15.03,15.47,14392339.0,15.727000000000013,15.427333333333344,
112,2020-08-31,15.6,15.74,15.35,15.36,17005135.0,15.61400000000001,15.453833333333344,
113,2020-09-01,15.23,15.4,15.14,15.28,9071599.0,15.51800000000001,15.476500000000012,
114,2020-09-02,15.33,15.4,15.08,15.25,10603289.0,15.440000000000008,15.501000000000012,
115,2020-09-03,15.23,15.5,15.13,15.22,9885288.0,15.39600000000001,15.523833333333346,
116,2020-09-04,14.98,15.16,14.9,15.12,6610000.0,15.331000000000008,15.547666666666679,
