,date,open,high,low,close,volume,10,60,250
0,2020-03-18,79.6,80.38,76.6,76.77,1423305.0,,,
1,2020-03-19,76.4,77.59,74.95,76.85,1517508.0,,,
2,2020-03-20,78.01,80.29,78.01,79.81,1479049.0,,,
3,2020-03-23,77.68,79.65,76.82,78.72,1527237.0,,,
4,2020-03-24,80.09,80.78,76.91,79.55,1215912.0,,,
5,2020-03-25,81.14,81.77,80.48,81.07,874853.0,,,
6,2020-03-26,80.56,81.39,79.48,79.7,738425.0,,,
7,2020-03-27,80.71,80.79,78.11,78.65,889487.0,,,
8,2020-03-30,76.8,77.58,75.69,77.04,1105885.0,,,
9,2020-03-31,77.8,78.18,75.91,76.14,662664.0,78.42999999999999,,
10,2020-04-01,75.79,77.17,75.41,76.1,594984.0,78.363,,
11,2020-04-02,75.8,78.4,75.51,78.08,660628.0,78.486,,
12,2020-04-03,77.9,79.62,77.51,77.76,722629.0,78.28099999999999,,
13,2020-04-07,79.3,79.57,78.49,79.29,766758.0,78.338,,
14,2020-04-08,78.84,80.81,78.7,80.79,725669.0,78.46199999999999,,
15,2020-04-09,81.09,82.01,80.39,80.99,834127.0,78.454,,
16,2020-04-10,80.34,80.99,79.3,79.88,994883.0,78.472,,
17,2020-04-13,79.8,81.36,77.86,80.05,931479.0,78.612,,
18,2020-04-14,80.44,83.39,80.25,82.83,1036339.0,79.191,,
19,2020-04-15,82.59,83.92,80.83,81.07,1251217.0,79.684,,
20,2020-04-16,80.09,81.53,80.09,80.24,847778.0,80.098,,
21,2020-04-17,80.69,83.59,80.69,83.09,1656899.0,80.599,,
22,2020-04-20,82.79,88.07,82.5,87.97,1842456.0,81.62,,
23,2020-04-21,87.08,87.97,84.93,87.28,1263464.0,82.41900000000001,,
24,2020-04-22,86.68,92.14,86.58,90.07,2319512.0,83.34700000000001,,
25,2020-04-23,90.77,92.04,89.47,90.57,1221402.0,84.30499999999999,,
26,2020-04-24,90.77,91.35,88.77,91.32,1228013.0,85.44899999999998,,
27,2020-04-27,91.17,94.14,89.88,90.8,1115365.0,86.52399999999999,,
28,2020-04-28,90.87,91.66,85.06,91.37,1471823.0,87.37799999999999,,
29,2020-04-29,92.34,92.64,87.73,87.73,1291541.0,88.04399999999998,,
30,2020-04-30,87.33,94.62,87.33,94.62,2346921.0,89.48199999999999,,
31,2020-05-06,94.31,96.63,90.78,96.38,2729377.0,90.81099999999998,,
32,2020-05-07,95.34,95.76,93.56,93.76,1563476.0,91.38999999999997,,
33,2020-05-08,93.81,98.33,93.76,97.31,1678853.0,92.39299999999999,,
34,2020-05-11,97.74,104.43,96.86,101.24,2528030.0,93.50999999999999,,
35,2020-05-12,100.75,108.95,99.77,108.76,2913957.0,95.329,,
36,2020-05-13,107.72,111.22,106.68,107.97,2090938.0,96.994,,
37,2020-05-14,106.94,112.59,105.75,111.71,2027029.0,99.08500000000001,,
38,2020-05-15,110.73,112.71,104.23,106.03,3396507.0,100.55100000000002,,
39,2020-05-18,104.95,107.9,103.53,103.99,2307262.0,102.17699999999999,,
40,2020-05-19,105.73,115.5,103.72,113.54,3340283.0,104.069,,
41,2020-05-20,111.71,115.2,101.24,104.53,3827751.0,104.88400000000001,,
42,2020-05-21,103.73,106.83,100.39,101.39,2247360.0,105.64700000000002,,
43,2020-05-22,102.69,103.69,99.41,99.74,2195540.0,105.89000000000003,,
44,2020-05-25,100.74,104.73,98.88,103.73,2168104.0,106.13900000000004,,
45,2020-05-26,104.45,110.83,104.09,109.72,2060450.0,106.23500000000004,,
46,2020-05-27,109.38,111.58,107.29,108.72,1323757.0,106.31000000000003,,
47,2020-05-28,109.59,115.48,107.97,113.33,2081867.0,106.47200000000002,,
48,2020-05-29,113.36,114.5,110.9,112.47,1469015.0,107.11600000000003,,
49,2020-06-01,113.5,118.18,112.51,113.32,1904018.0,108.04900000000002,,
50,2020-06-02,113.32,113.68,108.17,109.72,2301654.0,107.66700000000003,,
51,2020-06-03,109.47,114.09,108.68,111.82,1598115.0,108.39600000000003,,
52,2020-06-04,112.71,121.49,109.94,119.14,2373654.0,110.17100000000002,,
53,2020-06-05,118.15,127.17,118.15,124.18,2147309.0,112.61500000000004,,
54,2020-06-08,124.61,126.18,119.18,122.93,2095506.0,114.53500000000004,,
55,2020-06-09,122.67,130.66,120.86,130.53,1974851.0,116.61600000000003,,
56,2020-06-10,131.18,134.13,124.78,126.12,2755244.0,118.35600000000002,,
57,2020-06-11,127.37,129.55,124.53,126.97,1421859.0,119.72000000000003,,
58,2020-06-12,124.68,129.67,123.68,127.09,1503879.0,121.18200000000002,,
59,2020-06-15,127.67,132.04,124.8,129.67,1522968.0,122.81700000000004,96.53350000000002,
60,2020-06-16,129.64,139.01,128.67,138.25,2092754.0,125.67000000000003,97.55816666666668,
61,2020-06-17,138.41,141.63,134.65,136.25,1838997.0,128.11300000000003,98.54816666666667,
62,2020-06-18,135.85,137.51,129.25,130.44,2440030.0,129.24300000000002,99.392,
