,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.34,6.54,6.29,6.46,19682124.0,,,
1,2018-11-14,6.49,6.68,6.42,6.49,17391433.0,,,
2,2018-11-15,6.52,6.76,6.49,6.73,20682151.0,,,
3,2018-11-16,6.82,6.97,6.69,6.89,21112219.0,,,
4,2018-11-19,6.89,6.92,6.64,6.79,22389061.0,,,
5,2018-11-20,6.78,7.27,6.71,6.83,36245732.0,,,
6,2018-11-21,6.72,6.77,6.54,6.67,23422145.0,,,
7,2018-11-22,6.71,6.74,6.59,6.64,12371223.0,,,
8,2018-11-23,6.64,6.64,6.08,6.09,22220704.0,,,
9,2018-11-26,6.1,6.28,6.09,6.23,12639280.0,,,
10,2018-11-27,6.3,6.44,6.28,6.35,12447349.0,,,
11,2018-11-28,6.37,6.64,6.37,6.61,17664879.0,,,
12,2018-11-29,6.59,6.68,6.25,6.28,18264232.0,,,
13,2018-11-30,6.27,6.36,6.13,6.32,14326173.0,,,
14,2018-12-03,6.65,6.74,6.45,6.66,24496537.0,,,
15,2018-12-04,6.65,7.24,6.59,6.99,38585360.0,,,
16,2018-12-05,6.78,7.06,6.75,6.87,31324430.0,,,
17,2018-12-06,6.83,6.92,6.7,6.7,18054520.0,,,
18,2018-12-07,6.77,7.06,6.73,6.83,23142216.0,,,
19,2018-12-10,6.72,6.8,6.63,6.69,14223309.0,,,
20,2018-12-11,6.7,6.8,6.66,6.77,11686044.0,,,
21,2018-12-12,6.8,6.82,6.57,6.61,13220092.0,,,
22,2018-12-13,6.71,6.79,6.58,6.66,12791741.0,,,
23,2018-12-14,6.67,6.77,6.41,6.42,14142985.0,,,
24,2018-12-17,6.38,6.52,6.31,6.42,10064560.0,,,
25,2018-12-18,6.43,6.43,6.17,6.24,11320542.0,,,
26,2018-12-19,6.3,6.35,6.19,6.22,7223388.0,,,
27,2018-12-20,6.19,6.27,6.15,6.26,8445148.0,,,
28,2018-12-21,6.39,6.54,6.27,6.34,17321792.0,,,
29,2018-12-24,6.31,6.37,6.2,6.35,8793954.0,,,
30,2018-12-25,6.23,6.24,5.84,6.13,16825897.0,,,
31,2018-12-26,6.11,6.14,6.02,6.05,7841383.0,,,
32,2018-12-27,6.14,6.19,5.87,5.87,9737515.0,,,
33,2018-12-28,5.88,5.98,5.82,5.85,7054545.0,,,
34,2019-01-02,5.94,5.94,5.77,5.81,7427425.0,,,
35,2019-01-03,5.79,5.94,5.78,5.79,6971000.0,,,
36,2019-01-04,5.69,6.04,5.64,6.02,13077536.0,,,
37,2019-01-07,6.05,6.33,6.03,6.31,15835307.0,,,
38,2019-01-08,6.25,6.65,6.25,6.49,24953744.0,,,
39,2019-01-09,6.44,6.6,6.39,6.43,20642170.0,,,
40,2019-01-10,6.38,6.5,6.37,6.4,13405768.0,,,
41,2019-01-11,6.44,6.61,6.42,6.48,12896372.0,,,
42,2019-01-14,6.48,6.63,6.45,6.5,10777367.0,,,
43,2019-01-15,6.5,6.66,6.49,6.65,14690315.0,,,
44,2019-01-16,6.79,7.04,6.57,6.76,30301960.0,,,
45,2019-01-17,6.77,6.77,6.39,6.4,23987533.0,,,
46,2019-01-18,6.38,6.47,6.31,6.42,11650009.0,,,
47,2019-01-21,6.44,6.49,6.28,6.3,15513442.0,,,
48,2019-01-22,6.33,6.35,6.17,6.22,11070475.0,,,
49,2019-01-23,6.17,6.24,6.15,6.22,5644321.0,,,
50,2019-01-24,6.27,6.45,6.16,6.37,15528741.0,,,
51,2019-01-25,6.34,6.37,6.17,6.19,12817552.0,,,
52,2019-01-28,6.26,6.29,6.12,6.19,8724792.0,,,
53,2019-01-29,6.14,6.19,5.89,6.11,14230855.0,,,
54,2019-01-30,6.29,6.35,6.06,6.06,15421994.0,,,
55,2019-01-31,5.54,5.68,5.45,5.45,26836341.0,,,
56,2019-02-01,5.49,5.6,5.48,5.58,10928561.0,,,
57,2019-02-11,5.58,5.79,5.57,5.77,11654373.0,,,
58,2019-02-12,5.76,5.92,5.74,5.89,11060573.0,,,
59,2019-02-13,5.89,6.13,5.89,6.09,17339912.0,,,
60,2019-02-14,6.1,6.22,6.04,6.14,15116993.0,,,
61,2019-02-15,6.19,6.22,6.05,6.08,12436851.0,,,
62,2019-02-18,6.14,6.56,6.14,6.51,27293103.0,,,
63,2019-02-19,6.54,6.76,6.39,6.61,39360711.0,,,
64,2019-02-20,6.57,6.57,6.37,6.5,20374903.0,,,
65,2019-02-21,6.47,6.83,6.46,6.56,37690410.0,,,
66,2019-02-22,6.53,6.88,6.48,6.87,35053002.0,,,
67,2019-02-25,6.93,7.28,6.88,7.26,59690918.0,,,
68,2019-02-26,7.16,7.33,7.0,7.06,48672153.0,,,
69,2019-02-27,7.05,7.34,6.97,7.06,35184294.0,,,
70,2019-02-28,7.0,7.17,6.9,7.0,30215875.0,,,
71,2019-03-01,7.04,7.08,6.87,6.99,24089582.0,,,
72,2019-03-04,7.15,7.47,7.06,7.24,58448303.0,,,
73,2019-03-05,7.15,7.85,7.13,7.85,71078139.0,,,
74,2019-03-06,7.95,7.98,7.57,7.88,71723812.0,,,
75,2019-03-07,7.98,8.62,7.8,8.38,76141180.0,,,
76,2019-03-08,8.14,9.22,8.01,8.71,142304538.0,,,
77,2019-03-11,9.1,9.12,8.31,8.81,100246795.0,,,
78,2019-03-12,8.78,9.42,8.74,9.18,85031743.0,,,
79,2019-03-13,9.28,9.31,8.38,8.57,70635260.0,,,
80,2019-03-14,8.42,8.53,7.92,8.1,51052338.0,,,
81,2019-03-15,8.17,8.28,7.93,8.03,36794877.0,,,
82,2019-03-18,8.13,8.16,7.89,8.15,32308076.0,,,
83,2019-03-19,8.28,8.97,8.18,8.97,56433625.0,,,
84,2019-03-20,8.98,9.35,8.63,8.89,105585279.0,,,
85,2019-03-21,8.86,9.78,8.68,9.4,152639824.0,,,
86,2019-03-22,9.3,9.75,9.09,9.68,105412625.0,,,
87,2019-03-25,10.18,10.65,10.0,10.65,117343205.0,,,
88,2019-03-26,10.35,10.35,9.58,9.58,130833843.0,,,
89,2019-03-27,9.38,9.39,8.88,9.22,72384425.0,,,
90,2019-03-28,9.08,9.44,8.79,8.79,58717200.0,,,
91,2019-03-29,8.88,9.13,8.42,9.05,55431112.0,,,
92,2019-04-01,9.06,9.54,9.05,9.43,62686070.0,,,
93,2019-04-02,9.45,9.63,9.25,9.32,62060343.0,,,
94,2019-04-03,9.11,9.41,9.11,9.39,39386659.0,,,
95,2019-04-04,9.39,9.54,9.2,9.26,41576626.0,,,
96,2019-04-08,9.37,9.37,8.86,8.9,40424568.0,,,
97,2019-04-09,8.86,9.22,8.82,9.03,29861400.0,,,
98,2019-04-10,9.11,9.56,9.03,9.56,67939753.0,,,
99,2019-04-11,9.51,9.51,8.94,8.97,51433556.0,,,
100,2019-04-12,8.93,9.01,8.74,8.82,30082446.0,,,
101,2019-04-15,9.28,9.66,9.19,9.2,81468732.0,,,
102,2019-04-16,9.28,9.53,8.85,9.47,67520100.0,,,
103,2019-04-17,9.51,9.56,9.27,9.3,52045739.0,,,
104,2019-04-18,9.38,9.38,9.08,9.13,34282687.0,,,
105,2019-04-19,9.1,9.37,9.02,9.31,35354128.0,,,
106,2019-04-22,9.31,9.33,8.96,8.99,30147357.0,,,
107,2019-04-23,8.98,8.99,8.69,8.77,26100821.0,,,
108,2019-04-24,8.83,9.17,8.79,9.12,30697448.0,,,
109,2019-04-25,9.05,9.47,8.89,8.9,47470913.0,,,
110,2019-04-26,8.86,9.79,8.79,9.79,88948782.0,,,
111,2019-04-29,9.99,10.76,9.61,9.71,181129620.0,,,
112,2019-04-30,9.06,10.61,9.06,10.41,151332521.0,,,
113,2019-05-06,9.95,10.72,9.48,9.74,129805145.0,,,
114,2019-05-07,9.99,10.72,9.79,10.72,162141642.0,,,
115,2019-05-08,10.76,11.79,10.5,10.77,244372988.0,,,
116,2019-05-09,10.08,10.58,9.86,9.95,147149062.0,,,
117,2019-05-10,10.24,10.95,10.09,10.95,168092860.0,,,
118,2019-05-13,11.6,12.05,11.49,12.05,109734624.0,,,
119,2019-05-14,12.13,13.25,11.68,12.5,295212670.0,7.570333333333332,,
120,2019-05-15,12.45,13.74,12.26,13.74,260915051.0,7.6309999999999985,,
121,2019-05-16,14.27,14.37,13.49,13.63,269809755.0,7.690499999999998,,
122,2019-05-17,13.74,14.17,12.34,12.76,217657998.0,7.740749999999998,,
123,2019-05-20,13.01,13.45,12.64,13.12,178280444.0,7.792666666666665,,
124,2019-05-21,12.66,13.25,12.2,12.91,160279275.0,7.843666666666665,,
125,2019-05-22,13.28,13.81,12.92,13.27,187354178.0,7.897333333333331,,
126,2019-05-23,12.79,12.87,11.95,11.95,147990093.0,7.941333333333332,,
127,2019-05-24,11.71,12.15,11.5,11.65,109030926.0,7.983083333333331,,
128,2019-05-27,11.92,12.57,11.7,12.39,130728139.0,8.035583333333332,,
129,2019-05-28,12.33,12.37,11.82,12.28,136658033.0,8.085999999999997,,
130,2019-05-29,12.55,12.63,11.85,11.91,116557475.0,8.13233333333333,,
131,2019-05-30,11.48,11.55,10.73,11.2,133061042.0,8.170583333333331,,
132,2019-05-31,11.11,11.34,10.93,10.98,83343236.0,8.209749999999998,,
133,2019-06-03,11.11,11.12,10.47,10.73,84056790.0,8.246499999999997,,
134,2019-06-04,10.64,10.88,10.21,10.41,86276167.0,8.277749999999997,,
135,2019-06-05,10.59,10.62,10.25,10.36,59914900.0,8.30583333333333,,
136,2019-06-06,10.42,10.43,9.8,9.89,64772266.0,8.330999999999998,,
137,2019-06-10,9.98,10.76,9.89,10.56,99897687.0,8.363166666666663,,
138,2019-06-11,10.48,10.95,10.3,10.88,107863560.0,8.396916666666662,,
139,2019-06-12,10.69,11.35,10.64,10.94,105717729.0,8.432333333333329,,
140,2019-06-13,10.79,11.22,10.74,10.98,71866404.0,8.467416666666663,,
141,2019-06-14,11.13,11.33,10.4,10.47,80386639.0,8.499583333333328,,
142,2019-06-17,10.35,10.75,10.35,10.6,46521537.0,8.532416666666663,,
143,2019-06-18,10.49,10.66,10.23,10.36,46014010.0,8.565249999999995,,
144,2019-06-19,10.84,11.08,10.67,10.75,85531783.0,8.601333333333328,,
145,2019-06-20,10.76,11.08,10.7,11.01,74504282.0,8.641083333333329,,
146,2019-06-21,11.06,11.53,10.98,11.38,108302523.0,8.684083333333328,,
147,2019-06-24,11.52,11.82,11.11,11.39,92023028.0,8.72683333333333,,
148,2019-06-25,11.21,11.37,10.92,11.18,65143554.0,8.767166666666665,,
149,2019-06-26,11.17,11.31,11.0,11.07,42064469.0,8.806499999999998,,
150,2019-06-27,11.09,11.23,11.05,11.14,50181824.0,8.848249999999998,,
151,2019-06-28,11.05,11.1,10.65,10.71,49814180.0,8.887083333333331,,
152,2019-07-01,11.16,11.78,11.04,11.78,138670738.0,8.936333333333332,,
153,2019-07-02,11.87,12.26,11.49,11.94,154567669.0,8.987083333333334,,
154,2019-07-03,11.84,12.38,11.78,12.05,125053720.0,9.039083333333334,,
155,2019-07-04,12.0,12.02,11.64,11.79,71248364.0,9.089083333333333,,
156,2019-07-05,11.71,11.91,11.55,11.79,52622281.0,9.137166666666667,,
157,2019-07-08,11.63,11.63,11.0,11.19,68841118.0,9.177833333333334,,
158,2019-07-09,10.93,10.94,10.07,10.07,111187879.0,9.207666666666666,,
159,2019-07-10,9.93,10.21,9.53,9.96,68889629.0,9.237083333333334,,
160,2019-07-11,9.95,10.02,9.66,9.67,49132582.0,9.264333333333333,,
161,2019-07-12,9.7,9.74,9.43,9.62,39260401.0,9.2905,,
162,2019-07-15,9.63,10.11,9.39,9.98,56139606.0,9.3195,,
163,2019-07-16,9.93,10.53,9.89,10.22,60914683.0,9.34925,,
164,2019-07-17,10.06,10.33,10.0,10.11,36486483.0,9.377166666666664,,
165,2019-07-18,10.03,10.04,9.78,9.8,33370329.0,9.405499999999996,,
166,2019-07-19,9.93,10.18,9.88,9.97,38128758.0,9.43508333333333,,
167,2019-07-22,10.06,10.06,9.54,9.6,36386393.0,9.46258333333333,,
168,2019-07-23,9.6,9.82,9.6,9.75,29226005.0,9.491999999999996,,
169,2019-07-24,10.2,10.73,10.2,10.73,57251164.0,9.52958333333333,,
170,2019-07-25,10.98,11.57,10.84,11.18,159125650.0,9.569666666666665,,
171,2019-07-26,11.02,11.46,10.86,11.19,105518637.0,9.61133333333333,,
172,2019-07-29,11.27,11.33,11.01,11.15,66631847.0,9.652666666666665,,
173,2019-07-30,11.21,11.35,11.03,11.32,74233646.0,9.69608333333333,,
174,2019-07-31,11.3,11.33,11.09,11.13,50709388.0,9.738333333333333,,
175,2019-08-01,11.13,11.46,10.89,11.38,80710157.0,9.787749999999999,,
176,2019-08-02,10.99,11.41,10.94,11.06,69878867.0,9.833416666666666,,
