,date,open,high,low,close,volume,10,60,250
0,2020-03-18,3.71,3.74,3.63,3.63,21478796.0,,,
1,2020-03-19,3.61,3.67,3.52,3.59,22010306.0,,,
2,2020-03-20,3.64,3.67,3.58,3.65,20156332.0,,,
3,2020-03-23,3.58,3.58,3.47,3.49,20281396.0,,,
4,2020-03-24,3.55,3.56,3.48,3.54,14861718.0,,,
5,2020-03-25,3.62,3.62,3.57,3.59,15856217.0,,,
6,2020-03-26,3.58,3.61,3.56,3.59,14570152.0,,,
7,2020-03-27,3.63,3.63,3.53,3.53,15936769.0,,,
8,2020-03-30,3.45,3.45,3.25,3.3,32574384.0,,,
9,2020-03-31,3.33,3.35,3.25,3.27,15638077.0,3.518,,
10,2020-04-01,3.28,3.31,3.24,3.25,13066085.0,3.4799999999999995,,
11,2020-04-02,3.23,3.31,3.21,3.31,13084019.0,3.4519999999999995,,
12,2020-04-03,3.3,3.5,3.25,3.37,27314509.0,3.4239999999999995,,
13,2020-04-07,3.36,3.4,3.35,3.39,25167618.0,3.4139999999999993,,
14,2020-04-08,3.36,3.41,3.35,3.37,17064371.0,3.3969999999999994,,
15,2020-04-09,3.39,3.45,3.34,3.38,26517519.0,3.375999999999999,,
16,2020-04-10,3.38,3.38,3.31,3.35,19421294.0,3.3519999999999994,,
17,2020-04-13,3.3,3.35,3.27,3.33,12612876.0,3.3319999999999994,,
18,2020-04-14,3.34,3.42,3.33,3.4,21644347.0,3.3419999999999996,,
19,2020-04-15,3.41,3.44,3.38,3.39,15749363.0,3.353999999999999,,
20,2020-04-16,3.35,3.45,3.35,3.42,13588626.0,3.3709999999999996,,
21,2020-04-17,3.42,3.51,3.4,3.46,18897803.0,3.3859999999999992,,
22,2020-04-20,3.44,3.52,3.43,3.5,16081177.0,3.3989999999999996,,
23,2020-04-21,3.48,3.68,3.47,3.57,31021925.0,3.4169999999999994,,
24,2020-04-22,3.57,3.78,3.54,3.7,39611187.0,3.45,,
25,2020-04-23,3.71,3.75,3.62,3.63,20037066.0,3.475,,
26,2020-04-24,3.6,3.67,3.59,3.64,14853462.0,3.504,,
27,2020-04-27,3.67,3.73,3.6,3.68,16802619.0,3.539,,
28,2020-04-28,3.68,3.7,3.5,3.58,19884219.0,3.557,,
29,2020-04-29,3.79,3.94,3.79,3.94,37097262.0,3.6119999999999997,,
30,2020-04-30,4.0,4.09,3.89,3.94,99074840.0,3.6639999999999993,,
31,2020-05-06,3.83,4.02,3.83,3.97,46203073.0,3.714999999999999,,
32,2020-05-07,3.97,4.25,3.91,4.09,64994614.0,3.7739999999999996,,
33,2020-05-08,4.08,4.37,4.07,4.31,60347204.0,3.848,,
34,2020-05-11,4.4,4.54,4.2,4.23,60878560.0,3.900999999999999,,
35,2020-05-12,4.24,4.39,4.15,4.24,39071341.0,3.961999999999999,,
36,2020-05-13,4.2,4.24,4.1,4.13,37112568.0,4.010999999999999,,
37,2020-05-14,4.13,4.34,4.03,4.21,48923918.0,4.063999999999999,,
38,2020-05-15,4.21,4.21,4.07,4.1,29311011.0,4.116,,
39,2020-05-18,4.07,4.08,3.95,3.96,33297429.0,4.118,,
40,2020-05-19,4.0,4.05,3.96,3.99,18085455.0,4.123,,
41,2020-05-20,3.96,4.2,3.96,4.14,35846543.0,4.140000000000001,,
42,2020-05-21,4.16,4.17,4.02,4.05,21498852.0,4.136,,
43,2020-05-22,4.04,4.13,3.98,4.03,24809852.0,4.108,,
44,2020-05-25,4.01,4.18,3.99,4.16,27980710.0,4.100999999999999,,
45,2020-05-26,4.16,4.2,4.13,4.18,21863172.0,4.094999999999999,,
46,2020-05-27,4.18,4.18,4.07,4.09,23735510.0,4.090999999999999,,
47,2020-05-28,4.09,4.11,3.95,4.02,21943602.0,4.071999999999999,,
48,2020-05-29,4.03,4.09,3.99,4.03,14344099.0,4.0649999999999995,,
49,2020-06-01,4.05,4.19,4.05,4.13,31312969.0,4.081999999999999,,
50,2020-06-02,4.14,4.18,4.09,4.12,22083421.0,4.094999999999999,,
51,2020-06-03,4.13,4.27,4.12,4.27,43649384.0,4.107999999999999,,
52,2020-06-04,4.23,4.27,4.2,4.24,23708633.0,4.126999999999999,,
53,2020-06-05,4.24,4.47,4.23,4.37,46886826.0,4.160999999999999,,
54,2020-06-08,4.33,4.39,4.29,4.32,32716324.0,4.176999999999998,,
55,2020-06-09,4.28,4.42,4.27,4.34,31867147.0,4.192999999999999,,
56,2020-06-10,4.33,4.35,4.22,4.24,27454488.0,4.207999999999998,,
57,2020-06-11,4.23,4.26,4.08,4.1,35704437.0,4.215999999999998,,
58,2020-06-12,3.98,4.04,3.94,4.03,44058769.0,4.215999999999998,,
59,2020-06-15,3.91,3.96,3.75,3.85,48155986.0,4.187999999999998,3.8120000000000007,
60,2020-06-16,3.86,3.92,3.85,3.92,26305780.0,4.167999999999998,3.816833333333334,
61,2020-06-17,3.91,3.94,3.85,3.91,16931393.0,4.132,3.8221666666666674,
62,2020-06-18,3.88,3.9,3.82,3.88,16611342.0,4.095999999999999,3.8260000000000005,
63,2020-06-19,3.89,3.92,3.86,3.9,18926971.0,4.0489999999999995,3.8328333333333338,
64,2020-06-22,3.9,3.91,3.82,3.85,20775233.0,4.002,3.8380000000000005,
65,2020-06-23,3.82,3.87,3.8,3.82,17684739.0,3.95,3.8418333333333337,
66,2020-06-24,3.83,3.85,3.68,3.73,31341428.0,3.8989999999999996,3.8441666666666667,
67,2020-06-29,3.72,3.72,3.6,3.62,26078836.0,3.850999999999999,3.845666666666667,
68,2020-06-30,3.65,3.7,3.64,3.67,15030691.0,3.814999999999999,3.851833333333333,
69,2020-07-01,3.67,3.7,3.64,3.69,18898314.0,3.7989999999999986,3.8588333333333327,
70,2020-07-02,3.68,3.91,3.67,3.87,46547375.0,3.7939999999999983,3.869166666666666,
71,2020-07-03,3.87,3.99,3.85,3.92,41836656.0,3.794999999999999,3.879333333333333,
72,2020-07-06,3.96,4.13,3.91,4.1,57962699.0,3.816999999999999,3.8914999999999993,
73,2020-07-07,4.18,4.3,4.06,4.2,69161343.0,3.846999999999999,3.9049999999999994,
74,2020-07-08,4.18,4.36,4.15,4.25,58208325.0,3.886999999999999,3.9196666666666657,
75,2020-07-09,4.25,4.33,4.19,4.3,77943397.0,3.9349999999999987,3.9349999999999996,
76,2020-07-10,4.26,4.73,4.25,4.73,165152192.0,4.034999999999998,3.9579999999999993,
77,2020-07-13,4.69,4.85,4.5,4.84,139353424.0,4.156999999999998,3.983166666666666,
78,2020-07-14,4.9,5.32,4.8,5.29,183350174.0,4.318999999999998,4.014666666666666,
79,2020-07-15,5.13,5.21,4.92,5.06,113709380.0,4.455999999999999,4.0424999999999995,
80,2020-07-16,5.02,5.32,4.71,4.73,154369876.0,4.542,4.064333333333333,
81,2020-07-17,4.7,4.77,4.38,4.52,93521722.0,4.601999999999999,4.081999999999999,
82,2020-07-20,4.56,4.85,4.56,4.69,60456841.0,4.661,4.1018333333333326,
83,2020-07-21,4.75,4.76,4.57,4.61,38844332.0,4.701999999999999,4.119166666666667,
84,2020-07-22,4.59,4.75,4.52,4.68,41901148.0,4.744999999999999,4.1354999999999995,
85,2020-07-23,4.61,4.66,4.39,4.53,48213007.0,4.767999999999999,4.1505,
86,2020-07-24,4.53,4.61,4.27,4.36,53411704.0,4.730999999999999,4.1625000000000005,
87,2020-07-27,4.39,4.49,4.29,4.42,37547347.0,4.688999999999998,4.174833333333334,
88,2020-07-28,4.55,4.72,4.5,4.72,63838724.0,4.631999999999999,4.193833333333333,
89,2020-07-29,4.71,4.75,4.65,4.73,47942524.0,4.598999999999998,4.207,
90,2020-07-30,4.74,4.95,4.73,4.77,62405449.0,4.602999999999997,4.220833333333333,
91,2020-07-31,4.77,4.81,4.64,4.77,52456860.0,4.6279999999999974,4.234166666666666,
92,2020-08-03,5.25,5.25,5.25,5.25,14525463.0,4.6839999999999975,4.253499999999999,
93,2020-08-04,5.7,5.71,5.32,5.33,198968375.0,4.755999999999998,4.270499999999999,
94,2020-08-05,5.21,5.45,5.2,5.36,97821043.0,4.823999999999997,4.2893333333333326,
95,2020-08-06,5.27,5.38,5.24,5.31,58376530.0,4.9019999999999975,4.3071666666666655,
96,2020-08-07,5.35,5.64,5.31,5.53,99125978.0,5.0189999999999975,4.330499999999999,
97,2020-08-10,5.57,5.83,5.51,5.55,100969761.0,5.131999999999997,4.352833333333333,
98,2020-08-11,5.58,6.1,5.51,5.91,145934769.0,5.250999999999998,4.382999999999999,
99,2020-08-12,5.82,6.15,5.73,6.14,133123550.0,5.391999999999998,4.4193333333333324,
100,2020-08-13,6.14,6.52,6.01,6.3,129855525.0,5.544999999999997,4.457833333333332,
101,2020-08-14,6.36,6.51,6.1,6.37,108040048.0,5.7049999999999965,4.495,
102,2020-08-17,6.4,6.66,5.98,6.15,191471441.0,5.794999999999996,4.529999999999999,
103,2020-08-18,6.13,6.19,6.02,6.09,87318719.0,5.870999999999997,4.564333333333333,
104,2020-08-19,6.1,6.15,5.68,5.7,121212515.0,5.904999999999997,4.589999999999999,
105,2020-08-20,5.83,6.27,5.73,6.27,159969801.0,6.000999999999996,4.624833333333331,
106,2020-08-21,6.38,6.88,6.13,6.8,213332203.0,6.127999999999996,4.669999999999999,
107,2020-08-24,6.95,7.2,6.45,6.63,212785130.0,6.235999999999995,4.713499999999999,
108,2020-08-25,6.58,6.79,6.5,6.52,119636563.0,6.296999999999995,4.754999999999999,
109,2020-08-26,6.41,6.62,6.14,6.23,121095627.0,6.305999999999996,4.79,
110,2020-08-27,6.35,6.66,6.27,6.32,95732665.0,6.307999999999997,4.826666666666666,
111,2020-08-28,6.21,6.39,6.13,6.37,73212662.0,6.307999999999998,4.861666666666666,
112,2020-08-31,6.4,6.41,6.12,6.13,99667923.0,6.305999999999998,4.893166666666667,
113,2020-09-01,6.13,6.16,5.78,5.88,104434928.0,6.284999999999998,4.918333333333333,
114,2020-09-02,5.86,6.18,5.82,6.08,82180912.0,6.322999999999998,4.947666666666666,
115,2020-09-03,6.02,6.04,5.83,5.88,62562162.0,6.283999999999997,4.973333333333333,
116,2020-09-04,5.72,5.99,5.6,5.91,72437094.0,6.194999999999998,5.001166666666666,
117,2020-09-07,5.98,6.15,5.91,6.0,77318805.0,6.131999999999997,5.032833333333333,
118,2020-09-08,6.0,6.19,5.71,6.1,93320541.0,6.089999999999998,5.067333333333334,
119,2020-09-09,5.97,6.08,5.74,5.75,76310157.0,6.041999999999997,5.099,
120,2020-09-10,5.77,5.79,5.2,5.3,92629926.0,5.939999999999997,5.122,
121,2020-09-11,5.31,5.4,5.2,5.33,40204649.0,5.835999999999998,5.145666666666666,
122,2020-09-14,5.39,5.53,5.32,5.45,43630249.0,5.767999999999998,5.171833333333333,
123,2020-09-15,5.45,5.48,5.31,5.4,32785785.0,5.719999999999997,5.196833333333332,
124,2020-09-16,5.45,5.77,5.42,5.47,58350424.0,5.658999999999997,5.223833333333332,
125,2020-09-17,5.39,5.5,5.35,5.44,31379016.0,5.614999999999997,5.250833333333333,
126,2020-09-18,5.44,5.55,5.35,5.52,41063798.0,5.575999999999998,5.280666666666665,
127,2020-09-21,5.54,5.62,5.44,5.5,35153463.0,5.525999999999998,5.3119999999999985,
128,2020-09-22,5.45,5.46,5.24,5.31,58270410.0,5.446999999999997,5.3393333333333315,
129,2020-09-23,5.01,5.16,4.95,5.09,65951636.0,5.380999999999998,5.362666666666665,
130,2020-09-24,5.04,5.11,4.94,4.94,40090715.0,5.344999999999997,5.380499999999998,
131,2020-09-25,5.0,5.02,4.86,4.89,29233003.0,5.3009999999999975,5.396666666666664,
132,2020-09-28,4.9,5.08,4.9,4.91,25122146.0,5.246999999999997,5.410166666666664,
133,2020-09-29,4.94,4.98,4.86,4.88,20312671.0,5.194999999999998,5.421499999999997,
134,2020-09-30,4.88,4.97,4.85,4.96,20998062.0,5.1439999999999975,5.433333333333331,
135,2020-10-09,5.02,5.06,4.93,4.96,32784983.0,5.095999999999998,5.44433333333333,
136,2020-10-12,4.98,5.08,4.91,5.08,43276384.0,5.051999999999998,5.450166666666663,
137,2020-10-13,5.07,5.08,4.98,5.07,29659099.0,5.008999999999999,5.453999999999996,
138,2020-10-14,5.07,5.07,4.91,4.92,28612451.0,4.969999999999998,5.44783333333333,
139,2020-10-15,4.89,4.92,4.81,4.81,27333474.0,4.941999999999998,5.443666666666663,
140,2020-10-16,4.86,5.0,4.81,4.98,31543167.0,4.946,5.44783333333333,
141,2020-10-19,5.08,5.47,5.06,5.35,79935127.0,4.991999999999999,5.461666666666663,
142,2020-10-20,5.45,5.56,5.31,5.5,70645678.0,5.050999999999999,5.475166666666664,
143,2020-10-21,5.54,5.7,5.41,5.65,76282646.0,5.127999999999998,5.492499999999996,
144,2020-10-22,5.66,5.78,5.46,5.7,85108114.0,5.201999999999999,5.5094999999999965,
145,2020-10-23,5.64,5.69,5.32,5.44,83737820.0,5.249999999999998,5.524666666666663,
146,2020-10-26,5.05,5.13,4.94,5.01,69440864.0,5.2429999999999986,5.535499999999996,
147,2020-10-27,4.96,5.09,4.94,4.98,33266527.0,5.233999999999998,5.5448333333333295,
148,2020-10-28,4.77,4.85,4.58,4.71,61400391.0,5.212999999999998,5.544666666666662,
149,2020-10-29,4.61,4.64,4.53,4.59,40709507.0,5.190999999999998,5.542333333333328,
150,2020-10-30,4.6,4.64,4.42,4.44,34901688.0,5.136999999999998,5.536833333333329,
151,2020-11-02,4.42,4.56,4.32,4.39,31379978.0,5.040999999999998,5.530499999999995,
152,2020-11-03,4.39,4.55,4.38,4.52,29815102.0,4.942999999999998,5.518333333333328,
153,2020-11-04,4.49,4.51,4.39,4.42,23234895.0,4.8199999999999985,5.503166666666662,
154,2020-11-05,4.45,4.51,4.41,4.48,25474102.0,4.697999999999998,5.488499999999996,
155,2020-11-06,4.49,4.55,4.43,4.47,22364483.0,4.600999999999997,5.4744999999999955,
156,2020-11-09,4.47,4.56,4.46,4.53,30940408.0,4.552999999999998,5.457833333333329,
157,2020-11-10,4.77,4.85,4.57,4.59,54136102.0,4.513999999999998,5.441833333333329,
158,2020-11-11,4.52,4.56,4.45,4.46,30421989.0,4.488999999999997,5.417666666666661,
159,2020-11-12,4.45,4.48,4.35,4.42,19924398.0,4.471999999999997,5.388999999999995,
160,2020-11-13,4.38,4.43,4.34,4.43,16378435.0,4.470999999999997,5.357833333333328,
161,2020-11-16,4.42,4.44,4.28,4.35,41382539.0,4.466999999999997,5.324166666666661,
162,2020-11-17,4.35,4.36,4.19,4.23,33233044.0,4.437999999999998,5.292166666666662,
163,2020-11-18,4.23,4.29,4.2,4.27,19106630.0,4.422999999999997,5.261833333333329,
164,2020-11-19,4.25,4.34,4.21,4.28,26814854.0,4.402999999999997,5.238166666666662,
165,2020-11-20,4.27,4.33,4.23,4.29,26475134.0,4.384999999999997,5.2051666666666625,
166,2020-11-23,4.28,4.28,4.2,4.21,28609271.0,4.352999999999997,5.1619999999999955,
167,2020-11-24,4.22,4.27,4.21,4.23,21915181.0,4.3169999999999975,5.121999999999996,
168,2020-11-25,4.22,4.25,4.11,4.11,31480600.0,4.281999999999997,5.08183333333333,
169,2020-11-26,4.08,4.14,4.04,4.09,25325251.0,4.248999999999997,5.046166666666663,
170,2020-11-27,4.1,4.13,4.05,4.11,19846943.0,4.216999999999997,5.00933333333333,
171,2020-11-30,4.1,4.2,4.04,4.16,24057474.0,4.197999999999997,4.972499999999997,
172,2020-12-01,4.16,4.36,4.14,4.35,42627964.0,4.209999999999996,4.94283333333333,
173,2020-12-02,4.38,4.38,4.27,4.29,22407621.0,4.211999999999996,4.916333333333331,
174,2020-12-03,4.26,4.41,4.25,4.35,28146124.0,4.218999999999996,4.887499999999998,
175,2020-12-04,4.35,4.5,4.35,4.49,38726768.0,4.238999999999996,4.864333333333332,
176,2020-12-07,4.49,4.49,4.41,4.43,20965440.0,4.260999999999997,4.839666666666664,
177,2020-12-08,4.44,4.61,4.41,4.42,24299307.0,4.279999999999997,4.813333333333332,
178,2020-12-09,4.4,4.41,4.3,4.3,21022537.0,4.298999999999997,4.783333333333331,
179,2020-12-10,4.28,4.29,4.19,4.22,17665286.0,4.311999999999996,4.757833333333332,
180,2020-12-11,4.23,4.25,4.12,4.17,18603564.0,4.317999999999996,4.738999999999999,
181,2020-12-14,4.15,4.24,4.14,4.21,14026797.0,4.322999999999996,4.720333333333332,
182,2020-12-15,4.27,4.53,4.23,4.39,38412932.0,4.326999999999996,4.702666666666665,
183,2020-12-16,4.39,4.39,4.28,4.34,18692662.0,4.331999999999995,4.684999999999999,
184,2020-12-17,4.32,4.35,4.22,4.33,16756281.0,4.329999999999996,4.665999999999998,
185,2020-12-18,4.33,4.44,4.29,4.36,20568295.0,4.316999999999995,4.647999999999998,
186,2020-12-21,4.34,4.41,4.3,4.35,16530407.0,4.308999999999996,4.628499999999999,
187,2020-12-22,4.35,4.35,4.13,4.18,29843493.0,4.284999999999995,4.606499999999999,
188,2020-12-23,4.17,4.19,4.12,4.13,15627195.0,4.267999999999995,4.586833333333332,
189,2020-12-24,4.16,4.16,4.03,4.04,21677431.0,4.249999999999996,4.569333333333333,
190,2020-12-25,4.1,4.16,4.05,4.1,14984340.0,4.242999999999996,4.5553333333333335,
