,date,open,high,low,close,volume,120,180,240
0,2018-11-13,3.2,3.3,3.08,3.13,36323701.0,,,
1,2018-11-14,3.04,3.14,3.04,3.08,18061776.0,,,
2,2018-11-15,3.03,3.09,3.02,3.06,13231611.0,,,
3,2018-11-16,3.06,3.19,3.04,3.09,17345811.0,,,
4,2018-11-19,3.08,3.14,3.0,3.14,17217171.0,,,
5,2018-11-20,3.1,3.1,2.95,2.95,10955800.0,,,
6,2018-11-21,2.91,3.01,2.88,2.96,6827923.0,,,
7,2018-11-22,2.96,3.02,2.95,2.96,4590183.0,,,
8,2018-11-23,2.99,2.99,2.78,2.79,7220384.0,,,
9,2018-11-26,2.79,2.91,2.78,2.83,4817936.0,,,
10,2018-11-27,2.88,2.94,2.86,2.88,4640000.0,,,
11,2018-11-28,2.87,2.92,2.81,2.92,4053016.0,,,
12,2018-11-29,2.92,2.94,2.8,2.82,4768900.0,,,
13,2018-11-30,2.82,2.91,2.8,2.91,6433596.0,,,
14,2018-12-03,2.95,3.0,2.93,2.98,7675850.0,,,
15,2018-12-04,2.97,3.09,2.94,3.04,7477000.0,,,
16,2018-12-05,2.97,2.99,2.93,2.95,5564301.0,,,
17,2018-12-06,2.95,2.96,2.87,2.88,4223868.0,,,
18,2018-12-07,2.9,2.92,2.87,2.89,2275044.0,,,
19,2018-12-10,2.87,2.87,2.81,2.83,2410502.0,,,
20,2018-12-11,2.85,2.85,2.83,2.84,1209093.0,,,
21,2018-12-12,2.85,2.88,2.81,2.83,3375000.0,,,
22,2018-12-13,2.84,2.86,2.78,2.82,3717197.0,,,
23,2018-12-14,2.83,2.86,2.72,2.72,4931354.0,,,
24,2018-12-17,2.74,2.76,2.7,2.74,2818700.0,,,
25,2018-12-18,2.71,2.76,2.7,2.71,2400000.0,,,
26,2018-12-19,2.7,2.73,2.66,2.67,2234681.0,,,
27,2018-12-20,2.66,2.88,2.64,2.77,5540394.0,,,
28,2018-12-21,2.73,2.77,2.67,2.71,3896449.0,,,
29,2018-12-24,2.71,2.71,2.66,2.7,2333400.0,,,
30,2018-12-25,2.7,2.7,2.59,2.67,3448042.0,,,
31,2018-12-26,2.65,2.69,2.65,2.66,1347212.0,,,
32,2018-12-27,2.69,2.72,2.59,2.59,2764277.0,,,
33,2018-12-28,2.59,2.63,2.58,2.61,2080313.0,,,
34,2019-01-02,2.59,2.63,2.59,2.61,1292418.0,,,
35,2019-01-03,2.6,2.64,2.56,2.59,2374390.0,,,
36,2019-01-04,2.56,2.67,2.53,2.65,3129982.0,,,
37,2019-01-07,2.65,2.76,2.64,2.76,6922600.0,,,
38,2019-01-08,2.75,2.78,2.7,2.76,3146905.0,,,
39,2019-01-09,2.8,2.82,2.74,2.75,3608595.0,,,
40,2019-01-10,2.77,2.79,2.71,2.75,2342844.0,,,
41,2019-01-11,2.75,2.79,2.72,2.78,2233012.0,,,
42,2019-01-14,2.78,2.81,2.75,2.76,2467798.0,,,
43,2019-01-15,2.78,2.92,2.75,2.82,7198242.0,,,
44,2019-01-16,2.86,2.88,2.8,2.82,4800647.0,,,
45,2019-01-17,2.84,2.96,2.81,2.86,6212904.0,,,
46,2019-01-18,2.83,2.9,2.83,2.86,2815158.0,,,
47,2019-01-21,2.86,2.89,2.8,2.82,5436358.0,,,
48,2019-01-22,2.82,2.85,2.8,2.82,2589400.0,,,
49,2019-01-23,2.79,2.82,2.78,2.81,1612873.0,,,
50,2019-01-24,2.79,2.8,2.72,2.76,4246144.0,,,
51,2019-01-25,2.76,2.78,2.69,2.71,3092648.0,,,
52,2019-01-28,2.7,2.75,2.68,2.7,1656100.0,,,
53,2019-01-29,2.67,2.7,2.59,2.61,3004615.0,,,
54,2019-01-30,2.6,2.63,2.56,2.56,1911400.0,,,
55,2019-01-31,2.58,2.63,2.57,2.59,3381165.0,,,
56,2019-02-01,2.59,2.68,2.59,2.67,2482252.0,,,
57,2019-02-11,2.7,2.94,2.67,2.94,11556192.0,,,
58,2019-02-12,3.07,3.16,2.95,3.01,28648694.0,,,
59,2019-02-13,2.97,3.02,2.9,3.01,16665303.0,,,
60,2019-02-14,3.02,3.03,2.93,2.96,10640068.0,,,
61,2019-02-15,3.0,3.09,2.98,2.99,13776810.0,,,
62,2019-02-18,3.0,3.07,2.99,3.05,13769238.0,,,
63,2019-02-19,3.11,3.18,3.05,3.06,16815471.0,,,
64,2019-02-20,3.13,3.13,2.98,3.03,9205398.0,,,
65,2019-02-21,3.02,3.05,2.97,2.98,9612100.0,,,
66,2019-02-22,3.02,3.06,2.99,3.06,8862113.0,,,
67,2019-02-25,3.08,3.2,3.06,3.17,21087327.0,,,
68,2019-02-26,3.18,3.49,3.13,3.27,39028328.0,,,
69,2019-02-27,3.23,3.41,3.21,3.3,26634713.0,,,
70,2019-02-28,3.26,3.36,3.21,3.27,16305506.0,,,
71,2019-03-01,3.28,3.33,3.24,3.29,13329224.0,,,
72,2019-03-04,3.28,3.4,3.28,3.31,18223766.0,,,
73,2019-03-05,3.3,3.61,3.25,3.54,34124513.0,,,
74,2019-03-06,3.76,3.89,3.76,3.89,55542335.0,,,
75,2019-03-07,4.18,4.19,3.97,4.05,80754680.0,,,
76,2019-03-08,3.78,3.87,3.65,3.65,52277208.0,,,
77,2019-03-11,3.67,3.88,3.6,3.82,30242316.0,,,
78,2019-03-12,3.85,4.07,3.74,3.87,37894934.0,,,
79,2019-03-13,3.79,3.82,3.66,3.73,25056367.0,,,
80,2019-03-14,3.68,3.72,3.48,3.53,14438389.0,,,
81,2019-03-15,3.59,3.63,3.51,3.55,10475786.0,,,
82,2019-03-18,3.58,3.65,3.5,3.65,11378863.0,,,
83,2019-03-19,3.67,3.74,3.63,3.67,12009244.0,,,
84,2019-03-20,3.66,3.67,3.6,3.64,9784997.0,,,
85,2019-03-21,3.63,3.68,3.62,3.67,12980043.0,,,
86,2019-03-22,3.65,3.67,3.58,3.64,9145770.0,,,
