,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.65,5.72,5.42,5.43,28211596.0,,,
1,2020-03-19,5.33,5.44,5.19,5.32,21180248.0,,,
2,2020-03-20,5.35,5.41,5.32,5.38,13173406.0,,,
3,2020-03-23,5.26,5.3,5.17,5.2,10280407.0,,,
4,2020-03-24,5.29,5.31,5.14,5.27,9348812.0,,,
5,2020-03-25,5.36,5.37,5.3,5.33,13358176.0,,,
6,2020-03-26,5.31,5.46,5.29,5.37,15359547.0,,,
7,2020-03-27,5.44,5.44,5.37,5.37,10058015.0,,,
8,2020-03-30,5.34,5.34,5.21,5.29,9666211.0,,,
9,2020-03-31,5.33,5.37,5.31,5.37,8287838.0,5.332999999999999,,
10,2020-04-01,5.35,5.46,5.35,5.36,9445456.0,5.325999999999999,,
11,2020-04-02,5.34,5.58,5.33,5.53,17534841.0,5.3469999999999995,,
12,2020-04-03,5.48,5.49,5.33,5.37,17507842.0,5.345999999999998,,
13,2020-04-07,5.44,5.51,5.37,5.44,17628836.0,5.369999999999998,,
14,2020-04-08,5.39,5.43,5.37,5.4,12554356.0,5.382999999999998,,
15,2020-04-09,5.38,5.43,5.29,5.29,26590625.0,5.378999999999999,,
16,2020-04-10,5.28,5.28,5.06,5.07,28591116.0,5.348999999999998,,
17,2020-04-13,5.1,5.16,5.06,5.15,28669239.0,5.326999999999999,,
18,2020-04-14,4.89,5.04,4.81,5.03,54139926.0,5.300999999999999,,
19,2020-04-15,5.01,5.17,4.96,4.99,24951699.0,5.263,,
20,2020-04-16,4.96,4.99,4.9,4.93,13688937.0,5.22,,
21,2020-04-17,4.93,4.96,4.84,4.85,23562853.0,5.151999999999999,,
22,2020-04-20,4.86,4.87,4.73,4.74,24677433.0,5.089,,
23,2020-04-21,4.73,4.81,4.68,4.76,18591040.0,5.021,,
24,2020-04-22,4.77,4.81,4.71,4.79,14530197.0,4.96,,
25,2020-04-23,4.8,4.97,4.78,4.9,22660248.0,4.921,,
26,2020-04-24,4.9,4.9,4.77,4.79,15245044.0,4.893,,
27,2020-04-27,4.79,4.8,4.72,4.73,9397300.0,4.851,,
