,date,open,high,low,close,volume,10,60,250
0,2020-03-19,15.6,15.84,15.23,15.64,19075783.0,,,
1,2020-03-20,15.8,15.83,15.02,15.47,16138269.0,,,
2,2020-03-23,15.02,15.07,14.24,14.43,24356883.0,,,
3,2020-03-24,14.53,14.97,14.25,14.87,24327756.0,,,
4,2020-03-25,15.08,15.73,15.0,15.56,19520909.0,,,
5,2020-03-26,15.47,15.91,15.32,15.52,13496025.0,,,
6,2020-03-27,15.81,15.85,15.15,15.15,11713571.0,,,
7,2020-03-30,15.02,15.27,14.82,14.95,10105762.0,,,
8,2020-03-31,15.2,15.42,14.95,15.42,12886960.0,,,
9,2020-04-01,15.4,15.46,15.05,15.11,7676949.0,15.212,,
10,2020-04-02,15.21,15.91,15.07,15.85,18066412.0,15.232999999999999,,
11,2020-04-03,15.85,16.37,15.83,16.01,16166713.0,15.286999999999997,,
12,2020-04-07,16.23,16.37,16.04,16.21,11452945.0,15.464999999999998,,
13,2020-04-08,16.12,16.17,15.88,16.07,10055724.0,15.584999999999997,,
14,2020-04-09,16.1,16.25,16.05,16.13,5271134.0,15.641999999999996,,
15,2020-04-10,16.1,16.3,15.97,16.1,8597083.0,15.699999999999994,,
16,2020-04-13,16.2,16.37,15.78,16.18,5367854.0,15.802999999999994,,
17,2020-04-14,16.27,16.4,16.05,16.37,9262451.0,15.944999999999997,,
18,2020-04-15,16.32,16.33,16.1,16.25,6767243.0,16.028,,
19,2020-04-16,16.1,16.2,15.89,16.05,6690077.0,16.121999999999996,,
20,2020-04-17,16.15,16.47,16.11,16.14,7479657.0,16.150999999999996,,
21,2020-04-20,16.19,16.24,16.05,16.15,6340149.0,16.165,,
22,2020-04-21,16.13,16.13,15.51,15.65,8479011.0,16.108999999999998,,
23,2020-04-22,15.52,16.09,15.45,16.0,15963140.0,16.101999999999997,,
24,2020-04-23,16.06,16.54,15.98,16.32,10528607.0,16.121,,
25,2020-04-24,16.24,16.45,15.88,15.97,9251858.0,16.107999999999997,,
26,2020-04-27,16.06,16.26,15.94,16.02,4721898.0,16.092,,
27,2020-04-28,16.0,16.15,15.59,15.86,10875910.0,16.040999999999997,,
28,2020-04-29,15.82,15.97,15.4,15.49,8620183.0,15.964999999999998,,
29,2020-04-30,15.61,16.49,15.6,16.33,15460115.0,15.992999999999995,,
30,2020-05-06,16.32,16.74,16.2,16.67,12143913.0,16.046,,
31,2020-05-07,16.79,16.99,16.42,16.82,12390304.0,16.112999999999996,,
32,2020-05-08,16.95,17.26,16.83,17.12,9486482.0,16.259999999999998,,
33,2020-05-11,17.12,17.81,17.01,17.59,14468044.0,16.418999999999997,,
34,2020-05-12,17.6,17.75,17.4,17.46,6884774.0,16.532999999999998,,
35,2020-05-13,17.46,17.6,17.26,17.34,5672210.0,16.669999999999998,,
36,2020-05-14,17.34,17.34,17.04,17.12,9056936.0,16.779999999999998,,
37,2020-05-15,17.17,17.25,16.67,16.8,10336628.0,16.874000000000002,,
38,2020-05-18,16.81,16.89,16.47,16.71,7352177.0,16.996000000000002,,
39,2020-05-19,16.94,18.07,16.94,17.92,23016768.0,17.155,,
40,2020-05-20,17.92,18.56,17.8,18.04,17285228.0,17.292,,
41,2020-05-21,18.17,18.28,17.75,17.93,10428261.0,17.403000000000002,,
42,2020-05-22,17.77,17.97,17.11,17.26,12899594.0,17.417,,
43,2020-05-25,17.32,17.61,16.93,17.46,8218000.0,17.404000000000003,,
44,2020-05-26,17.55,17.99,17.38,17.92,10318897.0,17.450000000000003,,
45,2020-05-27,17.92,17.97,17.61,17.67,10346318.0,17.483,,
46,2020-05-28,17.69,18.04,17.38,17.59,9272991.0,17.53,,
47,2020-05-29,17.61,17.85,17.24,17.37,10474098.0,17.587,,
