,date,open,high,low,close,volume,120,180,240
0,2020-12-03,31.87,38.25,31.87,38.25,151519.0,,,
1,2020-12-04,42.08,42.08,42.08,42.08,93259.0,,,
2,2020-12-07,46.29,46.29,46.29,46.29,100232.0,,,
3,2020-12-08,50.92,50.92,50.92,50.92,620723.0,,,
4,2020-12-09,51.0,55.9,48.2,54.51,14609024.0,,,
5,2020-12-10,50.0,52.8,49.06,49.06,9061475.0,,,
6,2020-12-11,47.07,47.29,44.15,44.15,8660214.0,,,
7,2020-12-14,42.88,43.38,41.68,42.34,6030943.0,,,
8,2020-12-15,42.0,46.57,41.68,46.57,6126237.0,,,
9,2020-12-16,46.51,47.78,44.38,44.52,8378309.0,,,
10,2020-12-17,43.63,44.27,42.0,43.66,5959356.0,,,
11,2020-12-18,44.0,44.5,41.7,41.91,5369672.0,,,
12,2020-12-21,40.6,41.66,40.03,41.05,3876768.0,,,
13,2020-12-22,40.6,40.6,38.38,38.8,4944297.0,,,
14,2020-12-23,38.78,39.89,37.58,39.37,4743699.0,,,
15,2020-12-24,38.99,39.45,37.62,37.8,3027536.0,,,
16,2020-12-25,37.3,38.3,37.1,37.75,2695605.0,,,
17,2020-12-28,37.3,37.55,35.5,35.6,3384594.0,,,
18,2020-12-29,35.11,37.29,35.11,35.96,2919607.0,,,
19,2020-12-30,35.51,36.66,34.65,36.04,2957485.0,,,
20,2020-12-31,36.05,37.32,35.92,36.53,2601690.0,,,
21,2021-01-04,36.6,37.1,35.95,36.61,2495089.0,,,
22,2021-01-05,36.6,38.64,36.2,38.09,3893033.0,,,
23,2021-01-06,37.32,37.76,35.97,36.02,2910109.0,,,
24,2021-01-07,35.78,35.78,32.81,33.52,3418129.0,,,
25,2021-01-08,33.0,34.2,32.68,33.02,1829472.0,,,
26,2021-01-11,33.49,35.3,33.11,33.98,2503780.0,,,
27,2021-01-12,33.98,34.18,32.72,32.98,2080550.0,,,
28,2021-01-13,32.92,32.92,31.48,31.72,2402363.0,,,
29,2021-01-14,31.5,32.88,31.39,32.18,2080842.0,,,
30,2021-01-15,31.91,33.66,31.7,33.12,2727810.0,,,
31,2021-01-18,32.8,33.57,32.58,33.03,1974970.0,,,
32,2021-01-19,32.79,34.39,32.79,33.48,2331323.0,,,
33,2021-01-20,33.4,35.05,33.18,34.17,2221682.0,,,
34,2021-01-21,33.8,34.29,33.15,33.38,1992487.0,,,
35,2021-01-22,33.38,33.38,32.1,32.33,1739896.0,,,
36,2021-01-25,32.59,35.56,32.01,35.56,2877647.0,,,
37,2021-01-26,36.0,39.0,36.0,37.46,7957104.0,,,
38,2021-01-27,35.0,36.91,33.75,36.34,4851974.0,,,
39,2021-01-28,35.13,35.58,34.23,34.5,3012620.0,,,
40,2021-01-29,34.82,34.85,32.23,33.45,2947905.0,,,
41,2021-02-01,33.1,35.06,32.85,35.02,2912170.0,,,
42,2021-02-02,34.91,34.91,33.56,33.88,2142336.0,,,
43,2021-02-03,33.95,34.16,32.1,32.39,2054058.0,,,
44,2021-02-04,32.31,33.6,31.8,33.27,2133009.0,,,
45,2021-02-05,33.0,33.95,32.61,32.68,1864463.0,,,
46,2021-02-08,32.2,33.31,31.98,32.34,1432266.0,,,
47,2021-02-09,32.16,32.5,31.45,32.38,1526709.0,,,
48,2021-02-10,32.38,32.85,31.75,31.93,1382938.0,,,
49,2021-02-18,32.3,33.2,32.18,33.09,1665027.0,,,
50,2021-02-19,32.9,34.15,32.7,33.98,1883260.0,,,
51,2021-02-22,34.01,34.5,33.2,33.31,2442842.0,,,
52,2021-02-23,33.01,33.19,32.4,32.68,1481690.0,,,
53,2021-02-24,32.99,35.95,32.82,35.95,4234901.0,,,
54,2021-02-25,36.55,36.65,34.6,35.16,3820706.0,,,
55,2021-02-26,34.2,37.22,34.2,36.34,4504774.0,,,
56,2021-03-01,36.35,37.9,36.0,36.89,3925277.0,,,
57,2021-03-02,36.36,36.71,35.2,35.6,2588383.0,,,
58,2021-03-03,35.43,36.95,34.8,36.28,2395315.0,,,
59,2021-03-04,35.63,37.0,35.32,37.0,2774313.0,,,
60,2021-03-05,36.64,38.58,36.4,38.35,4229287.0,,,
61,2021-03-08,38.48,38.9,37.07,37.29,3458393.0,,,
62,2021-03-09,36.66,37.0,34.49,34.81,2857850.0,,,
63,2021-03-10,35.05,35.5,34.47,35.16,1699518.0,,,
64,2021-03-11,35.16,35.58,34.7,35.29,1880741.0,,,
65,2021-03-12,35.16,35.16,33.21,33.28,2327160.0,,,
66,2021-03-15,32.6,33.29,32.6,32.94,1070555.0,,,
67,2021-03-16,32.78,33.66,32.66,33.28,916376.0,,,
68,2021-03-17,33.18,34.37,33.05,33.94,1123912.0,,,
69,2021-03-18,34.3,34.3,33.66,33.82,960254.0,,,
70,2021-03-19,33.3,37.1,33.3,35.15,2333756.0,,,
71,2021-03-22,35.03,36.44,34.8,35.7,2254723.0,,,
72,2021-03-23,35.7,36.2,35.25,35.8,1971332.0,,,
73,2021-03-24,35.25,36.4,34.6,36.06,2213851.0,,,
74,2021-03-25,35.88,36.28,35.22,36.03,1702712.0,,,
75,2021-03-26,36.16,36.21,35.3,35.42,1548026.0,,,
76,2021-03-29,35.8,36.1,35.2,36.06,1748689.0,,,
77,2021-03-30,35.5,35.7,33.9,34.2,2089653.0,,,
78,2021-03-31,34.31,34.78,33.88,34.3,931121.0,,,
79,2021-04-01,34.18,37.73,33.55,37.73,6664367.0,,,
80,2021-04-02,37.98,39.78,37.21,38.3,9890312.0,,,
81,2021-04-06,38.58,39.0,37.42,37.65,5342653.0,,,
82,2021-04-07,37.38,39.29,37.23,39.2,5897469.0,,,
83,2021-04-08,39.7,42.86,38.0,38.19,7666825.0,,,
84,2021-04-09,37.8,38.7,37.22,37.8,4043591.0,,,
85,2021-04-12,37.85,38.12,36.35,36.82,3316882.0,,,
86,2021-04-13,36.62,37.18,36.15,36.32,2153100.0,,,
87,2021-04-14,36.55,37.75,36.0,37.49,2673624.0,,,
88,2021-04-15,37.52,37.93,35.8,36.15,2366974.0,,,
89,2021-04-16,36.01,36.8,35.78,36.19,1681360.0,,,
90,2021-04-19,36.06,37.55,36.02,37.4,2547873.0,,,
91,2021-04-20,37.01,37.77,36.52,36.86,1879512.0,,,
92,2021-04-21,36.39,38.5,36.08,38.12,3769702.0,,,
93,2021-04-22,37.86,38.26,37.51,38.08,2553797.0,,,
94,2021-04-23,38.18,38.45,37.07,37.07,2334987.0,,,
95,2021-04-26,36.75,37.68,35.56,37.16,2309013.0,,,
96,2021-04-27,36.5,36.73,33.85,33.85,3123390.0,,,
97,2021-04-28,33.85,34.27,33.5,34.0,1244781.0,,,
98,2021-04-29,33.48,34.59,33.2,33.26,1423547.0,,,
99,2021-04-30,33.05,33.26,31.66,31.93,1937529.0,,,
