,date,open,high,low,close,volume,10,60,250
0,2020-08-18,44.0,66.66,42.95,61.55,34483352.0,,,
1,2020-08-19,56.0,57.18,48.48,48.62,22113669.0,,,
2,2020-08-20,45.93,47.26,43.82,44.7,13934969.0,,,
3,2020-08-21,44.73,46.43,43.39,43.65,9136530.0,,,
4,2020-08-24,42.6,42.78,40.15,40.38,9900652.0,,,
5,2020-08-25,40.59,41.5,40.15,40.89,6485315.0,,,
6,2020-08-26,40.61,40.83,38.1,38.56,7459925.0,,,
7,2020-08-27,38.66,39.62,37.68,38.58,4633231.0,,,
8,2020-08-28,38.5,38.8,37.6,37.96,4446886.0,,,
9,2020-08-31,38.15,39.49,37.93,38.64,4216061.0,43.352999999999994,,
10,2020-09-01,38.28,39.32,38.21,38.98,3131742.0,41.096,,
11,2020-09-02,39.15,39.15,38.01,38.09,3784674.0,40.04299999999999,,
12,2020-09-03,38.23,38.46,37.72,37.81,2784568.0,39.354,,
13,2020-09-04,37.8,38.42,37.36,38.21,2934697.0,38.809999999999995,,
14,2020-09-07,37.83,38.44,36.8,36.85,3782440.0,38.457,,
15,2020-09-08,37.18,37.19,35.77,36.1,3448446.0,37.978,,
16,2020-09-09,35.66,36.43,35.32,35.35,2498645.0,37.657000000000004,,
17,2020-09-10,35.45,36.17,34.4,34.58,2444043.0,37.257000000000005,,
18,2020-09-11,34.53,35.54,34.34,35.13,2060684.0,36.974000000000004,,
19,2020-09-14,35.4,36.1,35.3,35.5,2111494.0,36.66000000000001,,
20,2020-09-15,35.7,36.17,35.19,35.75,1858558.0,36.337,,
21,2020-09-16,35.88,36.46,35.52,36.37,2311569.0,36.165000000000006,,
22,2020-09-17,36.31,40.5,35.91,38.75,8463481.0,36.25900000000001,,
23,2020-09-18,38.47,39.12,37.68,37.91,4158756.0,36.22900000000001,,
24,2020-09-21,38.12,38.37,37.46,37.67,2205114.0,36.311000000000014,,
25,2020-09-22,37.51,37.52,36.32,36.32,2577268.0,36.33300000000001,,
26,2020-09-23,36.65,37.12,36.35,36.82,1873840.0,36.480000000000004,,
27,2020-09-24,36.5,36.62,35.13,35.4,2467187.0,36.562000000000005,,
28,2020-09-25,35.7,35.72,34.88,34.88,1292038.0,36.537000000000006,,
29,2020-09-28,34.8,35.17,34.36,34.37,1205554.0,36.42400000000001,,
30,2020-09-29,34.47,35.15,34.45,34.52,1292314.0,36.301,,
31,2020-09-30,34.49,34.92,34.46,34.59,1151480.0,36.123000000000005,,
32,2020-10-09,35.18,35.67,35.18,35.47,1458856.0,35.795,,
33,2020-10-12,35.47,36.67,35.47,36.53,2123578.0,35.657000000000004,,
34,2020-10-13,36.45,36.47,35.9,36.07,1705391.0,35.497,,
35,2020-10-14,36.07,36.08,35.5,35.58,1529325.0,35.423,,
36,2020-10-15,35.56,36.12,35.25,35.27,1689764.0,35.268,,
37,2020-10-16,35.3,35.44,34.88,35.13,1282684.0,35.241,,
38,2020-10-19,35.18,35.4,34.86,35.0,1295910.0,35.253,,
39,2020-10-20,34.88,35.17,34.74,35.17,1096853.0,35.333000000000006,,
40,2020-10-21,35.17,35.18,34.65,34.67,1291461.0,35.348000000000006,,
41,2020-10-22,34.6,34.6,34.0,34.21,1435666.0,35.31,,
42,2020-10-23,34.25,34.49,33.5,33.51,1819140.0,35.114,,
43,2020-10-26,33.51,34.06,33.33,33.91,1025950.0,34.852,,
44,2020-10-27,33.78,34.13,33.68,34.11,870047.0,34.656,,
45,2020-10-28,34.11,34.16,32.99,33.06,1976600.0,34.404,,
46,2020-10-29,32.48,32.78,32.35,32.5,1642256.0,34.127,,
47,2020-10-30,32.95,33.4,32.35,32.37,1605020.0,33.851000000000006,,
48,2020-11-02,32.42,32.54,31.06,31.4,2020669.0,33.491,,
49,2020-11-03,31.4,32.78,31.4,32.62,1460289.0,33.236000000000004,,
50,2020-11-04,32.88,32.99,32.18,32.47,899357.0,33.016000000000005,,
51,2020-11-05,33.31,33.33,32.74,33.06,1050571.0,32.901,,
52,2020-11-06,32.95,33.3,32.45,32.55,1248477.0,32.80500000000001,,
53,2020-11-09,32.99,34.99,32.75,34.75,3535149.0,32.88900000000001,,
54,2020-11-10,34.86,34.99,34.22,34.54,2391226.0,32.93200000000001,,
55,2020-11-11,34.47,34.47,33.5,33.76,1536016.0,33.00200000000001,,
56,2020-11-12,33.88,36.36,33.88,36.08,5644483.0,33.36000000000001,,
57,2020-11-13,35.89,37.58,35.51,37.36,5274877.0,33.85900000000001,,
58,2020-11-16,37.0,38.16,36.41,36.58,3328798.0,34.37700000000001,,
59,2020-11-17,36.58,36.59,35.36,35.74,2129494.0,34.68900000000001,36.61583333333333,
60,2020-11-18,35.8,36.06,35.43,35.48,1378470.0,34.99000000000001,36.18133333333333,
61,2020-11-19,35.34,36.02,35.2,35.35,1424801.0,35.21900000000001,35.96016666666666,
62,2020-11-20,35.61,36.2,35.51,35.8,1804138.0,35.54400000000001,35.81183333333333,
63,2020-11-23,35.77,35.8,34.7,34.72,1995300.0,35.54100000000001,35.663,
64,2020-11-24,34.65,35.06,34.39,34.42,1309865.0,35.52900000000001,35.56366666666666,
65,2020-11-25,34.43,34.82,34.03,34.21,943469.0,35.574000000000005,35.45233333333333,
66,2020-11-26,34.21,34.49,33.09,33.18,1794622.0,35.284000000000006,35.36266666666666,
67,2020-11-27,33.59,33.59,32.61,32.93,1155396.0,34.84100000000001,35.268499999999996,
68,2020-11-30,32.93,33.5,32.81,32.89,1302250.0,34.47200000000001,35.18399999999999,
69,2020-12-01,33.18,33.29,32.88,33.26,1145863.0,34.224000000000004,35.09433333333333,
70,2020-12-02,33.42,33.65,33.13,33.48,913060.0,34.02400000000001,35.00266666666666,
71,2020-12-03,33.69,35.48,33.58,35.44,3451952.0,34.033,34.958499999999994,
72,2020-12-04,35.3,37.97,35.22,37.45,7330390.0,34.198,34.95249999999999,
73,2020-12-07,38.8,39.26,37.5,38.34,6331661.0,34.56,34.95466666666666,
74,2020-12-08,38.0,38.16,36.4,37.15,3754865.0,34.833,34.959666666666664,
75,2020-12-09,37.18,37.36,36.08,36.51,3365546.0,35.063,34.9665,
76,2020-12-10,36.4,36.94,35.42,36.8,2319781.0,35.425,34.99066666666668,
77,2020-12-11,36.66,39.0,36.5,37.0,3762803.0,35.832,35.03100000000001,
78,2020-12-14,37.24,38.24,36.58,37.7,2329782.0,36.313,35.07383333333334,
79,2020-12-15,37.7,37.87,36.72,36.9,1370071.0,36.677,35.09716666666667,
80,2020-12-16,37.3,37.38,35.7,35.87,1541585.0,36.916,35.09916666666667,
81,2020-12-17,35.6,36.17,34.7,36.06,1501348.0,36.977999999999994,35.09400000000001,
82,2020-12-18,36.1,36.25,35.1,35.11,1542252.0,36.744,35.03333333333334,
83,2020-12-21,35.6,35.6,34.48,34.93,1352222.0,36.403,34.98366666666667,
84,2020-12-22,34.76,34.78,33.2,33.25,2418776.0,36.013,34.910000000000004,
85,2020-12-23,33.37,33.52,32.87,33.2,1261277.0,35.682,34.858,
86,2020-12-24,33.19,33.7,32.22,32.37,1644917.0,35.239,34.78383333333333,
87,2020-12-25,32.16,32.85,32.05,32.8,1017626.0,34.819,34.7405,
88,2020-12-28,32.8,32.8,31.6,31.8,1563334.0,34.229,34.689166666666665,
89,2020-12-29,31.98,32.26,31.68,31.79,1039522.0,33.718,34.646166666666666,
90,2020-12-30,31.65,32.06,31.25,31.41,1497119.0,33.272000000000006,34.59433333333333,
91,2020-12-31,31.39,31.75,31.19,31.48,1534403.0,32.81400000000001,34.5425,
92,2021-01-04,31.48,32.63,31.45,32.63,1914328.0,32.56600000000001,34.49516666666667,
93,2021-01-05,32.29,32.53,31.62,32.13,1723235.0,32.28600000000001,34.42183333333333,
94,2021-01-06,32.39,32.39,31.45,31.57,1360473.0,32.11800000000001,34.34683333333333,
95,2021-01-07,31.53,31.62,28.58,28.82,3200384.0,31.680000000000007,34.23416666666667,
96,2021-01-08,28.82,28.82,27.86,28.67,1889849.0,31.31000000000001,34.124166666666675,
