,date,open,high,low,close,volume,10,60,250
0,2020-06-30,21.26,23.19,21.26,23.19,66916.0,,,
1,2020-07-01,25.51,25.51,25.51,25.51,35238.0,,,
2,2020-07-02,28.06,28.06,28.06,28.06,42320.0,,,
3,2020-07-03,30.87,30.87,30.87,30.87,59977.0,,,
4,2020-07-06,33.96,33.96,33.96,33.96,56081.0,,,
5,2020-07-07,37.36,37.36,32.23,34.55,15082108.0,,,
6,2020-07-08,33.33,34.13,32.59,33.92,9642537.0,,,
7,2020-07-09,33.63,35.66,33.38,35.66,10802077.0,,,
8,2020-07-10,35.25,36.22,34.29,34.37,8129210.0,,,
9,2020-07-13,34.09,34.92,33.68,34.77,6166492.0,31.485999999999997,,
10,2020-07-14,34.97,35.02,33.44,33.83,5250045.0,32.55,,
11,2020-07-15,34.0,37.22,34.0,37.22,10507341.0,33.72099999999999,,
12,2020-07-16,36.76,36.76,33.49,33.49,9045470.0,34.263999999999996,,
13,2020-07-17,32.9,33.33,31.03,31.09,5113040.0,34.28599999999999,,
14,2020-07-20,31.25,31.96,30.43,31.92,3403938.0,34.081999999999994,,
15,2020-07-21,31.83,31.83,30.81,31.16,2861119.0,33.742999999999995,,
16,2020-07-22,31.2,31.97,30.83,31.49,3059736.0,33.49999999999999,,
17,2020-07-23,30.86,31.08,30.02,30.46,3258819.0,32.98,,
18,2020-07-24,30.17,30.95,29.73,30.02,2585633.0,32.544999999999995,,
19,2020-07-27,30.09,31.09,29.82,31.01,2385296.0,32.169,,
20,2020-07-28,31.25,31.28,30.41,30.65,1923982.0,31.850999999999992,,
21,2020-07-29,30.64,30.99,30.04,30.91,1967440.0,31.21999999999999,,
22,2020-07-30,30.94,31.56,30.59,31.17,2387522.0,30.987999999999992,,
23,2020-07-31,31.0,31.44,30.6,30.68,1994921.0,30.946999999999996,,
24,2020-08-03,30.71,31.19,30.52,31.1,2332229.0,30.865,,
25,2020-08-04,31.11,32.39,30.94,31.84,4373024.0,30.932999999999993,,
26,2020-08-05,31.56,31.58,30.88,31.25,2626693.0,30.908999999999992,,
27,2020-08-06,31.45,32.54,31.12,31.9,3768075.0,31.05299999999999,,
28,2020-08-07,31.98,33.48,31.95,32.13,3726089.0,31.263999999999992,,
29,2020-08-10,32.39,32.79,31.66,32.51,2647302.0,31.413999999999994,,
30,2020-08-11,32.29,32.49,30.21,30.31,3205824.0,31.379999999999995,,
31,2020-08-12,30.57,30.57,28.8,29.46,2189540.0,31.234999999999992,,
32,2020-08-13,29.51,29.69,29.21,29.27,1151343.0,31.044999999999987,,
