,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.47,7.52,7.3,7.33,3966584.0,,,
1,2020-03-19,7.41,7.41,7.12,7.18,5226566.0,,,
2,2020-03-20,7.22,7.26,7.11,7.22,4864495.0,,,
3,2020-03-23,7.08,7.13,6.94,6.98,3958772.0,,,
4,2020-03-24,7.06,7.13,7.01,7.1,2371368.0,,,
5,2020-03-25,7.21,7.24,7.15,7.2,3579291.0,,,
6,2020-03-26,7.21,7.22,7.12,7.12,3226016.0,,,
7,2020-03-27,7.19,7.28,7.16,7.17,3577241.0,,,
8,2020-03-30,7.12,7.12,7.04,7.1,3168197.0,,,
9,2020-03-31,7.15,7.25,7.09,7.19,2746091.0,7.159000000000001,,
10,2020-04-01,7.15,7.35,7.15,7.21,3298101.0,7.147,,
11,2020-04-02,7.19,7.27,7.14,7.26,2142905.0,7.155000000000001,,
12,2020-04-03,7.22,7.33,7.19,7.25,3103716.0,7.158000000000001,,
13,2020-04-07,7.31,7.39,7.29,7.38,3500693.0,7.198,,
14,2020-04-08,7.36,7.4,7.3,7.36,2870133.0,7.224000000000001,,
15,2020-04-09,7.37,7.42,7.31,7.37,3067750.0,7.241000000000001,,
16,2020-04-10,7.37,7.39,7.27,7.28,3152103.0,7.257000000000001,,
17,2020-04-13,7.26,7.35,7.19,7.23,2190880.0,7.263000000000001,,
18,2020-04-14,7.19,7.3,7.17,7.29,2538640.0,7.282000000000002,,
19,2020-04-15,7.27,7.3,7.22,7.23,1484000.0,7.286000000000003,,
20,2020-04-16,7.19,7.25,7.17,7.19,1850664.0,7.284000000000003,,
21,2020-04-17,7.24,7.3,7.22,7.25,2756970.0,7.283000000000003,,
22,2020-04-20,7.36,7.88,7.33,7.81,17522511.0,7.339000000000003,,
23,2020-04-21,7.75,7.86,7.65,7.83,8211688.0,7.384000000000003,,
24,2020-04-22,7.79,8.18,7.78,7.93,14247159.0,7.441000000000004,,
25,2020-04-23,7.93,8.2,7.83,8.08,10784278.0,7.512000000000003,,
26,2020-04-24,8.1,8.25,7.95,7.98,9265989.0,7.582000000000003,,
27,2020-04-27,7.98,8.13,7.94,7.98,7241200.0,7.657000000000004,,
28,2020-04-28,7.87,7.92,7.62,7.79,8100901.0,7.707000000000003,,
29,2020-04-29,7.78,7.86,7.63,7.63,4378234.0,7.7470000000000026,,
30,2020-04-30,7.69,7.77,7.62,7.77,5828748.0,7.805000000000002,,
31,2020-05-06,7.68,7.79,7.58,7.75,5672286.0,7.855000000000002,,
32,2020-05-07,7.71,8.35,7.63,8.23,14531752.0,7.897000000000003,,
33,2020-05-08,8.23,8.32,8.18,8.22,10205058.0,7.936000000000003,,
34,2020-05-11,8.24,8.44,8.19,8.22,7555077.0,7.965000000000003,,
35,2020-05-12,8.23,8.29,8.06,8.1,6258679.0,7.967000000000003,,
36,2020-05-13,8.14,8.28,8.05,8.17,6080952.0,7.986000000000002,,
37,2020-05-14,8.13,8.39,8.1,8.31,9139809.0,8.019000000000002,,
38,2020-05-15,8.34,8.49,8.27,8.3,8751992.0,8.070000000000002,,
39,2020-05-18,8.37,8.49,8.27,8.44,9351910.0,8.151000000000002,,
40,2020-05-19,8.49,8.49,8.27,8.39,6521486.0,8.213000000000003,,
41,2020-05-20,8.39,8.39,8.19,8.24,7158970.0,8.262000000000002,,
42,2020-05-21,8.21,8.34,8.21,8.24,3711806.0,8.263000000000002,,
43,2020-05-22,8.2,8.24,8.01,8.05,6273555.0,8.246,,
44,2020-05-25,7.99,8.29,7.99,8.18,4985374.0,8.242,,
45,2020-05-26,8.17,8.27,8.13,8.27,4752989.0,8.259000000000002,,
46,2020-05-27,8.7,9.1,8.53,9.1,27109909.0,8.352,,
47,2020-05-28,9.33,10.01,9.33,9.82,62564312.0,8.503,,
48,2020-05-29,9.6,9.94,9.55,9.84,44986377.0,8.657,,
49,2020-06-01,9.76,9.88,9.64,9.74,27690274.0,8.787,,
50,2020-06-02,9.74,9.98,9.36,9.4,31002845.0,8.888000000000002,,
51,2020-06-03,9.5,9.54,9.22,9.48,21072356.0,9.012000000000002,,
52,2020-06-04,9.5,9.56,9.28,9.43,16040453.0,9.131000000000002,,
53,2020-06-05,9.36,9.43,9.2,9.43,13461185.0,9.269000000000002,,
54,2020-06-08,9.4,9.4,9.11,9.12,12414811.0,9.363000000000003,,
55,2020-06-09,9.15,9.34,9.09,9.14,9815432.0,9.450000000000003,,
56,2020-06-10,9.13,9.22,9.05,9.17,7932437.0,9.457000000000004,,
57,2020-06-11,9.14,9.14,8.9,8.92,11467347.0,9.367000000000004,,
58,2020-06-12,8.83,8.86,8.7,8.78,13279268.0,9.261000000000005,,
59,2020-06-15,8.82,9.02,8.71,8.84,10648719.0,9.171000000000005,8.050166666666668,
60,2020-06-16,8.87,9.22,8.85,9.16,13507521.0,9.147000000000004,8.080666666666668,
61,2020-06-17,9.15,9.15,8.96,9.05,7033499.0,9.104000000000003,8.111833333333335,
62,2020-06-18,9.08,9.1,8.88,8.88,7139549.0,9.049000000000003,8.139500000000002,
63,2020-06-19,8.85,9.19,8.85,9.08,10789408.0,9.014000000000005,8.1745,
64,2020-06-22,9.1,9.21,8.99,9.21,9806980.0,9.023000000000005,8.209666666666667,
65,2020-06-23,9.15,9.65,9.1,9.5,20472747.0,9.059000000000005,8.248,
66,2020-06-24,9.5,9.66,9.38,9.53,12379292.0,9.095000000000004,8.288166666666665,
67,2020-06-29,9.5,9.52,9.0,9.23,15919001.0,9.126000000000005,8.3225,
68,2020-06-30,9.23,9.48,9.1,9.32,11924763.0,9.180000000000003,8.359499999999999,
69,2020-07-01,9.32,9.98,9.25,9.69,27693222.0,9.265000000000004,8.401166666666665,
70,2020-07-02,9.7,10.48,9.51,10.22,35485486.0,9.371000000000004,8.451333333333332,
71,2020-07-03,10.16,10.16,9.71,9.93,25087841.0,9.459000000000005,8.495833333333334,
72,2020-07-06,10.1,10.34,9.84,10.14,25179427.0,9.585000000000004,8.544,
73,2020-07-07,10.12,10.54,10.06,10.31,26609734.0,9.708000000000006,8.592833333333333,
74,2020-07-08,10.32,10.44,10.07,10.2,20554428.0,9.807000000000006,8.640166666666666,
75,2020-07-09,10.12,10.26,10.06,10.2,20487990.0,9.877000000000006,8.687333333333333,
76,2020-07-10,10.15,10.9,10.13,10.5,30395533.0,9.974000000000006,8.741000000000001,
77,2020-07-13,10.56,11.43,10.48,11.27,31861464.0,10.178000000000004,8.808333333333334,
78,2020-07-14,11.27,11.58,10.92,11.34,25932693.0,10.380000000000004,8.875833333333334,
79,2020-07-15,11.35,11.53,10.67,10.8,25240561.0,10.491000000000003,8.935333333333334,
80,2020-07-16,10.8,10.85,9.93,10.08,21574263.0,10.477000000000004,8.9835,
81,2020-07-17,9.98,10.26,9.87,10.08,14636702.0,10.492000000000004,9.030666666666667,
82,2020-07-20,10.12,10.26,9.98,10.24,9732204.0,10.502000000000004,9.071166666666668,
83,2020-07-21,10.23,10.5,10.15,10.31,10217854.0,10.502000000000004,9.1125,
84,2020-07-22,10.26,10.44,10.21,10.28,9671290.0,10.510000000000003,9.151666666666667,
85,2020-07-23,10.18,10.28,9.9,10.14,11112191.0,10.504000000000003,9.186,
86,2020-07-24,10.06,10.2,9.56,9.6,13985029.0,10.414000000000003,9.213,
87,2020-07-27,9.7,9.98,9.62,9.72,8809412.0,10.259000000000004,9.241999999999999,
88,2020-07-28,9.75,9.93,9.69,9.78,10505536.0,10.103000000000003,9.275166666666667,
89,2020-07-29,9.75,10.12,9.65,10.1,14950506.0,10.033000000000003,9.316333333333334,
90,2020-07-30,10.09,10.2,9.77,9.8,20817519.0,10.005000000000003,9.350166666666667,
91,2020-07-31,9.88,9.88,9.51,9.63,15408702.0,9.960000000000003,9.381499999999999,
92,2020-08-03,9.69,10.05,9.63,10.04,14411484.0,9.940000000000001,9.411666666666665,
93,2020-08-04,10.04,10.14,9.83,9.97,8493459.0,9.906000000000002,9.440833333333332,
94,2020-08-05,9.99,10.09,9.81,10.08,12379665.0,9.886000000000001,9.471833333333333,
95,2020-08-06,10.09,10.11,9.83,9.93,8711827.0,9.865000000000002,9.50233333333333,
96,2020-08-07,9.97,9.97,9.61,9.73,9455701.0,9.878000000000004,9.528333333333332,
97,2020-08-10,9.74,9.75,9.6,9.68,8206500.0,9.874000000000004,9.551166666666665,
98,2020-08-11,9.68,9.79,9.47,9.51,7431421.0,9.847000000000005,9.571333333333333,
99,2020-08-12,9.5,9.51,9.07,9.3,10411803.0,9.767000000000005,9.585666666666665,
100,2020-08-13,9.27,9.51,9.27,9.46,6159548.0,9.733000000000006,9.603499999999999,
101,2020-08-14,9.47,9.64,9.42,9.58,5452237.0,9.728000000000005,9.625833333333333,
102,2020-08-17,9.59,9.77,9.58,9.72,7444381.0,9.696000000000007,9.6505,
103,2020-08-18,9.7,9.84,9.65,9.79,7405951.0,9.678000000000006,9.679499999999999,
104,2020-08-19,9.8,10.08,9.68,9.8,13676581.0,9.650000000000006,9.7065,
105,2020-08-20,9.77,9.78,9.43,9.51,8370610.0,9.608000000000008,9.727166666666667,
106,2020-08-21,9.46,9.88,9.45,9.79,9886961.0,9.614000000000006,9.738666666666665,
107,2020-08-24,9.9,10.16,9.7,10.02,15883212.0,9.648000000000005,9.741999999999997,
108,2020-08-25,10.17,10.3,10.0,10.04,13831893.0,9.701000000000004,9.74533333333333,
109,2020-08-26,10.0,10.15,9.7,9.84,9677632.0,9.755000000000004,9.746999999999996,
110,2020-08-27,9.87,9.93,9.69,9.83,5529683.0,9.792000000000005,9.754166666666665,
111,2020-08-28,9.84,10.3,9.76,10.15,14843296.0,9.849000000000006,9.76533333333333,
112,2020-08-31,10.0,10.18,9.93,10.05,14373475.0,9.882000000000005,9.775666666666664,
113,2020-09-01,9.97,10.04,9.63,9.71,12655471.0,9.874000000000006,9.780333333333333,
114,2020-09-02,9.71,9.76,9.52,9.59,8377019.0,9.853000000000007,9.788166666666665,
115,2020-09-03,9.6,10.15,9.56,9.73,13633670.0,9.875000000000007,9.798,
116,2020-09-04,9.52,9.84,9.36,9.41,10468277.0,9.837000000000007,9.802,
117,2020-09-07,9.5,9.54,9.08,9.12,10147642.0,9.747000000000007,9.805333333333333,
118,2020-09-08,9.18,9.22,8.98,9.15,7452749.0,9.658000000000007,9.8115,
119,2020-09-09,9.09,9.09,8.9,8.9,7171420.0,9.564000000000007,9.8125,
120,2020-09-10,8.96,9.02,8.68,8.69,5599983.0,9.450000000000006,9.804666666666668,
121,2020-09-11,8.64,9.16,8.61,9.12,7335992.0,9.347000000000007,9.805833333333336,
122,2020-09-14,9.13,9.15,9.01,9.1,3819337.0,9.252000000000006,9.809500000000003,
123,2020-09-15,9.08,9.12,8.99,9.01,3354532.0,9.182000000000007,9.808333333333335,
124,2020-09-16,9.14,9.35,9.09,9.18,6618799.0,9.141000000000009,9.807833333333333,
125,2020-09-17,9.11,9.15,8.87,9.07,4613774.0,9.075000000000006,9.800666666666668,
126,2020-09-18,9.02,9.15,9.01,9.07,3377893.0,9.041000000000007,9.793000000000003,
127,2020-09-21,9.06,9.24,8.98,9.16,6422748.0,9.045000000000007,9.791833333333335,
