,date,open,high,low,close,volume,10,60,250
0,2020-03-18,13.26,13.41,12.2,12.77,3784450.0,,,
1,2020-03-19,12.32,13.25,12.32,13.06,2780550.0,,,
2,2020-03-20,13.08,13.34,12.93,13.2,1725900.0,,,
3,2020-03-23,13.08,13.58,12.76,13.08,2417911.0,,,
4,2020-03-24,13.51,13.51,12.99,13.24,1861893.0,,,
5,2020-03-25,13.69,13.81,13.46,13.68,2851522.0,,,
6,2020-03-26,13.41,14.06,13.41,14.05,2490850.0,,,
7,2020-03-27,14.04,14.35,13.9,14.05,2306611.0,,,
8,2020-03-30,13.86,14.41,13.76,14.26,2726200.0,,,
9,2020-03-31,14.36,14.84,14.35,14.73,3462250.0,13.612,,
10,2020-04-01,14.73,15.34,14.7,15.25,4765100.0,13.86,,
11,2020-04-02,15.23,15.76,15.09,15.64,4683500.0,14.118,,
12,2020-04-03,15.77,15.97,15.49,15.73,4808250.0,14.371,,
13,2020-04-07,16.19,16.25,15.76,16.17,3852050.0,14.679999999999998,,
14,2020-04-08,16.17,16.72,15.96,16.48,5240841.0,15.003999999999996,,
15,2020-04-09,16.48,16.73,16.1,16.53,3699523.0,15.288999999999996,,
16,2020-04-10,16.53,16.69,15.56,15.59,4823700.0,15.442999999999994,,
17,2020-04-13,15.62,15.77,15.01,15.06,3466950.0,15.543999999999993,,
18,2020-04-14,15.44,15.6,14.7,15.43,3386450.0,15.660999999999996,,
19,2020-04-15,15.56,16.98,15.56,16.98,10592066.0,15.885999999999996,,
20,2020-04-16,16.32,16.63,15.82,16.33,7734585.0,15.993999999999994,,
21,2020-04-17,16.55,17.92,16.22,17.66,9175489.0,16.19599999999999,,
22,2020-04-20,17.31,17.58,16.9,17.14,7587400.0,16.336999999999993,,
23,2020-04-21,17.19,17.19,16.34,16.8,6111100.0,16.399999999999995,,
24,2020-04-22,16.79,16.91,15.98,16.49,4823800.0,16.400999999999996,,
25,2020-04-23,16.45,17.58,16.44,17.0,4992350.0,16.447999999999997,,
26,2020-04-24,16.88,17.36,16.45,16.67,3873700.0,16.555999999999997,,
27,2020-04-27,17.03,18.12,16.49,17.69,6393600.0,16.818999999999996,,
28,2020-04-28,17.7,17.75,16.65,17.28,4407300.0,17.003999999999998,,
29,2020-04-29,16.94,17.19,16.7,16.81,2560173.0,16.987,,
30,2020-04-30,16.98,17.5,16.82,17.35,3426970.0,17.089,,
31,2020-05-06,17.25,18.29,17.03,17.72,4103039.0,17.095,,
32,2020-05-07,17.75,17.96,17.29,17.7,2610089.0,17.151,,
