,date,open,high,low,close,volume,120,180,240
0,2018-11-13,7.0,7.2,6.98,7.15,8249901.0,,,
1,2018-11-14,7.1,7.23,7.03,7.07,6305024.0,,,
2,2018-11-15,7.0,7.24,6.97,7.23,9122944.0,,,
3,2018-11-16,7.26,7.66,7.26,7.52,14770522.0,,,
4,2018-11-19,7.47,8.02,7.45,7.96,18845078.0,,,
5,2018-11-20,7.81,8.03,7.73,7.84,11217940.0,,,
6,2018-11-21,7.69,7.89,7.67,7.86,7415467.0,,,
7,2018-11-22,8.01,8.01,7.73,7.78,6191471.0,,,
8,2018-11-23,7.78,7.78,7.35,7.42,7998620.0,,,
9,2018-11-26,7.45,7.47,7.28,7.34,4244390.0,,,
10,2018-11-27,7.4,7.86,7.38,7.79,11035795.0,,,
11,2018-11-28,7.81,7.99,7.65,7.96,10938250.0,,,
12,2018-11-29,8.18,8.45,7.52,7.56,15283192.0,,,
13,2018-11-30,7.55,7.86,7.48,7.61,9736285.0,,,
14,2018-12-03,7.82,7.96,7.61,7.73,11339571.0,,,
15,2018-12-04,7.74,7.81,7.61,7.76,5557617.0,,,
16,2018-12-05,7.64,8.02,7.54,7.72,11288235.0,,,
17,2018-12-06,7.6,7.67,7.4,7.54,9008299.0,,,
18,2018-12-07,7.54,7.64,7.48,7.54,4265420.0,,,
19,2018-12-10,7.51,7.51,7.18,7.25,4795090.0,,,
20,2018-12-11,7.27,7.35,7.18,7.26,3355174.0,,,
21,2018-12-12,7.32,7.37,7.25,7.25,3335840.0,,,
22,2018-12-13,7.25,7.32,7.2,7.25,3596082.0,,,
23,2018-12-14,7.25,7.27,7.08,7.09,5584177.0,,,
24,2018-12-17,7.11,7.13,6.93,7.0,3796885.0,,,
25,2018-12-18,7.0,7.08,6.95,7.0,3119930.0,,,
26,2018-12-19,7.0,7.05,6.74,6.8,4197280.0,,,
27,2018-12-20,6.85,6.85,6.76,6.81,1699920.0,,,
28,2018-12-21,6.81,6.84,6.61,6.78,2474980.0,,,
29,2018-12-24,6.78,6.82,6.68,6.76,1859460.0,,,
30,2018-12-25,6.73,6.74,6.42,6.53,6818979.0,,,
31,2018-12-26,6.56,6.58,6.47,6.48,3369607.0,,,
32,2018-12-27,6.54,6.57,6.39,6.44,4343506.0,,,
33,2018-12-28,6.44,6.51,6.36,6.44,3080450.0,,,
34,2019-01-02,6.45,6.46,6.36,6.43,1587497.0,,,
35,2019-01-03,6.39,6.49,6.35,6.44,3605120.0,,,
36,2019-01-04,6.41,6.61,6.33,6.61,5691897.0,,,
37,2019-01-07,6.67,6.83,6.58,6.75,6340340.0,,,
38,2019-01-08,6.69,6.73,6.58,6.58,4227380.0,,,
39,2019-01-09,6.5,6.66,6.4,6.53,5829290.0,,,
40,2019-01-10,6.48,6.66,6.47,6.55,8432600.0,,,
41,2019-01-11,6.56,6.61,6.49,6.58,3493153.0,,,
42,2019-01-14,6.58,6.82,6.51,6.68,8814320.0,,,
43,2019-01-15,6.65,6.81,6.65,6.76,5789350.0,,,
44,2019-01-16,6.76,6.76,6.65,6.68,3499060.0,,,
