,date,open,high,low,close,volume,10,60,250
0,2020-03-18,3.53,3.61,3.44,3.44,3971721.0,,,
1,2020-03-19,3.47,3.51,3.37,3.49,3885056.0,,,
2,2020-03-20,3.53,3.57,3.49,3.57,2624484.0,,,
3,2020-03-23,3.5,3.53,3.42,3.43,3442099.0,,,
4,2020-03-24,3.47,3.53,3.39,3.5,4755961.0,,,
5,2020-03-25,3.57,3.6,3.52,3.57,3732432.0,,,
6,2020-03-26,3.54,3.58,3.51,3.51,2645734.0,,,
7,2020-03-27,3.57,3.58,3.46,3.47,3091499.0,,,
8,2020-03-30,3.5,3.5,3.35,3.45,3861034.0,,,
9,2020-03-31,3.45,3.52,3.42,3.51,4219610.0,3.4939999999999998,,
10,2020-04-01,3.53,3.6,3.47,3.53,4891001.0,3.503,,
11,2020-04-02,3.53,3.63,3.48,3.63,4879400.0,3.5170000000000003,,
12,2020-04-03,3.99,3.99,3.99,3.99,8160002.0,3.559,,
13,2020-04-07,4.39,4.39,4.39,4.39,4667610.0,3.6550000000000002,,
14,2020-04-08,4.59,4.59,4.0,4.06,49193022.0,3.7110000000000007,,
15,2020-04-09,3.88,4.03,3.81,3.88,28938682.0,3.742000000000001,,
16,2020-04-10,3.8,4.27,3.8,4.27,44062929.0,3.8180000000000014,,
17,2020-04-13,4.1,4.33,3.87,3.96,36439182.0,3.8670000000000018,,
18,2020-04-14,3.93,4.36,3.93,4.36,24625226.0,3.958000000000001,,
19,2020-04-15,4.34,4.55,4.15,4.36,49989548.0,4.043000000000001,,
20,2020-04-16,4.24,4.33,4.09,4.28,30546868.0,4.118000000000001,,
21,2020-04-17,4.21,4.25,4.0,4.02,22232734.0,4.157000000000002,,
22,2020-04-20,4.0,4.14,3.87,4.1,15880886.0,4.168000000000001,,
23,2020-04-21,4.0,4.04,3.91,4.02,13574705.0,4.131000000000002,,
24,2020-04-22,3.95,4.09,3.91,4.04,12426705.0,4.129000000000001,,
25,2020-04-23,4.02,4.08,3.95,4.03,9525393.0,4.144000000000001,,
26,2020-04-24,3.99,4.02,3.7,3.72,11594400.0,4.089000000000001,,
27,2020-04-27,3.7,3.74,3.54,3.62,8872923.0,4.0550000000000015,,
28,2020-04-28,3.6,3.66,3.37,3.48,8302585.0,3.967000000000001,,
29,2020-04-29,3.46,3.55,3.4,3.43,5765601.0,3.874000000000001,,
30,2020-04-30,3.44,3.5,3.44,3.48,4740281.0,3.7940000000000005,,
31,2020-05-06,3.45,3.83,3.43,3.72,9022600.0,3.7640000000000002,,
32,2020-05-07,3.68,3.76,3.57,3.66,8814823.0,3.7199999999999998,,
33,2020-05-08,3.65,3.69,3.62,3.64,5301800.0,3.6819999999999995,,
34,2020-05-11,3.64,3.72,3.54,3.59,6184557.0,3.6369999999999996,,
35,2020-05-12,3.59,3.65,3.53,3.62,4146457.0,3.595999999999999,,
36,2020-05-13,3.59,3.68,3.57,3.63,2745910.0,3.5869999999999997,,
37,2020-05-14,3.62,3.63,3.54,3.54,3945310.0,3.5789999999999997,,
38,2020-05-15,3.57,3.63,3.51,3.52,3621900.0,3.5830000000000006,,
39,2020-05-18,3.58,3.71,3.54,3.56,5077600.0,3.596000000000001,,
40,2020-05-19,3.58,3.62,3.54,3.58,3639797.0,3.6060000000000008,,
41,2020-05-20,3.56,3.58,3.49,3.55,3367000.0,3.589000000000001,,
42,2020-05-21,3.52,3.57,3.49,3.5,3768800.0,3.5730000000000004,,
43,2020-05-22,3.51,3.51,3.4,3.43,4119895.0,3.5520000000000005,,
44,2020-05-25,3.43,3.51,3.42,3.48,2534044.0,3.5409999999999995,,
45,2020-05-26,3.48,3.57,3.47,3.57,2749750.0,3.536,,
46,2020-05-27,3.57,3.58,3.51,3.53,2728201.0,3.526,,
47,2020-05-28,3.54,3.56,3.46,3.49,3150600.0,3.521,,
48,2020-05-29,3.49,3.53,3.46,3.51,2393900.0,3.5199999999999996,,
49,2020-06-01,3.5,3.6,3.5,3.58,4422310.0,3.5219999999999994,,
50,2020-06-02,3.58,3.64,3.57,3.63,4079511.0,3.5269999999999997,,
51,2020-06-03,3.63,3.66,3.59,3.6,3323300.0,3.532,,
52,2020-06-04,3.63,3.67,3.59,3.66,4282222.0,3.5480000000000005,,
53,2020-06-05,3.68,3.69,3.6,3.63,3736500.0,3.5680000000000005,,
54,2020-06-08,3.64,3.67,3.56,3.63,4029901.0,3.583000000000001,,
55,2020-06-09,3.61,3.68,3.61,3.66,3931500.0,3.592000000000001,,
56,2020-06-10,3.63,3.65,3.6,3.64,2991001.0,3.6030000000000006,,
57,2020-06-11,3.64,3.66,3.59,3.59,3494610.0,3.6130000000000004,,
58,2020-06-12,3.59,3.63,3.51,3.6,3834900.0,3.6220000000000008,,
59,2020-06-15,3.58,3.64,3.56,3.59,2969900.0,3.623,3.692,
60,2020-06-16,3.59,3.64,3.58,3.63,3352541.0,3.623,3.6951666666666667,
61,2020-06-17,3.63,3.63,3.6,3.62,2656540.0,3.625,3.6973333333333334,
62,2020-06-18,3.63,3.67,3.59,3.66,3598401.0,3.625,3.6988333333333334,
63,2020-06-19,3.66,3.7,3.62,3.65,3799991.0,3.627,3.7025,
64,2020-06-22,3.67,3.67,3.63,3.64,2690101.0,3.6279999999999992,3.704833333333333,
65,2020-06-23,3.65,3.65,3.58,3.58,3216400.0,3.6199999999999988,3.705,
66,2020-06-24,3.58,3.6,3.52,3.55,2970970.0,3.6109999999999984,3.705666666666667,
67,2020-06-29,3.53,3.53,3.43,3.45,3814700.0,3.5969999999999986,3.705333333333334,
68,2020-06-30,3.48,3.58,3.47,3.53,2956090.0,3.5899999999999985,3.7066666666666674,
69,2020-07-01,3.55,3.56,3.51,3.53,2828106.0,3.5839999999999987,3.7070000000000007,
70,2020-07-02,3.53,3.62,3.51,3.61,5183888.0,3.5819999999999985,3.7083333333333344,
71,2020-07-03,3.61,3.66,3.59,3.65,4112091.0,3.5849999999999986,3.7086666666666677,
72,2020-07-06,3.66,3.8,3.65,3.79,8351554.0,3.597999999999999,3.7053333333333343,
73,2020-07-07,3.83,3.87,3.68,3.76,9232564.0,3.608999999999999,3.6948333333333343,
74,2020-07-08,3.77,3.86,3.73,3.85,8838449.0,3.629999999999999,3.691333333333334,
75,2020-07-09,3.85,3.97,3.82,3.95,9177222.0,3.6669999999999994,3.692500000000001,
76,2020-07-10,3.94,3.95,3.81,3.82,8068402.0,3.694,3.6850000000000005,
77,2020-07-13,3.89,4.05,3.87,3.96,10578790.0,3.7449999999999997,3.6850000000000005,
78,2020-07-14,4.01,4.05,3.86,3.93,8533610.0,3.7849999999999993,3.6778333333333335,
79,2020-07-15,4.0,4.09,3.88,3.89,11699213.0,3.8209999999999993,3.67,
80,2020-07-16,3.89,4.01,3.78,3.79,12418912.0,3.8389999999999995,3.661833333333333,
81,2020-07-17,3.83,3.93,3.72,3.9,7577045.0,3.8639999999999994,3.659833333333333,
82,2020-07-20,3.92,4.23,3.88,4.06,19237211.0,3.8909999999999996,3.6591666666666662,
83,2020-07-21,4.03,4.11,3.97,4.04,10711331.0,3.9189999999999996,3.6594999999999995,
84,2020-07-22,4.01,4.18,4.01,4.11,10369900.0,3.9449999999999994,3.6606666666666663,
85,2020-07-23,4.07,4.15,3.98,4.06,8474700.0,3.9559999999999995,3.6611666666666665,
86,2020-07-24,4.06,4.13,3.9,3.93,9363001.0,3.9669999999999996,3.6646666666666667,
87,2020-07-27,3.98,4.1,3.94,4.07,8396168.0,3.9779999999999993,3.6721666666666666,
88,2020-07-28,4.08,4.25,4.07,4.2,12858683.0,4.005,3.6841666666666666,
89,2020-07-29,4.18,4.19,4.09,4.18,7990900.0,4.034,3.6966666666666663,
90,2020-07-30,4.18,4.23,4.09,4.11,7420093.0,4.066,3.7071666666666667,
91,2020-07-31,4.11,4.18,4.06,4.11,7456713.0,4.087,3.713666666666667,
92,2020-08-03,4.15,4.39,4.13,4.3,11474800.0,4.110999999999999,3.724333333333334,
93,2020-08-04,4.3,4.36,4.22,4.33,10376215.0,4.139999999999999,3.7358333333333342,
94,2020-08-05,4.31,4.36,4.24,4.33,7320100.0,4.161999999999999,3.748166666666668,
95,2020-08-06,4.33,4.48,4.29,4.43,9280113.0,4.198999999999999,3.761666666666668,
96,2020-08-07,4.45,4.48,4.3,4.32,8649224.0,4.237999999999999,3.773166666666668,
97,2020-08-10,4.34,4.4,4.25,4.36,6659127.0,4.266999999999999,3.786833333333335,
98,2020-08-11,4.35,4.39,4.11,4.2,7898880.0,4.266999999999999,3.798166666666668,
99,2020-08-12,4.19,4.23,4.07,4.22,6267281.0,4.270999999999999,3.809166666666668,
100,2020-08-13,4.22,4.33,4.18,4.24,5540741.0,4.283999999999999,3.8201666666666676,
101,2020-08-14,4.22,4.22,4.09,4.2,6449787.0,4.292999999999999,3.831000000000001,
102,2020-08-17,4.19,4.27,4.17,4.23,5170673.0,4.286,3.8431666666666673,
103,2020-08-18,4.28,4.28,4.21,4.22,5157530.0,4.275,3.8563333333333336,
104,2020-08-19,4.25,4.25,4.13,4.14,6808313.0,4.256,3.8673333333333337,
105,2020-08-20,4.13,4.16,4.04,4.09,5840311.0,4.222,3.8760000000000003,
106,2020-08-21,4.07,4.19,4.06,4.16,5896451.0,4.206000000000001,3.8865000000000003,
107,2020-08-24,4.2,4.21,4.11,4.16,4808936.0,4.186000000000002,3.897666666666667,
108,2020-08-25,4.14,4.39,4.12,4.3,11056280.0,4.196000000000001,3.910833333333334,
109,2020-08-26,4.3,4.37,4.2,4.21,7971551.0,4.195000000000001,3.921333333333334,
110,2020-08-27,4.25,4.35,4.18,4.35,5884587.0,4.206000000000001,3.933333333333334,
111,2020-08-28,4.35,4.37,4.15,4.18,9019527.0,4.204000000000001,3.9430000000000005,
112,2020-08-31,4.22,4.44,4.17,4.33,12426440.0,4.214,3.9541666666666675,
113,2020-09-01,4.33,4.45,4.29,4.43,9690538.0,4.235,3.967500000000001,
114,2020-09-02,4.44,4.45,4.29,4.35,7610900.0,4.256,3.979500000000001,
115,2020-09-03,4.38,4.38,4.25,4.28,5661115.0,4.275,3.9898333333333347,
116,2020-09-04,4.3,4.68,4.24,4.52,17282144.0,4.311,4.004500000000002,
117,2020-09-07,4.49,4.97,4.43,4.97,16215417.0,4.392,4.027500000000002,
118,2020-09-08,5.19,5.47,5.19,5.47,12622303.0,4.509,4.058666666666668,
119,2020-09-09,6.02,6.02,6.02,6.02,11562497.0,4.6899999999999995,4.099166666666668,
120,2020-09-10,6.11,6.11,5.42,5.42,15603806.0,4.797,4.129000000000001,
121,2020-09-11,4.88,5.02,4.88,4.92,39580589.0,4.871,4.150666666666668,
122,2020-09-14,4.79,4.86,4.61,4.85,43169085.0,4.923,4.170500000000001,
123,2020-09-15,4.81,4.81,4.65,4.71,24554253.0,4.9510000000000005,4.188166666666668,
124,2020-09-16,4.66,4.74,4.55,4.61,17132939.0,4.977,4.204333333333335,
125,2020-09-17,4.6,4.62,4.39,4.47,20391491.0,4.996,4.219166666666669,
126,2020-09-18,4.49,4.66,4.48,4.52,13920351.0,4.996,4.235333333333335,
127,2020-09-21,4.52,4.55,4.42,4.43,11703295.0,4.942000000000001,4.251666666666669,
128,2020-09-22,4.38,4.53,4.35,4.44,11764800.0,4.839,4.266833333333336,
129,2020-09-23,4.44,4.49,4.38,4.43,8656900.0,4.6800000000000015,4.281833333333337,
130,2020-09-24,4.38,4.42,4.22,4.22,10437200.0,4.5600000000000005,4.292000000000003,
131,2020-09-25,4.24,4.34,4.19,4.26,7099123.0,4.494000000000001,4.30216666666667,
132,2020-09-28,4.35,4.35,4.1,4.1,9015400.0,4.4190000000000005,4.307333333333337,
133,2020-09-29,4.07,4.28,4.07,4.17,9243210.0,4.365,4.3141666666666705,
134,2020-09-30,4.2,4.22,4.11,4.14,7396714.0,4.3180000000000005,4.3190000000000035,
135,2020-10-09,4.18,4.37,4.18,4.27,9261200.0,4.298,4.324333333333337,
136,2020-10-12,4.29,4.51,4.28,4.44,12873800.0,4.290000000000001,4.33466666666667,
137,2020-10-13,4.46,4.46,4.36,4.38,7507500.0,4.285000000000001,4.34166666666667,
138,2020-10-14,4.4,4.4,4.26,4.29,6239400.0,4.270000000000001,4.347666666666671,
139,2020-10-15,4.29,4.34,4.22,4.23,6559000.0,4.250000000000001,4.353333333333338,
140,2020-10-16,4.21,4.31,4.16,4.25,5246400.0,4.253000000000001,4.361000000000004,
141,2020-10-19,4.23,4.31,4.19,4.23,6197711.0,4.250000000000001,4.366500000000005,
142,2020-10-20,4.21,4.27,4.16,4.26,5821600.0,4.266,4.369833333333338,
143,2020-10-21,4.25,4.28,4.12,4.14,6891400.0,4.263,4.371500000000004,
144,2020-10-22,4.15,4.16,4.07,4.12,5173580.0,4.261,4.371666666666671,
145,2020-10-23,4.13,4.2,4.08,4.11,5856020.0,4.245,4.372500000000004,
146,2020-10-26,4.09,4.15,4.03,4.12,4809200.0,4.213,4.375666666666671,
147,2020-10-27,4.1,4.14,4.05,4.06,4711010.0,4.181,4.375500000000004,
148,2020-10-28,4.05,4.08,3.93,4.02,7185632.0,4.154,4.372500000000004,
149,2020-10-29,3.99,4.09,3.94,4.05,5855780.0,4.136,4.370333333333337,
150,2020-10-30,4.03,4.07,3.84,3.85,6711108.0,4.096,4.366000000000004,
151,2020-11-02,3.87,4.0,3.81,4.0,7486400.0,4.073,4.364166666666671,
152,2020-11-03,3.95,4.07,3.91,4.06,6953400.0,4.053000000000001,4.360166666666671,
153,2020-11-04,4.08,4.08,3.93,3.96,6291800.0,4.035000000000001,4.354000000000004,
154,2020-11-05,3.99,4.07,3.97,4.03,5447200.0,4.026000000000002,4.349000000000004,
155,2020-11-06,4.01,4.08,3.91,3.95,6804156.0,4.010000000000002,4.341000000000004,
156,2020-11-09,3.99,4.14,3.97,4.06,9611819.0,4.004000000000002,4.3366666666666704,
157,2020-11-10,4.1,4.16,4.03,4.07,7406900.0,4.005000000000002,4.3318333333333365,
158,2020-11-11,4.01,4.1,4.0,4.02,5981340.0,4.005000000000003,4.328833333333336,
159,2020-11-12,4.03,4.42,4.01,4.42,17088443.0,4.042000000000003,4.332166666666669,
160,2020-11-13,4.42,4.73,4.33,4.53,42639231.0,4.110000000000003,4.337000000000002,
161,2020-11-16,4.38,4.79,4.22,4.73,38870910.0,4.1830000000000025,4.345833333333336,
162,2020-11-17,4.61,4.66,4.5,4.59,23210922.0,4.236000000000002,4.351833333333335,
163,2020-11-18,4.59,4.62,4.42,4.52,16014893.0,4.2920000000000025,4.356833333333335,
164,2020-11-19,4.48,4.55,4.43,4.55,11774609.0,4.344000000000002,4.363666666666669,
165,2020-11-20,4.5,4.61,4.42,4.58,12939889.0,4.407000000000002,4.371833333333336,
166,2020-11-23,4.56,4.67,4.51,4.52,16415612.0,4.453000000000001,4.377833333333334,
167,2020-11-24,4.49,4.57,4.42,4.43,12873500.0,4.489000000000002,4.382333333333334,
168,2020-11-25,4.48,4.48,4.3,4.3,11121174.0,4.517000000000001,4.382333333333334,
169,2020-11-26,4.29,4.36,4.23,4.28,7544714.0,4.503000000000002,4.383500000000001,
170,2020-11-27,4.29,4.3,4.1,4.22,8240207.0,4.472000000000001,4.381333333333334,
